訓練日期,20160609 - 20160909
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10755520.449999999254942
真實報酬,755520.449999999254942

夏普值報酬,0.066852045000000
夏普值風險,0.031565930333244
夏普值,2.117854417539359

預期報酬,15224.219569636472443
風險,123428.782655022587278
趨勢值,0.123344160431262
找到最佳解世代,2068
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](2),MRK[17](5),MSFT[18](4),PG[21](1),WBA[27](16),
Stock#,INTC[11](2),MRK[17](5),MSFT[18](4),PG[21](1),WBA[27](16),
張數,62617,34977,38744,24047,25313,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.020000000018626,15.139999999897555,34.720000000204891,11.010000000009313,19.869999999878928,
20160609,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
20160610,2006261.699999999953434,1987058.510000000009313,1994575.840000000083819,2000721.410000000149012,2087582.979999999748543,10076200.439999999478459
20160613,2014401.910000000149012,1962574.609999999869615,1942658.880000000121072,1985571.799999999813735,2135424.549999999813735,10040631.750000000000000
20160614,2012523.400000000139698,1967471.389999999897555,1930648.240000000223517,2004328.459999999962747,2134918.290000000037253,10049889.780000001192093
20160615,1979336.389999999897555,1961875.070000000065193,1925224.080000000074506,1994709.660000000149012,2106314.599999999627471,9967459.800000000745058
20160616,1984345.750000000000000,2011192.639999999897555,1952344.880000000121072,2005771.280000000027940,2104795.820000000298023,10058450.370000001043081
20160617,1988728.940000000176951,1954879.669999999925494,1942271.440000000409782,1999038.119999999878928,2092139.320000000065193,9977057.490000000223517
20160620,2014401.910000000149012,1963623.919999999925494,1939946.800000000279397,1996873.890000000130385,2099226.959999999962747,10014073.480000000447035
20160621,2023794.459999999962747,1967471.389999999897555,1983340.080000000074506,2005771.280000000027940,2106061.469999999739230,10086438.679999999701977
20160622,2021915.949999999953434,1995103.219999999972060,1975591.280000000260770,2009618.799999999813735,2119730.489999999292195,10121959.739999998360872
20160623,2065747.850000000093132,2017488.500000000000000,2011235.760000000009313,2025008.879999999888241,2153143.650000000372529,10272624.640000000596046
20160624,1975579.370000000111759,1954529.899999999906868,1930648.240000000223517,1978117.230000000214204,2070117.010000000009313,9908991.750000000000000
20160627,1923607.260000000009313,1934593.010000000009313,1876406.640000000130385,1953348.820000000065193,2009618.939999999944121,9697574.669999999925494
20160628,1953037.250000000000000,1944036.799999999813735,1915538.080000000074506,1982926.629999999888241,2022022.309999999823049,9817561.070000000298023
20160629,1999373.830000000074506,1995452.989999999757856,1958156.480000000214204,2017794.780000000027940,2105808.339999999850988,10076586.419999999925494
20160630,2053850.619999999878928,2015040.109999999869615,1982565.200000000186265,2036070.500000000000000,2107833.379999999888241,10195359.809999998658895
20160701,2050719.770000000018626,2026582.519999999785796,1982177.760000000009313,2038715.669999999925494,2102517.650000000372529,10200713.370000001043081
20160705,2046336.580000000074506,2028681.139999999897555,1982565.200000000186265,2054586.689999999944121,2114161.629999999888241,10226331.239999998360872
20160706,2064495.510000000009313,2069254.459999999729916,1990701.440000000409782,2044727.419999999925494,2064295.019999999785796,10233473.849999999627471
20160707,2078897.420000000158325,2055963.199999999953434,1990701.440000000409782,2039918.020000000018626,2037716.369999999878928,10203196.449999999254942
20160708,2128991.020000000018626,2075900.089999999850988,2026345.920000000158325,2062522.199999999953434,2070623.269999999785796,10364382.500000000000000
20160711,2152785.479999999981374,2075550.320000000065193,2037581.680000000400469,2062041.260000000009313,2075939.000000000000000,10403897.740000000223517
20160712,2187851.000000000000000,2084644.339999999850988,2061602.960000000195578,2062041.260000000009313,2055941.729999999748543,10452081.290000000968575
20160713,2192234.189999999944121,2082895.489999999757856,2073226.160000000149012,2065407.840000000083819,2069863.879999999888241,10483627.559999998658895
20160714,2204131.420000000391155,2086393.189999999944121,2082137.280000000260770,2064926.900000000139698,2120743.009999999776483,10558331.800000000745058
20160715,2195991.209999999962747,2085693.649999999906868,2080587.520000000251457,2068293.480000000214204,2088595.500000000000000,10519161.359999999403954
20160718,2194738.869999999646097,2064357.679999999934807,2090660.960000000195578,2066369.720000000204891,2095430.010000000009313,10511557.240000000223517
20160719,2201000.569999999832362,2051765.959999999729916,2056953.680000000400469,2072141.000000000000000,2081001.599999999627471,10462862.809999998658895
20160720,2234813.750000000000000,2056312.969999999972060,2166211.760000000242144,2051701.049999999813735,2088595.500000000000000,10597635.030000001192093
20160721,2145897.610000000335276,2056312.969999999972060,2161949.919999999925494,2050258.230000000214204,2068091.969999999972060,10482510.700000001117587
20160722,2170318.239999999757856,2057362.279999999795109,2191782.800000000279397,2061319.850000000093132,2059232.419999999692664,10540015.589999999850988
20160725,2172196.750000000000000,2048268.260000000009313,2197981.839999999850988,2063243.609999999869615,2064801.279999999795109,10546491.739999998360872
20160726,2197243.550000000279397,2041272.859999999869615,2199144.160000000149012,2050498.699999999953434,2058726.159999999916181,10546885.429999999701977
20160727,2180963.129999999888241,2049667.339999999850988,2177060.080000000074506,2031020.629999999888241,2023541.089999999850988,10462252.269999999552965
20160728,2177206.110000000335276,2043721.250000000000000,2177834.960000000428408,2039437.080000000074506,2011390.849999999627471,10449590.250000000000000
20160729,2182841.640000000130385,2051765.959999999729916,2196044.640000000130385,2058193.739999999990687,2006075.119999999878928,10494921.099999999627471
20160801,2182215.470000000204891,2051765.959999999729916,2192170.240000000223517,2077912.280000000027940,2006581.379999999888241,10510645.329999998211861
20160802,2164056.540000000037253,2040223.549999999813735,2192170.240000000223517,2086328.730000000214204,1998481.219999999972060,10481260.280000001192093
20160803,2144645.270000000018626,2016439.189999999944121,2207280.400000000372529,2067331.600000000093132,2014934.669999999692664,10450631.130000000819564
20160804,2165308.879999999888241,2023084.820000000065193,2223552.880000000353903,2069255.359999999869615,2021262.919999999692664,10502464.859999999403954
20160805,2190355.679999999701977,2233646.360000000335276,2245636.960000000428408,2062762.669999999925494,2038475.760000000009313,10770877.429999999701977
20160808,2194112.700000000186265,2198669.360000000335276,2249511.360000000335276,2062281.730000000214204,2041007.059999999823049,10745582.210000000894070
20160809,2186598.660000000149012,2185727.870000000111759,2254935.520000000484288,2067812.539999999804422,2047588.439999999944121,10742663.029999999329448
20160810,2162178.030000000260770,2190974.419999999925494,2247961.600000000558794,2075507.580000000074506,2088342.369999999878928,10764964.000000000000000
20160811,2171570.580000000074506,2225601.650000000372529,2258809.919999999925494,2085607.320000000065193,2098720.700000000186265,10840310.170000001788139
20160812,2164682.709999999962747,2215808.089999999850988,2244862.080000000074506,2093061.890000000130385,2109099.029999999329448,10827513.799999998882413
20160815,2185972.489999999757856,2214758.780000000260770,2251836.000000000000000,2092580.949999999953434,2116439.799999999813735,10861588.019999999552965
20160816,2204757.589999999850988,2204965.219999999739230,2225490.080000000074506,2082000.270000000018626,2095936.269999999785796,10813149.429999999701977
20160817,2192860.360000000335276,2213709.469999999739230,2230139.360000000335276,2091138.129999999888241,2088848.629999999888241,10816695.949999999254942
20160818,2189729.509999999776483,2225601.650000000372529,2231689.120000000111759,2102680.690000000409782,2092139.320000000065193,10841840.290000000968575
20160819,2206636.100000000093132,2216157.860000000335276,2232464.000000000000000,2099554.580000000074506,2090620.540000000037253,10845433.080000001937151
20160822,2214150.140000000130385,2222803.490000000223517,2234401.200000000186265,2088492.959999999962747,2094417.489999999757856,10854265.280000001192093
20160823,2216654.819999999832362,2223852.799999999813735,2242924.880000000353903,2101718.810000000521541,2085304.809999999823049,10870456.120000001043081
20160824,2201000.569999999832362,2194122.349999999627471,2245249.520000000484288,2099554.580000000074506,2062269.979999999748543,10802197.000000000000000
20160825,2197243.550000000279397,2179781.780000000260770,2253773.200000000186265,2113742.310000000521541,2029616.209999999962747,10774157.050000000745058
20160826,2207888.439999999944121,2198319.589999999850988,2248349.040000000037253,2106047.269999999552965,2009618.939999999944121,10770223.279999999329448
20160829,2226047.369999999646097,2203915.910000000149012,2251061.120000000111759,2123361.110000000335276,2033919.419999999692664,10838304.929999999701977
20160830,2235439.920000000391155,2193422.809999999590218,2242924.880000000353903,2105085.390000000596046,2038222.629999999888241,10815095.630000002682209
20160831,2247337.149999999906868,2196220.969999999739230,2226264.960000000428408,2099554.580000000074506,2043032.099999999627471,10812409.759999999776483
20160901,2255477.360000000335276,2200068.439999999478459,2231301.680000000167638,2123601.580000000074506,2064041.890000000130385,10874490.950000001117587
20160902,2259234.379999999888241,2202866.599999999627471,2234401.200000000186265,2120956.410000000149012,2081254.729999999748543,10898713.320000000298023
20160906,2289916.709999999962747,2211960.620000000111759,2232076.560000000055879,2131537.089999999850988,2066573.189999999944121,10932064.169999999925494
20160907,2283028.839999999850988,2199019.129999999888241,2234013.760000000242144,2114944.660000000149012,2097961.309999999590218,10928967.699999999254942
20160908,2281776.500000000000000,2211960.620000000111759,2225102.640000000130385,2110856.669999999925494,2143271.580000000074506,10972968.009999999776483
20160909,2219159.500000000000000,2185727.870000000111759,2177834.960000000428408,2073824.289999999804422,2098973.830000000074506,10755520.449999999254942
