訓練日期,20170517 - 20170817
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11174187.380000000819564
真實報酬,1174187.380000000819564

夏普值報酬,0.108718738000000
夏普值風險,0.036396559644546
夏普值,2.987060839314533

預期報酬,20832.906282709653169
風險,52584.101636218169006
趨勢值,0.396182603381411
找到最佳解世代,2285
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](1),BA[2](3),JNJ[12](13),JPM[13](8),MCD[15](5),NKE[19](7),PG[21](11),V[25](6),
Stock#,AXP[1](1),BA[2](3),JNJ[12](13),JPM[13](8),MCD[15](5),NKE[19](7),PG[21](11),V[25](6),
張數,16367,6991,9868,14833,8537,24131,14491,13622,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,52.209999999962747,149.020000000018626,20.439999999944121,23.090000000083819,97.830000000074506,14.199999999953434,6.339999999850988,45.280000000027940,
20170517,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
20170518,1250163.669999999925494,1240352.420000000158325,1252960.399999999906868,1245401.770000000018626,1255122.199999999953434,1247104.280000000027940,1244348.510000000009313,1249318.899999999906868,9984772.150000000372529
20170519,1257037.809999999823049,1263842.179999999934807,1253256.439999999944121,1257564.830000000074506,1264854.380000000121072,1249276.070000000065193,1249710.179999999701977,1259807.840000000083819,10055349.730000000447035
20170522,1259983.870000000111759,1284185.989999999990687,1255822.119999999878928,1256378.190000000176951,1265195.860000000102445,1244449.869999999878928,1249275.449999999720603,1271114.100000000093132,10086405.450000001117587
20170523,1263584.610000000102445,1282927.610000000102445,1258387.799999999813735,1272101.170000000158325,1262037.169999999925494,1259652.399999999906868,1247391.619999999878928,1278606.199999999953434,10124688.579999998211861
20170524,1262275.250000000000000,1295231.770000000018626,1258289.119999999878928,1271359.520000000018626,1276379.330000000074506,1255067.510000000009313,1253477.839999999850988,1291547.100000000093132,10163627.439999999478459
20170525,1267512.689999999944121,1307955.389999999897555,1258486.479999999981374,1266019.639999999897555,1278769.690000000176951,1263272.050000000046566,1258694.599999999860302,1294680.160000000149012,10195390.700000001117587
20170526,1267840.029999999795109,1304599.709999999962747,1252467.000000000000000,1266167.969999999972060,1279452.650000000139698,1269063.489999999990687,1264346.089999999850988,1289640.020000000018626,10193576.960000000894070
20170530,1261784.239999999990687,1306627.100000000093132,1254341.919999999925494,1244511.790000000270084,1280050.240000000223517,1277026.719999999972060,1266519.739999999990687,1290321.120000000111759,10181182.870000001043081
