訓練日期,20161102 - 20170206
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11749195.779999999329448
真實報酬,1749195.779999999329448

夏普值報酬,0.166219578000000
夏普值風險,0.045358828615571
夏普值,3.664547411679369

預期報酬,26102.516125767353515
風險,89563.842820235950057
趨勢值,0.291440332435912
找到最佳解世代,2911
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
AAPL[0](19),BA[2](2),DIS[6](1),
Stock#,AAPL[0](19),BA[2](2),DIS[6](1),
張數,29871,23682,36267,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,28.109999999869615,91.500000000000000,33.030000000260770,
20161102,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20161103,3280760.040000000037253,3316045.140000000130385,3386282.820000000298023,9983089.000000000000000
20161104,3251187.750000000000000,3304677.779999999795109,3352917.180000000167638,9908783.709999999031425
20161107,3298085.219999999739230,3387327.959999999962747,3424725.840000000316650,10110140.019999999552965
20161108,3317501.370000000111759,3367671.899999999906868,3422912.490000000223517,10108086.759999999776483
20161109,3312124.589999999850988,3436112.879999999888241,3432341.910000000149012,10180580.379999998956919
20161110,3219823.200000000186265,3497686.080000000074506,3443947.350000000093132,10161457.630000000819564
20161111,3238940.640000000130385,3517342.140000000130385,3542593.590000000316650,10298877.370000001043081
20161114,3157691.519999999552965,3552154.680000000167638,3551297.670000000391155,10261144.869999999180436
20161115,3199510.919999999925494,3507632.520000000484288,3543318.930000000167638,10250463.370000001043081
20161116,3285539.399999999906868,3468083.580000000074506,3594818.070000000298023,10348442.050000000745058
20161117,3284344.560000000055879,3441796.560000000521541,3603884.820000000298023,10330026.940000001341105
20161118,3287630.370000000111759,3465952.199999999720603,3562903.109999999869615,10316486.679999999701977
20161121,3337514.939999999944121,3481819.140000000130385,3540780.240000000223517,10360115.320000000298023
