代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14346831.889999998733401
真實報酬,4346831.889999998733401

夏普值報酬,0.425983189000000
夏普值風險,0.099463909014425
夏普值,4.282791549427450

預期報酬,17441.307428970223555
風險,200977.618402266729390
趨勢值,0.086782337096166
找到最佳解世代,2174
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](19),BA[2](1),DD[7](7),MRK[17](13),UNH[23](10),V[25](4),
Stock#,AAPL[0](19),BA[2](1),DD[7](7),MRK[17](13),UNH[23](10),V[25](4),
張數,26429,21673,36897,39004,31181,42023,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,53.260000000009313,12.299999999813735,28.510000000009313,25.080000000074506,41.549999999813735,33.820000000065193,
20130301,1625436.760000000009313,1674901.739999999757856,1671462.609999999869615,1662765.600000000093132,1668848.669999999925494,1660782.780000000260770,9964202.160000000149012
20130304,1586057.550000000046566,1670783.869999999878928,1677366.130000000121072,1690458.440000000176951,1662612.469999999739230,1675911.060000000288710,9963193.519999999552965
20130305,1627815.370000000111759,1704810.479999999748543,1692124.929999999934807,1686948.080000000074506,1668225.049999999813735,1683895.430000000167638,10063823.339999999850988
20130306,1607200.750000000000000,1713913.139999999664724,1718690.770000000018626,1703719.800000000046566,1671654.959999999729916,1692300.030000000260770,10107483.449999999254942
20130307,1625701.050000000046566,1756608.949999999720603,1707621.670000000158325,1687728.160000000149012,1677579.349999999627471,1686416.810000000288710,10141659.990000000223517
20130308,1629929.689999999944121,1760510.089999999850988,1722011.500000000000000,1676026.959999999962747,1677891.159999999916181,1688097.730000000214204,10154471.129999998956919
20130311,1653187.209999999962747,1797570.919999999692664,1733449.569999999832362,1702939.719999999972060,1690363.559999999823049,1693560.719999999972060,10271075.699999999254942
20130312,1617508.060000000055879,1824011.979999999748543,1746732.490000000223517,1756765.239999999990687,1709695.779999999795109,1678852.670000000158325,10333570.220000000670552
20130313,1617243.770000000018626,1836799.049999999813735,1744887.639999999897555,1739213.440000000176951,1698782.429999999701977,1674230.140000000130385,10311160.470000000670552
20130314,1633101.169999999925494,1833981.559999999823049,1769239.660000000149012,1726732.160000000149012,1706577.679999999701977,1688097.730000000214204,10357733.960000000894070
