代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12753829.739999998360872
真實報酬,2753829.739999998360872

夏普值報酬,0.266682974000000
夏普值風險,0.070946211590554
夏普值,3.758945939764671

預期報酬,10778.139750787626326
風險,146627.267081676982343
趨勢值,0.073507062944737
找到最佳解世代,1158
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CVX[5](20),INTC[11](9),MSFT[18](1),UNH[23](3),V[25](11),
Stock#,AAPL[0](2),CVX[5](20),INTC[11](9),MSFT[18](1),UNH[23](3),V[25](11),
張數,17779,16311,55041,33420,12656,21577,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,62.540000000037253,8.019999999785796,24.520000000018626,10.600000000093132,123.919999999925494,58.520000000018626,
20160502,1664888.100000000093132,1685097.429999999934807,1684829.530000000027940,1691396.800000000046566,1671981.519999999785796,1692989.939999999944121,10091187.320000000298023
20160503,1692267.760000000242144,1652638.539999999571592,1671069.280000000027940,1663658.200000000186265,1676537.679999999934807,1665587.149999999906868,10021762.609999999403954
20160504,1674666.550000000046566,1640731.509999999776483,1642998.370000000111759,1666666.000000000000000,1671095.599999999860302,1665587.149999999906868,9961749.179999999701977
20160505,1657776.500000000000000,1654269.639999999897555,1645750.419999999925494,1669005.399999999906868,1674639.280000000027940,1669255.239999999990687,9970700.479999998584390
20160506,1648531.419999999925494,1661446.479999999748543,1653456.159999999916181,1684044.400000000139698,1671222.159999999916181,1677022.959999999962747,9995727.580000000074506
20160509,1649775.950000000186265,1636816.869999999646097,1640246.320000000065193,1673350.000000000000000,1679195.439999999711290,1687811.459999999962747,9967200.039999999105930
20160510,1660976.719999999972060,1651822.989999999757856,1658960.260000000009313,1705099.000000000232831,1690585.839999999850988,1708956.920000000158325,10076405.730000000447035
20160511,1644797.830000000074506,1649702.559999999823049,1654556.979999999981374,1706101.600000000093132,1654136.559999999823049,1667960.619999999878928,9977260.149999998509884
20160512,1606217.400000000139698,1665687.339999999850988,1638044.680000000167638,1721474.800000000046566,1642113.360000000102445,1680691.050000000046566,9954232.630000000819564
20160513,1609417.619999999878928,1643178.159999999683350,1646300.830000000074506,1707104.199999999953434,1632747.919999999925494,1657819.429999999934807,9896572.160000000149012
20160516,1669155.060000000055879,1668460.209999999962747,1672720.510000000009313,1732169.199999999953434,1653503.759999999776483,1678749.119999999878928,10074761.859999999403954
20160517,1662221.250000000000000,1643341.269999999785796,1650153.699999999953434,1688054.800000000046566,1639835.280000000027940,1656956.350000000093132,9940566.650000000372529
20160518,1681244.780000000027940,1632086.679999999934807,1650704.109999999869615,1698080.800000000279397,1651858.479999999748543,1670765.630000000121072,9984744.480000000447035
20160519,1674844.340000000083819,1628661.369999999646097,1630889.349999999860302,1681705.000000000000000,1645403.919999999925494,1658898.280000000027940,9920406.259999999776483
20160520,1692978.919999999925494,1627682.709999999962747,1659510.669999999925494,1691731.000000000000000,1657300.559999999823049,1675944.110000000102445,10005151.969999998807907
20160523,1714491.510000000242144,1620995.199999999720603,1663913.949999999953434,1672013.200000000186265,1650719.439999999711290,1666018.689999999944121,9988155.990000000223517
20160524,1740626.640000000130385,1634207.109999999636784,1709597.979999999981374,1724148.400000000139698,1678182.959999999962747,1712840.780000000027940,10199607.869999999180436
20160525,1771206.520000000018626,1659978.489999999757856,1727761.510000000009313,1741861.000000000000000,1688687.439999999711290,1705936.140000000130385,10295435.099999999627471
20160526,1785251.929999999934807,1655574.519999999785796,1733265.609999999869615,1734174.400000000139698,1683118.799999999813735,1704641.520000000018626,10296030.779999999329448
20160527,1784185.189999999944121,1664056.239999999757856,1737668.890000000130385,1748545.000000000000000,1696027.919999999925494,1718882.339999999850988,10349369.580000000074506
20160531,1775473.479999999981374,1647419.019999999785796,1738769.709999999962747,1771270.600000000093132,1691851.439999999711290,1703346.899999999906868,10328135.150000000372529
20160601,1750582.879999999888241,1649539.449999999720603,1742622.580000000074506,1766257.600000000093132,1702735.599999999860302,1709388.459999999962747,10321130.570000000298023
20160602,1737426.419999999925494,1639752.849999999860302,1748126.680000000167638,1753892.199999999953434,1721846.159999999916181,1725139.670000000158325,10326187.979999998584390
20160603,1740982.219999999972060,1641873.279999999795109,1740420.940000000176951,1730832.400000000139698,1731970.959999999962747,1724923.899999999906868,10311007.700000001117587
20160606,1753605.310000000055879,1650191.889999999897555,1743723.399999999906868,1742195.200000000186265,1748550.320000000065193,1737870.100000000093132,10376140.219999998807907
20160607,1760716.910000000149012,1685260.539999999571592,1754731.599999999860302,1741192.600000000093132,1733236.559999999823049,1739164.719999999972060,10414306.930000001564622
20160608,1759116.800000000046566,1681509.009999999776483,1755282.010000000009313,1739187.400000000139698,1777026.320000000065193,1761820.570000000065193,10473946.109999999403954
20160609,1771739.890000000130385,1676941.929999999934807,1758034.060000000055879,1725151.000000000000000,1780570.000000000000000,1753405.540000000037253,10465846.420000001788139
20160610,1757161.110000000102445,1663403.799999999813735,1763538.159999999916181,1720472.199999999953434,1762345.360000000102445,1730102.380000000121072,10397027.010000001639128
20160613,1730670.400000000139698,1665361.119999999646097,1770693.490000000223517,1675689.400000000139698,1747790.959999999962747,1691695.320000000065193,10281904.690000001341105
20160614,1732803.879999999888241,1651986.099999999860302,1769042.260000000009313,1665329.199999999953434,1745006.639999999897555,1695363.409999999916181,10259535.490000000223517
20160615,1727114.600000000093132,1641383.949999999720603,1739870.530000000027940,1660650.399999999906868,1737286.479999999748543,1686732.610000000102445,10193042.570000000298023
20160616,1734403.989999999990687,1648560.789999999571592,1744273.810000000055879,1684044.400000000139698,1755004.879999999888241,1690616.469999999972060,10256908.340000001713634
20160617,1694934.610000000102445,1656716.289999999571592,1748126.680000000167638,1675355.200000000186265,1742728.559999999823049,1661271.750000000000000,10179137.089999999850988
20160620,1690845.439999999944121,1673679.729999999748543,1770693.490000000223517,1673350.000000000000000,1753233.040000000037253,1668823.700000000186265,10230629.399999998509884
20160621,1705246.429999999934807,1683955.659999999683350,1778949.640000000130385,1710780.399999999906868,1749056.559999999823049,1668607.929999999934807,10296600.620000001043081
20160622,1698845.989999999990687,1668460.209999999962747,1777298.409999999916181,1704096.400000000139698,1745386.320000000065193,1651346.330000000074506,10245437.660000000149012
20160623,1708624.439999999944121,1703528.859999999636784,1815827.110000000102445,1734842.800000000046566,1761712.559999999823049,1688027.230000000214204,10412567.000000000000000
20160624,1660621.140000000130385,1662098.919999999925494,1736568.070000000065193,1665329.199999999953434,1737666.159999999916181,1619412.369999999878928,10081699.859999999403954
20160627,1636441.700000000186265,1636979.979999999748543,1690884.040000000037253,1618541.200000000186265,1735388.080000000074506,1582515.700000000186265,9900754.699999999254942
20160628,1663999.150000000139698,1657694.949999999720603,1716753.310000000055879,1652295.399999999906868,1755637.679999999934807,1621785.839999999850988,10068170.330000000074506
20160629,1678400.140000000130385,1686891.639999999897555,1757483.649999999906868,1689057.400000000139698,1778545.040000000037253,1655877.500000000000000,10246259.370000001043081
20160630,1699734.939999999944121,1709890.149999999674037,1805369.319999999832362,1710112.000000000232831,1787151.119999999878928,1600424.610000000102445,10312686.139999998733401
20160701,1704890.850000000093132,1698798.669999999925494,1802617.270000000018626,1709777.800000000046566,1782848.080000000074506,1607113.480000000214204,10306050.150000000372529
20160705,1688889.750000000000000,1689338.289999999571592,1798764.399999999906868,1710112.000000000232831,1791707.280000000027940,1611213.110000000102445,10290028.829999998211861
20160706,1698490.410000000149012,1705812.399999999674037,1814726.290000000037253,1717130.200000000186265,1802085.199999999953434,1598051.140000000130385,10336299.640000000596046
20160707,1705779.800000000046566,1680856.569999999832362,1827385.720000000204891,1717130.200000000186265,1782088.719999999972060,1598051.140000000130385,10311296.150000000372529
20160708,1718936.260000000242144,1708911.489999999757856,1871418.520000000018626,1747876.600000000093132,1788037.040000000037253,1648972.860000000102445,10484156.769999999552965
20160711,1724269.960000000195578,1719024.309999999823049,1892334.100000000093132,1757568.400000000139698,1776013.839999999850988,1651130.559999999823049,10520345.169999999925494
20160712,1732092.719999999972060,1741696.599999999860302,1923157.059999999823049,1778288.800000000046566,1770192.080000000074506,1671844.480000000214204,10617275.740000000223517
20160713,1722314.270000000018626,1739576.169999999925494,1927009.929999999934807,1788314.800000000046566,1790694.799999999813735,1671412.939999999944121,10639326.909999998286366
20160714,1756449.950000000186265,1740391.719999999739230,1937467.720000000204891,1796001.400000000139698,1782594.959999999962747,1686085.300000000046566,10698995.050000000745058
20160715,1756272.160000000149012,1745774.349999999860302,1930312.390000000130385,1794664.600000000093132,1788796.400000000139698,1689537.619999999878928,10705361.519999999552965
20160718,1774940.110000000102445,1730442.009999999776483,1929211.569999999832362,1803353.800000000046566,1781455.919999999925494,1689753.390000000130385,10709160.800000000745058
20160719,1775651.270000000018626,1729626.459999999962747,1934715.669999999925494,1774278.400000000139698,1804742.959999999962747,1698599.959999999962747,10717618.720000002533197
20160720,1777251.379999999888241,1722286.509999999776483,1964437.809999999823049,1868522.800000000046566,1810185.040000000037253,1712409.239999999990687,10855096.779999999329448
20160721,1767828.510000000242144,1719024.309999999823049,1886279.590000000083819,1864846.600000000093132,1808286.639999999897555,1700110.350000000093132,10746380.000000000000000
20160722,1754138.679999999934807,1723428.279999999795109,1907745.579999999841675,1890580.000000000000000,1818664.559999999823049,1724276.589999999850988,10818837.689999999478459
20160725,1730670.400000000139698,1681182.789999999571592,1909396.809999999823049,1895927.199999999953434,1793858.799999999813735,1703346.899999999906868,10714386.900000000372529
20160726,1718758.469999999972060,1674821.500000000000000,1931413.210000000195578,1896929.800000000046566,1793479.119999999878928,1693637.250000000000000,10709043.349999999627471
20160727,1830410.590000000083819,1667970.879999999888241,1917102.549999999813735,1877880.399999999906868,1793226.000000000000000,1694500.330000000074506,10781094.750000000000000
20160728,1855123.400000000139698,1660304.709999999962747,1913800.090000000083819,1878548.800000000046566,1806894.479999999748543,1708741.149999999906868,10823416.630000000819564
20160729,1852812.129999999888241,1671559.299999999813735,1918753.780000000027940,1894256.200000000186265,1812463.119999999878928,1684143.369999999878928,10833991.899999998509884
20160801,1885525.489999999990687,1616591.229999999748543,1918203.370000000111759,1890914.199999999953434,1816386.479999999748543,1688674.540000000037253,10816299.309999998658895
20160802,1857612.460000000195578,1624420.509999999776483,1902241.480000000214204,1890914.199999999953434,1812083.439999999711290,1689106.080000000074506,10776382.169999999925494
20160803,1880902.950000000186265,1641057.729999999748543,1885178.770000000018626,1903948.000000000000000,1808413.199999999953434,1698384.189999999944121,10817888.839999997988343
20160804,1882325.270000000018626,1637469.309999999823049,1903342.299999999813735,1917984.400000000139698,1806261.679999999934807,1714998.480000000214204,10862385.440000001341105
20160805,1910949.460000000195578,1639426.629999999888241,1925358.699999999953434,1937033.800000000046566,1809805.360000000102445,1729239.300000000046566,10951817.250000000000000
20160808,1926772.770000000018626,1650681.219999999739230,1928661.159999999916181,1940375.800000000279397,1798921.199999999953434,1725139.670000000158325,10970555.819999998435378
20160809,1934595.530000000027940,1652638.539999999571592,1922056.240000000223517,1945054.600000000093132,1794997.839999999850988,1727513.140000000130385,10976859.890000000596046
20160810,1920194.540000000037253,1633391.559999999823049,1900590.250000000000000,1939039.000000000232831,1799680.559999999823049,1719313.880000000121072,10912213.790000000968575
20160811,1918950.010000000242144,1653943.419999999925494,1908846.399999999906868,1948396.600000000093132,1805249.199999999953434,1728807.760000000009313,10964197.389999998733401
20160812,1923394.760000000242144,1666339.779999999795109,1902791.890000000130385,1936365.399999999906868,1808413.199999999953434,1726650.059999999823049,10963959.089999999850988
20160815,1946507.460000000195578,1676289.489999999757856,1921505.829999999841675,1942381.000000000000000,1792466.639999999897555,1745853.589999999850988,11025008.009999999776483
20160816,1944729.560000000055879,1673842.839999999850988,1938018.130000000121072,1919655.399999999906868,1785632.400000000139698,1743695.890000000130385,11005578.220000000670552
20160817,1941884.919999999925494,1667318.439999999711290,1927560.340000000083819,1923665.800000000279397,1793605.679999999934807,1744343.200000000186265,10998382.379999998956919
20160818,1939395.860000000102445,1689012.069999999832362,1924808.290000000037253,1925002.600000000093132,1799427.439999999711290,1732044.309999999823049,11009694.570000000298023
20160819,1944373.979999999981374,1668949.539999999571592,1939669.360000000102445,1925671.000000000000000,1797782.159999999916181,1736359.709999999962747,11012809.750000000000000
20160822,1929261.830000000074506,1662751.359999999636784,1946274.280000000027940,1927342.000000000232831,1798414.959999999962747,1749090.140000000130385,11013138.570000000298023
20160823,1935306.689999999944121,1658510.500000000000000,1948475.919999999925494,1934694.400000000139698,1797402.479999999748543,1743480.119999999878928,11017874.109999999403954
20160824,1920727.910000000149012,1666992.219999999739230,1934715.669999999925494,1936699.600000000093132,1770318.639999999897555,1732475.850000000093132,10961933.890000000596046
20160825,1912549.569999999832362,1661935.809999999823049,1931413.210000000195578,1944052.000000000232831,1737792.719999999972060,1733123.159999999916181,10920870.470000000670552
20160826,1901348.800000000046566,1652638.539999999571592,1940770.179999999934807,1939373.200000000186265,1729186.639999999897555,1738517.409999999916181,10901838.769999999552965
20160829,1899215.319999999832362,1664545.569999999832362,1956732.069999999832362,1941712.600000000093132,1737413.040000000037253,1744990.510000000009313,10944613.109999997541308
20160830,1884636.540000000037253,1658836.719999999739230,1964988.220000000204891,1934694.400000000139698,1732350.639999999897555,1751463.610000000102445,10926974.130000000819564
20160831,1886414.439999999944121,1640568.399999999674037,1975446.010000000009313,1920323.800000000046566,1721972.719999999972060,1745637.820000000065193,10890367.189999999478459
20160901,1897615.210000000195578,1634533.329999999608845,1982601.340000000083819,1924668.400000000139698,1718049.360000000102445,1754268.619999999878928,10911740.259999999776483
20160902,1915394.210000000195578,1646277.250000000000000,1985903.799999999813735,1927342.000000000232831,1729060.080000000074506,1769372.520000000018626,10973353.859999999403954
20160906,1914860.840000000083819,1670743.750000000000000,2012873.890000000130385,1925336.800000000046566,1720960.239999999990687,1780808.330000000074506,11025587.849999999627471
20160907,1926594.979999999981374,1678083.699999999720603,2006819.380000000121072,1927007.800000000046566,1708557.360000000102445,1796128.000000000000000,11043195.219999998807907
20160908,1876102.619999999878928,1698309.339999999850988,2005718.559999999823049,1919321.200000000186265,1714252.559999999823049,1790302.209999999962747,11004010.489999998360872
