代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13246447.609999997541308
真實報酬,3246447.609999997541308

夏普值報酬,0.315944761000000
夏普值風險,0.077680464877707
夏普值,4.067235713604357

預期報酬,11800.266177763620362
風險,249613.817872401705245
趨勢值,0.047274090346215
找到最佳解世代,1525
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](9),CAT[3](8),DIS[6](1),DD[7](6),INTC[11](2),MRK[17](4),NKE[19](21),UNH[23](7),
Stock#,AAPL[0](9),CAT[3](8),DIS[6](1),DD[7](6),INTC[11](2),MRK[17](4),NKE[19](21),UNH[23](7),
張數,15735,14775,17720,22469,52432,25085,31589,16783,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,11.600000000093132,35.000000000000000,31.199999999953434,49.530000000027940,21.120000000111759,14.449999999953434,23.270000000018626,2.159999999916181,
20131202,1239142.850000000093132,1244828.750000000000000,1256556.399999999906868,1279434.389999999897555,1242659.520000000018626,1258779.750000000000000,1249368.219999999972060,1244629.439999999944121,10015399.320000000298023
20131203,1272973.100000000093132,1239214.250000000000000,1238659.199999999953434,1238990.189999999944121,1234794.720000000204891,1248244.049999999813735,1250000.000000000000000,1237412.750000000000000,9960288.260000001639128
20131204,1269983.449999999953434,1240691.750000000000000,1239899.599999999860302,1244382.750000000000000,1244756.800000000046566,1236955.800000000046566,1244945.760000000009313,1236070.110000000102445,9957686.019999999552965
20131205,1276592.149999999906868,1247192.750000000000000,1244506.800000000046566,1235395.149999999906868,1272021.440000000176951,1224413.300000000046566,1247156.989999999990687,1220965.409999999916181,9968243.990000000223517
20131206,1258811.600000000093132,1263297.500000000000000,1266302.399999999906868,1256516.010000000009313,1301383.360000000102445,1238962.599999999860302,1261372.040000000037253,1233552.659999999916181,10080198.169999999925494
20131209,1273287.800000000046566,1272014.750000000000000,1260100.399999999906868,1305498.430000000167638,1307150.880000000121072,1243227.050000000046566,1260108.479999999981374,1237244.919999999925494,10158632.709999999031425
20131210,1271242.250000000232831,1276890.500000000000000,1268251.599999999860302,1336955.030000000027940,1301383.360000000102445,1239966.000000000000000,1251263.560000000055879,1242783.309999999823049,10188735.610000001266599
20131211,1261801.250000000000000,1260047.000000000000000,1249645.599999999860302,1313587.270000000018626,1280410.560000000288710,1227925.199999999953434,1213672.650000000139698,1210727.780000000027940,10017817.309999998658895
20131212,1260070.400000000139698,1264331.750000000000000,1233874.799999999813735,1304374.979999999981374,1283032.160000000149012,1212121.649999999906868,1204195.949999999953434,1191762.989999999990687,9953764.679999999701977
20131213,1246223.600000000093132,1271423.750000000000000,1233697.600000000093132,1328641.500000000000000,1273594.400000000139698,1213626.750000000000000,1206723.070000000065193,1182868.000000000000000,9956798.669999999925494
20131216,1253147.000000000000000,1291074.500000000000000,1249468.400000000139698,1331113.090000000083819,1281983.520000000018626,1206352.100000000093132,1207354.850000000093132,1192602.139999999897555,10013095.599999999627471
20131217,1247482.400000000139698,1284278.000000000000000,1252126.399999999906868,1350436.430000000167638,1292994.240000000223517,1201585.949999999953434,1212409.090000000083819,1187063.750000000000000,10028376.260000001639128
20131218,1238041.400000000139698,1302746.750000000000000,1279415.199999999953434,1392228.770000000018626,1318685.919999999925494,1226670.949999999953434,1240839.189999999944121,1214755.699999999953434,10213383.880000000819564
20131219,1223879.900000000139698,1293438.500000000000000,1293059.599999999860302,1404811.410000000149012,1318161.600000000093132,1223911.599999999860302,1236100.840000000083819,1214923.530000000027940,10208286.979999998584390
20131220,1234107.650000000139698,1313975.750000000000000,1282959.199999999953434,1400991.680000000167638,1313967.040000000037253,1237206.649999999906868,1221569.900000000139698,1231035.209999999729916,10235813.080000000074506
20131223,1281470.000000000000000,1329194.000000000000000,1298552.800000000046566,1404137.340000000083819,1327599.360000000102445,1238210.050000000046566,1218095.110000000102445,1247818.209999999729916,10345076.869999999180436
20131224,1276120.100000000093132,1343230.250000000000000,1308653.199999999953434,1421438.469999999972060,1333366.880000000121072,1239464.299999999813735,1226624.139999999897555,1244125.949999999953434,10393023.289999999105930
20131226,1267623.200000000186265,1346776.250000000000000,1322297.600000000093132,1435369.250000000000000,1347523.520000000018626,1247240.649999999906868,1235153.170000000158325,1256209.709999999729916,10458193.349999999627471
20131227,1258968.950000000186265,1342639.250000000000000,1317513.199999999953434,1427055.719999999972060,1342280.320000000298023,1248996.599999999860302,1234521.389999999897555,1253524.429999999934807,10425499.859999999403954
20131230,1246538.300000000046566,1342639.250000000000000,1350826.800000000046566,1427055.719999999972060,1355388.320000000298023,1252759.349999999860302,1243682.199999999953434,1255034.899999999906868,10473924.839999999850988
20131231,1261171.850000000093132,1341752.750000000000000,1353839.199999999953434,1420764.399999999906868,1361155.840000000083819,1255518.699999999953434,1242102.750000000000000,1263762.059999999823049,10500067.549999998882413
20140102,1243391.300000000046566,1327864.250000000000000,1351535.599999999860302,1403687.959999999962747,1352242.400000000139698,1241471.100000000093132,1235784.949999999953434,1251510.469999999739230,10407488.029999997466803
20140103,1216012.400000000139698,1327125.500000000000000,1348700.399999999906868,1397396.639999999897555,1351718.080000000074506,1247491.499999999767169,1232626.050000000046566,1260405.459999999729916,10381476.029999999329448
20140106,1222621.100000000093132,1309691.000000000000000,1343561.599999999860302,1394925.050000000046566,1334939.840000000083819,1247742.350000000093132,1223149.350000000093132,1245972.079999999841675,10322602.369999999180436
20140107,1213966.850000000093132,1313975.750000000000000,1352776.000000000000000,1379421.439999999944121,1341756.000000000000000,1257023.800000000046566,1223781.130000000121072,1284069.489999999990687,10366770.460000000894070
20140108,1221677.000000000000000,1317078.500000000000000,1332929.599999999860302,1380994.270000000018626,1333366.880000000121072,1248996.599999999860302,1217779.219999999972060,1269132.619999999878928,10321954.689999997615814
20140109,1206099.350000000093132,1325500.250000000000000,1327259.199999999953434,1363243.760000000009313,1327075.040000000037253,1242223.650000000139698,1217779.219999999972060,1276852.799999999813735,10286033.269999999552965
20140110,1197917.149999999906868,1337320.250000000000000,1335942.000000000000000,1366614.110000000102445,1338610.080000000074506,1251254.250000000000000,1214936.209999999962747,1253692.260000000009313,10296286.310000000521541
