代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13187885.980000000447035
真實報酬,3187885.980000000447035

夏普值報酬,0.310088598000000
夏普值風險,0.071756031394026
夏普值,4.321429041933014

預期報酬,12254.558125419991484
風險,273020.499942469468806
趨勢值,0.044885120816943
找到最佳解世代,3362
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
HD[9](4),NKE[19](1),
Stock#,HD[9](4),NKE[19](1),
張數,54501,112107,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,78.260000000707805,27.799999999813735,
20141001,4960759.280000000260770,4915919.750000000000000,9876679.030000001192093
20141002,5027250.500000000000000,5005605.349999999627471,10032855.849999999627471
20141003,5098101.800000000745058,5061658.849999999627471,10159760.650000000372529
20141006,5082841.520000001415610,5001121.069999999366701,10083962.589999999850988
20141007,5039785.730000000447035,4937220.080000000074506,9977005.810000000521541
20141008,5128077.350000000558794,4979820.740000000223517,10107898.089999999850988
20141009,5072486.330000000074506,4890135.139999999664724,9962621.469999998807907
20141010,5044145.810000000521541,4887893.000000000000000,9932038.810000000521541
20141013,4937868.860000000335276,4786996.700000000186265,9724865.560000000521541
20141014,4910618.360000000335276,4770180.649999999441206,9680799.009999999776483
20141015,4787991.110000000335276,4774664.930000000633299,9562656.040000000968575
20141016,4844127.140000000596046,4878924.440000000409782,9723051.580000001937151
20141017,4918248.500000000000000,4886771.930000000633299,9805020.429999999701977
20141020,5005995.110000000335276,4983183.950000000186265,9989179.060000000521541
20141021,5134072.460000000894070,5080717.040000000037253,10214789.500000000000000
20141022,5087201.600000000558794,5036995.309999999590218,10124196.910000000149012
20141023,5166773.060000000521541,5066143.129999999888241,10232916.190000001341105
20141024,5177128.250000000000000,5095290.950000000186265,10272419.199999999254942
20141027,5203288.730000000447035,5136770.540000000037253,10340059.269999999552965
20141028,5264329.850000000558794,5182734.409999999217689,10447064.259999999776483
20141029,5255064.680000000633299,5154707.659999999217689,10409772.339999999850988
20141030,5315015.780000000260770,5213003.299999999813735,10528019.080000000074506
20141031,5315015.780000000260770,5211882.230000000447035,10526898.010000001639128
20141103,5237079.350000000558794,5238787.909999999217689,10475867.259999999776483
20141104,5229994.220000000670552,5266814.659999999217689,10496808.879999998956919
20141105,5220184.040000000968575,5307173.180000000633299,10527357.220000002533197
20141106,5302480.550000000745058,5302688.899999999441206,10605169.449999999254942
20141107,5322100.910000001080334,5256725.030000000260770,10578825.940000001341105
20141110,5349896.420000000856817,5322868.159999999217689,10672764.580000000074506
20141111,5348806.400000000372529,5318383.879999999888241,10667190.280000001192093
20141112,5367881.750000000000000,5371074.169999998994172,10738955.919999998062849
20141113,5395677.260000000707805,5387890.219999999739230,10783567.480000000447035
20141114,5354256.500000000000000,5353137.049999999813735,10707393.550000000745058
20141117,5342811.290000000968575,5384527.009999999776483,10727338.300000000745058
20141118,5231084.240000001154840,5408069.480000000447035,10639153.720000002533197
20141119,5270324.960000000894070,5434975.159999999217689,10705300.120000001043081
20141120,5317740.830000000074506,5454033.349999999627471,10771774.179999999701977
20141121,5356436.540000000968575,5460759.769999999552965,10817196.310000000521541
20141124,5362976.660000001080334,5491028.659999999217689,10854005.320000000298023
20141125,5287220.270000001415610,5454033.349999999627471,10741253.620000001043081
20141126,5324825.960000000894070,5482060.099999999627471,10806886.060000000521541
20141128,5417477.660000001080334,5566140.349999999627471,10983618.010000001639128
20141201,5389137.140000000596046,5476454.750000000000000,10865591.890000000596046
20141202,5349896.420000000856817,5495512.940000000409782,10845409.360000001266599
20141203,5373331.850000000558794,5521297.549999999813735,10894629.400000000372529
20141204,5392952.210000000894070,5552687.509999999776483,10945639.720000000670552
20141205,5430557.900000000372529,5568382.490000000223517,10998940.390000000596046
20141208,5473613.690000001341105,5477575.819999999366701,10951189.510000001639128
20141209,5430557.900000000372529,5439459.440000000409782,10870017.339999999850988
20141210,5392407.200000000186265,5474212.609999999403954,10866619.809999998658895
20141211,5464893.530000000260770,5433854.089999999850988,10898747.620000001043081
20141212,5438188.040000000968575,5391253.430000000633299,10829441.470000002533197
20141215,5452903.310000000521541,5349773.839999999850988,10802677.150000000372529
20141216,5289945.320000001229346,5225335.069999999366701,10515280.390000000596046
20141217,5392407.200000000186265,5297083.549999999813735,10689490.750000000000000
20141218,5486693.930000000633299,5441701.580000000074506,10928395.510000001639128
20141219,5555365.190000001341105,5316141.740000000223517,10871506.930000001564622
20141222,5640931.760000000707805,5377800.589999999850988,11018732.350000001490116
20141223,5655102.020000001415610,5380042.730000000447035,11035144.750000001862645
20141224,5644201.820000001229346,5397979.849999999627471,11042181.670000001788139
20141226,5654557.010000000707805,5428248.740000000223517,11082805.750000000000000
20141229,5697067.790000000968575,5454033.349999999627471,11151101.140000000596046
20141230,5682897.530000000260770,5430490.879999999888241,11113388.410000000149012
20141231,5721048.230000000447035,5390132.359999999403954,11111180.589999999850988
20150102,5637116.690000001341105,5327352.440000000409782,10964469.130000002682209
20150105,5518849.520000001415610,5241030.049999999813735,10759879.570000000298023
20150106,5501954.210000000894070,5210761.159999999217689,10712715.370000001043081
20150107,5690527.670000000856817,5318383.879999999888241,11008911.550000000745058
20150108,5816424.980000000447035,5440580.509999999776483,11257005.490000000223517
20150109,5716688.150000000372529,5381163.799999999813735,11097851.949999999254942
20150112,5691072.680000000633299,5373316.309999999590218,11064388.990000000223517
20150113,5653466.990000001154840,5326231.369999999180436,10979698.359999999403954
