代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13613860.759999999776483
真實報酬,3613860.759999999776483

夏普值報酬,0.352686076000000
夏普值風險,0.082801816253396
夏普值,4.259400239732487

預期報酬,12827.057391875547182
風險,175689.268680294539081
趨勢值,0.073009908278560
找到最佳解世代,3025
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](1),V[25](2),WMT[28](8),
Stock#,TRV[22](1),V[25](2),WMT[28](8),
張數,56306,112994,54466,
20120917,3855852.680000000167638,3781919.179999999701977,4029953.139999999664724,11667726.000000000000000
20120918,3854726.559999999590218,3776269.479999999981374,4027774.500000000000000,11658771.539999999105930
20120919,3841776.180000000167638,3807907.800000000279397,4050650.220000000204891,11700335.200000001117587
20120920,3854163.500000000000000,3802258.099999999627471,4071347.299999999813735,11727769.899999998509884
20120921,3863172.459999999962747,3813557.500000000000000,4055007.500000000000000,11731738.460000000894070
20120924,3852474.319999999832362,3778529.359999999869615,4070802.639999999664724,11701807.320000000298023
20120925,3855852.680000000167638,3801128.160000000149012,4044658.959999999962747,11701640.800000000745058
20120926,3816438.479999999981374,3743501.220000000204891,4040846.339999999850988,11600787.039999999105930
20120927,3851911.259999999776483,3783049.119999999646097,4029408.479999999981374,11664369.859999999403954
20120928,3843465.359999999869615,3793218.580000000074506,4019604.599999999627471,11656289.539999999105930
20121001,3889073.219999999273568,3862144.919999999925494,4033221.099999999627471,11784440.239999998360872
20121002,3868240.000000000000000,3841806.000000000000000,4016881.299999999813735,11726928.300000000745058
20121003,3885694.859999999869615,3912992.220000000204891,4041391.000000000000000,11840079.080000000074506
20121004,3900897.479999999981374,3945760.479999999981374,4069713.319999999832362,11916372.279999999329448
20121005,3916663.160000000149012,3962709.580000000074506,4092044.379999999422580,11971418.119999999180436
20121008,3915537.040000000037253,3918641.919999999925494,4098580.299999999813735,11932760.259999999776483
20121009,3903149.719999999273568,3863274.859999999869615,4038123.040000000037253,11804548.619999999180436
20121010,3907654.200000000186265,3881353.900000000372529,4107839.520000000018626,11896848.620000001043081
20121011,3894140.759999999776483,3927681.439999999944121,4085508.459999999962747,11907331.660000000149012
20121012,3869366.119999999646097,3929941.320000000298023,4129081.259999999776483,11928389.699999999254942
20121015,3929613.540000000037253,3951410.179999999701977,4202065.700000000186265,12083090.419999999925494
20121016,3969027.739999999757856,3987568.259999999776483,4188993.859999999403954,12145590.859999999403954
20121017,4019140.079999999608845,4027116.160000000149012,4195529.780000000260770,12241787.019999999552965
20121018,4163283.439999999478459,4007907.179999999701977,4169930.759999999776483,12341122.379999998956919
20121019,4139071.859999999869615,3953670.060000000055879,4118732.720000000204891,12211475.640000000596046
20121022,4166098.739999999757856,3926551.500000000000000,4120366.700000000186265,12213017.940000001341105
20121023,4131752.079999999608845,3859885.039999999571592,4071891.959999999962747,12063530.079999998211861
20121024,4120490.880000000353903,3855365.279999999795109,4075159.919999999459833,12051017.080000000074506
20121025,4060806.520000000018626,3885873.660000000149012,4102392.919999999459833,12049074.099999999627471
20121026,4029275.160000000149012,3907342.520000000018626,4090955.059999999590218,12027573.739999998360872
20121031,3994365.439999999478459,3919771.859999999869615,4086053.119999999646097,12000191.419999998062849
20121101,3954388.180000000167638,4064404.179999999701977,4000541.500000000000000,12019334.859999999403954
20121102,3920041.520000000018626,4050844.900000000372529,3963504.619999999646097,11934392.039999999105930
20121105,3891325.459999999962747,3997737.720000000204891,3983657.040000000037253,11872721.219999998807907
20121106,3951009.819999999832362,4064404.179999999701977,4017425.959999999962747,12032840.960000000894070
20121107,3868803.059999999590218,4027116.160000000149012,3982023.059999999590218,11877943.279999999329448
20121108,3885131.799999999813735,4013556.880000000353903,3947709.479999999981374,11846399.160000000149012
20121109,3884005.680000000167638,4037285.619999999646097,3938450.259999999776483,11859742.559999998658895
20121112,3853037.380000000353903,4046325.140000000130385,3947709.479999999981374,11847073.000000000000000
20121113,3841776.180000000167638,4023726.339999999850988,3911217.259999999776483,11776720.779999999329448
20121114,3832767.219999999273568,3953670.060000000055879,3883984.259999999776483,11670422.539999999105930
20121115,3846843.719999999273568,3954800.000000000000000,3742917.319999999832362,11544562.039999999105930
20121116,3865424.700000000186265,4031635.919999999925494,3705335.779999999795109,11602397.400000000372529
20121119,3915537.040000000037253,4114121.539999999571592,3759257.119999999646097,11788916.699999999254942
20121120,3921167.639999999664724,4134460.460000000428408,3758167.799999999813735,11813796.899999998509884
20121121,3953825.119999999646097,4143499.979999999981374,3752176.540000000037253,11849502.640000000596046
20121123,4012946.419999999459833,4184177.820000000298023,3823527.000000000000000,12020652.240000000223517
20121126,3989860.959999999962747,4159319.140000000130385,3807731.859999999403954,11956912.959999999031425
20121127,3988171.779999999795109,4146889.800000000279397,3785400.799999999813735,11920463.379999998956919
20121128,3995491.559999999590218,4160449.080000000074506,3843134.759999999776483,11999076.399999998509884
20121129,4007878.880000000353903,4186437.699999999720603,3857840.579999999608845,12052158.160000000149012
20121130,3987608.719999999273568,4229375.419999999925494,3922655.119999999646097,12139640.259999997913837
20121203,3994928.500000000000000,4198867.040000000037253,3885618.240000000223517,12079414.780000001192093
20121204,3971279.979999999981374,4169488.599999999627471,3928101.720000000204891,12068871.300000000745058
20121205,4166661.799999999813735,4183047.880000000353903,3902502.700000000186265,12252213.379999998956919
20121206,4118801.700000000186265,4194347.279999999329448,3899234.740000000223517,12212384.719999998807907
20121207,4132315.139999999664724,4196607.160000000149012,3937360.939999999944121,12266284.240000000223517
20121210,4129499.839999999850988,4199996.980000000447035,3929735.700000000186265,12259233.519999999552965
20121211,4134567.380000000353903,4206776.620000000111759,3861108.540000000037253,12202453.539999999105930
20121212,4127810.660000000149012,4177398.179999999701977,3754899.839999999850988,12060109.679999999701977
20121213,4123306.180000000167638,4158189.199999999720603,3760346.439999999944121,12041842.820000000298023
20121214,4131189.020000000018626,4148019.740000000223517,3744551.299999999813735,12023761.059999998658895
20121217,4177359.939999999478459,4212426.320000000298023,3769061.000000000000000,12158848.259999999776483
20121218,4185242.779999999795109,4257623.919999999925494,3785400.799999999813735,12228268.500000000000000
20121219,4134567.380000000353903,4213556.259999999776483,3732024.119999999646097,12080148.759999999776483
20121220,4156526.719999999273568,4307341.279999999329448,3758167.799999999813735,12222036.799999997019768
20121221,4100220.719999999273568,4258753.859999999403954,3739104.700000000186265,12098080.279999997466803
20121224,4074319.959999999962747,4271183.199999999254942,3734747.419999999459833,12080251.579999998211861
20121226,4069252.419999999459833,4230505.359999999403954,3703157.139999999664724,12002915.919999998062849
20121227,4043914.719999999273568,4220335.900000000372529,3714050.339999999850988,11978301.959999999031425
20121228,4011257.239999999757856,4198867.040000000037253,3682460.059999999590218,11892585.339999999850988
20121231,4043914.719999999273568,4282482.599999999627471,3716228.979999999981374,12042627.299999998882413
20130102,4102472.959999999962747,4389826.900000000372529,3771239.639999999664724,12263540.500000000000000
20130103,4134004.319999999832362,4393216.720000000670552,3747274.599999999627471,12274496.640000000596046
20130104,4170040.160000000149012,4428244.859999999403954,3761435.759999999776483,12359721.779999999329448
20130107,4113734.160000000149012,4459883.179999999701977,3725488.200000000186265,12299106.539999999105930
20130108,4121053.939999999478459,4501690.959999999962747,3735836.740000000223517,12358582.639999998733401
20130109,4163283.439999999478459,4570617.300000000745058,3734747.419999999459833,12468649.160000000149012
20130110,4191999.500000000000000,4534459.220000000670552,3723309.559999999590218,12449769.280000001192093
20130111,4214521.899999999441206,4552538.259999999776483,3738015.379999999422580,12505076.539999999105930
20130114,4220152.500000000000000,4537849.040000000037253,3720041.599999999627471,12478044.139999998733401
20130115,4254499.160000000149012,4532199.339999999850988,3757078.479999999981374,12543777.980000000447035
20130116,4253936.099999999627471,4525419.699999999254942,3769605.659999999683350,12548962.459999999031425
20130117,4273643.200000000186265,4516380.179999999701977,3749997.899999999441206,12540022.279999997466803
20130118,4296728.660000000149012,4471182.580000000074506,3769061.000000000000000,12536973.240000000223517
20130122,4389070.500000000000000,4492651.439999999478459,3789758.079999999608845,12671481.019999999552965
20130123,4371615.639999999664724,4492651.439999999478459,3784856.139999999664724,12649124.219999998807907
20130124,4396953.339999999850988,4507340.660000000149012,3801195.939999999944121,12705490.939999999478459
20130125,4411592.899999999441206,4515250.240000000223517,3758167.799999999813735,12685011.940000001341105
20130128,4355286.899999999441206,4416945.459999999962747,3777230.899999999441206,12549464.259999997913837
20130129,4381187.660000000149012,4425984.980000000447035,3806642.540000000037253,12613816.179999999701977
20130130,4368237.279999999329448,4378527.500000000000000,3799017.299999999813735,12545783.079999998211861
20130131,4417786.559999999590218,4461013.120000000111759,3809910.500000000000000,12688711.179999999701977
20130201,4498304.139999999664724,4479092.160000000149012,3839322.139999999664724,12816719.440000001341105
20130204,4391885.799999999813735,4424855.040000000037253,3792481.379999999422580,12609223.219999998807907
20130205,4428484.700000000186265,4506210.720000000670552,3854572.619999999646097,12789269.040000000968575
20130206,4445939.559999999590218,4543498.740000000223517,3883984.259999999776483,12873423.560000000521541
20130207,4454948.520000000484288,4437284.379999999888241,3879626.979999999981374,12771860.880000000819564
20130208,4440308.959999999962747,4457623.300000000745058,3893243.479999999981374,12791176.740000002086163
20130211,4460016.059999999590218,4415815.519999999552965,3888886.200000000186265,12764718.779999997466803
20130212,4498867.200000000186265,4429374.800000000745058,3888886.200000000186265,12817129.199999999254942
20130213,4503934.739999999292195,4371747.859999999403954,3888341.540000000037253,12764025.139999996870756
20130214,4523641.839999999850988,4405646.060000000521541,3857295.919999999459833,12786584.820000000298023
20130215,4526457.139999999664724,4463273.000000000000000,3774507.599999999627471,12764238.740000000223517
20130219,4538281.399999999441206,4451973.599999999627471,3745095.959999999962747,12735351.960000000894070
20130220,4510691.459999999962747,4389826.900000000372529,3769605.659999999683350,12670125.019999999552965
20130221,4525894.079999999143183,4447453.839999999850988,3826794.959999999962747,12800143.879999998956919
20130222,4561366.860000000335276,4503950.839999999850988,3834420.200000000186265,12899738.899999998509884
20130225,4462268.299999999813735,4403386.179999999701977,3836598.839999999850988,12702254.320000000298023
20130226,4506750.040000000037253,4458753.240000000223517,3873091.059999999590218,12838595.339999999850988
20130227,4548416.479999999515712,4516380.179999999701977,3903047.359999999403954,12967845.019999999552965
20130228,4528146.320000000298023,4481352.040000000037253,3855117.279999999795109,12864616.639999998733401
20130301,4543348.939999999478459,4465532.879999999888241,3907404.639999999664724,12916287.460000000894070
20130304,4533776.919999999925494,4506210.720000000670552,3990192.959999999962747,13030181.600000001490116
20130305,4586704.559999999590218,4527679.580000000074506,4015247.319999999832362,13129632.460000000894070
20130306,4564745.219999999739230,4550278.379999999888241,3996728.879999999422580,13111753.479999998584390
20130307,4572065.000000000000000,4534459.220000000670552,3993460.919999999459833,13099986.140000000596046
20130308,4597402.700000000186265,4538978.980000000447035,3977665.779999999795109,13114048.459999999031425
20130311,4603033.299999999813735,4553668.199999999254942,3974942.479999999981374,13131644.980000000447035
20130312,4602470.239999999292195,4514120.300000000745058,4008711.399999999441206,13125302.939999997615814
20130313,4623866.520000000484288,4501690.959999999962747,4011434.700000000186265,13136993.179999999701977
20130314,4637379.959999999962747,4538978.980000000447035,3988014.319999999832362,13164374.260000001639128
20130315,4632875.479999999515712,4479092.160000000149012,3948798.799999999813735,13060767.440000001341105
20130318,4646951.979999999515712,4465532.879999999888241,3935182.299999999813735,13047668.160000000149012
20130319,4684113.939999999478459,4406776.000000000000000,3946075.500000000000000,13036966.439999999478459
20130320,4720712.839999999850988,4500561.019999999552965,3975487.139999999664724,13196762.000000000000000
20130321,4715645.299999999813735,4457623.300000000745058,3983112.379999999422580,13156381.980000000447035
20130322,4712266.939999999478459,4522029.879999999888241,4045748.279999999795109,13280046.099999999627471
20130325,4694249.020000000484288,4632764.000000000000000,4076793.899999999441206,13403807.919999998062849
20130326,4693685.959999999962747,4731068.779999999329448,4072436.619999999646097,13497192.359999997541308
20130327,4694249.020000000484288,4764966.980000000447035,4072981.279999999795109,13532198.279999999329448
20130328,4740419.939999999478459,4797735.240000000223517,4075704.579999999608845,13613860.759999999776483
