代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14220444.180000001564622
真實報酬,4220444.180000001564622

夏普值報酬,0.413344418000000
夏普值風險,0.099782473565462
夏普值,4.142455114913825

預期報酬,16743.999829690037586
風險,173535.811670882045291
趨勢值,0.096487287946339
找到最佳解世代,2703
找到最佳解實驗#,2
找到最佳解次數,11

stock[index](rank)
投資組合檔數,7
BA[2](7),CSCO[4](21),DD[7](11),MMM[16](1),NKE[19](2),PFE[20](17),UNH[23](10),
Stock#,BA[2](7),CSCO[4](21),DD[7](11),MMM[16](1),NKE[19](2),PFE[20](17),UNH[23](10),
張數,19232,75545,33230,15707,58620,57097,26265,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,18.040000000037253,15.050000000046566,13.300000000046566,19.349999999860302,1.599999999860302,4.060000000055879,17.649999999906868,
20121203,1423570.679999999934807,1437636.400000000139698,1386701.199999999953434,1418361.449999999720603,1429743.399999999906868,1432567.790000000037253,1415438.500000000000000,9944022.420000001788139
20121204,1424147.639999999897555,1448212.700000000186265,1386368.899999999906868,1415534.189999999944121,1431502.000000000000000,1437135.550000000046566,1406245.750000000000000,9949149.730000000447035
20121205,1420685.880000000121072,1451234.500000000000000,1395673.300000000046566,1425586.669999999925494,1431502.000000000000000,1463971.140000000130385,1414125.250000000000000,10002781.740000000223517
20121206,1422801.400000000139698,1471631.650000000139698,1402651.600000000093132,1428571.000000000000000,1442639.799999999813735,1462258.229999999981374,1409134.899999999906868,10039691.580000000074506
20121207,1435494.520000000018626,1461055.350000000093132,1433887.800000000046566,1437366.919999999925494,1444984.599999999860302,1459403.379999999888241,1414913.199999999953434,10087108.769999999552965
20121210,1452611.000000000000000,1495050.600000000093132,1448509.000000000232831,1443021.439999999944121,1437363.999999999767169,1450838.830000000074506,1423317.999999999767169,10150715.870000001043081
20121211,1458188.279999999795109,1494295.150000000139698,1469443.899999999906868,1471451.109999999869615,1456708.599999999860302,1463971.140000000130385,1438289.049999999813735,10252350.230000000447035
20121212,1451457.080000000074506,1490517.900000000139698,1474096.100000000093132,1462655.189999999944121,1453777.599999999860302,1456548.530000000260770,1451158.899999999906868,10240214.299999998882413
20121213,1429340.279999999795109,1491273.349999999860302,1468447.000000000000000,1452916.849999999860302,1426226.199999999720603,1446271.070000000065193,1428308.349999999860302,10142786.099999999627471
20121214,1423570.679999999934807,1500338.750000000000000,1486723.500000000000000,1449461.309999999823049,1420364.199999999953434,1437706.520000000018626,1419640.899999999906868,10137808.859999999403954
