代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12282581.200000001117587
真實報酬,2282581.200000001117587

夏普值報酬,0.219558120000000
夏普值風險,0.059777971563880
夏普值,3.672893446465902

預期報酬,9818.043969782691420
風險,322457.203589299577288
趨勢值,0.030447587650383
找到最佳解世代,2480
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,3
MCD[15](2),NKE[19](3),UNH[23](7),
Stock#,MCD[15](2),NKE[19](3),UNH[23](7),
張數,34524,67449,29922,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,40.800000000279397,3.419999999925494,22.199999999720603,
20150501,3376488.000000000000000,3398758.529999999795109,3387192.599999999627471,10162440.129999998956919
20150504,3318832.919999999925494,3400782.000000000000000,3427886.520000000018626,10147502.439999999478459
20150505,3318832.919999999925494,3386617.709999999962747,3392279.339999999850988,10097730.969999998807907
20150506,3327809.160000000149012,3379872.810000000055879,3395869.979999999515712,10103552.949999999254942
20150507,3341273.520000000484288,3421691.189999999944121,3433870.919999999925494,10196836.630000000819564
20150508,3391333.320000000298023,3454741.199999999720603,3461399.160000000149012,10307474.679999999701977
20150511,3366476.040000000502914,3466882.020000000018626,3434170.139999999664724,10267529.199999999254942
20150512,3381666.600000000558794,3452717.729999999981374,3430280.279999999795109,10264665.609999999403954
20150513,3360952.200000000186265,3445298.339999999850988,3466785.119999999646097,10273036.660000000149012
20150514,3373380.839999999850988,3488465.699999999720603,3546676.859999999869615,10408524.399999998509884
20150515,3384773.760000000707805,3540401.430000000167638,3570614.459999999497086,10495790.650000000372529
20150518,3384083.280000000260770,3532982.040000000037253,3584677.799999999813735,10501744.120000001043081
20150519,3475917.120000000577420,3528935.100000000093132,3607119.299999999813735,10611972.519999999552965
20150520,3456238.440000000409782,3528260.609999999869615,3627765.479999999515712,10612265.530000001192093
20150521,3427583.520000000484288,3520841.220000000204891,3604426.319999999366701,10552852.059999998658895
20150522,3417571.560000000055879,3522190.199999999720603,3578394.179999999701977,10518156.939999999478459
20150526,3399273.839999999850988,3487791.209999999962747,3537999.479999999515712,10425065.529999999329448
20150527,3406178.640000000130385,3468231.000000000000000,3574205.099999999627471,10448615.740000000223517
20150528,3330916.320000000298023,3450019.770000000018626,3579291.839999999850988,10360228.929999999701977
20150529,3311928.120000000577420,3429110.580000000074506,3596945.819999999366701,10337985.519999999552965
20150601,3321940.080000000074506,3431808.540000000037253,3586473.119999999646097,10340222.740000000223517
20150602,3324356.760000000707805,3443949.359999999869615,3523337.699999999720603,10291644.820000000298023
20150603,3332297.280000000260770,3457439.159999999683350,3541290.899999999441206,10331028.339999999850988
20150604,3325047.240000000223517,3438553.439999999944121,3490423.500000000000000,10254025.179999999701977
20150605,3298463.760000000707805,3441251.399999999906868,3486832.859999999869615,10226549.019999999552965
20150608,3290868.479999999981374,3421016.699999999720603,3498203.219999999739230,10210089.399999998509884
20150609,3270499.320000000298023,3418318.739999999757856,3500596.979999999515712,10189416.039999999105930
20150610,3290178.000000000000000,3485093.250000000000000,3547275.299999999813735,10322547.550000000745058
20150611,3300189.960000000428408,3503304.479999999981374,3570315.239999999292195,10373810.679999999701977
20150612,3281892.240000000223517,3499932.029999999795109,3520345.500000000000000,10302170.769999999552965
20150615,3255654.000000000000000,3485767.739999999757856,3560141.759999999776483,10301564.500000000000000
20150616,3267046.919999999925494,3526237.140000000130385,3637041.299999999813735,10430326.359999999403954
20150617,3287416.080000000074506,3532982.040000000037253,3582882.479999999515712,10403281.599999999627471
20150618,3320213.880000000353903,3574800.419999999925494,3617292.779999999795109,10512308.080000000074506
20150619,3317106.720000000204891,3593011.649999999906868,3600536.459999999497086,10510655.830000000074506
20150622,3344380.680000000633299,3601780.020000000018626,3598142.699999999720603,10544304.400000000372529
20150623,3355083.120000000577420,3615269.819999999832362,3672648.479999999515712,10643002.419999999925494
20150624,3336440.160000000149012,3582219.810000000055879,3565826.939999999944121,10484487.910000000149012
20150625,3307094.760000000707805,3548495.310000000055879,3660380.459999999497086,10515971.529999999329448
20150626,3358880.760000000707805,3700255.560000000055879,3687908.699999999720603,10747046.019999999552965
20150629,3295011.360000000335276,3631457.580000000074506,3626269.379999999422580,10552739.320000000298023
20150630,3282237.479999999981374,3642923.909999999683350,3650506.199999999720603,10575668.589999999850988
20150701,3306059.040000000502914,3690812.699999999720603,3691798.559999999590218,10688671.300000000745058
20150702,3320213.880000000353903,3705651.479999999981374,3644821.020000000018626,10670687.380000000819564
20150706,3302261.400000000372529,3704302.500000000000000,3655293.719999999739230,10661858.620000001043081
20150707,3337821.120000000577420,3753540.270000000018626,3611607.599999999627471,10702969.990000000223517
20150708,3308820.960000000428408,3685416.779999999795109,3554157.359999999869615,10548396.099999999627471
20150709,3331261.560000000055879,3690812.699999999720603,3570913.679999999701977,10592988.939999999478459
20150710,3371309.400000000372529,3727235.159999999683350,3654994.500000000000000,10753540.060000000521541
20150713,3398238.120000000577420,3791311.709999999962747,3663971.099999999627471,10853521.929999999701977
20150714,3410321.520000000484288,3788613.750000000000000,3740272.199999999720603,10939208.470000000670552
20150715,3420333.479999999981374,3773774.970000000204891,3766005.119999999646097,10960114.570000000298023
20150716,3378559.440000000409782,3788613.750000000000000,3738177.660000000149012,10905351.850000001490116
20150717,3366130.800000000279397,3804127.020000000018626,3705861.899999999441206,10876120.719999998807907
20150720,3365785.560000000055879,3815593.350000000093132,3669955.500000000000000,10851335.410000000149012
20150721,3359916.479999999981374,3810871.919999999925494,3616395.119999999646097,10787184.519999999552965
20150722,3368892.720000000204891,3847968.869999999646097,3608914.619999999646097,10825777.209999999031425
20150723,3351975.960000000428408,3844596.419999999925494,3570614.459999999497086,10767187.839999999850988
20150724,3317797.200000000186265,3810871.919999999925494,3529022.879999999422580,10657693.000000000000000
20150727,3315725.760000000707805,3768379.049999999813735,3527227.559999999590218,10611333.370000001043081
20150728,3360261.720000000204891,3827059.680000000167638,3636143.639999999664724,10823466.039999999105930
20150729,3390642.839999999850988,3875622.959999999962747,3636143.639999999664724,10902410.439999999478459
20150730,3423785.880000000353903,3878995.409999999683350,3607418.520000000018626,10910200.810000000521541
20150731,3447607.440000000409782,3885740.310000000055879,3632553.000000000000000,10965901.750000000000000
20150803,3432416.880000000353903,3872925.000000000000000,3617292.779999999795109,10922635.660000000149012
20150804,3422750.160000000149012,3904626.029999999795109,3615796.679999999701977,10943173.869999999180436
20150805,3445536.000000000000000,3937676.040000000037253,3707956.439999999944121,11091169.480000000447035
20150806,3430000.200000000186265,3882367.859999999869615,3651703.080000000074506,10964072.140000000596046
20150807,3415154.880000000353903,3862133.159999999683350,3645120.239999999292195,10922409.279999999329448
20150810,3431381.160000000149012,3890461.739999999757856,3664868.759999999776483,10986712.660000000149012
20150811,3411357.240000000223517,3860109.689999999944121,3658285.919999999925494,10929753.849999999627471
20150812,3393059.520000000484288,3812895.390000000130385,3626568.599999999627471,10832524.509999999776483
20150813,3430690.680000000633299,3831106.619999999646097,3606221.639999999664724,10868019.940000001341105
20150814,3427238.280000000260770,3856737.239999999757856,3621182.639999999664724,10905159.160000000149012
20150817,3475226.640000000130385,3877646.430000000167638,3704964.239999999292195,11057838.309999998658895
20150818,3478679.040000000502914,3872250.509999999776483,3755233.199999999720603,11106163.750000000000000
20150819,3490417.200000000186265,3876971.939999999944121,3687011.039999999571592,11054401.179999999701977
20150820,3444155.040000000502914,3787264.770000000018626,3584378.580000000074506,10815799.390000000596046
20150821,3353356.919999999925494,3604477.979999999981374,3479352.359999999869615,10437188.259999999776483
20150824,3206284.680000000633299,3503304.479999999981374,3304308.660000000149012,10013898.820000000298023
20150825,3148974.839999999850988,3491838.149999999906868,3290843.759999999776483,9931657.750000000000000
20150826,3284999.400000000372529,3667880.040000000037253,3394972.319999999366701,10347852.759999999776483
20150827,3360261.720000000204891,3798056.609999999869615,3523936.139999999664724,10682255.469999998807907
20150828,3322975.800000000279397,3794009.669999999925494,3509274.359999999869615,10626260.830000000074506
20150831,3280511.280000000260770,3769053.540000000037253,3461997.599999999627471,10511563.419999999925494
20150901,3226999.080000000074506,3663833.100000000093132,3370137.059999999590218,10260970.239999998360872
20150902,3315725.760000000707805,3733305.569999999832362,3418012.259999999776483,10467044.589999999850988
20150903,3314690.040000000502914,3738701.489999999757856,3410830.979999999515712,10464223.509999999776483
20150904,3274642.200000000186265,3699581.069999999832362,3362058.119999999646097,10336282.389999998733401
20150908,3341273.520000000484288,3769053.540000000037253,3473667.179999999701977,10583995.240000000223517
20150909,3294666.120000000577420,3704976.989999999757856,3443445.959999999497086,10443090.070000000298023
20150910,3288451.800000000279397,3722513.729999999981374,3494014.139999999664724,10504980.669999999925494
20150911,3363023.640000000130385,3771077.009999999776483,3551763.599999999627471,10685865.250000000000000
20150914,3347833.080000000074506,3773774.970000000204891,3524833.799999999813735,10646442.850000001490116
20150915,3389952.360000000335276,3839200.500000000000000,3591559.859999999869615,10820713.720000000670552
20150916,3407214.360000000335276,3897881.129999999888241,3625072.500000000000000,10930168.990000000223517
20150917,3377868.960000000428408,3887763.779999999795109,3688207.919999999925494,10953841.660000000149012
20150918,3350595.000000000000000,3880344.390000000130385,3664569.539999999571592,10895509.929999999701977
20150921,3379940.400000000372529,3930931.140000000130385,3708554.879999999422580,11019427.419999999925494
20150922,3355773.600000000558794,3911370.930000000167638,3678333.660000000149012,10945479.190000001341105
20150923,3361987.919999999925494,3893159.699999999720603,3688806.359999999869615,10943954.979999998584390
20150924,3358880.760000000707805,3871576.020000000018626,3623277.179999999701977,10853734.960000000894070
20150925,3369237.960000000428408,4215565.919999999925494,3482045.339999999850988,11066850.220000000670552
20150928,3312963.839999999850988,4119113.850000000093132,3372231.599999999627471,10804310.289999999105930
20150929,3365440.320000000298023,4036151.580000000074506,3417713.039999999571592,10819305.939999999478459
20150930,3401690.520000000484288,4147442.430000000167638,3471273.419999999925494,11020407.370000001043081
20151001,3410321.520000000484288,4176445.500000000000000,3489226.619999999646097,11075994.640000000596046
20151002,3445190.760000000707805,4222985.309999999590218,3555653.459999999497086,11223830.529999999329448
20151005,3492833.880000000353903,4191284.279999999795109,3580189.500000000000000,11264308.660000000149012
20151006,3518036.400000000372529,4154861.819999999832362,3472470.299999999813735,11145369.519999999552965
20151007,3513548.280000000260770,4117764.869999999646097,3483840.660000000149012,11115154.810000000521541
20151008,3554286.600000000558794,4212867.959999999962747,3473367.959999999497086,11240523.519999999552965
20151009,3547727.040000000502914,4213542.450000000186265,3568819.139999999664724,11330089.629999998956919
20151012,3564298.560000000055879,4264129.200000000186265,3665766.419999999925494,11494195.179999999701977
20151013,3569131.919999999925494,4243220.009999999776483,3710050.979999999515712,11522403.910000000149012
20151014,3549798.479999999981374,4243894.500000000000000,3652600.739999999292195,11446294.719999998807907
20151015,3578798.640000000130385,4343719.020000000484288,3595748.939999999944121,11518267.599999999627471
20151016,3618846.479999999981374,4400376.179999999701977,3590063.759999999776483,11609287.419999999925494
20151019,3607453.560000000055879,4492781.309999999590218,3612505.259999999776483,11712741.129999998956919
20151020,3585012.960000000428408,4464452.729999999515712,3603229.439999999944121,11652696.129999998956919
20151021,3540131.760000000707805,4467825.179999999701977,3534109.619999999646097,11542067.560000000521541
20151022,3827716.680000000633299,4465801.709999999962747,3405445.020000000018626,11698964.410000000149012
20151023,3887097.960000000428408,4402399.649999999441206,3468580.439999999944121,11758079.049999998882413
20151026,3872943.120000000577420,4430728.229999999515712,3486832.859999999869615,11790505.209999999031425
20151027,3854300.160000000149012,4411842.509999999776483,3571811.339999999850988,11837955.009999999776483
20151028,3899181.360000000335276,4428030.270000000484288,3584079.359999999869615,11911291.990000000223517
20151029,3888133.680000000633299,4421959.860000000335276,3581984.819999999366701,11892079.359999999403954
20151030,3875359.800000000279397,4419261.899999999441206,3524235.359999999869615,11818858.059999998658895
20151102,3870526.440000000409782,4424657.819999999366701,3551464.379999999422580,11846649.639999998733401
20151103,3869490.720000000204891,4431402.719999999739230,3520644.719999999739230,11821539.160000000149012
20151104,3880538.400000000372529,4396329.240000000223517,3430280.279999999795109,11707148.919999999925494
20151105,3896074.200000000186265,4446915.990000000223517,3477856.259999999776483,11820847.449999999254942
20151106,3911955.240000000223517,4444218.030000000260770,3435367.020000000018626,11791541.290000000968575
20151109,3898836.120000000577420,4400376.179999999701977,3418909.919999999925494,11718123.220000000670552
20151110,3908848.080000000074506,4384188.419999999925494,3467682.779999999795109,11760720.279999999329448
20151111,3930598.200000000186265,4297179.209999999962747,3427288.080000000074506,11655066.490000000223517
20151112,3870526.440000000409782,4248615.929999999701977,3375822.239999999292195,11494965.609999999403954
20151113,3796645.080000000074506,4109670.989999999757856,3333632.219999999739230,11239949.289999999105930
20151116,3834276.240000000223517,4163630.189999999944121,3405744.239999999292195,11403651.669999998062849
20151117,3830133.360000000335276,4133952.629999999888241,3422799.779999999795109,11386886.769999999552965
20151118,3885026.520000000484288,4241871.030000000260770,3508376.699999999720603,11635275.250000000000000
20151119,3911610.000000000000000,4241871.030000000260770,3310293.059999999590218,11463775.089999999850988
20151120,3932669.640000000130385,4473895.589999999850988,3380310.539999999571592,11786876.769999999552965
20151123,3952003.080000000074506,4467150.690000000409782,3356073.719999999739230,11775228.489999998360872
20151124,3945443.520000000484288,4469174.160000000149012,3386893.379999999422580,11801512.059999998658895
20151125,3949586.400000000372529,4523807.849999999627471,3423398.219999999739230,11896793.469999998807907
20151127,3943717.320000000298023,4530552.750000000000000,3421303.679999999701977,11895574.750000000000000
20151130,3941300.640000000130385,4461080.280000000260770,3372530.819999999366701,11774912.739999998360872
20151201,3951312.600000000558794,4496153.759999999776483,3478753.919999999925494,11926221.279999999329448
20151202,3926110.080000000074506,4473895.589999999850988,3520046.279999999795109,11920052.949999999254942
20151203,3914717.160000000149012,4354510.860000000335276,3441052.199999999720603,11710281.220000000670552
20151204,4011729.600000000558794,4463103.750000000000000,3523038.479999999515712,11997872.830000001937151
20151207,4019324.880000000353903,4438147.620000000111759,3468281.219999999739230,11925754.719999998807907
20151208,4023122.520000000484288,4441520.069999999366701,3467383.559999999590218,11932027.149999998509884
20151209,4024848.720000000204891,4345068.000000000000000,3442548.299999999813735,11812466.019999999552965
20151210,4046253.600000000558794,4338323.099999999627471,3477257.819999999366701,11861835.519999999552965
20151211,4007586.720000000204891,4259407.769999999552965,3470375.759999999776483,11737371.250000000000000
20151214,4013801.040000000502914,4312017.990000000223517,3466485.899999999441206,11792305.929999999701977
20151215,4036932.120000000577420,4337648.610000000335276,3519148.619999999646097,11893730.349999999627471
20151216,4068348.960000000428408,4415889.450000000186265,3555653.459999999497086,12039892.869999999180436
20151217,4056610.800000000279397,4391607.809999999590218,3567323.039999999571592,12015542.649999998509884
20151218,4027610.640000000130385,4334276.160000000149012,3465588.239999999292195,11827476.039999999105930
20151221,4063170.360000000335276,4377443.520000000484288,3513164.219999999739230,11953779.100000001490116
20151222,4064206.080000000074506,4446915.990000000223517,3514061.879999999422580,12025184.949999999254942
20151223,4101492.000000000000000,4341021.059999999590218,3551464.379999999422580,11993978.439999997615814
20151224,4093551.479999999981374,4261431.240000000223517,3540991.679999999701977,11895975.400000000372529
20151228,4099765.800000000279397,4303924.110000000335276,3540692.459999999497086,11944383.369999999180436
20151229,4145337.479999999981374,4334276.160000000149012,3585276.239999999292195,12064890.879999998956919
20151230,4123242.120000000577420,4266152.669999999925494,3558346.439999999944121,11947742.230000000447035
20151231,4078706.160000000149012,4215565.919999999925494,3520046.279999999795109,11814319.359999999403954
20160104,4059372.720000000204891,4149465.899999999906868,3484738.319999999366701,11693577.939999999478459
20160105,4115301.600000000558794,4207472.040000000037253,3491321.160000000149012,11814095.800000000745058
20160106,4087682.400000000372529,4147442.430000000167638,3455713.979999999515712,11690839.809999998658895
20160107,3993086.640000000130385,4036826.069999999832362,3353979.179999999701977,11383892.890000000596046
20160108,3986872.320000000298023,3970726.049999999813735,3296229.719999999739230,11253829.089999999850988
20160111,4028646.360000000335276,4016591.369999999646097,3278874.959999999497086,11324113.689999999478459
20160112,4054539.360000000335276,4042896.479999999981374,3359065.919999999925494,11456502.759999999776483
20160113,3974443.680000000633299,3964655.640000000130385,3268402.259999999776483,11207502.580000000074506
20160114,4026229.680000000633299,3946444.409999999683350,3314182.919999999925494,11286858.009999999776483
20160115,3976515.120000000577420,3882367.859999999869615,3269599.139999999664724,11128483.120000001043081
20160119,4056610.800000000279397,3933629.100000000093132,3368640.959999999497086,11358881.859999999403954
20160120,3997229.520000000484288,3982192.379999999888241,3434768.580000000074506,11414191.480000000447035
