代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13208556.470000002533197
真實報酬,3208556.470000002533197

夏普值報酬,0.312155647000000
夏普值風險,0.071490664929806
夏普值,4.366383321605640

預期報酬,12334.162262423758875
風險,219568.244044104067143
趨勢值,0.056174618128960
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,6
INTC[11](9),JPM[13](3),MRK[17](7),MSFT[18](5),PG[21](18),UNH[23](2),
Stock#,INTC[11](9),JPM[13](3),MRK[17](7),MSFT[18](5),PG[21](18),UNH[23](2),
張數,56325,29603,33193,32756,20758,13993,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,9.250000000000000,17.100000000093132,45.469999999972060,40.719999999972060,6.179999999934807,99.700000000186265,
20160301,1710599.500000000000000,1752514.700000000186265,1717783.219999999972060,1722351.199999999953434,1686178.520000000018626,1702628.010000000242144,10292059.150000000372529
20160302,1720174.750000000000000,1769092.380000000121072,1735043.580000000074506,1734470.920000000158325,1713579.079999999841675,1697030.810000000055879,10369395.519999999552965
20160303,1722427.750000000000000,1775012.980000000214204,1729400.770000000018626,1714817.320000000065193,1719598.899999999906868,1704726.960000000195578,10365988.680000001564622
20160304,1725244.000000000000000,1777677.250000000000000,1728736.909999999916181,1704335.399999999906868,1733091.599999999860302,1704447.100000000093132,10373536.259999999776483
20160307,1742704.750000000000000,1774420.919999999925494,1747324.989999999990687,1671579.399999999906868,1724995.979999999748543,1703887.380000000353903,10364917.420000001788139
20160308,1721301.250000000000000,1740081.440000000176951,1741018.320000000065193,1691888.119999999878928,1724165.659999999916181,1702488.080000000074506,10320946.870000001043081
20160309,1738762.000000000000000,1750146.459999999962747,1738030.949999999953434,1730867.760000000009313,1722089.859999999869615,1694652.000000000000000,10374553.029999999329448
20160310,1760165.500000000000000,1735048.930000000167638,1760602.189999999944121,1704990.519999999785796,1707974.419999999925494,1708505.070000000298023,10377290.629999998956919
20160311,1788891.250000000000000,1756659.120000000111759,1765913.070000000065193,1738401.639999999897555,1696972.679999999934807,1750624.000000000000000,10497465.759999999776483
20160314,1770304.000000000000000,1750146.459999999962747,1761929.909999999916181,1741677.239999999990687,1684933.040000000037253,1752303.160000000149012,10461297.810000000521541
