代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13203155.710000000894070
真實報酬,3203155.710000000894070

夏普值報酬,0.311615571000000
夏普值風險,0.082994642961800
夏普值,3.754646804654950

預期報酬,13218.870890265425260
風險,163953.735239559930051
趨勢值,0.080625615945564
找到最佳解世代,2031
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](7),DD[7](4),MRK[17](16),MSFT[18](14),UNH[23](6),
Stock#,BA[2](7),DD[7](4),MRK[17](16),MSFT[18](14),UNH[23](6),
張數,21879,41416,42553,60422,33372,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,40.610000000102445,21.360000000102445,9.000000000000000,31.799999999813735,16.040000000037253,
20130501,1994967.830000000307336,1955270.720000000204891,1944255.569999999832362,1977039.639999999664724,1992991.879999999888241,9864525.640000000596046
20130502,2017503.199999999953434,1953614.080000000074506,1945957.689999999944121,2003625.319999999599531,1984982.599999999860302,9905682.890000000596046
20130503,2050978.070000000065193,2002899.120000000111759,1943404.510000000009313,2023564.579999999841675,1966294.280000000027940,9987140.560000000521541
20130506,2060823.620000000111759,2005798.239999999990687,1914042.939999999944121,2039274.299999999813735,2009010.440000000176951,10028949.540000000968575
20130507,2073951.020000000251457,2037274.399999999906868,1926383.310000000055879,2012688.619999999878928,2019022.040000000037253,10069319.390000000596046
20130508,2057541.770000000251457,2035617.760000000009313,1914468.469999999972060,1993353.579999999841675,2086099.760000000009313,10087081.339999999850988
20130509,2070012.800000000046566,2059639.040000000037253,1935744.969999999972060,1973414.319999999599531,2069413.760000000009313,10108224.889999998733401
20130510,2061917.570000000065193,2032304.480000000214204,1955319.350000000093132,1975226.979999999748543,2099448.560000000055879,10124216.939999999478459
20130513,2073294.650000000139698,2026092.080000000074506,1964681.010000000009313,1995770.459999999962747,2082095.120000000111759,10141933.320000000298023
20130514,2102831.299999999813735,2060053.200000000186265,1985106.449999999953434,2025981.459999999962747,2060069.599999999860302,10234042.009999999776483
20130515,2122741.190000000409782,2084488.640000000130385,1988510.689999999944121,2045316.500000000000000,2056064.959999999962747,10297121.980000000447035
20130516,2113114.429999999701977,2070407.200000000186265,1973191.609999999869615,2059213.559999999823049,2073752.120000000111759,10289678.919999999925494
20130517,2164311.290000000037253,2112651.520000000484288,1957021.469999999972060,2106946.939999999478459,2097112.520000000251457,10438043.740000000223517
20130520,2159935.490000000223517,2100226.719999999739230,1923830.130000000121072,2119635.559999999590218,2087768.360000000102445,10391396.259999999776483
20130521,2160591.860000000335276,2110166.560000000521541,2014042.489999999990687,2105738.500000000000000,2098113.680000000167638,10488653.089999999850988
20130522,2142651.080000000074506,2071235.520000000018626,1987659.630000000121072,2091237.219999999739230,2078424.200000000186265,10371207.649999998509884
20130523,2182470.860000000335276,2070407.200000000186265,2014042.489999999990687,2063443.099999999627471,2081093.959999999962747,10411457.609999999403954
20130524,2187940.610000000335276,2069164.720000000204891,2006808.479999999748543,2070693.739999999990687,2071082.360000000102445,10405689.910000000149012
