代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14254872.250000000000000
真實報酬,4254872.250000000000000

夏普值報酬,0.416787225000000
夏普值風險,0.100961827979925
夏普值,4.128166390597360

預期報酬,16764.339254203248856
風險,349357.730203908053227
趨勢值,0.047986169489991
找到最佳解世代,1889
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](3),VZ[26](5),
Stock#,AAPL[0](1),MCD[15](3),VZ[26](5),
張數,114038,52205,123228,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.259999999776483,43.750000000000000,15.600000000093132,
20100301,3405176.939999999944121,3340119.649999999906868,3339494.400000000372529,10084791.990000000223517
20100302,3402896.179999999701977,3344818.099999999627471,3371533.680000000167638,10119248.959999999031425
20100303,3409738.459999999497086,3321847.899999999906868,3355514.040000000037253,10087101.399999998509884
20100304,3432546.060000000055879,3311406.899999999906868,3372765.960000000428408,10116719.919999999925494
20100305,3567110.899999999906868,3323936.100000000093132,3367836.839999999850988,10258884.839999999850988
20100308,3569391.659999999683350,3399633.350000000093132,3413431.200000000186265,10382457.210000000894070
20100309,3633252.939999999944121,3398589.249999999534339,3445470.479999999981374,10477313.669999999925494
20100310,3662902.819999999366701,3390236.449999999720603,3426986.279999999795109,10480126.549999998882413
20100311,3673166.239999999757856,3404331.799999999813735,3438076.799999999813735,10515575.839999999850988
20100312,3691412.319999999366701,3421037.399999999906868,3425754.000000000000000,10538204.719999998807907
20100315,3646937.500000000000000,3441919.400000000372529,3440541.360000000335276,10529399.260000001639128
20100316,3656060.540000000037253,3449228.099999999627471,3447935.040000000037253,10553224.679999999701977
20100317,3651499.020000000018626,3465411.649999999906868,3473812.920000000391155,10590724.589999999850988
20100318,3659481.680000000167638,3481073.150000000372529,3491064.839999999850988,10631620.669999999925494
20100319,3620708.759999999776483,3473242.399999999906868,3503387.640000000130385,10597339.800000000745058
20100322,3661762.439999999944121,3498300.800000000279397,3531730.080000000074506,10691794.320000000298023
20100323,3719921.819999999366701,3516050.499999999534339,3568698.479999999981374,10804671.799999998882413
20100324,3737027.520000000018626,3487337.750000000000000,3509549.040000000037253,10733915.309999998658895
20100325,3692552.700000000186265,3492558.250000000465661,3492297.120000000111759,10677409.070000000298023
20100326,3762115.879999999888241,3511352.050000000279397,3498458.520000000018626,10771927.449999999254942
20100329,3786063.859999999869615,3501433.099999999627471,3508316.759999999776483,10795814.719999998807907
20100330,3841942.479999999515712,3510307.949999999720603,3598273.200000000186265,10950524.629999998956919
20100331,3828257.919999999925494,3483161.350000000093132,3573627.600000000093132,10885047.869999999180436
20100401,3844223.239999999757856,3528057.649999999906868,3603202.319999999832362,10975484.209999999031425
20100405,3885276.919999999925494,3551549.899999999906868,3624151.080000000074506,11060978.900000000372529
20100406,3902382.619999999646097,3540064.800000000279397,3594576.360000000335276,11037024.780000001192093
20100407,3919488.319999999366701,3534322.250000000000000,3483671.160000000149012,10937482.730000000447035
20100408,3909224.899999999906868,3589659.550000000279397,3475045.200000000186265,10973930.650000000372529
20100409,3938874.779999999795109,3585483.150000000372529,3465186.960000000428408,10989545.890000000596046
20100412,3946857.439999999944121,3577652.399999999906868,3449167.319999999832362,10973678.160000000149012
20100413,3949138.200000000186265,3598012.350000000093132,3463954.680000000167638,11011106.230000000447035
20100414,4002736.060000000055879,3624114.850000000093132,3439309.080000000074506,11066160.990000000223517
20100415,4055193.540000000037253,3610541.549999999813735,3403572.960000000428408,11069309.050000000745058
20100416,4030105.180000000167638,3603754.899999999906868,3408502.080000000074506,11042363.160000000149012
20100419,4025543.659999999683350,3650217.350000000093132,3425754.000000000000000,11101516.009999999776483
20100420,3984489.979999999515712,3672143.450000000186265,3428218.560000000055879,11084852.990000000223517
20100421,4222829.399999999441206,3673187.549999999813735,3406037.520000000018626,11302055.469999998807907
20100422,4341428.919999999925494,3708164.899999999906868,3372765.960000000428408,11422360.780000001192093
20100423,4412132.479999999515712,3714429.500000000465661,3346888.080000000074506,11473451.060000000521541
20100426,4390465.259999999776483,3707642.849999999627471,3334565.279999999795109,11432674.389999998733401
20100427,4268444.599999999627471,3682062.399999999906868,3312384.239999999757856,11262892.240000000223517
20100428,4261602.319999999366701,3672143.450000000186265,3355514.040000000037253,11289260.809999998658895
20100429,4376780.700000000186265,3733745.349999999627471,3366604.560000000055879,11477131.609999999403954
20100430,4253619.659999999217689,3685194.700000000186265,3329636.160000000149012,11268451.519999999552965
20100503,4339148.159999999217689,3728524.850000000093132,3373998.239999999757856,11441672.250000000000000
20100504,4213706.360000000335276,3687804.950000000186265,3312384.239999999757856,11213896.550000000745058
20100505,4170371.919999999925494,3688849.049999999813735,3303758.279999999795109,11162980.250000000000000
20100506,4011859.099999999627471,3624114.850000000093132,3227356.920000000391155,10863331.869999999180436
20100507,3841942.479999999515712,3550505.800000000279397,3248305.680000000167638,10640754.959999999031425
20100510,4137300.899999999906868,3684672.649999999906868,3296364.600000000093132,11118339.150000000372529
20100511,4179494.959999999497086,3679452.150000000372529,3271719.000000000000000,11130667.109999999403954
20100512,4269584.979999999515712,3689371.100000000093132,3306222.839999999850988,11265179.919999999925494
20100513,4209144.839999999850988,3680496.250000000000000,3304990.560000000055879,11194632.650000000372529
20100514,4135020.139999999664724,3632989.700000000186265,3285274.080000000074506,11053284.919999999925494
20100517,4141862.419999999925494,3661702.450000000186265,3302526.000000000000000,11106091.870000001043081
20100518,4111072.159999999683350,3655437.849999999627471,3274183.560000000055879,11040694.570000000298023
20100519,4046070.499999999534339,3623070.750000000465661,3285274.080000000074506,10954416.330000000074506
20100520,3873873.119999999646097,3532234.049999999813735,3197782.200000000186265,10603890.370000001043081
20100521,3947997.819999999366701,3542675.049999999813735,3221195.520000000018626,10711869.389999998733401
20100524,4019841.759999999776483,3532234.049999999813735,3166975.200000000186265,10719052.009999999776483
20100525,3994753.399999999906868,3541630.950000000186265,3157116.960000000428408,10693502.310000000521541
20100526,3976507.319999999366701,3446095.800000000279397,3102896.640000000130385,10525500.759999999776483
20100527,4127037.479999999515712,3508219.750000000000000,3178065.720000000204891,10813323.949999999254942
20100528,4185196.859999999869615,3490992.100000000093132,3170672.040000000037253,10846862.000000000000000
20100601,4249058.139999999664724,3464367.549999999813735,3134935.920000000391155,10848362.609999999403954
20100602,4300375.240000000223517,3537976.599999999627471,3178065.720000000204891,11016418.560000000521541
20100603,4286690.679999999701977,3542152.999999999534339,3184227.120000000111759,11013071.800000000745058
20100604,4170371.919999999925494,3482117.250000000000000,3134935.920000000391155,10787426.089999999850988
20100607,4088264.560000000055879,3484727.500000000000000,3120148.560000000055879,10693141.620000001043081
20100608,4062035.819999999366701,3569821.649999999906868,3189156.239999999757856,10821014.709999999031425
20100609,3961682.379999999888241,3563557.050000000279397,3200246.759999999776483,10725487.189999999478459
20100610,4081422.279999999795109,3621504.600000000093132,3265557.600000000093132,10968485.480000000447035
20100611,4130458.619999999646097,3630379.450000000186265,3290203.200000000186265,11051042.269999999552965
20100614,4143002.799999999813735,3617850.250000000000000,3298829.160000000149012,11059683.210000000894070
20100615,4230812.059999999590218,3675275.750000000465661,3354281.759999999776483,11260370.570000000298023
20100616,4353973.099999999627471,3669533.200000000186265,3361675.440000000409782,11385182.740000000223517
20100617,4429238.179999999701977,3657004.000000000000000,3351817.200000000186265,11438060.379999998956919
20100618,4464589.959999999962747,3648129.149999999906868,3355514.040000000037253,11468234.149999998509884
20100621,4401869.059999999590218,3650217.350000000093132,3348120.360000000335276,11400207.769999999552965
20100622,4461168.819999999366701,3583394.950000000186265,3348120.360000000335276,11392685.129999998956919
20100623,4414413.240000000223517,3582872.899999999906868,3378927.360000000335276,11376214.500000000000000
20100624,4382482.599999999627471,3535888.400000000372529,3337029.839999999850988,11255401.839999999850988
20100625,4344850.059999999590218,3519704.850000000093132,3288970.920000000391155,11153526.830000000074506
20100628,4371078.799999999813735,3515006.399999999906868,3307455.120000000111759,11193541.320000000298023
20100629,4173793.060000000055879,3469588.049999999813735,3297596.880000000353903,10940978.990000000223517
20100630,4097387.599999999627471,3438787.100000000093132,3228589.200000000186265,10764764.899999998509884
20100701,4048351.259999999776483,3482639.299999999813735,3240912.000000000000000,10771903.559999998658895
20100702,4023262.899999999906868,3452882.450000000186265,3303758.279999999795109,10779904.629999998956919
20100706,4050632.020000000018626,3451316.299999999813735,3279112.680000000167638,10781062.000000000000000
20100707,4213706.360000000335276,3513962.300000000279397,3268022.160000000149012,10995691.820000000298023
20100708,4204583.319999999366701,3603232.849999999627471,3300061.440000000409782,11107878.609999999403954
20100709,4229671.679999999701977,3613673.850000000093132,3284041.799999999813735,11127388.329999998211861
20100712,4192039.139999999664724,3651261.449999999720603,3264325.319999999832362,11107626.910000000149012
20100713,4101949.119999999646097,3698245.950000000186265,3313616.520000000018626,11113812.589999999850988
20100714,4116774.060000000055879,3701378.250000000465661,3307455.120000000111759,11125608.429999999701977
20100715,4096247.219999999739230,3723826.399999999906868,3302526.000000000000000,11122600.619999999180436
20100716,4071158.859999999869615,3651261.449999999720603,3288970.920000000391155,11011392.230000000447035
20100719,4000455.299999999813735,3649695.299999999813735,3292667.759999999776483,10942819.359999999403954
20100720,4103089.499999999534339,3699812.100000000093132,3286506.360000000335276,11089408.960000000894070
20100721,4141862.419999999925494,3660136.299999999813735,3268022.160000000149012,11070021.879999998956919
20100722,4219408.259999999776483,3727480.750000000465661,3327171.600000000093132,11274061.609999999403954
20100723,4234233.200000000186265,3649173.250000000465661,3452864.160000000149012,11336271.610000001266599
20100726,4223969.779999999329448,3699812.100000000093132,3484903.440000000409782,11408686.320000000298023
20100727,4302655.999999999068677,3675275.750000000465661,3523104.120000000111759,11501036.870000001043081
20100728,4251338.899999999441206,3642386.599999999627471,3562537.080000000074506,11456263.579999998211861
