代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12460364.669999998062849
真實報酬,2460364.669999998062849

夏普值報酬,0.237336467000000
夏普值風險,0.064316129500872
夏普值,3.690154691239367

預期報酬,10098.527818740920338
風險,254874.579475137608824
趨勢值,0.039621557550136
找到最佳解世代,2577
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),KO[14](3),MCD[15](8),UNH[23](4),
20101130,2584301.550000000279397,2575831.269999999552965,2517037.379999999888241,2532593.560000000521541,10209763.760000001639128
20101201,2627905.800000000279397,2637800.909999999683350,2548861.920000000391155,2612343.760000000242144,10426912.390000000596046
20101202,2642440.550000000279397,2645954.810000000055879,2551755.060000000055879,2638696.000000000000000,10478846.419999999925494
20101203,2636626.649999999906868,2629647.009999999776483,2563970.540000000037253,2622745.959999999962747,10452990.160000000149012
20101206,2659300.860000000335276,2609262.259999999776483,2558184.260000000242144,2585991.520000000018626,10412738.900000000372529
20101207,2643021.939999999944121,2614969.989999999757856,2582615.220000000204891,2549930.560000000521541,10390537.710000000894070
20101208,2666277.540000000037253,2625570.060000000055879,2531181.620000000111759,2554784.920000000391155,10377814.140000000596046
20101209,2655812.520000000018626,2643508.640000000130385,2494856.640000000130385,2541608.799999999813735,10335786.600000001490116
20101210,2662207.810000000055879,2636170.129999999422580,2493249.340000000316650,2542995.760000000242144,10334623.039999999105930
20101213,2671510.050000000279397,2643508.640000000130385,2478783.640000000130385,2558945.799999999813735,10352748.129999998956919
20101214,2660463.639999999664724,2605185.309999999590218,2478783.640000000130385,2531206.600000000093132,10275639.189999999478459
20101215,2661045.030000000260770,2639431.689999999478459,2474604.660000000149012,2458391.200000000186265,10233472.580000000074506
20101216,2668021.709999999962747,2663893.390000000130385,2465925.239999999757856,2469486.879999999888241,10267327.219999998807907
20101217,2662789.199999999720603,2678570.409999999683350,2469139.840000000316650,2430652.000000000000000,10241151.449999999254942
20101220,2676161.169999999925494,2663077.999999999534339,2472675.899999999906868,2439667.240000000223517,10251582.310000000521541
20101221,2692440.090000000316650,2669601.120000000111759,2470747.140000000130385,2450069.439999999944121,10282857.790000000968575
20101222,2700579.550000000279397,2674493.459999999497086,2475569.040000000037253,2485436.920000000391155,10336078.970000000670552
20101223,2687788.969999999739230,2673678.069999999832362,2473961.739999999757856,2480582.560000000521541,10316011.339999999850988
20101227,2696509.820000000298023,2652477.929999999701977,2456924.360000000335276,2464632.520000000018626,10270544.630000000819564
20101228,2703486.500000000000000,2664708.779999999795109,2456924.360000000335276,2477115.160000000149012,10302234.800000000745058
20101229,2701742.330000000074506,2668785.729999999515712,2474926.120000000111759,2490291.279999999795109,10335745.459999999031425
20101230,2688370.360000000335276,2670416.509999999776483,2467532.540000000037253,2492371.719999999739230,10318691.129999998956919
20101231,2679068.120000000111759,2681831.969999999739230,2467532.540000000037253,2504160.879999999888241,10332593.509999999776483
20110103,2737207.120000000111759,2659001.049999999813735,2462389.179999999701977,2574895.840000000316650,10433493.189999999478459
20110104,2751741.870000000111759,2604369.919999999925494,2388774.840000000316650,2598474.160000000149012,10343360.790000000968575
20110105,2773834.689999999944121,2588877.509999999776483,2400025.939999999944121,2606795.920000000391155,10369534.059999998658895
20110106,2772090.520000000018626,2570123.539999999571592,2385560.239999999757856,2660887.359999999869615,10388661.659999998286366
20110107,2791857.780000000260770,2565231.199999999720603,2390703.600000000093132,2666435.200000000186265,10414227.780000001192093
20110110,2844182.879999999888241,2570938.929999999701977,2364665.340000000316650,2666435.200000000186265,10446222.350000001490116
20110111,2837787.590000000316650,2556261.909999999683350,2375594.980000000447035,2710124.439999999944121,10479768.919999999925494
20110112,2860461.800000000279397,2570123.539999999571592,2365951.179999999701977,2694867.879999999888241,10491404.399999998509884
20110113,2870926.820000000298023,2584800.559999999590218,2336055.399999999906868,2746185.400000000372529,10537968.179999999701977
20110114,2894182.419999999925494,2574200.489999999757856,2380738.340000000316650,2827322.560000000521541,10676443.810000000521541
20110118,2829066.739999999757856,2588062.119999999646097,2400668.860000000335276,2834950.840000000316650,10652748.560000000521541
20110119,2814531.989999999757856,2585615.949999999720603,2422206.679999999701977,2812759.480000000447035,10635114.099999999627471
20110120,2763369.669999999925494,2566046.589999999850988,2416098.939999999944121,2795422.480000000447035,10540937.679999999701977
20110121,2713370.129999999888241,2559523.469999999739230,2411277.040000000037253,2802357.279999999795109,10486527.919999999925494
20110124,2802904.189999999944121,2579092.829999999608845,2423171.060000000055879,2760748.480000000447035,10565916.560000000521541
20110125,2835462.030000000260770,2566861.979999999981374,2426385.660000000149012,2816920.359999999869615,10645630.029999999329448
20110126,2855810.679999999701977,2566861.979999999981374,2416420.399999999906868,2791261.600000000093132,10630354.660000000149012
20110127,2850578.169999999925494,2556261.909999999683350,2390060.679999999701977,2932731.520000000018626,10729632.279999999329448
20110128,2791276.389999999664724,2536692.549999999813735,2355664.459999999962747,2838418.240000000223517,10522051.640000000596046
20110131,2818020.330000000074506,2562785.029999999795109,2368201.399999999906868,2846740.000000000000000,10595746.759999999776483
20110201,2865694.310000000055879,2570938.929999999701977,2361772.200000000186265,2917474.959999999962747,10715880.400000000372529
20110202,2859880.409999999683350,2562785.029999999795109,2367237.020000000018626,2909153.200000000186265,10699055.660000000149012
20110203,2852322.340000000316650,2551369.569999999832362,2373344.760000000242144,2984742.520000000018626,10761779.189999999478459
20110204,2877903.500000000000000,2550554.179999999701977,2380416.879999999888241,2946601.120000000111759,10755475.679999999701977
20110207,2922670.530000000260770,2548923.399999999906868,2361129.280000000260770,2899444.480000000447035,10732167.690000001341105
20110208,2949995.860000000335276,2563600.419999999925494,2422528.140000000130385,2910540.160000000149012,10846664.580000000074506
20110209,2974995.629999999888241,2575015.879999999422580,2440851.360000000335276,2917474.959999999962747,10908337.830000000074506
20110210,2944763.350000000093132,2590508.289999999571592,2435386.540000000037253,2942440.240000000223517,10913098.419999999925494
20110211,2963949.219999999739230,2592139.069999999832362,2447602.020000000018626,2938972.840000000316650,10942663.149999998509884
20110214,2983135.090000000316650,2574200.489999999757856,2450816.620000000111759,2944520.680000000167638,10952672.880000000819564
20110215,2988948.989999999757856,2576646.659999999683350,2447923.480000000447035,2914701.040000000037253,10928220.169999999925494
20110216,3016274.320000000298023,2584800.559999999590218,2443744.500000000000000,2947294.600000000093132,10992113.980000000447035
20110217,2976158.409999999683350,2632093.179999999701977,2442458.660000000149012,2953535.920000000391155,11004246.169999999925494
20110218,2911624.120000000111759,2632093.179999999701977,2447280.560000000055879,2970872.920000000391155,10961870.779999999329448
20110222,2812206.429999999701977,2599477.579999999608845,2433457.780000000260770,2979194.680000000167638,10824336.470000000670552
20110223,2845927.050000000279397,2606000.699999999720603,2417063.319999999832362,2975727.279999999795109,10844718.349999999627471
20110224,2847671.219999999739230,2604369.919999999925494,2417706.239999999757856,2964631.600000000093132,10834378.979999998584390
20110225,2891856.860000000335276,2622308.499999999534339,2392953.819999999832362,2948681.560000000521541,10855800.740000000223517
20110228,2933716.939999999944121,2606000.699999999720603,2432814.860000000335276,2952842.439999999944121,10925374.939999999478459
20110301,2901159.100000000093132,2646770.199999999720603,2407419.520000000018626,2943827.200000000186265,10899176.019999999552965
20110302,2924414.699999999720603,2627200.839999999850988,2400990.319999999832362,3020803.480000000447035,10973409.339999999850988
20110303,2986623.429999999701977,2672862.679999999701977,2450816.620000000111759,3106101.520000000018626,11216404.250000000000000
20110304,2990111.770000000018626,2658185.659999999683350,2444065.959999999962747,3082523.200000000186265,11174886.589999999850988
20110307,2951740.030000000260770,2659001.049999999813735,2452423.920000000391155,3020803.480000000447035,11083968.480000000447035
20110308,2954646.979999999981374,2676124.239999999757856,2428314.420000000391155,3039527.439999999944121,11098613.080000000074506
20110309,2927321.649999999906868,2675308.850000000093132,2436029.459999999962747,3085297.120000000111759,11123957.080000000074506
20110310,2879066.280000000260770,2662262.609999999869615,2464960.860000000335276,3036753.520000000018626,11043043.270000001415610
20110311,2923251.919999999925494,2642693.249999999534339,2466568.160000000149012,3022883.920000000391155,11055397.250000000000000
20110314,2936623.889999999664724,2606816.089999999850988,2432493.399999999906868,2993064.279999999795109,10968997.659999998286366
20110315,2869182.649999999906868,2570123.539999999571592,2414813.100000000093132,2967405.520000000018626,10821524.809999998658895
20110316,2740695.459999999962747,2511415.459999999962747,2358879.060000000055879,2902911.879999999888241,10513901.859999999403954
20110317,2779648.590000000316650,2539138.719999999739230,2359521.980000000447035,2931344.560000000521541,10609653.850000001490116
20110318,2746509.360000000335276,2556261.909999999683350,2346342.120000000111759,2954229.400000000372529,10603342.789999999105930
20110321,2818020.330000000074506,2592139.069999999832362,2371094.540000000037253,2995144.719999999739230,10776398.660000000149012
20110322,2833717.860000000335276,2589692.899999999906868,2374630.600000000093132,2963938.120000000111759,10761979.480000000447035
20110323,2817438.939999999944121,2620677.719999999739230,2395846.959999999962747,2964631.600000000093132,10798595.220000000670552
20110324,2865112.919999999925494,2637800.909999999683350,2408705.360000000335276,3037447.000000000000000,10949066.190000001341105
20110325,2919763.580000000074506,2659001.049999999813735,2418992.080000000074506,3033979.600000000093132,11031736.310000000521541
20110328,2910461.340000000316650,2651662.540000000037253,2410955.580000000074506,3042301.359999999869615,11015380.820000000298023
20110329,2915112.459999999962747,2679385.799999999813735,2422849.600000000093132,3084603.639999999664724,11101951.500000000000000
20110330,2895345.199999999720603,2692432.040000000037253,2436993.840000000316650,3148403.799999999813735,11173174.879999998956919
20110331,2894763.810000000055879,2704662.890000000130385,2445994.720000000204891,3134534.200000000186265,11179955.620000001043081
20110401,2861624.580000000074506,2740540.049999999813735,2442780.120000000111759,3162966.879999999888241,11207911.629999998956919
20110404,2833717.860000000335276,2758478.629999999422580,2455638.520000000018626,3162273.400000000372529,11210108.410000000149012
20110405,2814531.989999999757856,2751140.120000000111759,2462389.179999999701977,3126905.920000000391155,11154967.209999999031425
20110406,2807555.310000000055879,2757663.239999999757856,2466246.700000000186265,3117890.680000000167638,11149355.929999999701977
20110407,2808136.699999999720603,2749509.339999999850988,2443423.040000000037253,3081136.240000000223517,11082205.320000000298023
20110408,2783136.929999999701977,2742986.219999999739230,2444387.420000000391155,3077668.840000000316650,11048179.410000000149012
20110411,2747672.139999999664724,2747878.560000000055879,2451138.080000000074506,3073507.959999999962747,11020196.739999998360872
20110412,2761044.110000000335276,2727493.810000000055879,2464317.939999999944121,3107488.480000000447035,11060344.339999999850988
20110413,2791857.780000000260770,2742986.219999999739230,2471711.520000000018626,3074201.439999999944121,11080756.959999999031425
20110414,2761044.110000000335276,2785386.499999999534339,2477497.799999999813735,3108181.959999999962747,11132110.369999999180436
20110415,2719765.419999999925494,2773155.649999999441206,2487463.060000000055879,3119277.639999999664724,11099661.769999999552965
20110418,2756392.989999999757856,2744616.999999999534339,2475247.580000000074506,3020110.000000000000000,10996367.570000000298023
20110419,2806392.530000000260770,2734832.319999999832362,2462389.179999999701977,3048542.680000000167638,11052156.709999999031425
20110420,2844182.879999999888241,2765817.140000000130385,2520251.980000000447035,3067960.120000000111759,11198212.120000001043081
20110421,2912786.899999999906868,2767447.919999999459833,2472354.439999999944121,3315532.480000000447035,11468121.740000000223517
20110425,2931972.770000000018626,2761740.189999999478459,2479426.560000000055879,3308597.680000000167638,11481737.199999999254942
20110426,2910461.340000000316650,2729124.589999999850988,2473318.819999999832362,3283632.400000000372529,11396537.150000000372529
20110427,2908135.780000000260770,2731570.759999999776483,2503214.600000000093132,3343271.680000000167638,11486192.820000000298023
20110428,2880229.060000000055879,2748693.949999999720603,2508357.959999999962747,3404991.400000000372529,11542272.370000001043081
20110429,2908135.780000000260770,2750324.729999999515712,2517358.840000000316650,3414006.639999999664724,11589825.989999998360872
20110502,2876159.330000000074506,2760924.799999999813735,2527967.020000000018626,3459082.840000000316650,11624133.990000000223517
20110503,2891856.860000000335276,2767447.919999999459833,2537610.819999999832362,3445213.240000000223517,11642128.839999999850988
20110504,2903484.659999999683350,2750324.729999999515712,2541789.799999999813735,3436891.480000000447035,11632490.669999998062849
20110505,2880229.060000000055879,2719339.909999999683350,2526681.179999999701977,3438278.439999999944121,11564528.589999999850988
20110506,2879066.280000000260770,2727493.810000000055879,2529895.780000000260770,3475726.359999999869615,11612182.230000000447035
20110509,2887205.739999999757856,2729939.979999999515712,2549504.840000000316650,3499998.160000000149012,11666648.719999998807907
20110510,2902321.879999999888241,2745432.390000000130385,2562363.239999999757856,3502772.080000000074506,11712889.589999999850988
20110511,2883717.399999999906868,2744616.999999999534339,2555934.040000000037253,3468791.560000000521541,11653060.000000000000000
20110512,2878484.889999999664724,2785386.499999999534339,2592901.939999999944121,3472952.439999999944121,11729725.769999997690320
20110513,2827903.959999999962747,2779678.770000000018626,2595473.620000000111759,3463937.200000000186265,11666993.550000000745058
20110516,2768020.790000000037253,2765817.140000000130385,2608332.020000000018626,3479193.760000000242144,11621363.709999999031425
20110517,2791857.780000000260770,2771524.870000000111759,2601581.360000000335276,3466711.120000000111759,11631675.130000000819564
20110518,2822671.449999999720603,2784571.109999999869615,2619904.580000000074506,3509706.879999999888241,11736854.019999999552965
20110519,2828485.350000000093132,2791094.229999999515712,2652372.040000000037253,3505546.000000000000000,11777497.620000001043081
20110520,2784299.709999999962747,2784571.109999999869615,2646585.760000000242144,3449374.120000000111759,11664830.699999999254942
20110523,2777323.030000000260770,2751140.120000000111759,2652050.580000000074506,3409152.279999999795109,11589666.009999999776483
20110524,2759299.939999999944121,2751140.120000000111759,2656551.020000000018626,3325934.680000000167638,11492925.759999999776483
20110525,2797090.290000000037253,2728309.199999999720603,2659122.700000000186265,3319693.359999999869615,11504215.550000000745058
20110526,2782555.540000000037253,2719339.909999999683350,2649800.360000000335276,3307904.200000000186265,11459600.009999999776483
20110527,2802322.800000000279397,2712001.399999999441206,2623762.100000000093132,3349513.000000000000000,11487599.299999998882413
20110531,2888949.909999999683350,2724232.249999999534339,2621190.420000000391155,3394589.200000000186265,11628961.780000001192093
20110601,2869764.040000000037253,2721786.080000000074506,2603188.660000000149012,3352980.400000000372529,11547719.179999999701977
20110602,2874415.159999999683350,2692432.040000000037253,2595795.080000000074506,3425102.320000000298023,11587744.599999999627471
20110603,2852322.340000000316650,2672047.290000000037253,2589044.420000000391155,3387654.400000000372529,11501068.450000001117587
20110606,2807555.310000000055879,2667154.949999999720603,2594187.780000000260770,3339110.799999999813735,11408008.839999999850988
20110607,2757555.770000000018626,2658185.659999999683350,2608332.020000000018626,3326628.160000000149012,11350701.609999999403954
20110608,2759299.939999999944121,2666339.560000000055879,2608653.480000000447035,3342578.200000000186265,11376871.179999999701977
20110609,2753486.040000000037253,2686724.310000000055879,2612189.540000000037253,3509013.400000000372529,11561413.289999999105930
20110610,2706974.840000000316650,2666339.560000000055879,2583258.140000000130385,3426489.279999999795109,11383061.820000000298023
20110613,2712788.739999999757856,2654924.100000000093132,2595152.160000000149012,3405684.879999999888241,11368549.879999998956919
20110614,2761044.110000000335276,2675308.850000000093132,2618940.200000000186265,3439665.400000000372529,11494958.560000002384186
20110615,2713951.520000000018626,2649216.370000000111759,2611546.620000000111759,3422328.400000000372529,11397042.910000000149012
20110616,2700579.550000000279397,2669601.120000000111759,2629869.840000000316650,3443826.279999999795109,11443876.789999999105930
20110617,2659882.250000000000000,2675308.850000000093132,2652693.500000000000000,3464630.680000000167638,11452515.279999999329448
20110620,2619184.949999999720603,2684278.140000000130385,2658158.319999999832362,3555476.560000000521541,11517097.970000000670552
20110621,2701742.330000000074506,2701401.330000000074506,2661694.379999999888241,3621357.160000000149012,11686195.199999999254942
20110622,2679649.510000000242144,2707109.060000000055879,2656872.480000000447035,3590844.040000000037253,11634475.089999999850988
20110623,2751160.479999999981374,2649216.370000000111759,2645299.920000000391155,3547154.799999999813735,11592831.570000000298023
20110624,2710463.179999999701977,2647585.589999999850988,2630834.220000000204891,3499304.680000000167638,11488187.669999999925494
20110627,2757555.770000000018626,2658185.659999999683350,2646264.299999999813735,3538833.040000000037253,11600838.769999999552965
20110628,2784299.709999999962747,2692432.040000000037253,2711520.679999999701977,3590150.560000000521541,11778402.990000000223517
20110629,2774416.080000000074506,2719339.909999999683350,2718592.799999999813735,3574200.520000000018626,11786549.310000000521541
20110630,2787788.050000000279397,2743801.609999999869615,2710556.299999999813735,3576974.439999999944121,11819120.400000000372529
20110701,2851159.560000000055879,2776417.209999999497086,2753310.480000000447035,3684463.840000000316650,12065351.089999999850988
20110705,2902321.879999999888241,2784571.109999999869615,2752989.020000000018626,3665046.400000000372529,12104928.410000000149012
20110706,2921507.750000000000000,2794355.790000000037253,2760061.140000000130385,3684463.840000000316650,12160388.519999999552965
20110707,2966856.169999999925494,2803325.080000000074506,2766490.340000000316650,3649789.840000000316650,12186461.429999999701977
20110708,2987786.209999999962747,2800063.520000000018626,2751703.179999999701977,3611648.439999999944121,12151201.349999999627471
20110711,2940112.229999999981374,2776417.209999999497086,2743666.679999999701977,3532591.719999999739230,11992787.839999999850988
20110712,2938368.060000000055879,2765817.140000000130385,2732094.120000000111759,3565185.279999999795109,12001464.599999999627471
20110713,2973832.850000000093132,2774786.429999999701977,2731129.739999999757856,3587376.639999999664724,12067125.660000000149012
20110714,2971507.290000000037253,2759294.020000000018626,2758453.840000000316650,3624824.560000000521541,12114079.710000000894070
20110715,3030809.070000000298023,2753586.290000000037253,2747845.660000000149012,3604020.160000000149012,12136261.179999999701977
20110718,3104645.600000000093132,2736463.100000000093132,2745273.980000000447035,3602633.200000000186265,12189015.879999998956919
20110719,3130226.760000000242144,2826155.999999999534339,2771312.239999999757856,3567959.200000000186265,12295654.199999999254942
20110720,3213365.530000000260770,2808217.419999999459833,2773241.000000000000000,3572120.080000000074506,12366944.029999999329448
20110721,3216853.870000000111759,2826971.390000000130385,2781920.420000000391155,3616502.799999999813735,12442248.480000000447035
20110722,3266853.409999999683350,2843279.189999999478459,2846855.340000000316650,3658111.600000000093132,12615099.539999999105930
20110725,3309876.270000000018626,2823709.830000000074506,2832711.100000000093132,3580441.840000000316650,12546739.039999999105930
20110726,3350573.570000000298023,2821263.659999999683350,2829496.500000000000000,3554783.080000000074506,12556116.810000000521541
20110727,3260458.120000000111759,2800878.909999999683350,2799600.720000000204891,3459776.320000000298023,12320714.070000000298023
20110728,3254062.830000000074506,2805771.249999999534339,2789635.459999999962747,3461856.760000000242144,12311326.299999998882413
20110729,3243016.419999999925494,2773155.649999999441206,2779991.660000000149012,3441745.840000000316650,12237909.570000000298023
20110801,3295341.520000000018626,2761740.189999999478459,2777098.520000000018626,3330095.560000000521541,12164275.789999999105930
20110802,3230225.840000000316650,2734016.929999999701977,2734344.340000000316650,3257973.639999999664724,11956560.750000000000000
20110803,3260458.120000000111759,2788648.060000000055879,2749774.420000000391155,3271843.240000000223517,12070723.839999999850988
20110804,3134296.489999999757856,2683462.749999999534339,2709270.459999999962747,3125518.959999999962747,11652548.660000000149012
20110805,3102901.429999999701977,2722601.469999999739230,2734987.260000000242144,3159499.480000000447035,11719989.640000000596046
20110808,2933716.939999999944121,2654924.100000000093132,2639513.640000000130385,2907766.240000000223517,11135920.919999999925494
20110809,3106389.770000000018626,2718524.520000000018626,2763275.739999999757856,3101940.639999999664724,11690130.669999998062849
20110810,3020925.439999999944121,2607631.479999999981374,2702841.260000000242144,2902218.400000000372529,11233616.580000000074506
20110811,3104064.209999999962747,2710370.620000000111759,2773562.459999999962747,3046462.240000000223517,11634459.529999999329448
20110812,3131389.540000000037253,2737278.489999999757856,2780634.580000000074506,3107488.480000000447035,11756791.089999999850988
20110815,3184296.030000000260770,2780494.159999999683350,2790921.299999999813735,3185851.719999999739230,11941563.209999997168779
20110816,3159877.649999999906868,2779678.770000000018626,2786099.399999999906868,3155338.600000000093132,11880994.419999999925494
20110817,3159877.649999999906868,2824525.219999999739230,2812780.580000000074506,3157419.040000000037253,11954602.489999998360872
20110818,3040111.310000000055879,2762555.580000000074506,2752024.640000000130385,3043688.320000000298023,11598379.850000001490116
20110819,2956972.540000000037253,2735647.709999999497086,2804101.160000000149012,3004159.959999999962747,11500881.370000001043081
20110822,2960460.879999999888241,2742986.219999999739230,2821138.540000000037253,3024270.879999999888241,11548856.519999999552965
20110823,3102901.429999999701977,2815555.929999999701977,2878036.959999999962747,3111649.359999999869615,11908143.679999999701977
20110824,3124412.860000000335276,2840833.020000000018626,2897324.560000000055879,3183771.279999999795109,12046341.720000000670552
20110825,3104064.209999999962747,2771524.870000000111759,2851677.239999999757856,3126905.920000000391155,11854172.240000000223517
20110826,3186040.199999999720603,2792725.009999999776483,2890895.360000000335276,3170595.160000000149012,12040255.730000000447035
20110829,3238946.689999999944121,2843279.189999999478459,2918540.920000000391155,3242717.080000000074506,12243483.879999998956919
20110830,3238946.689999999944121,2848171.529999999795109,2918219.459999999962747,3278778.040000000037253,12284115.719999998807907
20110831,3196505.219999999739230,2872633.229999999515712,2906325.439999999944121,3295421.560000000521541,12270885.449999999254942
20110901,3164528.770000000018626,2872633.229999999515712,2895395.799999999813735,3271843.240000000223517,12204401.040000000968575
20110902,3106971.159999999683350,2843279.189999999478459,2863892.720000000204891,3171288.639999999664724,11985431.710000000894070
20110906,3154063.750000000000000,2831048.339999999850988,2855213.299999999813735,3169901.680000000167638,12010227.070000000298023
20110907,3188947.149999999906868,2886494.859999999869615,2870321.920000000391155,3273923.680000000167638,12219687.609999999403954
20110908,3190691.320000000298023,2901987.270000000018626,2848462.640000000130385,3273230.200000000186265,12214371.429999999701977
20110909,3135459.270000000018626,2828602.169999999459833,2733379.959999999962747,3156725.560000000521541,11854166.959999999031425
20110912,3155807.919999999925494,2828602.169999999459833,2770669.319999999832362,3208043.080000000074506,11963122.490000000223517
20110913,3194761.050000000279397,2817186.709999999497086,2768419.100000000093132,3328015.120000000111759,12108381.980000000447035
20110914,3233132.790000000037253,2844909.969999999739230,2788671.080000000074506,3375865.240000000223517,12242579.080000000074506
20110915,3263946.459999999962747,2895464.149999999441206,2831103.799999999813735,3504852.520000000018626,12495366.929999999701977
20110916,3326155.189999999944121,2904433.439999999478459,2838175.920000000391155,3520109.080000000074506,12588873.629999998956919
20110919,3418596.199999999720603,2873448.620000000111759,2854891.840000000316650,3463937.200000000186265,12610873.859999999403954
20110920,3433712.340000000316650,2880787.129999999422580,2870964.840000000316650,3455615.439999999944121,12641079.750000000000000
20110921,3423247.320000000298023,2824525.219999999739230,2813423.500000000000000,3329402.080000000074506,12390598.119999999180436
20110922,3337201.600000000093132,2765001.749999999534339,2764240.120000000111759,3265601.920000000391155,12132045.389999998733401
20110923,3358131.639999999664724,2748693.949999999720603,2808601.600000000093132,3300969.400000000372529,12216396.589999999850988
20110926,3348829.399999999906868,2803325.080000000074506,2871929.220000000204891,3384880.480000000447035,12408964.180000001564622
20110927,3316271.560000000055879,2835940.679999999701977,2884787.620000000111759,3429263.200000000186265,12466263.059999998658895
20110928,3297667.080000000074506,2774786.429999999701977,2829817.959999999962747,3303743.320000000298023,12206014.789999999105930
20110929,3244179.199999999720603,2815555.929999999701977,2853927.459999999962747,3230234.439999999944121,12143897.029999999329448
20110930,3166854.330000000074506,2754401.679999999701977,2823067.299999999813735,3198334.359999999869615,11942657.669999998062849
20111003,3111040.889999999664724,2667154.949999999720603,2765204.500000000000000,2976420.760000000242144,11519821.099999999627471
20111004,3093599.189999999944121,2659816.439999999478459,2779991.660000000149012,2966712.040000000037253,11500119.329999998211861
20111005,3141854.560000000055879,2672047.290000000037253,2759096.760000000242144,3082523.200000000186265,11655521.809999998658895
20111006,3134296.489999999757856,2666339.560000000055879,2800243.640000000130385,3116503.719999999739230,11717383.410000000149012
20111007,3071506.370000000111759,2686724.310000000055879,2803136.780000000260770,3113036.320000000298023,11674403.780000001192093
20111010,3229063.060000000055879,2727493.810000000055879,2845248.040000000037253,3226073.560000000521541,12027878.470000000670552
20111011,3324411.020000000018626,2723416.859999999869615,2871929.220000000204891,3234395.320000000298023,12154152.419999999925494
20111012,3340689.939999999944121,2751140.120000000111759,2840426.140000000130385,3216364.840000000316650,12148621.040000000968575
20111013,3392433.649999999906868,2747878.560000000055879,2870964.840000000316650,3226767.040000000037253,12238044.089999999850988
20111014,3505223.310000000055879,2765817.140000000130385,2891216.819999999832362,3274617.160000000149012,12436874.429999999701977
20111017,3488363.000000000000000,2731570.759999999776483,2850069.939999999944121,3231621.400000000372529,12301625.099999999627471
20111018,3506967.479999999981374,2720970.689999999478459,2881573.020000000018626,3144242.920000000391155,12253754.109999999403954
20111019,3311039.050000000279397,2733201.540000000037253,2880930.100000000093132,3221219.200000000186265,12146389.890000000596046
20111020,3283132.330000000074506,2736463.100000000093132,2861321.040000000037253,3251038.840000000316650,12131955.309999998658895
20111021,3262783.679999999701977,2780494.159999999683350,2967724.299999999813735,3323160.760000000242144,12334162.900000000372529
