代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14281036.480000000447035
真實報酬,4281036.480000000447035

夏普值報酬,0.419403648000000
夏普值風險,0.116552085940429
夏普值,3.598422495967708

預期報酬,14701.671696388277269
風險,393056.180975379189476
趨勢值,0.037403486849910
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),UNH[23](2),VZ[26](1),
Stock#,KO[14](3),UNH[23](2),VZ[26](1),
張數,124703,109974,123365,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,21.810000000055879,21.060000000055879,10.700000000186265,
20100503,3352038.449999999720603,3327834.300000000279397,3377744.399999999906868,10057618.150000000372529
20100504,3315874.580000000074506,3243154.319999999832362,3316061.899999999906868,9875091.800000000745058
20100505,3345803.299999999813735,3299241.060000000055879,3307426.350000000093132,9952471.709999999031425
20100506,3261005.259999999776483,3215660.819999999832362,3230940.050000000279397,9707607.130000000819564
20100507,3284698.830000000074506,3191466.540000000037253,3251912.100000000093132,9728078.470000000670552
20100510,3369496.870000000111759,3286044.180000000167638,3300024.450000000186265,9955566.500000000000000
20100511,3343309.239999999757856,3282744.960000000428408,3275351.450000000186265,9901406.650000000372529
20100512,3368249.840000000316650,3334432.740000000223517,3309893.649999999906868,10012577.230000000447035
20100513,3335827.060000000055879,3319036.379999999888241,3308660.000000000000000,9963524.439999999478459
20100514,3325850.820000000298023,3342130.919999999925494,3288921.600000000093132,9956904.339999999850988
20100517,3330838.939999999944121,3347629.620000000111759,3306192.700000000186265,9984662.260000001639128
20100518,3310886.459999999962747,3319036.379999999888241,3277818.750000000000000,9907742.589999999850988
20100519,3312133.489999999757856,3298141.319999999832362,3288921.600000000093132,9899197.410000000149012
20100520,3213618.120000000111759,3184868.100000000093132,3201332.450000000186265,9599819.670000001788139
20100521,3217359.209999999962747,3156274.859999999869615,3224771.800000000279397,9598406.870000001043081
20100524,3208630.000000000000000,3170571.479999999981374,3170491.200000000186265,9549693.679999999701977
20100525,3156254.739999999757856,3174970.439999999944121,3160622.000000000465661,9491848.179999999701977
20100526,3122584.930000000167638,3166172.520000000018626,3106341.400000000372529,9395099.850000001490116
20100527,3194912.670000000391155,3224458.740000000223517,3181594.050000000279397,9600966.460000000894070
20100528,3204888.910000000149012,3196965.240000000223517,3174192.150000000372529,9576047.300000000745058
20100601,3198653.759999999776483,3187067.580000000074506,3138416.300000000279397,9524138.640000000596046
20100602,3268487.439999999944121,3289343.399999999906868,3181594.050000000279397,9739425.890000000596046
20100603,3289686.949999999720603,3349829.100000000093132,3187762.300000000279397,9827279.349999999627471
20100604,3197406.729999999981374,3336632.220000000204891,3138416.300000000279397,9672456.250000000000000
20100607,3167478.009999999776483,3349829.100000000093132,3123612.500000000000000,9640920.609999999403954
20100608,3214865.150000000372529,3397117.919999999925494,3192696.899999999906868,9804680.970000000670552
20100609,3202394.850000000093132,3357527.280000000260770,3203799.750000000000000,9763722.880000000819564
20100610,3270981.500000000000000,3376222.859999999869615,3269183.200000000186265,9916388.559999998658895
20100611,3221100.299999999813735,3372923.640000000130385,3293856.200000000186265,9887881.140000000596046
20100614,3212371.090000000316650,3364125.720000000204891,3302491.750000000000000,9878989.560000000521541
20100615,3253523.080000000074506,3430110.120000000111759,3358006.000000000000000,10041640.199999999254942
20100616,3267240.410000000149012,3452104.919999999925494,3365407.900000000372529,10084754.230000000447035
20100617,3264746.350000000093132,3464202.060000000055879,3355538.700000000186265,10084488.109999999403954
20100618,3262252.290000000037253,3445506.479999999981374,3359239.650000000372529,10066999.419999999925494
20100621,3272228.529999999795109,3425711.159999999683350,3351837.750000000465661,10049778.439999999478459
