代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12954980.409999998286366
真實報酬,2954980.409999998286366

夏普值報酬,0.286798041000000
夏普值風險,0.074137594481357
夏普值,3.868456253623406

預期報酬,11580.793216390960879
風險,205141.238849717337871
趨勢值,0.056452779954570
找到最佳解世代,3314
找到最佳解實驗#,2
找到最佳解次數,30

stock[index](rank)
投資組合檔數,6
CAT[3](1),JPM[13](13),MRK[17](5),PG[21](19),UNH[23](2),V[25](15),
Stock#,CAT[3](1),JPM[13](13),MRK[17](5),PG[21](19),UNH[23](2),V[25](15),
張數,26778,28011,32892,20402,14472,22374,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,3.280000000027940,11.500000000000000,28.359999999869615,26.620000000111759,70.479999999981374,26.740000000223517,
20160201,1678983.880000000121072,1648738.959999999962747,1669297.359999999869615,1655036.860000000102445,1677230.560000000055879,1664204.860000000102445,9993496.479999998584390
20160202,1624624.540000000037253,1597478.830000000074506,1658114.079999999841675,1636675.060000000055879,1648141.839999999850988,1642278.340000000316650,9807316.689999999478459
20160203,1694247.340000000083819,1608123.010000000009313,1646272.959999999729916,1654628.820000000065193,1631788.479999999981374,1664204.860000000102445,9899269.469999998807907
20160204,1766280.159999999916181,1635853.899999999906868,1598250.639999999897555,1646468.020000000251457,1652772.880000000121072,1648543.060000000288710,9948172.660000000149012
20160205,1770564.640000000130385,1617646.750000000000000,1624235.320000000065193,1656669.020000000251457,1616882.320000000065193,1600662.700000000419095,9886664.750000001862645
20160208,1729326.520000000018626,1583753.439999999944121,1606144.719999999739230,1685639.860000000102445,1592279.919999999925494,1516312.720000000204891,9713461.179999999701977
20160209,1711920.820000000065193,1574229.700000000186265,1616999.079999999841675,1686047.900000000139698,1608778.000000000000000,1528842.160000000149012,9726821.660000000149012
20160210,1663988.199999999953434,1555182.219999999972060,1629169.119999999878928,1665237.860000000102445,1631643.760000000009313,1569562.840000000316650,9714788.000000000000000
20160211,1644440.260000000009313,1486555.270000000018626,1606802.559999999823049,1630146.420000000158325,1600963.120000000111759,1531974.520000000251457,9500886.150000000372529
20160212,1691033.979999999981374,1610363.890000000130385,1612723.119999999878928,1652384.600000000093132,1618329.519999999785796,1575603.820000000298023,9760442.929999999701977
