代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12911282.759999999776483
真實報酬,2911282.759999999776483

夏普值報酬,0.282428276000000
夏普值風險,0.084734763709975
夏普值,3.333086252139405

預期報酬,11866.505667844416166
風險,468057.591642914281692
趨勢值,0.025352661466706
找到最佳解世代,2044
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),MSFT[18](1),NKE[19](2),
Stock#,MCD[15](3),MSFT[18](1),NKE[19](2),
張數,34209,81980,66440,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.040000000037253,26.200000000186265,38.199999999720603,
20150401,3293992.650000000372529,3338251.800000000279397,3307421.399999999906868,9939666.850000001490116
20150402,3278256.509999999776483,3303000.399999999906868,3310743.399999999441206,9892001.309999998658895
20150406,3293650.560000000055879,3406295.199999999720603,3313400.999999999534339,10013347.759999999776483
20150407,3296045.189999999944121,3404655.600000000093132,3309414.600000000093132,10010116.390000000596046
20150408,3313149.689999999944121,3395637.800000000279397,3349943.000000000000000,10058731.490000000223517
20150409,3302886.989999999757856,3400556.600000000093132,3345956.599999999627471,10049401.189999999478459
20150410,3345648.239999999757856,3420231.800000000279397,3321373.799999999813735,10087254.839999999850988
20150413,3333333.000000000000000,3423511.000000000000000,3298119.799999999813735,10054964.800000000745058
20150414,3338122.259999999776483,3414493.200000000186265,3306757.000000000000000,10059373.460000000894070
20150415,3299124.000000000000000,3464501.000000000000000,3316723.000000000000000,10080349.000000000000000
20150416,3271414.709999999962747,3456303.000000000000000,3318716.199999999720603,10046434.910000000149012
20150417,3245757.959999999962747,3412033.799999999813735,3274201.399999999906868,9931994.160000000149012
20150420,3290229.660000000149012,3517788.000000000000000,3322038.199999999720603,10130056.859999999403954
20150421,3245415.870000000111759,3495653.400000000372529,3332004.199999999720603,10073074.470000000670552
20150422,3347016.600000000093132,3524346.400000000372529,3327353.399999999441206,10198717.399999998509884
