代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14550208.190000001341105
真實報酬,4550208.190000001341105

夏普值報酬,0.446320819000000
夏普值風險,0.123082692095956
夏普值,3.626186683112581

預期報酬,19202.940443483486888
風險,324587.613117253116798
趨勢值,0.059161039015209
找到最佳解世代,1778
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),INTC[11](10),MCD[15](12),V[25](1),
Stock#,BA[2](2),INTC[11](10),MCD[15](12),V[25](1),
張數,13525,69156,17866,27406,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,174.250000000000000,10.600000000093132,10.619999999646097,24.680000000167638,
20170501,2466999.000000000000000,2511064.960000000428408,2521796.519999999552965,2501096.240000000223517,10000956.720000000670552
20170502,2481200.250000000000000,2556707.919999999925494,2523225.799999999348074,2536175.920000000391155,10097309.889999998733401
20170503,2480524.000000000000000,2557399.479999999981374,2548059.539999999571592,2533435.320000000298023,10119418.339999999850988
20170504,2476196.000000000000000,2548409.200000000186265,2562888.319999999366701,2538368.400000000372529,10125861.919999999925494
20170505,2502434.500000000000000,2546334.520000000018626,2571999.979999999981374,2523843.220000000204891,10144612.220000000670552
20170508,2516094.750000000000000,2526970.839999999850988,2577002.459999999962747,2519184.200000000186265,10139252.250000000000000
20170509,2528132.000000000000000,2515214.319999999832362,2579146.379999999888241,2521376.680000000167638,10143869.380000000819564
20170510,2477683.750000000000000,2490318.160000000149012,2582004.939999999944121,2528228.180000000167638,10078235.029999999329448
20170511,2487962.750000000000000,2468188.239999999757856,2576466.479999999981374,2524117.279999999795109,10056734.750000000000000
20170512,2478630.500000000000000,2457123.280000000260770,2597012.379999999888241,2541383.060000000055879,10074149.220000000670552
20170515,2466999.000000000000000,2464038.880000000353903,2613449.099999999627471,2555086.060000000055879,10099573.040000000968575
20170516,2471191.750000000000000,2477178.520000000018626,2631493.759999999310821,2552893.580000000540167,10132757.609999999403954
20170517,2418173.750000000000000,2423236.839999999850988,2615771.679999999701977,2514799.240000000223517,9971981.509999999776483
20170518,2399509.250000000000000,2435684.919999999925494,2626491.279999999329448,2513428.939999999944121,9975114.389999998733401
20170519,2444953.250000000000000,2448133.000000000000000,2646858.519999999552965,2534531.560000000055879,10074476.330000000074506
20170522,2484311.000000000000000,2473720.720000000204891,2647573.159999999683350,2557278.540000000037253,10162883.420000001788139
20170523,2481876.500000000000000,2479944.760000000242144,2640962.739999999292195,2572351.840000000316650,10175135.839999999850988
20170524,2505680.500000000000000,2497925.319999999832362,2670977.619999999646097,2598387.540000000037253,10272970.980000000447035
20170525,2530296.000000000000000,2507607.160000000149012,2675980.099999999627471,2604690.920000000391155,10318574.179999999701977
20170526,2523804.000000000000000,2507607.160000000149012,2677409.379999999888241,2594550.700000000186265,10303371.240000000223517
20170530,2527726.250000000000000,2502074.680000000167638,2678660.000000000000000,2595921.000000000000000,10304381.929999999701977
20170531,2537870.000000000000000,2497233.760000000242144,2695811.359999999403954,2609898.060000000055879,10340813.179999999701977
20170601,2533677.250000000000000,2497925.319999999832362,2722610.359999999403954,2614557.080000000540167,10368770.009999999776483
20170602,2573035.000000000000000,2511756.520000000018626,2746729.459999999962747,2635111.580000000540167,10466632.560000000521541
20170605,2555723.000000000000000,2513139.640000000130385,2729756.759999999310821,2646073.979999999981374,10444693.380000000819564
20170606,2525968.000000000000000,2498616.880000000353903,2701885.799999999348074,2625245.420000000391155,10351716.099999999627471
20170607,2544226.750000000000000,2507607.160000000149012,2714570.659999999683350,2633467.220000000204891,10399871.790000000968575
20170608,2568977.500000000000000,2522821.479999999981374,2705459.000000000000000,2633467.220000000204891,10430725.200000001117587
20170609,2570330.000000000000000,2469571.360000000335276,2706352.299999999348074,2591536.040000000037253,10337789.699999999254942
20170612,2569924.250000000000000,2470954.479999999981374,2652575.639999999664724,2562485.680000000167638,10255940.050000000745058
20170613,2584666.500000000000000,2481327.880000000353903,2676694.739999999292195,2605787.160000000149012,10348476.280000001192093
20170614,2602113.750000000000000,2457123.280000000260770,2692059.500000000000000,2612364.600000000093132,10363661.130000000819564
