代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11410792.120000001043081
真實報酬,1410792.120000001043081

夏普值報酬,0.132379212000000
夏普值風險,0.046471946788330
夏普值,2.848583309904342

預期報酬,6919.341018797534161
風險,167622.231196422595531
趨勢值,0.041279375470723
找到最佳解世代,1962
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
PG[21](1),V[25](17),WMT[28](2),
Stock#,PG[21](1),V[25](17),WMT[28](2),
張數,43641,42966,58234,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.420000000391155,30.720000000204891,18.839999999850988,
20151102,3342934.020000000018626,3231933.240000000223517,3354879.579999999608845,9929747.839999999850988
20151103,3362572.470000000204891,3347082.120000000577420,3383996.579999999608845,10093652.169999999925494
20151104,3363008.880000000353903,3366416.819999999832362,3399137.419999999925494,10128564.120000001043081
20151105,3333769.410000000614673,3405515.880000000353903,3413113.579999999608845,10152399.870000001043081
20151106,3297983.790000000037253,3383603.220000000204891,3423013.359999999869615,10104601.369999999180436
20151109,3290564.820000000763685,3353097.360000000335276,3406125.500000000000000,10049788.680000001564622
20151110,3306711.990000000223517,3414968.400000000372529,3417189.959999999962747,10138871.350000001490116
20151111,3315003.780000000260770,3402078.600000000558794,3353132.559999999590218,10070215.940000001341105
20151112,3258270.480000000447035,3364698.180000000167638,3316445.140000000130385,9939414.800000000745058
20151113,3227721.780000000260770,3356104.979999999981374,3285581.120000000111759,9869408.879999998956919
20151116,3286200.720000000204891,3390048.120000000577420,3370020.419999999925494,10046270.260000001639128
20151117,3276163.290000000037253,3387040.500000000000000,3489400.120000000111759,10152604.910000000149012
20151118,3312385.320000000763685,3457075.080000000074506,3548216.459999999962747,10317677.859999999403954
20151119,3326350.440000000409782,3443755.620000000577420,3534822.640000000130385,10304929.700000001117587
20151120,3308894.040000000037253,3445474.260000000242144,3498135.219999999739230,10252504.519999999552965
20151123,3315440.190000000409782,3442036.979999999981374,3509199.679999999701977,10266677.849999999627471
20151124,3336387.870000000577420,3428287.860000000335276,3489400.120000000111759,10254076.850000001490116
20151125,3312385.320000000763685,3418405.680000000167638,3508035.000000000000000,10238827.000000000000000
20151127,3303657.120000000577420,3430436.160000000149012,3487653.100000000093132,10221747.380000000819564
20151130,3266125.860000000335276,3394774.380000000353903,3426507.399999999906868,10087408.640000000596046
20151201,3314130.960000000428408,3433443.780000000260770,3435242.500000000000000,10182818.240000000223517
20151202,3307584.810000000521541,3396063.360000000335276,3397972.739999999757856,10101621.910000000149012
20151203,3305402.760000000242144,3363838.860000000335276,3438154.199999999720603,10107396.820000000298023
20151204,3396612.450000000186265,3454497.120000000577420,3474259.279999999795109,10325369.849999999627471
20151207,3420178.590000000782311,3417976.020000000018626,3523175.839999999850988,10361331.450000001117587
20151208,3393121.170000000391155,3397352.339999999850988,3471347.579999999608845,10261822.089999999850988
20151209,3390939.120000000577420,3346222.799999999813735,3443395.259999999776483,10180558.179999999701977
20151210,3394866.810000000521541,3356534.640000000596046,3468435.879999999888241,10219838.330000001937151
20151211,3394430.400000000372529,3270172.979999999981374,3456789.079999999608845,10121393.460000000894070
20151214,3416687.310000000521541,3302827.140000000596046,3516770.100000000093132,10236285.550000000745058
20151215,3477348.300000000745058,3378017.640000000596046,3473094.600000000093132,10328461.540000000968575
20151216,3534518.010000000242144,3431295.479999999981374,3511529.039999999571592,10477343.529999999329448
20151217,3503969.310000000521541,3381025.260000000242144,3434660.159999999683350,10319655.730000000447035
20151218,3409704.750000000000000,3279195.839999999850988,3427089.739999999757856,10115991.330000000074506
20151221,3445490.370000000577420,3315716.940000000409782,3467853.539999999571592,10229061.849999999627471
20151222,3473857.020000000018626,3324739.799999999813735,3525505.199999999720603,10324103.019999999552965
20151223,3487822.140000000596046,3375439.680000000167638,3557533.899999999906868,10420796.720000000670552
20151224,3482148.810000000521541,3362549.880000000353903,3542393.059999999590218,10387092.750000000000000
20151228,3487822.140000000596046,3374150.700000000186265,3537734.339999999850988,10399708.179999999701977
20151229,3507024.180000000167638,3403367.580000000074506,3587815.579999999608845,10498208.339999999850988
20151230,3494368.290000000037253,3366416.819999999832362,3591891.959999999962747,10452678.070000000298023
20151231,3465565.230000000447035,3332044.020000000018626,3569763.039999999571592,10367373.289999999105930
20160104,3420178.590000000782311,3252556.920000000391155,3579080.479999999981374,10251816.990000002086163
20160105,3431088.840000000782311,3277047.540000000037253,3664102.120000000111759,10372239.500000000000000
20160106,3397921.680000000167638,3234081.540000000037253,3700789.539999999571592,10332793.759999999776483
20160107,3368245.800000000745058,3170491.860000000335276,3786975.859999999869615,10325714.520000001415610
20160108,3315440.190000000409782,3131392.799999999813735,3700207.199999999720603,10147041.189999999478459
20160111,3345988.890000000596046,3176077.440000000409782,3739806.319999999832362,10261873.650000000372529
20160112,3339006.330000000540167,3212168.880000000353903,3704865.919999999925494,10256042.130000000819564
20160113,3310203.270000000018626,3140845.319999999832362,3605868.120000000111759,10056917.710000000894070
20160114,3323295.570000000763685,3170921.520000000018626,3672254.879999999888241,10166472.970000000670552
20160115,3272235.600000000558794,3086278.500000000000000,3606450.459999999962747,9964965.560000000521541
20160119,3348607.350000000558794,3067373.460000000428408,3643137.879999999888241,10059119.690000001341105
20160120,3309330.450000000186265,3036867.600000000558794,3542975.399999999906868,9889174.450000001117587
20160121,3348170.940000000409782,3074677.680000000167638,3603538.759999999776483,10026388.380000000819564
20160122,3376101.180000000167638,3123658.920000000391155,3650708.299999999813735,10150469.400000000372529
20160125,3353844.270000000018626,3082411.560000000055879,3694966.140000000130385,10131222.970000000670552
20160126,3439380.630000000353903,3088426.799999999813735,3726994.839999999850988,10254803.269999999552965
20160127,3438944.220000000204891,3046749.780000000260770,3724083.140000000130385,10209778.140000000596046
20160128,3483458.040000000037253,2978863.500000000000000,3739806.319999999832362,10202128.859999999403954
20160129,3565066.710000000428408,3200568.060000000055879,3864427.079999999608845,10630062.849999999627471
20160201,3540191.340000000782311,3195841.799999999813735,3930813.839999999850988,10666847.980000000447035
20160202,3500914.440000000409782,3153735.120000000577420,3893544.079999999608845,10548194.640000000596046
20160203,3539318.520000000018626,3195841.799999999813735,3859186.019999999552965,10594347.339999999850988
20160204,3521862.120000000577420,3165765.600000000558794,3867921.120000000111759,10555549.839999999850988
20160205,3543682.620000000577420,3073818.360000000335276,3901696.839999999850988,10519198.820000000298023
20160208,3605652.840000000782311,2911836.540000000037253,3895873.440000000409782,10413363.820000000298023
20160209,3606525.660000000614673,2935897.500000000000000,3832398.379999999888241,10374822.539999999105930
20160210,3562011.840000000782311,3014095.620000000577420,3831233.700000000186265,10407342.160000000149012
20160211,3486949.320000000763685,2941912.740000000223517,3803863.719999999273568,10232726.779999999329448
20160212,3534518.010000000242144,3025696.440000000409782,3853944.960000000428408,10414160.410000002011657
20160216,3555465.690000000409782,3054913.319999999832362,3837639.440000000409782,10448019.449999999254942
20160217,3598233.870000000577420,3094871.700000000186265,3849868.579999999608845,10542975.150000000372529
20160218,3577722.600000000558794,3060928.560000000055879,3733982.919999999925494,10372635.080000000074506
20160219,3569430.810000000521541,3073388.700000000186265,3765429.279999999795109,10408249.790000000968575
20160222,3584268.750000000000000,3139126.680000000167638,3821916.259999999776483,10545312.689999999478459
20160223,3570303.630000000353903,3100027.620000000577420,3871415.160000000149012,10541747.410000000149012
20160224,3559393.380000000353903,3087137.819999999832362,3908684.919999999925494,10555217.120000001043081
20160225,3593433.360000000335276,3148149.540000000037253,3962260.200000000186265,10703844.100000001490116
20160226,3539318.520000000018626,3124947.900000000372529,3873162.180000000167638,10537429.599999999627471
20160229,3503969.310000000521541,3110339.460000000428408,3863262.399999999906868,10477572.170000001788139
20160301,3544991.850000000558794,3207012.960000000428408,3870250.479999999515712,10622256.289999999105930
20160302,3602597.970000000204891,3192404.520000000018626,3855691.979999999515712,10650695.469999998807907
20160303,3615253.860000000335276,3175647.780000000260770,3851615.600000000093132,10642518.240000000223517
20160304,3643620.510000000242144,3175218.120000000577420,3888885.359999999869615,10707724.990000000223517
20160307,3626600.520000000018626,3091004.760000000242144,3953525.100000000093132,10671131.380000000819564
20160308,3624854.880000000353903,3034289.640000000596046,3962260.200000000186265,10621405.720000002533197
20160309,3620490.780000000260770,3036867.600000000558794,3932560.859999999869615,10589920.240000000223517
20160310,3590814.900000000372529,3017103.240000000223517,3925572.779999999795109,10533491.919999999925494
