代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12712078.000000001862645
真實報酬,2712078.000000001862645

夏普值報酬,0.262507800000000
夏普值風險,0.079583194738212
夏普值,3.298533074269233

預期報酬,12472.319628484861823
風險,165358.735340350598563
趨勢值,0.075425828595106
找到最佳解世代,1428
找到最佳解實驗#,2
找到最佳解次數,40

stock[index](rank)
投資組合檔數,5
HD[9](1),KO[14](11),TRV[22](5),V[25](2),WMT[28](7),
Stock#,HD[9](1),KO[14](11),TRV[22](5),V[25](2),WMT[28](7),
張數,47573,57159,33800,78802,33467,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,31.080000000074506,6.589999999850988,54.000000000000000,5.239999999990687,12.080000000074506,
20120103,2004757.300000000046566,2004572.719999999972060,1993916.000000000000000,2029156.739999999990687,2019076.189999999944121,10051478.949999999254942
20120104,2033301.100000000093132,1991997.739999999990687,1985804.000000000000000,1992907.819999999832362,1998326.650000000139698,10002337.310000000521541
20120105,2049951.650000000139698,1982852.299999999813735,2005408.000000000000000,2007880.199999999953434,1988621.220000000204891,10034713.370000001043081
20120106,2055184.680000000167638,1970277.319999999832362,2006084.000000000000000,1984239.599999999860302,1974565.080000000074506,9990350.679999999701977
20120109,2056611.869999999878928,1970277.319999999832362,2017576.000000000000000,1968479.199999999953434,1980589.140000000130385,9993533.529999999329448
20120110,2070883.770000000018626,1981709.119999999878928,2031434.000000000000000,1966115.139999999897555,1975903.760000000009313,10026045.789999999105930
20120111,2067553.660000000149012,1945127.359999999869615,2024674.000000000000000,1952718.800000000046566,1987951.880000000121072,9978025.699999999254942
20120112,2064223.550000000046566,1930837.609999999869615,2021294.000000000000000,1996847.919999999925494,1991298.580000000074506,10004501.660000000149012
20120113,2069932.310000000055879,1914261.500000000000000,2006760.000000000000000,1985027.620000000111759,1992637.260000000009313,9968618.690000001341105
20120117,2080874.100000000093132,1924550.119999999878928,2017576.000000000000000,2019700.500000000000000,2003012.030000000027940,10045712.750000000000000
20120118,2135107.320000000298023,1931980.789999999804422,2024336.000000000000000,2044917.139999999897555,2008366.750000000000000,10144708.000000000000000
20120119,2160321.009999999776483,1927979.659999999683350,2038194.000000000000000,2016548.419999999925494,2028446.949999999953434,10171490.039999999105930
20120120,2117505.310000000055879,1946270.539999999804422,2081796.000000000000000,1981875.539999999804422,2041833.750000000000000,10169281.140000000596046
20120123,2135107.320000000298023,1958845.520000000018626,2037856.000000000000000,1962175.039999999804422,2038487.050000000046566,10132470.929999999701977
20120124,2138913.160000000149012,1940554.639999999897555,1960454.000000000000000,1989755.739999999990687,2054551.210000000195578,10084228.750000000000000
20120125,2153185.060000000055879,1955987.569999999832362,1999324.000000000000000,1981087.520000000018626,2057228.570000000065193,10146812.720000000670552
20120126,2138437.430000000167638,1943984.179999999701977,1984114.000000000000000,1987391.679999999934807,2040495.070000000065193,10094422.359999999403954
20120127,2134631.589999999850988,1927408.069999999832362,1962144.000000000000000,1990543.760000000009313,2031793.650000000139698,10046521.070000000298023
20120130,2129874.290000000037253,1927979.659999999683350,1964172.000000000000000,1967691.179999999934807,2051539.179999999934807,10041256.309999998658895
20120131,2111796.550000000279397,1930266.020000000018626,1970594.000000000000000,1982663.560000000055879,2053547.199999999953434,10048867.330000000074506
20120201,2115602.390000000130385,1938839.869999999878928,2003380.000000000000000,2019700.500000000000000,2080990.140000000130385,10158512.900000000372529
20120202,2115126.660000000149012,1938839.869999999878928,2007436.000000000000000,2089834.280000000027940,2072958.060000000055879,10224194.870000001043081
20120203,2148903.490000000223517,1945698.949999999720603,2032110.000000000000000,2108746.759999999776483,2075970.090000000083819,10311429.289999999105930
20120206,2150330.680000000167638,1944555.770000000018626,2005408.000000000000000,2115050.919999999925494,2070950.040000000270084,10286295.410000000149012
20120207,2162699.660000000149012,1959417.109999999869615,2019266.000000000000000,2107958.740000000223517,2064591.310000000055879,10313932.820000000298023
20120208,2148903.490000000223517,1953129.619999999878928,2022984.000000000000000,2134751.419999999925494,2062248.619999999878928,10322017.150000000372529
20120209,2153660.790000000037253,1942841.000000000000000,2024336.000000000000000,2215129.459999999962747,2073627.400000000139698,10409594.650000000372529
20120210,2156515.169999999925494,1941697.819999999832362,2007098.000000000000000,2244286.200000000186265,2071619.380000000121072,10421216.570000000298023
20120213,2185058.970000000204891,1955987.569999999832362,1993916.000000000000000,2220645.599999999627471,2067938.010000000009313,10423546.150000000372529
20120214,2191243.459999999962747,1969134.139999999897555,1999662.000000000000000,2270290.860000000335276,2082328.820000000065193,10512659.280000001192093
20120215,2174592.910000000149012,1954844.389999999897555,2004056.000000000000000,2267926.799999999813735,2066934.000000000000000,10468354.099999999627471
20120216,2185058.970000000204891,1967990.959999999729916,2009126.000000000000000,2241922.139999999664724,2076304.760000000009313,10480402.830000000074506
20120217,2222165.910000000149012,1973706.859999999869615,2022984.000000000000000,2265562.740000000223517,2091030.239999999990687,10575449.750000000000000
20120221,2232156.240000000223517,1966847.779999999562278,2003380.000000000000000,2249802.339999999850988,2010374.770000000018626,10462561.129999998956919
20120222,2215505.689999999944121,1979422.760000000009313,1992226.000000000000000,2292355.419999999925494,1961178.280000000027940,10440688.150000000372529
20120223,2233583.430000000167638,1977136.400000000139698,1992902.000000000000000,2294719.480000000447035,1959170.260000000009313,10457511.570000000298023
20120224,2235010.620000000111759,1971992.089999999850988,1980734.000000000000000,2315996.020000000484288,1967537.010000000009313,10471269.740000000223517
20120227,2232631.970000000204891,1967419.369999999878928,1980734.000000000000000,2302599.679999999701977,1956492.900000000139698,10439877.919999999925494
20120228,2246903.870000000111759,1967419.369999999878928,1973974.000000000000000,2343576.719999999739230,1972222.390000000130385,10504096.350000001490116
20120229,2263078.689999999944121,1996570.459999999729916,1959440.000000000000000,2292355.419999999925494,1977242.439999999944121,10488687.009999999776483
20120301,2257845.660000000149012,1989139.789999999804422,1974650.000000000000000,2308903.839999999850988,1968541.020000000018626,10499080.309999998658895
20120302,2255467.009999999776483,1977136.400000000139698,1960792.000000000000000,2288415.320000000298023,1974899.750000000000000,10456710.480000000447035
20120305,2254515.550000000279397,1978851.169999999692664,1977354.000000000000000,2289991.360000000335276,1987951.880000000121072,10488663.960000000894070
20120306,2206942.550000000279397,1965133.010000000009313,1926316.000000000000000,2262410.660000000149012,1973561.070000000065193,10334363.290000000968575
20120307,2254515.550000000279397,1966276.189999999711290,1922260.000000000000000,2278171.059999999590218,2003346.699999999953434,10424569.500000000000000
20120308,2274971.939999999944121,1979994.349999999860302,1930034.000000000000000,2323876.219999999739230,2000334.670000000158325,10509211.179999999701977
20120309,2288292.380000000353903,1986853.429999999701977,1947272.000000000000000,2308115.820000000298023,2010709.439999999944121,10541243.070000000298023
20120312,2311603.150000000372529,2005144.309999999823049,1947272.000000000000000,2295507.500000000000000,2030789.640000000130385,10590316.600000001490116
20120313,2337768.300000000279397,2008002.260000000009313,1974312.000000000000000,2310479.879999999888241,2041499.080000000074506,10672061.520000001415610
