代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12793534.559999998658895
真實報酬,2793534.559999998658895

夏普值報酬,0.270653456000000
夏普值風險,0.083234890639611
夏普值,3.251682724878818

預期報酬,11659.730385874927379
風險,278628.099379668477923
趨勢值,0.041846929336395
找到最佳解世代,2097
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
NKE[19](6),PG[21](1),V[25](2),
Stock#,NKE[19](6),PG[21](1),V[25](2),
張數,44373,35269,23522,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.239999999757856,59.809999999590218,30.379999999888241,
20181203,3458464.859999999869615,3291362.889999999199063,3410720.379999999888241,10160549.129999998956919
20181204,3363062.910000000149012,3291010.199999999720603,3261120.459999999497086,9915194.569999998435378
20181206,3351969.660000000149012,3299474.759999999310821,3317808.479999999981374,9969253.900000000372529
20181207,3254349.060000000055879,3260678.859999999869615,3225131.800000000279397,9740160.720000000670552
20181210,3217519.470000000204891,3281134.879999999422580,3243243.739999999757856,9741899.089999999850988
20181211,3264554.849999999627471,3312171.599999999627471,3218075.199999999720603,9794802.649999998509884
20181212,3297834.599999999627471,3316403.879999999422580,3241361.979999999981374,9855601.459999999031425
20181213,3236156.129999999888241,3403165.619999999180436,3235246.259999999776483,9874569.009999997913837
20181214,3218406.929999999701977,3408455.969999999739230,3177617.359999999869615,9804481.259999999776483
20181217,3101705.939999999944121,3271964.939999999478459,3090821.180000000167638,9464493.059999998658895
20181218,3157172.189999999944121,3262089.619999999180436,3120458.899999999906868,9539721.709999999031425
20181219,3060439.049999999813735,3236343.250000000000000,3087528.099999999627471,9384311.399999998509884
20181220,2996541.929999999701977,3208833.429999999701977,3028723.099999999627471,9234099.459999999031425
20181221,3211307.250000000000000,3208480.739999999757856,2922874.100000000093132,9342663.089999999850988
20181224,3021834.539999999571592,3081159.649999999441206,2863363.439999999944121,8966358.629999998956919
20181226,3239705.970000000204891,3177444.019999999552965,3063300.439999999478459,9480451.429999999701977
20181227,3268992.149999999906868,3245513.189999999478459,3105169.599999999627471,9619675.939999999478459
20181228,3254349.060000000055879,3215887.229999999981374,3080001.060000000055879,9550238.349999999627471
20181231,3289847.459999999962747,3241986.289999999571592,3103523.060000000055879,9635357.810000000521541
20190102,3286297.619999999646097,3219414.129999999422580,3126574.619999999646097,9632287.369999999180436
20190103,3228168.989999999757856,3196841.969999999739230,3013904.239999999757856,9438916.199999999254942
20190104,3312477.689999999944121,3262089.619999999180436,3143745.680000000167638,9718313.989999998360872
20190107,3359956.799999999813735,3249040.089999999850988,3200433.699999999720603,9809431.589999999850988
20190108,3404773.529999999795109,3261031.549999999348074,3217839.979999999981374,9883646.059999998658895
20190109,3398561.310000000055879,3207775.359999999869615,3255710.399999999906868,9862048.070000000298023
20190110,3391017.899999999906868,3215534.539999999571592,3261826.119999999646097,9868379.559999998658895
20190111,3374156.160000000149012,3236695.939999999478459,3247477.699999999720603,9858330.799999998882413
20190114,3376374.810000000055879,3214829.159999999683350,3224896.579999999608845,9816101.549999998882413
20190115,3455802.479999999515712,3245160.500000000000000,3230541.859999999869615,9931505.839999999850988
20190116,3446927.879999999888241,3222588.339999999850988,3230541.859999999869615,9900059.080000000074506
20190117,3511268.729999999515712,3196841.969999999739230,3229130.540000000037253,9937242.239999998360872
20190118,3569841.089999999850988,3224351.789999999571592,3257827.379999999888241,10052021.259999997913837
20190122,3583152.989999999757856,3189788.169999999459833,3247242.479999999981374,10020184.639999998733401
20190123,3572059.739999999757856,3344971.769999999552965,3222779.599999999627471,10139812.109999999403954
20190124,3569397.359999999869615,3325926.509999999310821,3239009.779999999795109,10134334.649999998509884
20190125,3576940.769999999552965,3301238.209999999497086,3261826.119999999646097,10140006.099999997764826
20190128,3564072.599999999627471,3298416.689999999478459,3198787.160000000149012,10061277.449999999254942
20190129,3559635.299999999813735,3299122.069999999832362,3175500.379999999888241,10034258.750000000000000
20190130,3606670.679999999701977,3333685.689999999478459,3236657.579999999608845,10177014.949999999254942
20190131,3633294.479999999515712,3402460.239999999757856,3175735.599999999627471,10211491.319999998435378
20190201,3616876.470000000204891,3437729.239999999757856,3296638.680000000167638,10351245.390000000596046
20190204,3638175.509999999310821,3457479.879999999422580,3328393.379999999888241,10424049.769999999552965
20190205,3676780.019999999552965,3436671.169999999459833,3352621.040000000037253,10466073.230000000447035
20190206,3670124.069999999366701,3453600.289999999571592,3328158.160000000149012,10451883.519999999552965
20190207,3655924.709999999962747,3426090.469999999739230,3297109.119999999646097,10379125.299999998882413
20190208,3654593.519999999552965,3446193.799999999348074,3302048.739999999757856,10402837.059999998658895
20190211,3713165.879999999888241,3465944.439999999478459,3311927.979999999981374,10491039.299999998882413
20190212,3758870.069999999366701,3500860.750000000000000,3339919.160000000149012,10599650.980000000447035
20190213,3789487.439999999944121,3500155.369999999180436,3375202.160000000149012,10664845.969999998807907
20190214,3757538.879999999888241,3472645.549999999348074,3367439.899999999906868,10597625.330000000074506
20190215,3788599.979999999515712,3473350.929999999701977,3408603.399999999906868,10670555.309999998658895
20190219,3752657.849999999627471,3526607.119999999180436,3397548.060000000055879,10676814.029999999329448
20190220,3764638.560000000055879,3501566.129999999422580,3404369.439999999478459,10670575.129999998956919
20190221,3725146.589999999850988,3519200.629999999422580,3387198.379999999888241,10631546.599999997764826
20190222,3761088.720000000204891,3535777.059999999590218,3431184.520000000018626,10728051.299999998882413
20190225,3779281.649999999906868,3511794.139999999199063,3435653.699999999720603,10726730.489999998360872
20190226,3807236.639999999664724,3520964.079999999608845,3458705.259999999776483,10786906.979999998584390
20190227,3823654.649999999906868,3488516.599999999627471,3462939.219999999739230,10775111.469999998807907
20190228,3804130.529999999795109,3475819.759999999310821,3484109.020000000018626,10764060.309999998658895
20190301,3867583.919999999459833,3471940.169999999459833,3515863.719999999739230,10855388.809999998658895
20190304,3800136.959999999962747,3487105.839999999850988,3480345.500000000000000,10767589.300000000745058
20190305,3791262.359999999869615,3494865.019999999552965,3480110.279999999795109,10766238.659999998286366
20190306,3777506.729999999515712,3489221.979999999981374,3476817.199999999720603,10743546.909999998286366
20190307,3783275.220000000204891,3475819.759999999310821,3453765.640000000130385,10712861.619999999180436
20190308,3762863.639999999664724,3470882.099999999627471,3465997.079999999608845,10699743.819999998435378
20190311,3808124.099999999627471,3512146.829999999608845,3544090.119999999646097,10864362.049999998882413
20190312,3790818.629999999888241,3528723.259999999310821,3569023.439999999478459,10888566.329999998211861
20190313,3813005.129999999888241,3568577.229999999981374,3586429.719999999739230,10968013.079999998211861
20190314,3854715.750000000000000,3573514.889999999199063,3627122.779999999795109,11055354.419999998062849
20190315,3851609.639999999664724,3613016.169999999459833,3656760.500000000000000,11121387.309999998658895
20190318,3896870.099999999627471,3580216.000000000000000,3644999.500000000000000,11122086.599999999627471
20190319,3891101.609999999869615,3593970.909999999683350,3636296.359999999869615,11121369.879999998956919
20190320,3846728.609999999869615,3587622.489999999757856,3616537.879999999888241,11050889.980000000447035
20190321,3905300.970000000204891,3614779.619999999180436,3664757.979999999981374,11184839.570000000298023
20190322,3647050.109999999869615,3585506.349999999627471,3600542.919999999925494,10833100.379999998956919
20190325,3653262.329999999608845,3596087.049999999348074,3599602.040000000037253,10848952.419999998062849
20190326,3699853.979999999515712,3633472.189999999478459,3652996.979999999981374,10986324.149999998509884
20190327,3686985.810000000055879,3629239.909999999683350,3627593.219999999739230,10943819.939999999478459
20190328,3729140.160000000149012,3652164.759999999310821,3638178.119999999646097,11019484.039999999105930
20190329,3736683.569999999366701,3669799.259999999310821,3673931.560000000055879,11080415.389999998733401
20190401,3781944.029999999795109,3655338.969999999739230,3699100.099999999627471,11136384.099999999627471
20190402,3743783.250000000000000,3659218.559999999590218,3711331.540000000037253,11114334.349999999627471
20190403,3748220.549999999813735,3657102.419999999459833,3727326.500000000000000,11132650.469999998807907
20190404,3784162.679999999701977,3647932.479999999981374,3708038.459999999497086,11140134.619999999180436
20190405,3789487.439999999944121,3655691.659999999683350,3708273.680000000167638,11153453.779999999329448
20190408,3759757.529999999795109,3702246.739999999757856,3710625.879999999888241,11172631.149999998509884
20190409,3739789.679999999701977,3691313.349999999627471,3704510.160000000149012,11135614.189999999478459
20190410,3766413.479999999515712,3690960.659999999683350,3729678.699999999720603,11187053.839999997988343
20190411,3771738.239999999757856,3694487.559999999590218,3713213.300000000279397,11179440.099999999627471
20190412,3826760.759999999310821,3705420.949999999720603,3755082.459999999497086,11287265.169999998062849
20190415,3852940.829999999608845,3729051.179999999701977,3773900.060000000055879,11355893.070000000298023
20190416,3895982.639999999664724,3753386.789999999571592,3768960.439999999478459,11418330.869999999180436
20190417,3937249.529999999795109,3733283.459999999497086,3773900.060000000055879,11444434.049999998882413
20190418,3958104.839999999850988,3740337.259999999310821,3767313.899999999906868,11465757.000000000000000
20190422,3876458.519999999552965,3738926.500000000000000,3772959.180000000167638,11388345.199999999254942
20190423,3879564.629999999888241,3638409.849999999627471,3802596.899999999906868,11320572.379999998956919
20190424,3922162.709999999962747,3657102.419999999459833,3798598.160000000149012,11377864.289999999105930
20190425,3885333.119999999646097,3642642.129999999422580,3787542.820000000298023,11315519.070000000298023
20190426,3918612.869999999646097,3733636.149999999441206,3832469.839999999850988,11484719.859999999403954
20190429,3916394.220000000204891,3695545.629999999422580,3861166.680000000167638,11473107.529999999329448
20190430,3897313.829999999608845,3755502.929999999701977,3867752.839999999850988,11520570.599999999627471
20190501,3811673.939999999944121,3700835.979999999981374,3829176.759999999776483,11341687.679999999701977
20190502,3783718.949999999720603,3723055.449999999720603,3789895.020000000018626,11296670.419999999925494
20190503,3802799.339999999850988,3741395.329999999608845,3811535.259999999776483,11355730.929999999701977
20190506,3708284.849999999627471,3727287.729999999981374,3817180.540000000037253,11252754.120000001043081
20190507,3662580.660000000149012,3692724.109999999869615,3768490.000000000000000,11123795.769999999552965
20190508,3672786.449999999720603,3705773.639999999199063,3781427.099999999627471,11159988.189999997615814
20190509,3682104.779999999795109,3676500.369999999180436,3759081.199999999720603,11117687.349999997764826
20190510,3725146.589999999850988,3738926.500000000000000,3780251.000000000000000,11244325.089999999850988
20190513,3662136.929999999701977,3742453.399999999441206,3700746.640000000130385,11105337.969999998807907
20190514,3712722.149999999906868,3724466.209999999497086,3768490.000000000000000,11205679.359999999403954
20190515,3727808.970000000204891,3763262.109999999869615,3829176.759999999776483,11320248.839999999850988
20190516,3739789.679999999701977,3812991.399999999441206,3878102.520000000018626,11430884.599999999627471
20190517,3752657.849999999627471,3789713.859999999869615,3859755.359999999869615,11402128.069999998435378
20190520,3676336.289999999571592,3785481.579999999608845,3845171.719999999739230,11306990.589999999850988
20190521,3711390.959999999962747,3751623.339999999850988,3854345.300000000279397,11317360.599999999627471
20190522,3691866.839999999850988,3763967.489999999757856,3863283.660000000149012,11319118.990000000223517
20190523,3667017.959999999962747,3765378.250000000000000,3799068.599999999627471,11231465.809999998658895
20190524,3645718.919999999459833,3762909.419999999459833,3825648.459999999497086,11234277.799999998882413
20190528,3603120.839999999850988,3684259.549999999348074,3850817.000000000000000,11138198.389999998733401
20190529,3499731.750000000000000,3674736.919999999459833,3827765.439999999478459,11002235.109999999403954
20190530,3517037.220000000204891,3714943.579999999608845,3828471.099999999627471,11060452.899999998509884
20190531,3422966.459999999962747,3629592.599999999627471,3794834.640000000130385,10847394.699999999254942
20190603,3459352.319999999366701,3660982.009999999310821,3730619.579999999608845,10850954.909999998286366
20190604,3621757.500000000000000,3692018.729999999981374,3818356.640000000130385,11132133.870000001043081
20190605,3670567.799999999813735,3764320.179999999701977,3890333.959999999497086,11325222.939999999478459
20190606,3658587.089999999850988,3787245.029999999329448,3926322.619999999646097,11372155.739999998360872
20190607,3701185.169999999459833,3836268.939999999478459,3999946.479999999981374,11537401.589999999850988
20190610,3664355.579999999608845,3834505.489999999757856,4018058.419999999925494,11516920.489999998360872
20190611,3694529.220000000204891,3857783.029999999329448,4006062.199999999720603,11558375.449999999254942
20190612,3666574.229999999515712,3868363.729999999981374,4036170.359999999869615,11571109.319999998435378
20190613,3710059.769999999552965,3911744.599999999627471,3983481.079999999608845,11605286.449999999254942
20190614,3702516.359999999869615,3921972.609999999869615,3990772.899999999906868,11615262.869999999180436
20190617,3643500.269999999552965,3914566.119999999180436,3988420.699999999720603,11546488.089999997988343
20190618,3740677.139999999664724,3865542.209999999497086,3981834.540000000037253,11588054.890000000596046
20190619,3707397.389999999664724,3894462.789999999571592,4015000.560000000055879,11616861.740000000223517
20190620,3782387.759999999310821,3941017.869999999180436,4086742.660000000149012,11810149.289999999105930
20190621,3805017.989999999757856,3921972.609999999869615,4079686.060000000055879,11806677.660000000149012
20190624,3749551.739999999757856,3961826.579999999608845,4089330.079999999608845,11800709.399999998509884
20190625,3666130.500000000000000,3940312.489999999757856,4028878.540000000037253,11635322.530000001192093
20190626,3663024.389999999664724,3870127.179999999701977,4023703.699999999720603,11556856.269999999552965
20190627,3712278.419999999459833,3871890.629999999422580,4027702.439999999478459,11611872.489999998360872
