代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14028258.589999997988343
真實報酬,4028258.589999997988343

夏普值報酬,0.394125859000000
夏普值風險,0.114369540512091
夏普值,3.446073641944321

預期報酬,19256.112387379387656
風險,290880.608471346844453
趨勢值,0.066199367804459
找到最佳解世代,2497
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](6),INTC[11](3),MSFT[18](1),UNH[23](5),V[25](2),
Stock#,CSCO[4](6),INTC[11](3),MSFT[18](1),UNH[23](5),V[25](2),
張數,63897,59276,29014,10786,21326,
20180406,2602548.709999999497086,2892103.799999999813735,2617998.200000000186265,2415692.440000000409782,2510117.919999999925494,13038461.070000000298023
20180409,2630663.390000000130385,2937153.559999999590218,2633665.759999999776483,2402425.660000000149012,2533363.259999999776483,13137271.629999998956919
20180410,2716285.369999999646097,3039108.279999999795109,2694885.299999999813735,2446216.820000000298023,2574522.440000000409782,13471018.210000000894070
20180411,2711173.609999999869615,3029031.359999999869615,2665291.019999999552965,2393473.280000000260770,2554476.000000000000000,13353445.269999999552965
20180412,2769319.880000000353903,3125058.479999999515712,2715195.099999999627471,2418712.520000000484288,2581986.540000000037253,13610272.519999999552965
20180413,2747594.899999999906868,3074081.119999999646097,2700688.099999999627471,2419143.959999999962747,2575162.219999999739230,13516670.299999997019768
20180416,2766763.999999999534339,3106090.159999999683350,2732313.359999999403954,2484291.400000000372529,2599260.599999999627471,13688719.519999999552965
20180417,2849191.130000000353903,3173664.799999999813735,2787439.959999999962747,2573060.180000000633299,2640206.519999999552965,14023562.589999999850988
20180418,2851747.010000000242144,3177814.119999999646097,2798175.139999999664724,2549870.280000000260770,2640206.519999999552965,14017813.070000000298023
20180419,2847274.220000000204891,3095420.479999999515712,2788600.519999999552965,2542967.240000000223517,2643618.679999999701977,13917881.139999998733401
20180420,2817242.630000000353903,3054520.040000000037253,2756394.979999999515712,2535417.040000000037253,2648736.919999999925494,13812311.609999997541308
20180423,2827466.149999999906868,3029031.359999999869615,2766549.879999999888241,2527651.120000000111759,2654281.679999999701977,13804980.190000001341105
20180424,2794878.680000000167638,3049777.959999999962747,2701848.660000000149012,2526356.799999999813735,2586251.740000000223517,13659113.840000001713634
20180425,2792961.770000000018626,3045628.640000000130385,2678347.319999999366701,2526356.799999999813735,2584972.179999999701977,13628266.710000000894070
20180426,2824910.270000000018626,3144619.559999999590218,2734924.620000000111759,2556665.459999999962747,2710155.799999999813735,13971275.710000000894070
20180427,2856858.770000000018626,3125651.239999999757856,2780186.459999999962747,2590641.360000000335276,2687336.980000000447035,14040674.809999998658895
20180430,2830022.029999999795109,3059854.879999999422580,2713454.259999999776483,2549870.280000000260770,2705890.599999999627471,13859092.049999998882413
20180501,2864526.409999999683350,3161216.839999999850988,2756394.979999999515712,2554723.980000000447035,2719325.980000000447035,14056188.190000001341105
20180502,2802546.319999999832362,3100755.319999999832362,2713164.120000000111759,2518159.440000000409782,2695227.599999999627471,13829852.799999998882413
20180503,2839606.579999999608845,3098977.040000000037253,2729411.959999999962747,2525601.780000000260770,2712288.400000000372529,13905885.759999999776483
20180504,2894557.999999999534339,3128615.040000000037253,2761037.219999999739230,2544477.280000000260770,2733187.879999999888241,14061875.419999998062849
20180507,2922033.709999999497086,3161216.839999999850988,2791792.059999999590218,2521610.959999999962747,2756646.479999999515712,14153300.050000000745058
20180508,2920755.770000000018626,3178999.640000000130385,2779896.319999999366701,2502735.459999999962747,2770295.120000000111759,14152682.310000002384186
20180509,2941841.779999999795109,3221085.600000000093132,2812682.139999999664724,2472318.940000000409782,2790341.559999999590218,14238270.019999999552965
20180510,2958454.999999999534339,3259022.239999999757856,2840825.719999999739230,2520855.940000000409782,2790341.559999999590218,14369500.459999997168779
20180511,2934813.109999999869615,3240646.679999999701977,2834732.780000000260770,2570147.959999999962747,2811241.040000000037253,14391581.570000000298023
20180514,2920116.800000000279397,3254280.159999999683350,2844307.399999999441206,2619979.280000000260770,2798232.179999999701977,14436915.820000000298023
20180515,2906059.459999999497086,3196189.679999999701977,2823707.459999999962747,2583306.879999999888241,2795886.320000000298023,14305149.799999997019768
20180516,2885612.419999999459833,3238868.399999999906868,2818775.080000000074506,2607251.799999999813735,2791407.859999999403954,14341915.559999998658895
20180517,2776987.520000000018626,3248945.319999999832362,2790631.500000000000000,2620626.440000000409782,2770934.900000000372529,14208125.680000001564622
20180518,2761013.270000000018626,3248945.319999999832362,2795854.019999999552965,2638746.919999999925494,2770934.900000000372529,14215494.429999999701977
20180521,2795517.649999999906868,3219900.079999999608845,2831831.379999999888241,2673909.280000000260770,2786502.879999999888241,14307661.269999999552965
20180522,2789127.949999999720603,3227605.959999999962747,2828929.979999999515712,2644571.360000000335276,2787569.179999999701977,14277804.429999999701977
20180523,2791044.859999999869615,3272655.719999999739230,2862586.219999999739230,2634648.240000000223517,2812520.599999999627471,14373455.640000000596046
20180524,2784016.189999999944121,3245388.759999999776483,2852431.319999999366701,2618145.660000000149012,2812733.859999999403954,14312715.789999999105930
20180525,2764208.119999999646097,3286289.199999999720603,2853882.019999999552965,2642090.580000000074506,2799725.000000000000000,14346194.919999999925494
20180529,2745677.989999999757856,3279176.079999999608845,2843727.120000000111759,2612105.500000000000000,2765816.660000000149012,14246503.349999999627471
20180530,2738010.350000000093132,3300515.439999999944121,2871000.280000000260770,2641982.719999999739230,2786076.359999999403954,14337585.149999998509884
20180531,2729064.770000000018626,3272062.959999999962747,2867808.740000000223517,2604986.740000000223517,2787782.440000000409782,14261705.650000002235174
20180601,2789766.919999999459833,3383501.839999999850988,2924386.040000000037253,2624832.980000000447035,2790554.820000000298023,14513042.600000001490116
20180604,2784655.159999999683350,3368682.839999999850988,2949918.359999999403954,2638639.060000000521541,2837898.540000000037253,14579793.960000000894070
20180605,2790405.890000000130385,3350900.040000000037253,2965005.639999999664724,2636481.860000000335276,2848348.280000000260770,14591141.710000000894070
20180606,2828105.119999999646097,3380538.040000000037253,2973709.839999999850988,2681998.780000000260770,2906355.000000000000000,14770706.780000001192093
20180607,2789127.949999999720603,3312370.640000000130385,2926997.299999999813735,2685558.160000000149012,2854319.559999999590218,14568373.609999999403954
20180608,2778265.459999999497086,3263171.559999999590218,2948757.799999999813735,2703894.360000000335276,2873512.959999999962747,14567602.140000000596046
20180611,2791683.829999999608845,3231755.279999999795109,2931929.679999999701977,2737330.959999999962747,2855812.379999999888241,14548512.129999998956919
20180612,2807658.079999999608845,3249538.079999999608845,2939473.319999999366701,2735173.760000000707805,2876072.080000000074506,14607915.319999998435378
20180613,2812130.869999999646097,3261986.040000000037253,2926126.879999999888241,2727515.700000000186265,2866262.120000000111759,14594021.609999999403954
20180614,2855580.829999999608845,3292216.799999999813735,2942664.859999999403954,2754049.260000000707805,2879057.719999999739230,14723569.469999998807907
20180615,2827466.149999999906868,3266728.119999999646097,2905236.799999999813735,2761060.160000000149012,2881190.320000000298023,14641681.550000000745058
20180618,2824910.270000000018626,3154696.479999999515712,2926417.019999999552965,2749087.700000000186265,2904648.919999999925494,14559760.389999998733401
20180619,2799990.439999999944121,3137506.439999999944121,2926417.019999999552965,2729133.600000000558794,2881403.580000000074506,14474451.080000000074506
20180620,2794878.680000000167638,3137506.439999999944121,2955721.160000000149012,2726868.540000000037253,2889720.719999999739230,14504695.539999999105930
20180621,2757818.419999999459833,3093642.199999999720603,2934540.939999999478459,2716945.419999999925494,2869034.500000000000000,14371981.479999998584390
20180622,2760374.300000000279397,3112017.759999999776483,2913360.719999999739230,2743694.700000000186265,2886095.299999999813735,14415542.780000001192093
20180625,2702228.029999999795109,3005913.719999999739230,2854752.439999999478459,2704217.940000000409782,2792260.900000000372529,14059373.029999999329448
20180626,2718841.249999999534339,2944266.679999999701977,2874772.099999999627471,2694079.100000000558794,2826809.020000000484288,14058768.149999998509884
20180627,2704783.909999999683350,2890325.519999999552965,2830090.540000000037253,2676821.500000000000000,2794180.240000000223517,13896201.709999999031425
20180628,2743761.079999999608845,2919370.759999999776483,2861715.799999999813735,2641551.280000000260770,2830860.959999999962747,13997259.880000002682209
20180629,2749511.810000000055879,2946637.719999999739230,2861135.519999999552965,2646297.120000000111759,2824676.419999999925494,14028258.589999997988343
