代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13066227.640000000596046
真實報酬,3066227.640000000596046

夏普值報酬,0.297922764000000
夏普值風險,0.071525195507012
夏普值,4.165284161590177

預期報酬,11651.159266488131834
風險,203220.444411408825545
趨勢值,0.057332613853068
找到最佳解世代,2105
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),DIS[6](1),KO[14](20),MRK[17](4),MSFT[18](2),UNH[23](3),
Stock#,AAPL[0](7),DIS[6](1),KO[14](20),MRK[17](4),MSFT[18](2),UNH[23](3),
張數,22320,24298,42119,36963,47067,24416,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,31.599999999860302,66.179999999934807,17.169999999925494,4.329999999841675,23.530000000260770,29.839999999850988,
20131101,1658184.399999999906868,1676871.160000000149012,1668350.760000000009313,1671840.819999999832362,1672314.040000000270084,1675699.919999999692664,10023265.099999999627471
20131104,1679611.599999999860302,1672011.560000000055879,1664138.859999999869615,1689952.689999999711290,1691611.510000000242144,1683513.039999999804422,10080843.259999997913837
20131105,1675370.799999999813735,1672983.479999999748543,1663717.669999999925494,1676646.009999999776483,1724558.410000000381842,1677897.359999999869615,10091177.729999998584390
20131106,1661086.000000000000000,1676628.179999999934807,1686883.119999999878928,1698823.809999999823049,1797041.590000000316650,1716230.479999999981374,10236697.179999999701977
20131107,1634078.799999999813735,1631676.880000000121072,1677616.939999999944121,1693648.989999999757856,1765036.030000000260770,1703290.000000000000000,10105351.640000000596046
20131108,1659970.000000000000000,1666423.019999999785796,1686883.119999999878928,1729872.729999999748543,1778214.790000000270084,1721357.839999999850988,10242725.500000000000000
20131111,1655059.600000000093132,1660591.500000000000000,1679301.699999999720603,1737265.329999999841675,1769272.060000000521541,1721357.839999999850988,10222852.030000001192093
20131112,1658184.399999999906868,1646741.639999999897555,1679722.890000000130385,1759073.500000000000000,1758446.650000000139698,1707929.039999999804422,10210102.119999999180436
20131113,1660193.199999999720603,1675899.239999999990687,1689831.449999999720603,1749832.750000000000000,1796100.250000000000000,1733810.000000000000000,10305670.889999998733401
20131114,1684075.599999999860302,1701412.139999999897555,1693622.159999999916181,1767574.989999999757856,1789510.870000000344589,1744308.879999999888241,10380508.640000000596046
20131115,1674031.599999999860302,1700926.179999999934807,1694043.349999999860302,1776815.739999999757856,1781038.810000000521541,1754807.760000000009313,10381667.439999999478459
20131118,1653720.399999999906868,1688777.179999999934807,1691937.399999999906868,1774597.959999999729916,1750915.930000000400469,1750168.719999999972060,10310121.590000001713634
20131119,1656621.999999999767169,1679543.939999999944121,1690673.829999999841675,1776815.739999999757856,1729265.110000000335276,1748459.599999999860302,10281384.220000000670552
20131120,1642113.999999999767169,1682216.719999999972060,1687304.310000000055879,1779033.520000000018626,1745267.890000000130385,1757493.520000000018626,10293433.959999999031425
20131121,1661755.599999999860302,1699468.299999999813735,1702888.339999999850988,1797145.389999999664724,1760329.330000000307336,1780200.399999999674037,10401791.359999999403954
20131122,1657514.800000000046566,1705785.780000000027940,1702888.339999999850988,1808973.549999999813735,1768330.720000000204891,1800465.679999999701977,10443962.869999999180436
20131125,1670013.999999999767169,1694608.699999999720603,1700361.199999999720603,1835586.909999999683350,1771625.410000000381842,1808522.959999999729916,10480723.179999997839332
20131126,1700815.599999999860302,1729597.820000000065193,1695306.919999999925494,1832629.869999999878928,1757975.980000000214204,1819510.159999999683350,10535840.349999999627471
20131127,1740768.399999999674037,1719635.639999999897555,1692779.779999999795109,1841870.619999999878928,1769742.730000000214204,1815603.599999999860302,10580404.769999999552965
20131129,1773132.399999999906868,1714047.100000000093132,1692779.779999999795109,1841870.619999999878928,1794688.240000000456348,1818533.520000000018626,10635055.660000000149012
20131202,1757731.599999999860302,1723037.359999999869615,1688146.689999999944121,1854807.669999999925494,1809749.680000000400469,1810720.399999999674037,10644197.400000000372529
20131203,1805719.600000000093132,1698496.380000000121072,1699518.820000000065193,1839283.209999999729916,1803160.300000000279397,1800221.520000000018626,10646403.830000000074506
20131204,1801478.799999999813735,1700197.239999999990687,1700361.199999999720603,1822649.859999999869615,1832812.510000000242144,1798268.239999999990687,10655771.849999999627471
20131205,1810853.199999999720603,1706514.719999999972060,1677616.939999999944121,1804168.359999999869615,1788569.530000000260770,1776293.839999999850988,10564020.589999999850988
20131206,1785631.599999999860302,1736401.259999999776483,1704151.909999999916181,1825606.899999999906868,1805513.650000000139698,1794605.839999999850988,10651915.160000000149012
20131209,1806166.000000000000000,1727896.959999999962747,1701624.769999999785796,1831890.609999999869615,1821987.100000000325963,1799977.359999999869615,10689546.799999998882413
20131210,1803264.399999999906868,1739074.039999999804422,1678459.320000000065193,1827085.419999999925494,1793746.900000000139698,1808034.639999999897555,10649668.720000000670552
20131211,1789872.399999999906868,1713561.139999999897555,1690252.640000000130385,1809343.179999999934807,1770213.400000000139698,1761400.079999999841675,10534646.839999999850988
20131212,1787417.199999999720603,1691935.919999999925494,1651503.159999999916181,1786056.489999999757856,1751857.270000000251457,1733810.000000000000000,10402584.039999999105930
20131213,1767775.599999999860302,1691692.939999999944121,1652345.539999999804422,1788274.270000000018626,1726911.760000000242144,1720869.520000000018626,10347873.629999998956919
20131216,1777596.399999999906868,1713318.160000000149012,1654030.300000000046566,1777555.000000000000000,1735854.490000000456348,1735030.799999999813735,10393389.150000002235174
20131217,1769561.199999999953434,1716962.859999999869615,1646870.070000000065193,1770532.029999999795109,1718910.370000000344589,1726973.520000000018626,10349814.050000000745058
20131218,1756169.199999999953434,1754381.780000000027940,1685619.550000000046566,1807495.029999999795109,1721734.390000000130385,1767259.919999999692664,10492663.870000001043081
20131219,1736081.199999999953434,1773091.239999999990687,1678880.510000000009313,1803429.099999999860302,1706202.280000000260770,1767504.079999999841675,10465192.410000000149012
20131220,1750589.199999999953434,1759241.380000000121072,1686461.929999999934807,1823019.489999999757856,1732089.130000000121072,1790943.439999999711290,10542348.570000000298023
20131223,1817772.399999999906868,1780623.619999999878928,1691516.209999999729916,1824498.009999999776483,1723617.070000000065193,1815359.439999999711290,10653390.749999998137355
20131224,1810183.599999999627471,1794473.479999999748543,1692779.779999999795109,1826346.159999999683350,1745267.890000000130385,1809987.919999999692664,10679042.830000000074506
20131226,1798130.799999999813735,1813182.939999999944121,1705415.479999999981374,1837804.689999999711290,1762212.010000000242144,1827567.439999999711290,10744317.359999999403954
20131227,1785854.800000000046566,1806622.479999999748543,1712575.709999999729916,1840392.099999999860302,1755151.960000000195578,1823660.879999999888241,10724261.929999999701977
20131230,1768221.999999999767169,1852302.719999999972060,1730686.880000000121072,1845936.549999999813735,1755151.960000000195578,1825858.319999999832362,10778162.429999999701977
