代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14307613.669999998062849
真實報酬,4307613.669999998062849

夏普值報酬,0.422061367000000
夏普值風險,0.097375664286333
夏普值,4.334361876689512

預期報酬,16188.339694519134355
風險,110929.610077541015926
趨勢值,0.145933440883848
找到最佳解世代,1684
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,9
AAPL[0](7),AXP[1](6),BA[2](5),HD[9](10),KO[14](19),MCD[15](1),MMM[16](4),UNH[23](2),V[25](11),
Stock#,AAPL[0](7),AXP[1](6),BA[2](5),HD[9](10),KO[14](19),MCD[15](1),MMM[16](4),UNH[23](2),V[25](11),
張數,9786,16728,7801,9106,26205,9870,6721,7861,13466,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,8.559999999823049,37.239999999990687,14.569999999832362,87.939999999944121,19.000000000000000,45.100000000093132,129.699999999953434,115.869999999878928,31.339999999850988,
20161101,1091049.699999999720603,1108267.239999999990687,1110954.979999999748543,1091806.280000000027940,1103773.599999999860302,1107952.600000000093132,1104053.949999999953434,1096175.099999999860302,1099126.260000000009313,9913160.709999999031425
20161102,1092028.299999999813735,1094884.840000000083819,1098005.319999999832362,1095448.679999999934807,1101939.250000000000000,1109334.400000000139698,1114001.029999999795109,1092637.649999999906868,1085121.619999999878928,9883402.089999999850988
20161103,1074804.939999999711290,1092877.479999999981374,1092310.589999999850988,1094447.020000000018626,1101415.150000000139698,1102721.500000000000000,1121394.130000000121072,1083597.500000000000000,1086064.239999999990687,9849633.549999998882413
20161104,1065116.799999999813735,1095888.520000000018626,1088566.109999999869615,1101094.399999999906868,1092505.449999999953434,1096009.900000000139698,1119041.779999999795109,1082654.179999999934807,1082159.099999999860302,9823037.240000000223517
20161107,1080480.819999999832362,1120813.239999999990687,1115791.599999999860302,1126955.439999999944121,1112683.300000000046566,1113578.500000000000000,1140952.239999999990687,1115827.599999999860302,1111111.000000000000000,10038194.740000000223517
20161108,1086841.719999999739230,1121984.199999999953434,1109316.769999999785796,1131508.439999999944121,1123689.400000000139698,1126310.800000000046566,1149622.330000000074506,1123452.770000000018626,1116093.419999999692664,10088820.849999999627471
20161109,1085080.239999999757856,1149919.959999999962747,1131861.659999999916181,1147626.059999999823049,1107704.350000000093132,1134897.700000000186265,1145320.889999999897555,1115591.770000000018626,1120941.179999999701977,10138944.809999998658895
20161110,1054841.500000000000000,1172837.320000000065193,1152144.259999999776483,1175035.119999999878928,1072851.699999999953434,1130258.800000000046566,1171465.580000000074506,1148843.799999999813735,1102492.760000000009313,10180771.839999999850988
20161111,1061104.539999999804422,1179361.239999999990687,1158619.089999999850988,1182502.039999999804422,1075210.150000000139698,1127396.500000000000000,1176842.380000000121072,1151123.489999999757856,1102627.419999999692664,10214787.849999999627471
20161114,1034486.619999999762513,1211479.000000000000000,1170086.559999999823049,1162650.959999999962747,1078878.850000000093132,1163323.300000000046566,1162257.809999999823049,1197188.949999999953434,1055496.419999999692664,10235849.469999998807907
20161115,1048187.019999999785796,1212315.399999999906868,1155420.679999999934807,1132874.340000000083819,1085954.199999999953434,1167863.500000000000000,1171196.739999999990687,1196795.899999999906868,1058054.959999999729916,10228663.739999998360872
20161116,1076370.699999999720603,1199100.280000000027940,1142393.009999999776483,1141342.919999999925494,1081237.300000000046566,1176647.800000000046566,1156208.909999999916181,1191057.369999999878928,1078388.619999999878928,10242747.909999998286366
20161117,1075979.259999999776483,1200773.080000000074506,1133733.899999999906868,1174124.520000000018626,1077568.599999999860302,1179016.600000000093132,1161316.870000000111759,1185318.839999999850988,1091719.959999999729916,10279552.629999997094274
20161118,1077055.719999999739230,1187725.239999999990687,1141690.919999999692664,1168660.920000000158325,1072065.549999999813735,1184445.100000000093132,1162593.860000000102445,1174942.319999999832362,1088353.459999999729916,10257534.089999997988343
20161121,1093398.339999999850988,1196758.360000000102445,1146917.589999999850988,1167659.260000000009313,1083857.800000000046566,1179510.100000000093132,1152915.620000000111759,1182488.879999999888241,1100068.879999999888241,10303575.829999998211861
20161122,1094083.359999999869615,1199769.399999999906868,1166420.089999999850988,1192791.819999999832362,1084119.849999999860302,1181385.400000000139698,1155536.809999999823049,1197031.729999999748543,1076368.719999999972060,10347508.179999999701977
20161123,1088505.339999999850988,1219173.879999999888241,1168136.309999999823049,1194886.199999999953434,1077568.599999999860302,1185826.900000000139698,1157821.949999999953434,1207093.809999999823049,1071520.959999999729916,10370534.949999999254942
20161125,1093985.500000000000000,1218839.320000000065193,1170476.609999999869615,1198164.359999999869615,1088312.650000000139698,1190959.300000000046566,1166155.989999999990687,1201355.279999999795109,1079061.919999999692664,10407311.929999999701977
20161128,1091832.579999999841675,1206627.879999999888241,1168370.339999999850988,1189695.779999999795109,1094077.750000000000000,1202408.500000000000000,1159502.199999999953434,1195852.580000000074506,1064922.619999999878928,10373291.229999998584390
20161129,1090756.119999999646097,1195921.959999999962747,1182958.209999999729916,1180407.659999999916181,1078354.750000000000000,1191156.700000000186265,1161316.870000000111759,1238930.859999999869615,1065865.239999999990687,10385669.369999999180436
20161130,1081557.279999999795109,1205122.360000000102445,1174533.129999999888241,1178404.340000000083819,1057390.750000000000000,1177240.000000000000000,1154394.239999999990687,1244669.389999999897555,1041222.459999999729916,10314534.949999999254942
20161201,1071477.699999999720603,1213319.080000000074506,1188808.959999999729916,1179041.760000000009313,1052673.850000000093132,1169344.000000000000000,1160375.929999999934807,1265265.209999999962747,1015771.719999999972060,10316079.209999999031425
20161202,1075489.959999999962747,1202111.320000000065193,1187716.819999999832362,1182684.159999999916181,1057652.800000000046566,1167073.900000000139698,1159031.729999999981374,1263614.399999999906868,1019676.859999999869615,10315052.949999999254942
20161205,1067759.019999999785796,1204955.080000000074506,1187014.729999999748543,1180954.020000000018626,1064466.099999999860302,1177437.400000000139698,1153587.719999999972060,1239245.299999999813735,1041087.799999999930151,10316508.169999999925494
20161206,1075979.259999999776483,1209638.919999999925494,1187638.809999999823049,1172394.380000000121072,1063155.850000000093132,1177042.600000000093132,1154797.500000000000000,1236808.389999999897555,1038394.599999999860302,10315851.309999998658895
20161207,1086548.139999999897555,1242760.360000000102445,1202460.709999999729916,1206268.699999999953434,1082023.449999999953434,1183655.500000000000000,1183361.750000000000000,1253159.270000000018626,1068019.799999999813735,10508258.679999999701977
20161208,1097214.879999999888241,1253131.719999999972060,1212211.959999999729916,1206906.119999999878928,1073899.899999999906868,1188886.600000000093132,1182219.179999999934807,1252530.389999999897555,1067615.819999999832362,10534617.570000000298023
20161209,1115123.259999999776483,1250789.799999999813735,1220793.059999999823049,1214737.279999999795109,1100629.000000000000000,1196881.300000000046566,1199760.989999999990687,1258819.189999999944121,1065730.579999999841675,10623265.459999999031425
20161212,1108762.359999999869615,1230883.479999999981374,1226019.729999999748543,1225573.420000000158325,1098008.500000000000000,1201618.900000000139698,1207490.139999999897555,1253866.760000000009313,1057112.339999999850988,10609336.629999998956919
20161213,1127257.899999999906868,1235232.760000000009313,1222119.229999999748543,1243421.179999999934807,1094339.800000000046566,1210896.700000000186265,1202046.130000000121072,1262120.809999999823049,1066538.539999999804422,10663974.049999998882413
20161214,1127257.899999999906868,1239080.199999999953434,1205035.039999999804422,1238321.819999999832362,1079927.050000000046566,1212475.900000000139698,1187058.299999999813735,1256775.330000000074506,1065595.919999999692664,10611528.459999999031425
20161215,1133423.079999999841675,1253633.560000000055879,1199574.339999999850988,1237046.979999999981374,1088836.750000000000000,1207738.300000000046566,1183160.120000000111759,1262749.689999999944121,1070578.339999999850988,10636742.159999998286366
20161216,1134890.979999999748543,1254637.239999999990687,1205269.069999999832362,1230399.600000000093132,1093815.699999999953434,1216423.900000000139698,1192771.149999999906868,1288848.209999999962747,1055092.439999999711290,10672149.290000000968575
20161219,1141447.599999999860302,1247109.639999999897555,1218374.750000000000000,1233404.579999999841675,1091981.350000000093132,1213956.400000000139698,1197543.059999999823049,1269981.809999999823049,1051725.939999999711290,10665526.129999998956919
20161220,1144481.259999999776483,1255640.919999999925494,1220012.959999999729916,1248611.600000000093132,1091719.299999999813735,1217312.200000000186265,1200836.350000000093132,1270374.859999999869615,1055227.099999999860302,10704217.549999998882413
20161221,1145557.719999999739230,1259990.199999999953434,1228516.049999999813735,1246061.920000000158325,1089360.850000000093132,1215831.700000000186265,1199357.729999999981374,1268331.000000000000000,1052264.579999999841675,10705272.750000000000000
20161222,1138022.500000000000000,1247611.479999999981374,1228360.029999999795109,1233313.520000000018626,1088836.750000000000000,1221161.500000000000000,1204532.899999999906868,1270296.250000000000000,1049032.739999999990687,10681168.669999999925494
20161223,1140273.279999999795109,1254135.399999999906868,1231090.379999999888241,1229853.239999999990687,1090147.000000000000000,1215436.900000000139698,1201508.449999999953434,1281694.699999999953434,1052399.239999999990687,10696539.589999999850988
20161227,1147514.919999999925494,1254302.680000000167638,1228516.049999999813735,1231765.499999999767169,1090409.050000000046566,1214746.000000000000000,1202651.019999999785796,1278628.909999999683350,1055092.439999999711290,10703627.569999998435378
20161228,1142621.919999999925494,1244098.600000000093132,1217750.669999999692664,1230035.359999999869615,1084643.949999999953434,1210896.700000000186265,1197005.380000000121072,1269195.709999999962747,1054419.139999999897555,10650668.429999999701977
20161229,1142328.339999999850988,1236571.000000000000000,1214552.259999999776483,1230308.539999999804422,1090147.000000000000000,1211982.400000000139698,1199223.309999999823049,1266051.309999999823049,1054823.119999999878928,10645988.279999999329448
20161230,1133423.079999999841675,1239247.479999999981374,1214474.250000000000000,1221020.420000000158325,1086478.300000000046566,1201421.500000000000000,1200298.669999999925494,1258190.309999999823049,1050648.659999999683350,10605203.669999999925494
20170103,1136652.459999999962747,1260492.039999999804422,1224537.539999999804422,1223114.800000000046566,1095388.000000000000000,1180694.500000000232831,1196803.750000000000000,1269274.319999999832362,1070578.339999999850988,10657536.750000000000000
20170104,1135380.279999999795109,1275714.520000000018626,1237409.189999999944121,1233950.939999999944121,1091457.250000000000000,1179312.700000000186265,1198618.419999999925494,1272890.379999999888241,1079331.239999999990687,10704065.919999999925494
20170105,1141154.019999999785796,1259990.199999999953434,1238111.279999999795109,1219381.340000000083819,1094077.750000000000000,1181484.100000000093132,1194518.610000000102445,1275012.849999999860302,1091989.279999999795109,10695720.429999999701977
20170106,1153875.819999999832362,1262499.399999999906868,1241153.669999999692664,1216012.119999999878928,1093815.699999999953434,1191946.300000000046566,1198013.529999999795109,1276820.879999999888241,1107071.199999999720603,10741209.619999997317791
20170109,1164444.699999999720603,1269023.320000000065193,1235068.889999999664724,1223114.800000000046566,1082809.600000000093132,1188689.200000000186265,1191561.370000000111759,1273204.819999999832362,1100876.839999999850988,10728794.539999999105930
20170110,1165619.019999999785796,1282238.440000000176951,1240919.639999999664724,1239414.539999999804422,1075472.199999999953434,1186912.600000000093132,1186923.880000000121072,1270296.250000000000000,1094951.799999999813735,10742749.370000001043081
20170111,1171882.059999999823049,1286587.719999999972060,1243493.969999999972060,1235772.139999999897555,1075734.250000000000000,1193130.699999999953434,1195728.389999999897555,1272733.159999999683350,1101550.139999999897555,10776613.530000001192093
