代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12733995.580000000074506
真實報酬,2733995.580000000074506

夏普值報酬,0.264699558000000
夏普值風險,0.078033106209115
夏普值,3.392144320010184

預期報酬,12546.864274158479020
風險,265376.242707473284099
趨勢值,0.047279530926169
找到最佳解世代,1859
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,7
AAPL[0](8),BA[2](6),INTC[11](16),MRK[17](7),MSFT[18](1),NKE[19](4),PFE[20](11),
Stock#,AAPL[0](8),BA[2](6),INTC[11](16),MRK[17](7),MSFT[18](1),NKE[19](4),PFE[20](11),
張數,8451,5537,31404,25931,17174,25978,40746,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,13.959999999962747,135.739999999990687,3.040000000037253,32.209999999962747,37.679999999934807,40.780000000027940,16.239999999990687,
20171101,1410401.349999999860302,1431450.239999999990687,1466883.880000000121072,1435053.750000000000000,1428571.000000000000000,1430649.239999999990687,1436720.199999999953434,10039732.659999998286366
20171102,1420711.570000000065193,1454318.050000000046566,1479131.440000000176951,1435831.679999999934807,1443512.379999999888241,1431948.139999999897555,1444869.400000000139698,10110325.660000000149012
20171103,1457811.459999999962747,1449445.489999999990687,1455264.400000000139698,1453724.070000000065193,1445058.040000000037253,1447275.160000000149012,1448536.539999999804422,10157118.160000000149012
20171106,1472600.709999999962747,1462291.329999999841675,1466569.840000000083819,1449056.489999999990687,1450725.459999999962747,1455847.899999999906868,1439164.959999999962747,10196259.690000001341105
20171107,1477333.270000000018626,1473697.550000000046566,1469082.160000000149012,1441536.500000000000000,1447290.659999999916181,1432727.479999999981374,1440794.800000000046566,10182465.420000001788139
20171108,1489418.199999999953434,1470596.829999999841675,1466569.840000000083819,1467208.189999999944121,1452271.119999999878928,1448574.060000000055879,1439979.880000000121072,10234621.120000001043081
20171109,1486375.839999999850988,1454705.639999999897555,1454008.239999999990687,1457613.719999999972060,1444199.340000000083819,1458185.920000000158325,1434275.440000000176951,10189367.139999998733401
20171110,1476150.129999999888241,1444462.190000000176951,1431397.359999999869615,1438684.089999999850988,1440421.060000000055879,1457146.800000000046566,1433460.520000000018626,10121725.150000000372529
20171113,1470234.429999999934807,1453155.280000000027940,1436736.040000000037253,1428830.310000000055879,1441451.500000000000000,1452470.760000000009313,1438350.039999999804422,10121231.359999999403954
20171114,1448008.300000000046566,1449500.859999999869615,1440190.479999999981374,1425977.899999999906868,1443512.379999999888241,1454289.219999999972060,1441609.720000000204891,10103091.860000001266599
20171115,1428909.040000000037253,1455591.560000000055879,1427628.880000000121072,1421051.009999999776483,1425136.199999999953434,1471174.920000000158325,1440794.800000000046566,10070289.410000002011657
20171116,1445980.059999999823049,1460242.639999999897555,1433595.639999999897555,1430645.479999999981374,1428914.479999999981374,1486761.719999999972060,1448944.000000000000000,10135087.020000001415610
20171117,1437951.610000000102445,1452269.359999999869615,1401563.560000000055879,1431423.410000000149012,1415175.280000000027940,1537678.599999999860302,1441202.259999999776483,10117267.080000000074506
20171120,1436514.939999999944121,1465392.050000000046566,1401249.520000000018626,1402899.310000000055879,1417407.899999999906868,1539237.280000000027940,1440387.340000000083819,10103091.339999999850988
20171121,1463220.099999999860302,1478459.370000000111759,1411298.800000000046566,1407307.580000000074506,1437844.959999999962747,1542874.199999999953434,1448129.079999999841675,10189137.089999999850988
20171122,1478600.919999999925494,1468271.289999999804422,1402191.639999999897555,1409900.679999999934807,1427368.819999999832362,1534561.239999999990687,1443647.020000000018626,10164544.609999999403954
20171124,1478685.429999999934807,1472313.300000000046566,1405332.040000000037253,1409382.060000000055879,1429944.919999999925494,1541055.739999999990687,1446091.780000000027940,10182808.269999999552965
20171127,1471248.550000000046566,1470652.199999999953434,1397167.000000000000000,1414568.259999999776483,1440421.060000000055879,1549108.920000000158325,1446091.780000000027940,10189260.769999999552965
20171128,1462628.529999999795109,1483996.370000000111759,1404703.959999999962747,1424422.040000000037253,1457766.799999999813735,1547810.020000000018626,1460760.340000000083819,10242091.059999998658895
