代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13426549.109999997541308
真實報酬,3426549.109999997541308

夏普值報酬,0.333954911000000
夏普值風險,0.099223405282580
夏普值,3.365686856331173

預期報酬,16354.320384611148256
風險,235304.492990163184004
趨勢值,0.069502796894298
找到最佳解世代,1965
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](12),DD[7](15),GS[8](5),HD[9](2),TRV[22](7),UNH[23](20),V[25](1),
Stock#,BA[2](12),DD[7](15),GS[8](5),HD[9](2),TRV[22](7),UNH[23](20),V[25](1),
張數,20007,34225,13512,25173,22066,26308,44559,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,71.199999999953434,19.500000000000000,82.360000000102445,3.250000000000000,18.160000000149012,46.600000000093132,9.459999999962747,
20120904,1417967.290000000037253,1396057.250000000000000,1437894.280000000027940,1429577.919999999925494,1426364.400000000139698,1435411.080000000074506,1431690.130000000121072,9974965.350000001490116
20120905,1438974.639999999897555,1386816.500000000000000,1485591.640000000130385,1423284.669999999925494,1423937.140000000130385,1428044.840000000083819,1421441.559999999823049,10008093.990000000223517
20120906,1456980.939999999711290,1439180.750000000000000,1534234.840000000083819,1451226.699999999953434,1441810.600000000325963,1444092.720000000204891,1442829.880000000121072,10210359.430000001564622
20120907,1458381.429999999934807,1478197.250000000000000,1571933.320000000065193,1441409.229999999981374,1438942.020000000018626,1443829.640000000130385,1445057.829999999841675,10277753.720000000670552
20120910,1422168.760000000009313,1476828.250000000000000,1549638.520000000251457,1442416.149999999906868,1441148.620000000111759,1413838.520000000251457,1433472.489999999990687,10179514.310000000521541
20120911,1425970.089999999850988,1473748.000000000000000,1576797.640000000130385,1427815.810000000055879,1477336.860000000102445,1389109.000000000000000,1464663.789999999804422,10235444.190000001341105
20120912,1419767.919999999925494,1471010.000000000000000,1597741.239999999990687,1436122.899999999906868,1490355.800000000279397,1389635.160000000149012,1486943.289999999804422,10291579.310000000521541
20120913,1432172.260000000009313,1531930.500000000000000,1630575.400000000139698,1467589.149999999906868,1510435.860000000102445,1417784.720000000204891,1503430.120000000111759,10493921.010000001639128
20120914,1426170.159999999916181,1571973.750000000000000,1639898.680000000167638,1496789.830000000074506,1513304.440000000176951,1427255.600000000093132,1495409.500000000000000,10570804.960000000894070
20120917,1398960.639999999897555,1517213.750000000000000,1620171.160000000149012,1482944.679999999934807,1511097.840000000316650,1433306.439999999944121,1491399.189999999944121,10455096.699999999254942
20120918,1409564.350000000093132,1512080.000000000000000,1619900.919999999925494,1481686.030000000027940,1510656.520000000018626,1450406.640000000130385,1489171.239999999990687,10473468.700000001117587
20120919,1398560.500000000000000,1508999.750000000232831,1608280.600000000093132,1497041.560000000055879,1505581.340000000316650,1445671.200000000186265,1501647.760000000009313,10465785.709999999031425
20120920,1397560.149999999906868,1505235.000000000000000,1589498.919999999925494,1492258.689999999944121,1510435.860000000102445,1445408.120000000111759,1499419.809999999823049,10439819.550000000745058
20120921,1399960.989999999990687,1474774.750000000232831,1577203.000000000000000,1495782.910000000149012,1513966.420000000158325,1478030.040000000037253,1503875.709999999962747,10443596.820000000298023
20120924,1401161.409999999916181,1473063.500000000000000,1575581.560000000055879,1495027.719999999972060,1509773.880000000121072,1472768.439999999944121,1490062.419999999925494,10417441.929999999701977
20120925,1388156.859999999869615,1451844.000000000000000,1533694.360000000102445,1503334.810000000055879,1511097.840000000316650,1478556.200000000186265,1498974.219999999972060,10365661.290000000968575
20120926,1405562.949999999953434,1418303.500000000000000,1528019.320000000065193,1489489.660000000149012,1495651.640000000130385,1467506.840000000083819,1476249.130000000121072,10280786.040000000968575
20120927,1402561.899999999906868,1420699.250000000000000,1557070.120000000111759,1507362.489999999990687,1509553.219999999972060,1479608.520000000251457,1491844.779999999795109,10368703.279999999329448
20120928,1392558.399999999906868,1411116.250000000000000,1536126.520000000251457,1519697.260000000009313,1506243.320000000298023,1457772.879999999888241,1495855.090000000083819,10319372.719999998807907
20121001,1400761.270000000018626,1428913.250000000000000,1579094.680000000167638,1524731.860000000102445,1524116.780000000027940,1485396.280000000027940,1523036.079999999841675,10466053.200000001117587
20121002,1391157.909999999916181,1421383.750000000000000,1584364.360000000102445,1518690.339999999850988,1515952.360000000102445,1494341.000000000000000,1515015.459999999962747,10440908.179999999701977
20121003,1397760.219999999972060,1399479.750000000000000,1593282.280000000027940,1554939.459999999962747,1522792.820000000298023,1495919.479999999981374,1543087.630000000121072,10507264.640000000596046
20121004,1399360.779999999795109,1422410.500000000000000,1620171.160000000149012,1554184.270000000018626,1528750.640000000130385,1525121.360000000102445,1556009.739999999990687,10606011.449999999254942
20121005,1418367.429999999934807,1423095.000000000000000,1612199.080000000074506,1590936.850000000093132,1534929.120000000111759,1503022.640000000130385,1562693.590000000083819,10645246.709999999031425
20121008,1411965.189999999711290,1413512.000000000000000,1614225.880000000121072,1557708.489999999990687,1534487.800000000279397,1515387.400000000139698,1545315.579999999841675,10592605.339999999850988
20121009,1413365.679999999934807,1384078.500000000000000,1616522.919999999925494,1534297.600000000093132,1529633.280000000027940,1511967.360000000102445,1523481.669999999925494,10513350.009999999776483
