代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11298724.340000001713634
真實報酬,1298724.340000001713634

夏普值報酬,0.121172434000000
夏普值風險,0.053325060667467
夏普值,2.272335605122455

預期報酬,5723.743746673821988
風險,281908.677410336385947
趨勢值,0.020303538717762
找到最佳解世代,2201
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](7),INTC[11](11),MRK[17](1),PFE[20](4),
Stock#,CSCO[4](7),INTC[11](11),MRK[17](1),PFE[20](4),
張數,60182,51931,42194,67494,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,39.720000000204891,41.660000000149012,5.500000000000000,22.240000000223517,
20180201,2509629.120000000577420,2474553.810000000055879,2525738.339999999850988,2485826.260000000242144,9995747.530000001192093
20180202,2463288.979999999981374,2396657.310000000055879,2470886.140000000130385,2470977.580000000074506,9801810.009999999776483
20180205,2333897.680000000167638,2312009.780000000260770,2379747.100000000093132,2340039.220000000204891,9365693.780000001192093
20180206,2417550.660000000149012,2332262.870000000111759,2340084.740000000223517,2381210.560000000521541,9471108.830000001937151
20180207,2427781.600000000558794,2347322.860000000335276,2357806.220000000204891,2360962.359999999869615,9493873.040000000968575
20180208,2333295.860000000335276,2220091.910000000149012,2309283.119999999646097,2269845.460000000428408,9132516.350000001490116
20180209,2379034.180000000167638,2282409.110000000335276,2315190.279999999795109,2305617.279999999795109,9282250.849999999627471
20180212,2443428.920000000391155,2328108.390000000130385,2338818.919999999925494,2339364.279999999795109,9449720.509999999776483
20180213,2481343.580000000074506,2308893.920000000391155,2316456.100000000093132,2358262.600000000093132,9464956.199999999254942
20180214,2533100.100000000558794,2356670.440000000409782,2316456.100000000093132,2375136.100000000093132,9581362.740000000223517
20180215,2652862.280000000260770,2384713.180000000167638,2362447.560000000055879,2410232.980000000447035,9810256.000000001862645
20180216,2667907.780000000260770,2366018.020000000484288,2375105.759999999776483,2447354.680000000167638,9856386.240000000223517
20180220,2651658.640000000130385,2405485.580000000074506,2319831.619999999646097,2430481.180000000167638,9807457.019999999552965
20180221,2606522.140000000130385,2385751.799999999813735,2301688.199999999720603,2413607.680000000167638,9707569.819999998435378
20180222,2584254.800000000279397,2378481.459999999962747,2302532.080000000074506,2412257.800000000279397,9677526.140000000596046
20180223,2648047.720000000204891,2478708.290000000037253,2315190.279999999795109,2447354.680000000167638,9889300.969999998807907
20180226,2729895.240000000223517,2550373.070000000298023,2365401.140000000130385,2503374.700000000651926,10149044.150000002235174
20180227,2710637.000000000000000,2591917.870000000111759,2308861.180000000167638,2483801.439999999944121,10095217.490000000223517
20180228,2694989.680000000167638,2559720.649999999906868,2287764.180000000167638,2450729.380000000353903,9993203.890000000596046
20180301,2636011.319999999832362,2484420.700000000186265,2265823.300000000279397,2404833.460000000428408,9791088.780000001192093
20180302,2651658.640000000130385,2543622.040000000037253,2293671.339999999850988,2426431.540000000502914,9915383.560000000521541
20180305,2679342.360000000335276,2583608.910000000149012,2295359.100000000093132,2437905.520000000018626,9996215.890000000596046
20180306,2665500.500000000000000,2633462.670000000391155,2291139.699999999720603,2421706.960000000428408,10011809.830000000074506
20180307,2660084.120000000577420,2665140.580000000074506,2298312.680000000167638,2425081.660000000149012,10048619.040000000968575
20180308,2668509.600000000558794,2635020.600000000093132,2310548.939999999944121,2463553.240000000223517,10077632.380000000819564
20180309,2730497.060000000055879,2710320.549999999813735,2326582.660000000149012,2481776.620000000577420,10249176.890000000596046
20180312,2741329.819999999832362,2675526.780000000260770,2335865.339999999850988,2470977.580000000074506,10223699.519999999552965
20180313,2717858.839999999850988,2689028.840000000316650,2336287.279999999795109,2480426.740000000223517,10223601.699999999254942
20180314,2725080.680000000167638,2693183.320000000298023,2312236.699999999720603,2453429.140000000130385,10183929.839999999850988
20180315,2728089.780000000260770,2642290.940000000409782,2331224.000000000000000,2468952.760000000242144,10170557.480000000447035
20180316,2708831.540000000037253,2657350.930000000167638,2348945.479999999981374,2482451.560000000521541,10197579.510000001639128
20180319,2664296.860000000335276,2639694.390000000130385,2305063.720000000204891,2452079.260000000242144,10061134.230000000447035
20180320,2670315.060000000055879,2677084.709999999962747,2305485.660000000149012,2452079.260000000242144,10104964.689999999478459
20180321,2666704.140000000130385,2677604.020000000484288,2307595.359999999869615,2448029.620000000577420,10099933.140000000596046
20180322,2592078.460000000428408,2639694.390000000130385,2283544.779999999795109,2402808.640000000130385,9918126.270000001415610
20180323,2552960.160000000149012,2563355.820000000298023,2253587.040000000037253,2327890.300000000279397,9697793.320000000298023
20180326,2651658.640000000130385,2725380.540000000037253,2280169.259999999776483,2365012.000000000000000,10022220.439999999478459
20180327,2568607.479999999981374,2658389.549999999813735,2267933.000000000000000,2362987.180000000167638,9857917.209999999031425
20180328,2507221.839999999850988,2575819.260000000242144,2324472.959999999962747,2382560.439999999944121,9790074.500000000000000
20180329,2581245.700000000186265,2704608.140000000130385,2298312.680000000167638,2395384.300000000279397,9979550.820000000298023
20180402,2468103.540000000037253,2540506.180000000167638,2247679.880000000353903,2365686.939999999944121,9621976.540000000968575
20180403,2490370.880000000353903,2583608.910000000149012,2282278.959999999962747,2408208.160000000149012,9764466.910000000149012
20180404,2479538.120000000577420,2596072.350000000093132,2301266.259999999776483,2438580.460000000428408,9815457.190000001341105
20180405,2516850.960000000428408,2616325.440000000409782,2300844.319999999832362,2411582.859999999869615,9845603.580000000074506
20180406,2451252.580000000074506,2533755.149999999906868,2251477.339999999850988,2373786.220000000204891,9610271.290000000968575
20180409,2477732.660000000149012,2573222.709999999962747,2369620.540000000037253,2393359.480000000447035,9813935.390000000596046
20180410,2558376.540000000037253,2662544.030000000260770,2383544.560000000055879,2426431.540000000502914,10030896.670000001788139
20180411,2553561.979999999981374,2653715.760000000242144,2371308.300000000279397,2415632.500000000000000,9994218.540000000968575
20180412,2608327.600000000558794,2737843.979999999981374,2394093.060000000055879,2451404.320000000298023,10191668.960000000894070
20180413,2587865.720000000204891,2693183.320000000298023,2412236.479999999981374,2451404.320000000298023,10144689.840000001713634
20180416,2605920.319999999832362,2721226.060000000055879,2474683.600000000093132,2465578.060000000521541,10267408.040000000968575
20180417,2683555.100000000558794,2780427.399999999906868,2500843.880000000353903,2452079.260000000242144,10416905.640000000596046
20180418,2685962.380000000353903,2784062.570000000298023,2486075.979999999981374,2462878.300000000279397,10418979.230000002309680
