代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13512207.919999999925494
真實報酬,3512207.919999999925494

夏普值報酬,0.342520792000000
夏普值風險,0.084192835098163
夏普值,4.068289084227223

預期報酬,13471.136552617790585
風險,222338.308591611945303
趨勢值,0.060588463760248
找到最佳解世代,1900
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MRK[17](3),PG[21](1),
Stock#,MCD[15](2),MRK[17](3),PG[21](1),
張數,20546,48597,40184,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,155.420000000391155,64.770000000018626,70.199999999720603,
20180904,3322854.540000000502914,3302230.919999999925494,3323287.000000000000000,9948373.460000000894070
20180905,3354084.460000000428408,3334790.910000000149012,3346995.560000000055879,10035871.930000001564622
20180906,3364357.460000000428408,3371724.629999999888241,3321277.799999999813735,10057360.890000000596046
20180907,3367644.820000000298023,3385817.760000000242144,3291541.639999999664724,10045005.219999998807907
20180910,3391683.640000000130385,3380472.090000000316650,3310428.119999999646097,10082584.849999999627471
20180911,3382437.940000000409782,3357145.529999999795109,3295560.040000000037253,10035144.510000001639128
20180912,3384903.460000000428408,3395051.189999999944121,3339762.439999999478459,10119718.089999999850988
20180913,3336825.820000000298023,3442190.279999999795109,3353425.000000000000000,10132442.099999999627471
20180914,3304774.060000000521541,3400882.830000000074506,3359854.439999999478459,10065512.330000000074506
20180917,3249299.860000000335276,3422265.510000000242144,3385572.199999999720603,10057138.570000000298023
20180918,3241697.840000000782311,3422265.510000000242144,3375526.199999999720603,10039490.550000000745058
20180919,3270667.700000000651926,3400882.830000000074506,3375526.199999999720603,10047077.730000000447035
20180920,3303746.760000000242144,3439760.430000000167638,3430176.439999999478459,10173684.629999998956919
20180921,3396409.220000000670552,3455311.469999999739230,3448661.079999999608845,10300382.769999999552965
20180924,3355522.680000000633299,3439760.430000000167638,3386375.879999999422580,10181659.990000000223517
20180925,3419215.280000000260770,3433442.820000000298023,3340164.279999999795109,10192823.380000000819564
20180926,3405860.380000000353903,3417891.779999999795109,3345790.040000000037253,10169543.199999999254942
20180927,3421680.800000000279397,3436844.609999999869615,3329716.439999999478459,10188242.849999999627471
20180928,3437295.760000000242144,3447535.949999999720603,3344584.520000000018626,10229417.230000000447035
20181001,3424557.240000000223517,3476208.180000000167638,3362265.479999999981374,10263031.900000000372529
20181002,3393943.700000000651926,3486899.520000000018626,3389992.439999999478459,10270836.660000000149012
20181003,3383259.780000000260770,3468432.660000000149012,3336547.719999999739230,10188241.160000000149012
20181004,3406682.220000000670552,3461143.109999999869615,3291943.479999999981374,10159769.810000000521541
20181005,3422502.640000000130385,3451909.680000000167638,3301185.799999999813735,10175599.120000001043081
20181008,3447157.840000000782311,3472806.389999999664724,3311231.799999999813735,10231197.030000001192093
20181009,3489482.600000000558794,3515571.750000000000000,3303195.000000000000000,10308250.350000001490116
20181010,3459485.440000000409782,3423723.419999999925494,3272655.159999999683350,10155865.019999999552965
20181011,3348537.040000000502914,3322641.660000000149012,3169382.279999999795109,9840561.980000000447035
20181012,3366001.140000000130385,3392621.340000000316650,3177017.239999999757856,9935640.720000000670552
20181015,3362919.240000000223517,3375612.389999999664724,3220014.119999999646097,9958546.750000000000000
20181016,3371137.640000000130385,3461143.109999999869615,3255376.040000000037253,10087657.789999999105930
20181017,3426611.840000000782311,3490301.309999999590218,3289532.439999999478459,10206446.589999999850988
20181018,3427433.680000000633299,3509254.139999999664724,3224434.359999999403954,10161123.179999999701977
20181019,3441404.960000000428408,3516057.719999999739230,3508133.399999999441206,10465597.079999998211861
20181022,3423735.400000000372529,3526749.059999999590218,3480004.599999999627471,10430490.059999998658895
20181023,3639879.320000000298023,3503908.469999999739230,3502507.639999999664724,10646296.429999999701977
20181024,3643988.520000000484288,3428097.150000000372529,3594930.839999999385327,10667017.509999999776483
20181025,3602074.680000000633299,3399910.889999999664724,3576446.199999999720603,10578432.769999999552965
20181026,3561599.060000000521541,3421293.570000000298023,3530636.439999999478459,10513530.070000000298023
20181029,3559339.000000000000000,3472320.419999999925494,3545906.359999999403954,10577566.779999999329448
20181030,3667410.960000000428408,3541328.160000000149012,3584081.159999999683350,10792821.280000001192093
20181031,3634742.820000000298023,3577289.939999999944121,3563587.319999999832362,10775621.080000000074506
20181101,3593239.900000000372529,3553477.410000000149012,3600154.759999999776483,10746873.070000000298023
20181102,3631660.920000000391155,3512169.959999999962747,3608995.239999999757856,10752827.120000001043081
20181105,3706448.360000000335276,3553477.410000000149012,3664851.000000000000000,10924777.769999999552965
20181106,3754115.080000000540167,3562710.840000000316650,3677308.040000000037253,10994134.960000000894070
20181107,3785755.920000000391155,3648727.529999999795109,3668467.560000000055879,11102952.009999999776483
20181108,3811027.500000000000000,3668166.330000000074506,3671280.439999999478459,11150475.269999999552965
20181109,3820478.660000000149012,3638036.189999999944121,3713473.639999999664724,11171989.489999998360872
20181112,3788221.440000000409782,3629774.699999999720603,3725127.000000000000000,11143124.140000000596046
20181113,3780824.880000000353903,3625886.939999999944121,3756068.679999999701977,11162781.500000000000000
20181114,3777537.520000000484288,3600616.500000000000000,3756872.359999999403954,11135027.379999998956919
20181115,3771579.180000000633299,3637064.250000000000000,3770534.919999999459833,11179179.349999999627471
20181116,3854379.560000000521541,3696352.590000000316650,3770133.079999999608845,11320866.230000000447035
20181119,3836504.540000000502914,3710445.719999999739230,3748835.560000000055879,11295786.820000000298023
20181120,3774661.080000000540167,3634148.430000000167638,3701016.599999999627471,11109827.109999999403954
20181121,3754320.540000000502914,3634634.400000000372529,3673289.639999999664724,11062245.580000001937151
20181123,3738089.200000000651926,3628802.760000000242144,3678513.560000000055879,11045406.520000001415610
20181126,3778359.360000000335276,3666222.449999999720603,3694587.159999999683350,11139169.970000000670552
20181127,3793563.400000000372529,3709959.750000000000000,3725930.679999999701977,11229454.830000000074506
20181128,3859721.520000000484288,3753211.080000000074506,3737584.040000000037253,11350517.640000000596046
20181129,3888691.380000000353903,3786257.040000000037253,3729949.079999999608845,11404898.500000000000000
20181130,3873281.880000000353903,3855750.750000000000000,3797860.040000000037253,11526893.670000001788139
20181203,3808767.440000000409782,3849919.109999999869615,3750041.079999999608845,11408728.630000000819564
20181204,3801987.260000000242144,3800836.139999999664724,3749639.239999999757856,11352463.640000000596046
20181206,3810411.120000000111759,3808611.660000000149012,3759283.399999999441206,11378307.179999999701977
20181207,3759251.580000000540167,3728426.609999999869615,3715081.000000000000000,11202760.190000001341105
20181210,3793974.320000000298023,3762444.510000000242144,3738387.719999999739230,11294807.550000000745058
20181211,3772195.560000000521541,3747379.439999999944121,3773749.639999999664724,11293325.640000000596046
20181212,3769935.500000000000000,3791116.740000000223517,3778571.719999999739230,11339624.960000000894070
20181213,3830546.200000000651926,3839713.740000000223517,3877424.359999999403954,11547685.300000000745058
20181214,3766031.760000000242144,3716763.330000000074506,3883451.959999999962747,11366248.050000000745058
20181217,3714666.760000000242144,3656017.080000000074506,3727939.879999999422580,11098624.719999998807907
20181218,3692477.080000000540167,3612279.779999999795109,3716688.359999999403954,11021446.219999998807907
20181219,3681176.780000000260770,3585065.459999999962747,3687354.040000000037253,10953597.280000001192093
20181220,3568584.700000000651926,3571458.299999999813735,3656010.520000000018626,10796054.519999999552965
20181221,3578241.320000000298023,3542786.070000000298023,3655608.679999999701977,10776637.070000000298023
20181224,3498728.300000000279397,3457741.320000000298023,3510544.439999999478459,10467015.060000000521541
20181226,3575775.800000000279397,3596242.770000000018626,3620246.759999999776483,10792266.330000000074506
20181227,3610293.080000000540167,3663306.629999999888241,3697801.879999999422580,10971402.589999999850988
20181228,3607211.180000000633299,3662820.660000000149012,3664047.319999999832362,10934080.160000000149012
20181231,3648508.640000000130385,3713361.540000000037253,3693783.479999999981374,11055654.660000000149012
20190102,3617484.180000000633299,3673512.000000000000000,3668065.719999999739230,10959062.900000000372529
20190103,3593650.820000000298023,3598186.650000000372529,3642347.959999999962747,10834186.429999999701977
20190104,3663096.300000000279397,3706557.959999999962747,3716688.359999999403954,11086343.619999999180436
20190107,3702955.540000000502914,3665736.480000000447035,3701820.279999999795109,11070513.300000000745058
20190108,3710763.020000000484288,3692950.799999999813735,3715482.839999999385327,11119197.660000000149012
20190109,3704393.760000000242144,3664764.540000000037253,3654805.000000000000000,11023964.300000000745058
20190110,3730281.720000000670552,3619569.330000000074506,3663645.479999999981374,11013497.530000001192093
20190111,3747129.440000000409782,3639980.070000000298023,3687755.879999999422580,11074866.390000000596046
20190114,3723501.540000000502914,3565626.660000000149012,3662841.799999999813735,10951971.000000000000000
20190115,3719392.340000000782311,3620541.270000000018626,3697400.040000000037253,11037334.650000002235174
20190116,3685080.520000000484288,3625886.939999999944121,3671682.279999999795109,10982650.740000000223517
20190117,3721241.480000000447035,3673997.969999999739230,3642347.959999999962747,11037588.410000000149012
20190118,3751238.640000000130385,3687119.160000000149012,3673691.479999999981374,11112050.280000001192093
20190122,3792330.640000000130385,3685175.279999999795109,3634311.159999999683350,11111818.080000000074506
20190123,3823560.560000000521541,3666222.449999999720603,3811120.759999999776483,11300904.769999999552965
