代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13494249.580000001937151
真實報酬,3494249.580000001937151

夏普值報酬,0.340724958000000
夏普值風險,0.106024486104394
夏普值,3.213644041287930

預期報酬,18709.229465581349359
風險,339304.674691004503984
趨勢值,0.055139910708921
找到最佳解世代,2258
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](10),UNH[23](19),
Stock#,AAPL[0](1),MCD[15](10),UNH[23](19),
張數,163800,57981,133440,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.000000000000000,5.310000000055879,1.799999999813735,
20090701,3341523.000000000000000,3375659.129999999888241,3357352.199999999720603,10074535.330000000074506
20090702,3276003.000000000000000,3331013.760000000242144,3190552.199999999720603,9797569.959999999031425
20090706,3243243.000000000000000,3362323.500000000000000,3214571.399999999906868,9820138.900000000372529
20090707,3167895.000000000000000,3293326.109999999869615,3358686.600000000093132,9819908.709999999031425
20090708,3210483.000000000000000,3307241.549999999813735,3291966.600000000093132,9809692.150000000372529
20090709,3190827.000000000000000,3291586.680000000167638,3327995.399999999906868,9810410.080000000074506
20090710,3241605.000000000000000,3307821.359999999869615,3291966.600000000093132,9841393.959999999031425
20090713,3330056.999999999534339,3320577.180000000167638,3337336.200000000186265,9987971.379999998956919
20090714,3328419.000000000000000,3331593.570000000298023,3305310.599999999627471,9965324.169999999925494
20090715,3436527.000000000000000,3309560.790000000037253,3323992.199999999720603,10070080.990000000223517
20090716,3451269.000000000000000,3317678.129999999888241,3369361.799999999813735,10138309.929999999701977
20090717,3551187.000000000000000,3353626.350000000093132,3348011.399999999906868,10252825.750000000000000
20090720,3577395.000000000000000,3379137.990000000223517,3314651.399999999906868,10271185.390000000596046
20090721,3544635.000000000000000,3399431.340000000316650,3414731.399999999906868,10358798.740000000223517
20090722,3667485.000000000000000,3410447.729999999981374,3469441.799999999813735,10547375.530000001192093
20090723,3693693.000000000000000,3252159.600000000093132,3609553.799999999813735,10555407.399999998509884
20090724,3744471.000000000000000,3251579.790000000037253,3645582.599999999627471,10641634.390000000596046
20090727,3746109.000000000000000,3245201.879999999888241,3685614.600000000093132,10676926.480000000447035
20090728,3744471.000000000000000,3274192.379999999888241,3880436.999999999534339,10899101.379999998956919
20090729,3744471.000000000000000,3270713.520000000018626,3791032.199999999720603,10806217.719999998807907
20090730,3809991.000000000465661,3223169.100000000093132,3749665.799999999813735,10782826.900000000372529
20090731,3823095.000000000000000,3192439.170000000391155,3744328.199999999720603,10759863.369999999180436
20090803,3895167.000000000000000,3196497.840000000316650,3650920.199999999720603,10742586.039999999105930
20090804,3873873.000000000000000,3189540.120000000111759,3593541.000000000000000,10656955.120000001043081
20090805,3864045.000000000000000,3194178.600000000093132,3493461.000000000000000,10551685.599999999627471
20090806,3836199.000000000465661,3179683.350000000093132,3466773.000000000000000,10482656.350000001490116
20090807,3872235.000000000000000,3200556.510000000242144,3537496.200000000186265,10610288.710000000894070
20090810,3854217.000000000000000,3262596.180000000167638,3612222.599999999627471,10729036.779999999329448
20090811,3809991.000000000465661,3248100.930000000167638,3712302.599999999627471,10770395.530000001192093
20090812,3868959.000000000000000,3262016.370000000111759,3708299.399999999906868,10839275.769999999552965
20090813,3941031.000000000000000,3234185.490000000223517,3785694.600000000093132,10960912.089999999850988
20090814,3903356.999999999534339,3204615.180000000167638,3744328.199999999720603,10852301.379999998956919
20090817,3734643.000000000000000,3159969.810000000055879,3800373.000000000000000,10694986.810000000521541
20090818,3837837.000000000000000,3204035.370000000111759,3760341.000000000000000,10802214.370000001043081
20090819,3850941.000000000465661,3226647.959999999962747,3760341.000000000000000,10837930.960000000894070
20090820,3891891.000000000465661,3255058.649999999906868,3788363.399999999906868,10935314.050000000745058
20090821,3959049.000000000465661,3262596.180000000167638,3859086.600000000093132,11080732.780000001192093
20090824,3955773.000000000000000,3241723.020000000018626,3961835.399999999906868,11159332.419999999925494
20090825,3963963.000000000000000,3273032.760000000242144,3992526.600000000093132,11229523.359999999403954
20090826,3918099.000000000465661,3304922.310000000055879,3860421.000000000000000,11083443.310000000521541
20090827,3965601.000000000000000,3314199.270000000018626,3861755.399999999906868,11141556.669999999925494
20090828,3978705.000000000000000,3250999.979999999981374,3760341.000000000000000,10990046.980000000447035
20090831,3936117.000000000000000,3260856.750000000000000,3736321.799999999813735,10933296.550000000745058
20090901,3867321.000000000000000,3226068.149999999906868,3646916.999999999534339,10740307.150000000372529
20090902,3865683.000000000000000,3210413.279999999795109,3824392.199999999720603,10900489.479999998584390
20090903,3896805.000000000000000,3222009.479999999981374,3852414.600000000093132,10971230.080000000074506
20090904,3985256.999999999534339,3255058.649999999906868,3853748.999999999534339,11094065.649999998509884
20090908,4045863.000000000000000,3259697.129999999888241,3714971.399999999906868,11020532.529999999329448
20090909,4004913.000000000000000,3194178.600000000093132,3789697.799999999813735,10988790.399999998509884
20090910,4037673.000000000000000,3180263.160000000149012,3884440.199999999720603,11102377.359999999403954
20090911,4027845.000000000000000,3153591.899999999906868,3879102.599999999627471,11060540.500000000000000
20090914,4065519.000000000000000,3144314.939999999944121,3837736.200000000186265,11047571.140000000596046
20090915,4098279.000000000000000,3187800.689999999944121,3696289.799999999813735,10982370.489999998360872
20090916,4255527.000000000000000,3274192.379999999888241,3908459.399999999906868,11438179.779999999329448
20090917,4317771.000000000000000,3273612.570000000298023,3915131.399999999906868,11506515.970000000670552
20090918,4329237.000000000000000,3304922.310000000055879,3813716.999999999534339,11447877.310000000521541
20090921,4306305.000000000000000,3255058.649999999906868,3815051.399999999906868,11376416.050000000745058
20090922,4316133.000000000000000,3235924.920000000391155,3680276.999999999534339,11232335.919999999925494
20090923,4340703.000000000000000,3220270.049999999813735,3560181.000000000000000,11121155.050000000745058
20090924,4301391.000000000000000,3253899.029999999795109,3473445.000000000000000,11028736.029999999329448
20090925,4266993.000000000000000,3302023.260000000242144,3381371.399999999906868,10950388.660000000149012
20090928,4355445.000000000000000,3314779.080000000074506,3442753.799999999813735,11112978.879999998956919
20090929,4337427.000000000000000,3314779.080000000074506,3426741.000000000000000,11078948.080000000074506
20090930,4337427.000000000000000,3308980.979999999981374,3341339.399999999906868,10987748.380000000819564
20091001,4232595.000000000000000,3289847.250000000000000,3307979.399999999906868,10830422.650000000372529
20091002,4325961.000000000000000,3288107.820000000298023,3239925.000000000000000,10853994.820000000298023
20091005,4352169.000000000000000,3282309.720000000204891,3207899.399999999906868,10842379.120000001043081
20091006,4445535.000000000000000,3330433.949999999720603,3253268.999999999534339,11029238.949999999254942
20091007,4452087.000000000000000,3313039.649999999906868,3342673.799999999813735,11107801.449999999254942
20091008,4429155.000000000000000,3297384.779999999795109,3223912.199999999720603,10950452.979999998584390
20091009,4457001.000000000000000,3287528.010000000242144,3291966.600000000093132,11036496.609999999403954
20091012,4465191.000000000000000,3286368.390000000130385,3366693.000000000000000,11118253.390000000596046
20091013,4447173.000000000000000,3307821.359999999869615,3241259.399999999906868,10996254.759999999776483
20091014,4476657.000000000000000,3333912.810000000055879,3318654.600000000093132,11129225.410000000149012
20091015,4458639.000000000000000,3374499.510000000242144,3275953.799999999813735,11109093.309999998658895
20091016,4399671.000000000000000,3408128.490000000223517,3262609.799999999813735,11070410.289999999105930
20091019,4442259.000000000000000,3437118.990000000223517,3325326.600000000093132,11204705.589999999850988
20091020,4650285.000000000000000,3416245.830000000074506,3464104.199999999720603,11530636.029999999329448
20091021,4794429.000000000000000,3382037.040000000037253,3352014.600000000093132,11528481.640000000596046
20091022,4800981.000000000000000,3449874.810000000055879,3430744.199999999720603,11681601.009999999776483
20091023,4771497.000000000000000,3445816.140000000130385,3449425.799999999813735,11666739.940000001341105
20091026,4738737.000000000000000,3432480.510000000242144,3377368.199999999720603,11548586.709999999031425
20091027,4619163.000000000000000,3422043.930000000167638,3536161.799999999813735,11577369.730000000447035
20091028,4502865.000000000000000,3400011.149999999906868,3453428.999999999534339,11356306.150000000372529
20091029,4594593.000000000000000,3429001.649999999906868,3532158.599999999627471,11555754.250000000000000
20091030,4411137.000000000000000,3398271.720000000204891,3462769.799999999813735,11272179.519999999552965
20091102,4429155.000000000000000,3430161.270000000018626,3525486.600000000093132,11384803.869999999180436
20091103,4416051.000000000000000,3434799.750000000000000,3590872.199999999720603,11441723.949999999254942
20091104,4465191.000000000000000,3495679.799999999813735,3718974.600000000093132,11679846.400000000372529
20091105,4540539.000000000000000,3564677.189999999944121,3764344.199999999720603,11869561.389999998733401
20091106,4547091.000000000000000,3578592.629999999888241,3825726.600000000093132,11951411.230000000447035
20091109,4714167.000000000000000,3631935.149999999906868,3887108.999999999534339,12233212.150000000372529
20091110,4750203.000000000000000,3611061.990000000223517,3865758.599999999627471,12227024.589999999850988
20091111,4756755.000000000000000,3642951.540000000037253,3919134.600000000093132,12318842.139999998733401
20091112,4727271.000000000000000,3604684.080000000074506,3837736.200000000186265,12169692.280000001192093
20091113,4784601.000000000000000,3686437.290000000037253,3880436.999999999534339,12351476.289999999105930
20091116,4835379.000000000000000,3741519.240000000223517,3889777.799999999813735,12466677.039999999105930
20091117,4843569.000000000000000,3685857.479999999981374,3865758.599999999627471,12395186.080000000074506
20091118,4818999.000000000000000,3709629.689999999944121,3852414.600000000093132,12381044.289999999105930
20091119,4691235.000000000000000,3676580.520000000018626,3820388.999999999534339,12188205.519999999552965
20091120,4678131.000000000000000,3709049.879999999888241,3811048.199999999720603,12198230.080000000074506
20091123,4817361.000000000000000,3710209.500000000000000,3880436.999999999534339,12408008.500000000000000
20091124,4784601.000000000000000,3723545.129999999888241,3944488.199999999720603,12452635.329999998211861
20091125,4778049.000000000000000,3736880.760000000242144,3941819.399999999906868,12456750.160000000149012
20091127,4694511.000000000000000,3687596.910000000149012,3928475.399999999906868,12310584.310000000521541
20091130,4678131.000000000000000,3667303.560000000055879,3825726.600000000093132,12171162.160000000149012
20091201,4609335.000000000000000,3684118.049999999813735,3829729.799999999813735,12123183.849999999627471
20091202,4591317.000000000000000,3623817.810000000055879,3775019.399999999906868,11990155.210000000894070
20091203,4597869.000000000000000,3593087.879999999888241,3646916.999999999534339,11837874.879999998956919
20091204,4524159.000000000000000,3571055.100000000093132,3664264.199999999720603,11759479.299999998882413
20091207,4420965.000000000000000,3590768.640000000130385,3776353.799999999813735,11788088.440000001341105
20091208,4442259.000000000000000,3514233.720000000204891,3797704.199999999720603,11754197.919999999925494
20091209,4628991.000000000000000,3513653.910000000149012,3803041.799999999813735,11945687.710000000894070
20091210,4596231.000000000000000,3539745.359999999869615,4044568.199999999720603,12180545.559999998658895
20091211,4555281.000000000000000,3575113.770000000018626,4067253.000000000000000,12197648.769999999552965
20091214,4609335.000000000000000,3602944.649999999906868,4129969.799999999813735,12342250.449999999254942
20091215,4543815.000000000000000,3594827.310000000055879,4179342.599999999627471,12317985.910000000149012
20091216,4563471.000000000000000,3619179.330000000074506,4296769.799999999813735,12479421.129999998956919
20091217,4489761.000000000000000,3590188.830000000074506,4246062.599999999627471,12326013.429999999701977
20091218,4573299.000000000000000,3604684.080000000074506,4208699.399999999441206,12386683.480000000447035
20091221,4638819.000000000000000,3633094.770000000018626,4292766.599999999627471,12564681.369999999180436
20091222,4687959.000000000000000,3651068.879999999888241,4312782.599999999627471,12651811.480000000447035
20091223,4728909.000000000000000,3673681.470000000204891,4219374.599999999627471,12621966.070000000298023
20091224,4891071.000000000000000,3677160.330000000074506,4227381.000000000000000,12795613.330000000074506
20091228,4951677.000000000000000,3688176.720000000204891,4188683.399999999906868,12828538.120000001043081
20091229,4892709.000000000000000,3687017.100000000093132,4116625.799999999813735,12696352.899999998509884
20091230,4951677.000000000000000,3646430.399999999906868,4137976.200000000186265,12736084.600000001490116
20091231,4930383.000000000000000,3620338.949999999720603,4067253.000000000000000,12617975.949999999254942
20100104,5007369.000000000000000,3640052.490000000223517,4207365.000000000000000,12854787.490000000223517
20100105,5017197.000000000000000,3612221.609999999869615,4200693.000000000000000,12830112.609999999403954
20100106,4936935.000000000000000,3562937.760000000242144,4242059.399999999441206,12741933.160000000149012
20100107,4927107.000000000000000,3589029.209999999962747,4404856.199999999254942,12920993.410000000149012
20100108,4959867.000000000000000,3585550.350000000093132,4363489.799999999813735,12908908.149999998509884
20100111,4917279.000000000000000,3613381.229999999981374,4392846.599999999627471,12923507.830000000074506
20100112,4859949.000000000000000,3633094.770000000018626,4276753.799999999813735,12769798.570000000298023
20100113,4928745.000000000000000,3629036.100000000093132,4342139.399999999441206,12899921.500000000000000
20100114,4900899.000000000000000,3632514.959999999962747,4446222.599999999627471,12979637.560000000521541
20100115,4818999.000000000000000,3611061.990000000223517,4503601.799999999813735,12933663.789999999105930
20100119,5031939.000000000000000,3680639.189999999944121,4687749.000000000000000,13400328.189999999478459
20100120,4954953.000000000000000,3653388.120000000111759,4610353.799999999813735,13218695.920000001788139
20100121,4868139.000000000000000,3664404.510000000242144,4416865.799999999813735,12949410.309999998658895
20100122,4627353.000000000000000,3675420.899999999906868,4424872.199999999254942,12727647.099999999627471
20100125,4751841.000000000000000,3658026.600000000093132,4403521.799999999813735,12813390.399999998509884
20100126,4818999.000000000000000,3699772.920000000391155,4328795.399999999441206,12847568.320000000298023
20100127,4864863.000000000000000,3695134.439999999944121,4435547.400000000372529,12995545.839999999850988
20100128,4663389.000000000000000,3642951.540000000037253,4460901.000000000000000,12767242.539999999105930
20100129,4494675.000000000000000,3619759.140000000130385,4403521.799999999813735,12517956.940000001341105
20100201,4556919.000000000000000,3704411.399999999906868,4420869.000000000000000,12682200.400000000372529
20100202,4583127.000000000000000,3712528.740000000223517,4543633.799999999813735,12839290.539999999105930
20100203,4661751.000000000000000,3780946.319999999832362,4446222.599999999627471,12888920.919999999925494
20100204,4494675.000000000000000,3714268.170000000391155,4331464.200000000186265,12540408.370000001043081
20100205,4573299.000000000000000,3674261.279999999795109,4342139.399999999441206,12589700.679999999701977
20100208,4542177.000000000000000,3648169.830000000074506,4324792.199999999254942,12515140.029999999329448
20100209,4591317.000000000000000,3685857.479999999981374,4403521.799999999813735,12680697.280000001192093
20100210,4565109.000000000000000,3667303.560000000055879,4364824.200000000186265,12597237.760000001639128
20100211,4648647.000000000000000,3698613.299999999813735,4419534.599999999627471,12766795.899999998509884
20100212,4689597.000000000000000,3687017.100000000093132,4294101.000000000000000,12670716.099999999627471
20100216,4760031.000000000000000,3711369.120000000577420,4220709.000000000000000,12692110.120000001043081
20100217,4740375.000000000000000,3725864.370000000577420,4343473.799999999813735,12809714.170000001788139
20100218,4748565.000000000000000,3738620.190000000409782,4362155.399999999441206,12849341.589999999850988
20100219,4719081.000000000000000,3753695.249999999534339,4262075.400000000372529,12734852.650000000372529
20100222,4689597.000000000000000,3755434.679999999701977,4414197.000000000000000,12859229.679999999701977
20100223,4610973.000000000000000,3761232.780000000260770,4378168.200000000186265,12750374.980000000447035
20100224,4696149.000000000000000,3783845.370000000577420,4486254.599999999627471,12966249.970000000670552
