代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13681807.070000000298023
真實報酬,3681807.070000000298023

夏普值報酬,0.359480707000000
夏普值風險,0.100075242557842
夏普值,3.592104278860246

預期報酬,16047.610511431892519
風險,223898.929824424645631
趨勢值,0.071673457858937
找到最佳解世代,2008
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](5),HD[9](4),INTC[11](9),NKE[19](3),TRV[22](2),
Stock#,AAPL[0](1),DIS[6](5),HD[9](4),INTC[11](9),NKE[19](3),TRV[22](2),
張數,21735,20815,21062,64574,45130,19584,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,26.199999999953434,8.950000000186265,29.940000000176951,11.060000000055879,15.100000000093132,67.600000000093132,
20140401,1681880.499999999767169,1697888.500000000000000,1671931.500000000000000,1678289.320000000065193,1678851.100000000325963,1652761.360000000102445,10061606.279999999329448
20140402,1684706.050000000046566,1699970.000000000232831,1683936.840000000316650,1671831.920000000158325,1682010.200000000186265,1657853.200000000186265,10080312.210000000894070
20140403,1672969.149999999906868,1700386.300000000046566,1672352.740000000223517,1705410.400000000139698,1669373.800000000279397,1664315.920000000158325,10084812.310000000521541
20140404,1651234.149999999906868,1674159.400000000372529,1658030.580000000074506,1689266.900000000139698,1643649.700000000186265,1668624.400000000139698,9984969.130000000819564
20140407,1625369.500000000000000,1647099.900000000139698,1624542.000000000000000,1710576.320000000065193,1598519.700000000186265,1664707.600000000093132,9870819.020000001415610
20140408,1625369.500000000000000,1656258.500000000000000,1624120.760000000242144,1737697.400000000139698,1645454.900000000139698,1659419.920000000158325,9948324.980000000447035
20140409,1646669.800000000046566,1674992.000000000232831,1637811.060000000288710,1742217.580000000074506,1659896.500000000232831,1680766.479999999981374,10042357.419999999925494
20140410,1625369.500000000000000,1613379.600000000325963,1617170.300000000279397,1706701.880000000121072,1635075.000000000000000,1664511.760000000009313,9862212.040000000968575
20140411,1613415.250000000000000,1602972.100000000325963,1594423.340000000316650,1690558.380000000121072,1607997.000000000232831,1670582.800000000046566,9779952.870000001043081
20140414,1619935.750000000000000,1615669.250000000232831,1600110.080000000074506,1715096.500000000000000,1633269.800000000046566,1674499.600000000093132,9858584.980000000447035
20140415,1608198.849999999860302,1616501.850000000093132,1598425.120000000111759,1728657.040000000037253,1631013.300000000046566,1682137.360000000102445,9864937.519999999552965
20140416,1611459.099999999860302,1643353.200000000186265,1612957.900000000139698,1738988.880000000121072,1649516.599999999860302,1699567.120000000111759,9955846.800000000745058
20140417,1629933.849999999860302,1665000.800000000046566,1623699.520000000251457,1746092.020000000018626,1670727.700000000186265,1697608.720000000204891,10033066.609999999403954
20140421,1649277.999999999767169,1646683.600000000093132,1642023.459999999962747,1740280.360000000102445,1667568.600000000325963,1692125.200000000186265,10037963.220000000670552
20140422,1651016.799999999813735,1653760.700000000186265,1678039.480000000214204,1733177.219999999972060,1677497.200000000186265,1701721.360000000102445,10095216.759999999776483
20140423,1629281.799999999813735,1655217.750000000000000,1653818.180000000167638,1727365.560000000055879,1672081.599999999860302,1726005.520000000018626,10063774.410000000149012
20140424,1762952.050000000046566,1656674.800000000279397,1680145.680000000167638,1727365.560000000055879,1656286.100000000325963,1735014.160000000149012,10218442.350000001490116
20140425,1775993.049999999813735,1628366.400000000372529,1671931.500000000000000,1695724.300000000046566,1640490.600000000093132,1729530.640000000130385,10142040.490000000223517
20140428,1844675.650000000139698,1618999.650000000139698,1688570.480000000214204,1700244.479999999981374,1617474.300000000279397,1755577.360000000102445,10225545.919999999925494
20140429,1839241.900000000139698,1636900.550000000279397,1674880.180000000167638,1709930.580000000074506,1635526.300000000279397,1780253.200000000186265,10276736.710000000894070
20140430,1832286.699999999953434,1651471.050000000279397,1674669.560000000288710,1723491.120000000111759,1646357.500000000000000,1773986.320000000065193,10302266.250000000000000
20140501,1836633.699999999953434,1656050.350000000325963,1670878.400000000139698,1707993.360000000102445,1645454.900000000139698,1778882.320000000065193,10295897.030000001192093
20140502,1839893.950000000186265,1671661.600000000325963,1672352.740000000223517,1705410.400000000139698,1646808.800000000279397,1782211.600000000093132,10318343.090000001713634
20140505,1865975.949999999720603,1690603.250000000232831,1657398.720000000204891,1689912.640000000130385,1654029.600000000093132,1775357.200000000186265,10333281.359999999403954
20140506,1845762.399999999906868,1686648.400000000139698,1630649.980000000214204,1691849.860000000102445,1630562.000000000232831,1760277.520000000018626,10245754.160000000149012
20140507,1839241.900000000139698,1671245.300000000279397,1623488.900000000139698,1702827.440000000176951,1628756.800000000279397,1783582.479999999981374,10249146.820000002160668
20140508,1825766.199999999953434,1698512.949999999953434,1622857.040000000037253,1700890.219999999972060,1648614.000000000232831,1786911.760000000009313,10283556.169999999925494
20140509,1818158.950000000186265,1705798.200000000186265,1636757.959999999962747,1698307.260000000009313,1657640.000000000000000,1788086.800000000046566,10304753.170000001788139
20140512,1840763.349999999860302,1715581.250000000232831,1648552.680000000167638,1702827.440000000176951,1684266.700000000186265,1802578.960000000195578,10394574.380000002682209
20140513,1843588.899999999906868,1708504.150000000139698,1627490.680000000167638,1707993.360000000102445,1683364.099999999860302,1819617.040000000037253,10390562.230000000447035
20140514,1844023.600000000093132,1684358.750000000232831,1607271.160000000149012,1700244.479999999981374,1660347.800000000046566,1814525.200000000186265,10310774.990000002086163
20140515,1828374.400000000139698,1668331.200000000419095,1605796.820000000065193,1679580.800000000046566,1645906.199999999953434,1809041.680000000167638,10237035.099999999627471
20140516,1855325.800000000046566,1673326.800000000279397,1629386.260000000242144,1667311.739999999990687,1668471.199999999953434,1813154.320000000065193,10306980.120000001043081
20140519,1877278.150000000139698,1687064.700000000186265,1611272.940000000176951,1681518.020000000018626,1680656.300000000279397,1816875.280000000027940,10354669.390000000596046
20140520,1877712.849999999860302,1687897.300000000279397,1642023.459999999962747,1681518.020000000018626,1653127.000000000232831,1814916.880000000121072,10357199.510000001639128
20140521,1882711.900000000139698,1710793.800000000046566,1644550.900000000139698,1691849.860000000102445,1674338.100000000093132,1818637.840000000083819,10422886.400000000372529
20140522,1885537.449999999953434,1714124.199999999953434,1659294.300000000279397,1688621.159999999916181,1689682.300000000046566,1821575.440000000176951,10458838.849999999627471
20140523,1906837.750000000000000,1734314.750000000000000,1667719.100000000325963,1697661.520000000018626,1711344.700000000186265,1818637.840000000083819,10536519.660000000149012
20140527,1942700.499999999767169,1743057.050000000046566,1678460.720000000204891,1724782.600000000093132,1728945.400000000139698,1830975.760000000009313,10648926.029999999329448
20140528,1937484.099999999860302,1740142.949999999953434,1678250.100000000325963,1735760.179999999934807,1721273.300000000046566,1830388.239999999990687,10643302.870000001043081
20140529,1972912.149999999906868,1749093.400000000139698,1682883.740000000223517,1740926.100000000093132,1723529.800000000046566,1842922.000000000000000,10712271.190000001341105
20140530,1965522.250000000000000,1748677.100000000325963,1689834.200000000186265,1764172.739999999990687,1735714.900000000139698,1830192.400000000139698,10734117.590000001713634
20140602,1952046.550000000046566,1754089.000000000000000,1702682.020000000251457,1760298.300000000046566,1731201.900000000139698,1835284.239999999990687,10735606.009999999776483
20140603,1979650.000000000000000,1745971.150000000139698,1699101.480000000214204,1786127.900000000139698,1705026.500000000232831,1829409.040000000037253,10745290.070000000298023
20140604,2002254.400000000139698,1753464.550000000046566,1696363.420000000391155,1782253.460000000195578,1718114.200000000186265,1854084.880000000121072,10806538.910000002011657
20140605,2010079.000000000000000,1764704.650000000139698,1692993.500000000000000,1786127.900000000139698,1712247.300000000046566,1859960.080000000074506,10826116.430000001564622
20140606,2004427.899999999906868,1761166.100000000093132,1698469.620000000111759,1819060.640000000130385,1720370.699999999953434,1848013.840000000083819,10851512.799999998882413
20140609,2036595.699999999953434,1779275.150000000372529,1697837.760000000242144,1802271.400000000139698,1730299.300000000279397,1853889.040000000037253,10900172.350000001490116
20140610,2048549.949999999953434,1764080.200000000186265,1700575.820000000065193,1823580.820000000065193,1722175.899999999906868,1862506.000000000000000,10921472.690000001341105
20140611,2040073.300000000046566,1754921.600000000325963,1680988.160000000149012,1803562.880000000121072,1695549.200000000186265,1858589.200000000186265,10833688.339999999850988
20140612,2005949.350000000093132,1723490.950000000186265,1651922.600000000325963,1805500.100000000093132,1687425.800000000046566,1860547.600000000093132,10734840.400000000372529
20140613,1983997.000000000000000,1723490.950000000186265,1644340.280000000027940,1928836.440000000176951,1683815.400000000139698,1868577.040000000037253,10833061.109999999403954
20140616,2003993.199999999953434,1733898.450000000186265,1661821.740000000223517,1937876.800000000046566,1682461.500000000232831,1869556.239999999990687,10889611.930000001564622
20140617,2001385.000000000000000,1730984.350000000093132,1685411.180000000167638,1934002.360000000102445,1694646.599999999860302,1864856.080000000074506,10911289.570000000298023
20140618,2003558.500000000000000,1739726.650000000139698,1699943.959999999962747,1932710.880000000121072,1719468.100000000093132,1868381.200000000186265,10963793.289999999105930
20140619,1996603.300000000046566,1743681.500000000000000,1694257.220000000204891,1943042.719999999972060,1706831.700000000186265,1872298.000000000000000,10956718.439999999478459
20140620,1975955.049999999813735,1723907.250000000000000,1688570.480000000214204,1950145.860000000102445,1694646.599999999860302,1852518.160000000149012,10885747.400000000372529
20140623,1974216.250000000000000,1722658.350000000325963,1698469.620000000111759,1952083.080000000074506,1702770.000000000000000,1859568.400000000139698,10909769.700000001117587
20140624,1962262.000000000000000,1720993.150000000372529,1694046.600000000325963,1969518.060000000055879,1691938.800000000279397,1854084.880000000121072,10892847.490000002086163
20140625,1964000.800000000046566,1746387.450000000419095,1696152.800000000279397,1994056.179999999934807,1725786.300000000279397,1857805.840000000083819,10984193.370000001043081
20140626,1975737.700000000186265,1757835.700000000186265,1700786.440000000176951,1987598.780000000027940,1734361.000000000000000,1848993.040000000037253,11005316.660000000149012
20140627,1999211.500000000000000,1775528.450000000186265,1708790.000000000000000,1997284.880000000121072,1752864.300000000279397,1839396.880000000121072,11073080.010000001639128
20140630,2019859.750000000000000,1784687.050000000046566,1705209.459999999962747,1995347.659999999916181,1750156.500000000232831,1842334.479999999981374,11097598.900000000372529
20140701,2032683.399999999906868,1799882.000000000232831,1723322.780000000027940,2000513.580000000074506,1760085.100000000093132,1864660.239999999990687,11181151.100000001490116
20140702,2031814.000000000000000,1799257.550000000046566,1726692.700000000186265,2000513.580000000074506,1755572.100000000093132,1853105.680000000167638,11166959.609999999403954
20140703,2043768.250000000000000,1807583.550000000279397,1728167.040000000037253,2010845.420000000158325,1770465.000000000000000,1857414.160000000149012,11218247.419999999925494
20140707,2085934.149999999906868,1802379.800000000279397,1714897.980000000214204,2003742.280000000027940,1774978.000000000000000,1851734.800000000046566,11233671.010000001639128
20140708,2072458.449999999720603,1787184.850000000093132,1700997.060000000288710,1988244.520000000018626,1752864.300000000279397,1843705.360000000102445,11145458.540000000968575
20140709,2073327.849999999860302,1815493.250000000232831,1700365.200000000186265,1994701.920000000158325,1775880.600000000093132,1854672.400000000139698,11214445.220000000670552
20140710,2065720.600000000093132,1807999.850000000093132,1672352.740000000223517,2018594.300000000046566,1748802.600000000093132,1846838.800000000046566,11160312.890000000596046
20140711,2069632.899999999906868,1808624.300000000279397,1676775.760000000242144,2017948.560000000055879,1744289.600000000093132,1854280.720000000204891,11171555.840000001713634
20140714,2096366.949999999953434,1805918.350000000325963,1673616.459999999962747,2033446.320000000065193,1759182.500000000000000,1871514.640000000130385,11240049.220000000670552
20140715,2071806.399999999906868,1793221.200000000419095,1682041.260000000242144,2047652.600000000093132,1760987.700000000186265,1879152.400000000139698,11234865.560000000521541
20140716,2060069.500000000000000,1776569.199999999953434,1677828.860000000102445,2237500.160000000149012,1735714.900000000139698,1872689.680000000167638,11360376.300000000745058
20140717,2023337.350000000093132,1769908.400000000139698,1675512.040000000037253,2176154.860000000335276,1727140.200000000186265,1854672.400000000139698,11226729.250000001862645
20140718,2052462.250000000000000,1786144.100000000325963,1686674.900000000139698,2176154.860000000335276,1749253.899999999906868,1867206.160000000149012,11317900.170000001788139
20140721,2041812.099999999860302,1784687.050000000046566,1678881.959999999962747,2199401.500000000000000,1733458.399999999906868,1865639.440000000176951,11303884.449999999254942
20140722,2058765.399999999906868,1794470.100000000093132,1696363.420000000391155,2246540.520000000018626,1738422.700000000186265,1794549.520000000018626,11329115.660000000149012
20140723,2112450.849999999627471,1790931.550000000279397,1706473.180000000167638,2227814.060000000055879,1746094.800000000046566,1797487.120000000111759,11381255.560000002384186
20140724,2108973.250000000000000,1806750.950000000186265,1710264.340000000316650,2211670.560000000055879,1773624.099999999860302,1819029.520000000018626,11430316.720000000670552
20140725,2122883.650000000372529,1794886.400000000372529,1706683.800000000279397,2211670.560000000055879,1753766.900000000139698,1803754.000000000000000,11393649.310000002384186
20140728,2152225.899999999441206,1814036.200000000419095,1707526.280000000027940,2210379.080000000074506,1769111.100000000325963,1799445.520000000018626,11452728.080000000074506
20140729,2138315.500000000000000,1794261.950000000186265,1705630.700000000186265,2207796.120000000111759,1762341.599999999860302,1784561.680000000167638,11392911.550000000745058
20140730,2133316.450000000186265,1815285.100000000093132,1722059.060000000288710,2218127.959999999962747,1796640.400000000139698,1781036.560000000055879,11466469.530000001192093
20140731,2077892.199999999720603,1787601.150000000139698,1702892.640000000130385,2188423.919999999925494,1740679.200000000186265,1754010.640000000130385,11251503.750000000000000
20140801,2089411.749999999767169,1777193.650000000139698,1679724.440000000176951,2178737.820000000298023,1732555.800000000046566,1754989.840000000083819,11212617.300000000745058
20140804,2077674.850000000093132,1815909.550000000046566,1685621.800000000279397,2198755.759999999776483,1741130.500000000000000,1760669.200000000186265,11279765.660000000149012
20140805,2067459.400000000139698,1805710.200000000186265,1685621.800000000279397,2119329.740000000223517,1735714.900000000139698,1745393.680000000167638,11159233.720000000670552
20140806,2063981.799999999813735,1802379.800000000279397,1695942.180000000167638,2121266.959999999962747,1740679.200000000186265,1756752.400000000139698,11181006.340000001713634
20140807,2053549.000000000000000,1779899.600000000325963,1694889.080000000074506,2110289.379999999888241,1722627.200000000186265,1760669.200000000186265,11121927.460000000894070
20140808,2059200.099999999860302,1807791.699999999953434,1736170.600000000325963,2105123.459999999962747,1738874.000000000232831,1772027.920000000158325,11219191.780000001192093
20140811,2086368.849999999860302,1821321.450000000186265,1745648.500000000000000,2132244.540000000037253,1738874.000000000232831,1775553.040000000037253,11300014.379999998956919
20140812,2085934.149999999906868,1815285.100000000093132,1746490.980000000214204,2139347.680000000167638,1731653.199999999953434,1783974.160000000149012,11302689.269999999552965
20140813,2113537.599999999627471,1823402.949999999953434,1750703.380000000353903,2201984.459999999962747,1743387.000000000232831,1787499.280000000027940,11420518.669999999925494
20140814,2119188.700000000186265,1844426.100000000093132,1766289.260000000242144,2191652.620000000111759,1744289.600000000093132,1806104.080000000074506,11471954.360000001266599
20140815,2129621.500000000000000,1858372.150000000139698,1762708.720000000204891,2206504.640000000130385,1740679.200000000186265,1804341.520000000018626,11502231.730000000447035
20140818,2155268.799999999813735,1872734.500000000232831,1760602.520000000251457,2222002.399999999906868,1772721.500000000232831,1821183.760000000009313,11604517.480000000447035
20140819,2185045.750000000000000,1875232.300000000279397,1858330.200000000186265,2217482.220000000204891,1771818.899999999906868,1819617.040000000037253,11727530.410000000149012
20140820,2185915.149999999441206,1870028.550000000279397,1911406.440000000176951,2227814.060000000055879,1780844.900000000139698,1823533.840000000083819,11799546.939999999478459
20140821,2186132.500000000000000,1881268.650000000139698,1919831.240000000223517,2269787.160000000149012,1781296.199999999953434,1839788.560000000055879,11878108.310000000521541
20140822,2202216.399999999441206,1883558.300000000046566,1917303.800000000279397,2256226.620000000111759,1789419.600000000093132,1836067.600000000093132,11884796.320000000298023
20140825,2206998.099999999627471,1881268.650000000139698,1920884.340000000316650,2247832.000000000000000,1805666.399999999906868,1846642.960000000195578,11909296.450000001117587
20140826,2192870.349999999627471,1873775.250000000000000,1929941.000000000000000,2247186.259999999776483,1793481.300000000279397,1844880.400000000139698,11882138.560000000521541
20140827,2219821.750000000000000,1881060.500000000232831,1934995.880000000353903,2246540.520000000018626,1798896.900000000139698,1855847.440000000176951,11937166.990000000223517
20140828,2222429.950000000186265,1878146.400000000372529,1948475.560000000288710,2237500.160000000149012,1778588.399999999906868,1847622.160000000149012,11912766.630000000819564
20140829,2227863.700000000186265,1870861.150000000139698,1969326.940000000176951,2254935.140000000130385,1772721.500000000232831,1854868.239999999990687,11950580.670000001788139
20140902,2245251.700000000186265,1890010.950000000186265,1919831.240000000223517,2232334.240000000223517,1788968.300000000046566,1851147.280000000027940,11927547.710000000894070
20140903,2150487.099999999627471,1892925.050000000046566,1874547.940000000176951,2232334.240000000223517,1778588.399999999906868,1850168.080000000074506,11779054.810000000521541
20140904,2132664.400000000372529,1876273.050000000279397,1894135.600000000325963,2254289.399999999906868,1803409.900000000139698,1846055.440000000176951,11806831.790000000968575
20140905,2151139.150000000372529,1892925.050000000046566,1929519.760000000242144,2260101.060000000055879,1851247.700000000186265,1845076.239999999990687,11930012.960000002756715
20140908,2137880.799999999813735,1885015.350000000325963,1912880.780000000027940,2281410.479999999981374,1859371.100000000325963,1826667.280000000027940,11903229.789999999105930
20140909,2129838.849999999627471,1865032.949999999953434,1873073.600000000325963,2254289.399999999906868,1846734.700000000186265,1818442.000000000000000,11787415.500000000000000
20140910,2195261.200000000186265,1863367.750000000000000,1879813.440000000176951,2261392.540000000037253,1861176.300000000279397,1824708.880000000121072,11885724.110000001266599
20140911,2204607.250000000000000,1872734.500000000232831,1879181.580000000074506,2261392.540000000037253,1846283.399999999906868,1819812.880000000121072,11884016.150000000372529
20140912,2209606.299999999813735,1866490.000000000232831,1871178.020000000251457,2235562.939999999944121,1846734.700000000186265,1810020.880000000121072,11839596.840000001713634
20140915,2208954.250000000000000,1875024.150000000139698,1882551.500000000000000,2230397.020000000018626,1841770.400000000139698,1832150.800000000046566,11870852.120000001043081
20140916,2192218.299999999813735,1878979.000000000000000,1901296.680000000167638,2255580.879999999888241,1832293.100000000093132,1833913.360000000102445,11894285.320000000298023
20140917,2207867.500000000000000,1880227.900000000139698,1921305.580000000074506,2258809.580000000074506,1839513.899999999906868,1834109.200000000186265,11941837.660000000149012
20140918,2212431.849999999627471,1880436.050000000279397,1939629.520000000251457,2271078.640000000130385,1849893.800000000279397,1856239.120000000111759,12009712.980000000447035
20140919,2194391.799999999813735,1883558.300000000046566,1944895.020000000251457,2248477.740000000223517,1846283.399999999906868,1852909.840000000083819,11970520.099999999627471
20140922,2196565.299999999813735,1858580.300000000279397,1935417.120000000111759,2241374.600000000093132,1821010.600000000093132,1852714.000000000000000,11905665.919999999925494
20140923,2230906.599999999627471,1838181.600000000325963,1926992.320000000065193,2222648.140000000130385,1807922.900000000139698,1832150.800000000046566,11858806.360000001266599
20140924,2211562.450000000186265,1861910.700000000186265,1959217.180000000167638,2243957.560000000055879,1824169.700000000186265,1856434.960000000195578,11957256.550000000745058
20140925,2127230.650000000372529,1833186.000000000000000,1935627.740000000223517,2204567.419999999925494,1799799.500000000232831,1835088.400000000139698,11735503.710000000894070
20140926,2189827.450000000186265,1847132.050000000046566,1955426.020000000251457,2212316.299999999813735,2019582.600000000093132,1848797.200000000186265,12073085.620000001043081
20140929,2175917.049999999813735,1849005.400000000139698,1956268.500000000000000,2253643.660000000149012,2011007.900000000139698,1836459.280000000027940,12082305.789999999105930
20140930,2189827.450000000186265,1853168.400000000139698,1932257.820000000065193,2248477.740000000223517,2012813.100000000093132,1839788.560000000055879,12076337.070000002160668
20141001,2155703.500000000000000,1821113.300000000046566,1917093.180000000167638,2194881.320000000298023,1978965.600000000093132,1823338.000000000000000,11891098.900000000372529
20141002,2171352.700000000186265,1806542.800000000279397,1942788.820000000065193,2164531.540000000037253,2015069.600000000093132,1822750.479999999981374,11923039.940000001341105
20141003,2165266.900000000372529,1841095.700000000186265,1970169.420000000391155,2197464.280000000260770,2037634.600000000093132,1849972.239999999990687,12061607.140000002458692
20141006,2165266.900000000372529,1843385.350000000325963,1964272.060000000288710,2202630.200000000186265,2013264.400000000139698,1854672.400000000139698,12043495.310000002384186
20141007,2146357.450000000186265,1813203.600000000093132,1947633.080000000074506,2161302.839999999850988,1987540.300000000046566,1834305.040000000037253,11890346.310000002384186
20141008,2190914.200000000186265,1834018.600000000093132,1981753.520000000251457,2212962.040000000037253,2004689.700000000186265,1849776.400000000139698,12074118.460000000894070
20141009,2195695.899999999441206,1784062.600000000093132,1960270.280000000027940,2170988.939999999944121,1968585.699999999953434,1838809.360000000102445,11918416.779999997466803
20141010,2189392.750000000000000,1795719.000000000000000,1949318.040000000037253,2060567.400000000139698,1967683.100000000093132,1841746.960000000195578,11804431.250000001862645
20141013,2169396.549999999813735,1746595.600000000093132,1908247.140000000130385,2032154.840000000083819,1927066.100000000325963,1831563.280000000027940,11615027.509999999776483
20141014,2146357.450000000186265,1751383.050000000279397,1897716.140000000130385,2075419.420000000158325,1920296.599999999860302,1834696.720000000204891,11625873.380000000819564
20141015,2120058.099999999627471,1708504.150000000139698,1850326.640000000130385,2019885.780000000027940,1922101.800000000279397,1801599.760000000009313,11422480.230000000447035
20141016,2092237.300000000046566,1701427.050000000046566,1872020.500000000000000,1992118.960000000195578,1964072.700000000186265,1798074.640000000130385,11419955.150000000372529
20141017,2122883.650000000372529,1744930.400000000139698,1900664.820000000065193,2026343.179999999934807,1967231.800000000279397,1826079.760000000009313,11588137.610000001266599
20141020,2168309.799999999813735,1780107.750000000000000,1934574.640000000130385,2039257.979999999981374,2006043.600000000325963,1825296.400000000139698,11753594.169999999925494
20141021,2227211.650000000372529,1822154.050000000279397,1984070.340000000316650,2105769.200000000186265,2045306.700000000186265,1845663.760000000009313,12030179.700000001117587
