代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12821910.399999998509884
真實報酬,2821910.399999998509884

夏普值報酬,0.273491040000000
夏普值風險,0.064554502734048
夏普值,4.236591227830090

預期報酬,9980.217305538630171
風險,236881.513305841566762
趨勢值,0.042131685019476
找到最佳解世代,2424
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](4),INTC[11](14),MRK[17](5),MSFT[18](1),PFE[20](9),
Stock#,CSCO[4](4),INTC[11](14),MRK[17](5),MSFT[18](1),PFE[20](9),
張數,53619,44603,36185,23761,55157,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,11.300000000046566,1.479999999748543,55.049999999813735,36.629999999888241,7.180000000167638,
20171201,2016085.700000000186265,1992863.519999999785796,2021710.999999999767169,2002138.489999999990687,2004964.130000000353903,10037762.839999999850988
20171204,2022519.979999999981374,1984388.949999999953434,2034375.749999999767169,1926578.509999999776483,1988968.600000000325963,9956831.789999999105930
20171205,2000536.190000000176951,1937555.799999999580905,2018092.500000000000000,1938696.619999999878928,1965251.090000000316650,9860132.200000001117587
20171206,2005898.089999999850988,1938001.829999999841675,1966709.799999999813735,1966972.209999999962747,1961390.100000000325963,9838972.029999999329448
20171207,2005361.899999999906868,1921498.719999999739230,1981907.500000000000000,1960081.519999999785796,1958080.680000000167638,9826930.319999998435378
20171208,2016621.890000000130385,1933541.529999999795109,2010855.499999999767169,1999762.389999999897555,1971318.360000000335276,9932099.669999999925494
20171211,2035388.540000000037253,1947368.459999999497086,2038717.949999999953434,2025186.659999999916181,1997242.150000000139698,10043903.759999999776483
20171212,2032707.589999999850988,1932649.469999999739230,2065132.999999999767169,2033503.009999999776483,2017650.239999999990687,10081643.309999998658895
20171213,2045576.149999999906868,1933095.500000000000000,2059343.399999999674037,2028037.979999999748543,2020959.660000000149012,10087012.689999999478459
20171214,2032171.399999999906868,1929527.259999999543652,2026776.899999999674037,2012355.719999999739230,2011031.400000000139698,10011862.679999997839332
20171215,2047720.909999999916181,1987511.159999999916181,2035099.449999999953434,2063679.479999999748543,2051847.580000000307336,10185858.580000000074506
20171218,2063270.419999999925494,2063336.259999999543652,2034375.749999999767169,2052511.809999999823049,2047986.590000000316650,10261480.830000000074506
20171219,2053619.000000000000000,2098126.599999999627471,2034737.599999999627471,2039443.259999999776483,2037506.760000000009313,10263433.219999998807907
20171220,2077211.360000000102445,2121320.160000000149012,2030395.399999999906868,2032077.349999999860302,2011031.400000000139698,10272035.669999999925494
20171221,2065951.370000000111759,2085637.759999999543652,2048126.049999999813735,2031602.129999999888241,1998896.860000000335276,10230214.169999999925494
20171222,2067023.750000000000000,2082961.579999999841675,2039441.649999999906868,2031839.739999999990687,1993381.160000000149012,10214647.880000000819564
20171226,2063270.419999999925494,2055307.719999999739230,2038717.949999999953434,2029226.030000000027940,1997242.150000000139698,10183764.269999999552965
20171227,2067559.940000000176951,2056645.809999999823049,2038717.949999999953434,2036591.939999999711290,2003860.989999999990687,10203376.629999998956919
20171228,2069168.510000000242144,2061552.139999999664724,2048126.049999999813735,2036829.549999999813735,2006067.270000000018626,10221743.519999999552965
20171229,2053619.000000000000000,2058875.959999999497086,2036185.000000000000000,2032552.570000000065193,1997793.720000000204891,10179026.250000000000000
20180102,2083645.640000000130385,2089652.029999999795109,2034375.749999999767169,2042294.579999999841675,2009928.260000000009313,10259896.259999999776483
20180103,2100267.530000000260770,2018733.259999999543652,2031480.949999999720603,2051798.979999999748543,2024820.650000000139698,10227101.369999999180436
20180104,2090616.110000000102445,1981712.769999999785796,2064409.299999999813735,2069857.339999999850988,2029233.210000000195578,10235828.730000000447035
20180105,2119570.370000000111759,1995539.699999999953434,2062238.199999999953434,2095519.219999999739230,2033094.200000000186265,10305961.690000001341105
20180108,2141554.160000000149012,1995539.699999999953434,2050297.149999999674037,2097657.709999999962747,2010479.830000000307336,10295528.550000000745058
20180109,2128149.410000000149012,1945584.339999999618158,2055363.049999999813735,2096232.049999999813735,2008273.550000000046566,10233602.400000000372529
20180110,2139945.589999999850988,1895628.979999999748543,2073455.549999999813735,2086727.649999999674037,2011582.970000000204891,10207340.739999998360872
