代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12167120.219999998807907
真實報酬,2167120.219999998807907

夏普值報酬,0.208012022000000
夏普值風險,0.064992588944068
夏普值,3.200549868524448

預期報酬,9726.109233511331695
風險,190415.767283767112531
趨勢值,0.051078276616752
找到最佳解世代,1910
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
JNJ[12](1),MRK[17](5),PG[21](2),VZ[26](4),WMT[28](20),
Stock#,JNJ[12](1),MRK[17](5),PG[21](2),VZ[26](4),WMT[28](20),
張數,21424,40494,27800,45966,30845,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,69.600000000093132,1.340000000083819,68.000000000000000,19.340000000083819,10.199999999953434,
20151001,1996143.680000000167638,1999190.119999999878928,2000278.000000000000000,1974718.700000000186265,1982418.349999999860302,9952748.849999999627471
20151002,2012425.920000000158325,2030370.500000000000000,2013344.000000000000000,1969202.780000000260770,2004318.300000000046566,10029661.500000000000000
20151005,2030207.840000000316650,2074508.959999999962747,2035584.000000000000000,2022523.340000000083819,2031770.350000000093132,10194594.490000000223517
20151006,2001499.680000000167638,2016602.540000000037253,2040588.000000000232831,2025281.300000000279397,2025909.800000000279397,10109881.320000002160668
20151007,2034921.120000000111759,2063170.640000000130385,2049484.000000000000000,2015628.440000000176951,2046884.399999999906868,10210088.599999999627471
20151008,2037063.520000000018626,2066005.220000000204891,2068388.000000000232831,2033095.520000000018626,2062923.799999999813735,10267476.059999998658895
20151009,2043276.480000000214204,2063170.640000000130385,2070612.000000000000000,2029877.899999999906868,2057063.249999999767169,10264000.269999999552965
20151012,2056559.359999999869615,2053452.080000000074506,2066442.000000000000000,2036313.139999999897555,2064466.050000000279397,10277232.629999998956919
20151013,2044990.400000000139698,2003239.520000000018626,2060326.000000000000000,2039071.100000000093132,2058297.050000000046566,10205924.070000000298023
20151014,2025280.320000000065193,2006074.100000000093132,2063105.999999999767169,2022063.680000000167638,1851635.550000000046566,9968159.650000000372529
20151015,2081411.200000000186265,2053857.020000000018626,2064774.000000000000000,2053320.560000000055879,1830044.049999999813735,10083406.830000001937151
20151016,2104763.359999999869615,2084632.459999999962747,2082288.000000000232831,2054699.540000000270084,1816472.250000000000000,10142855.609999999403954
20151019,2098336.160000000149012,2081392.939999999944121,2089516.000000000000000,2054699.540000000270084,1815238.449999999953434,10139183.089999999850988
20151020,2090837.760000000242144,2040494.000000000000000,2069222.000000000232831,2079521.180000000167638,1812153.949999999953434,10092228.890000000596046
20151021,2091694.719999999972060,2048592.800000000279397,2045870.000000000000000,2062054.100000000093132,1808761.000000000000000,10056972.620000001043081
20151022,2132400.320000000298023,2106094.280000000260770,2080897.999999999767169,2109399.080000000074506,1816780.699999999953434,10245572.379999998956919
20151023,2149111.040000000037253,2141324.060000000521541,2141502.000000000000000,2121809.900000000372529,1798273.699999999953434,10352020.699999999254942
20151026,2141184.160000000149012,2142538.879999999888241,2154290.000000000000000,2131003.099999999627471,1789637.100000000093132,10358653.240000000223517
20151027,2146540.160000000149012,2165215.520000000484288,2148730.000000000000000,2122269.560000000521541,1772980.799999999813735,10355736.040000002831221
20151028,2152753.120000000111759,2231220.740000000223517,2127046.000000000000000,2136519.019999999552965,1777916.000000000000000,10425454.879999998956919
20151029,2171820.479999999981374,2221907.120000000111759,2141224.000000000000000,2132841.740000000223517,1787786.399999999906868,10455579.740000000223517
20151030,2164536.320000000298023,2213403.379999999888241,2123432.000000000000000,2154905.419999999925494,1765578.000000000000000,10421855.120000001043081
20151102,2188959.680000000167638,2231625.679999999701977,2129548.000000000000000,2150308.820000000298023,1776990.649999999906868,10477432.830000000074506
20151103,2184460.640000000130385,2231625.679999999701977,2142058.000000000000000,2135140.040000000037253,1792413.149999999906868,10485697.509999999776483
20151104,2184032.160000000149012,2248633.160000000149012,2142336.000000000000000,2120890.580000000074506,1800432.849999999860302,10496324.750000000000000
20151105,2192387.520000000018626,2229196.040000000037253,2123710.000000000000000,2123648.540000000037253,1807835.649999999906868,10476777.750000001862645
20151106,2183603.680000000167638,2211378.679999999701977,2100914.000000000000000,2104342.820000000298023,1813079.300000000046566,10413318.480000000447035
20151109,2160465.760000000242144,2196395.900000000372529,2096188.000000000232831,2082279.139999999897555,1804134.250000000000000,10339463.050000000745058
20151110,2173534.400000000372529,2204089.759999999776483,2106474.000000000000000,2073085.940000000176951,1809994.800000000046566,10367178.900000000372529
20151111,2182318.240000000223517,2175339.020000000484288,2111756.000000000000000,2083198.460000000195578,1776065.299999999813735,10328677.019999999552965
20151112,2148254.080000000074506,2147398.160000000149012,2075616.000000000000000,2060675.120000000111759,1756632.949999999953434,10188576.309999998658895
20151113,2139898.720000000204891,2147398.160000000149012,2056155.999999999767169,2033095.520000000018626,1740285.100000000093132,10116833.500000000000000
20151116,2168606.879999999888241,2174529.140000000596046,2093408.000000000000000,2070327.979999999981374,1785010.349999999860302,10291882.349999999627471
