代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13456761.959999999031425
真實報酬,3456761.959999999031425

夏普值報酬,0.336976196000000
夏普值風險,0.094211120942540
夏普值,3.576819728166952

預期報酬,15339.152768852640293
風險,206431.641481550730532
趨勢值,0.074306209352230
找到最佳解世代,2543
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),DIS[6](4),HD[9](11),INTC[11](3),KO[14](10),TRV[22](2),UNH[23](5),
Stock#,AAPL[0](1),DIS[6](4),HD[9](11),INTC[11](3),KO[14](10),TRV[22](2),UNH[23](5),
張數,19977,19674,18589,58213,37772,17575,19764,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,15.729999999981374,41.860000000102445,6.350000000093132,23.979999999981374,33.959999999962747,75.000000000000000,29.080000000074506,
20140203,1431367.780000000027940,1377025.120000000111759,1395854.360000000102445,1394225.329999999841675,1405152.360000000102445,1410644.500000000000000,1398134.439999999944121,9812406.890000000596046
20140204,1451944.090000000083819,1397879.560000000055879,1393623.680000000167638,1386657.639999999897555,1415728.519999999785796,1412226.250000000000000,1393588.720000000204891,9851651.459999999031425
20140205,1462931.440000000176951,1411848.100000000093132,1399014.490000000223517,1369193.739999999990687,1420638.879999999888241,1413808.000000000000000,1399715.560000000055879,9877153.210000000894070
20140206,1462731.669999999925494,1486609.300000000046566,1415744.590000000083819,1396553.849999999860302,1436503.120000000111759,1418201.750000000000000,1400703.760000000242144,10017051.039999999105930
20140207,1483108.209999999962747,1488773.440000000176951,1421135.400000000139698,1409360.709999999962747,1433481.360000000102445,1421541.000000000000000,1410388.120000000111759,10067791.240000002086163
20140210,1509677.619999999878928,1516120.300000000046566,1420391.840000000083819,1414017.750000000000000,1456900.000000000000000,1447376.250000000000000,1378370.439999999944121,10142857.199999999254942
20140211,1529654.619999999878928,1530482.320000000298023,1425782.650000000139698,1424496.089999999850988,1459544.040000000037253,1462490.750000000000000,1395762.760000000242144,10228216.230000000447035
20140212,1529454.850000000093132,1532843.199999999953434,1436564.270000000018626,1429153.130000000121072,1454633.679999999934807,1445794.500000000000000,1388252.439999999944121,10216699.069999998435378
20140213,1553826.790000000037253,1532646.460000000195578,1442326.860000000102445,1437885.079999999841675,1459921.760000000009313,1456691.000000000000000,1407423.520000000018626,10290724.469999998807907
20140214,1552428.399999999906868,1558812.880000000121072,1448647.120000000111759,1441377.860000000102445,1470497.919999999925494,1476726.500000000000000,1453078.360000000102445,10401572.039999999105930
20140218,1558221.729999999981374,1565698.780000000027940,1441955.080000000074506,1441377.860000000102445,1415350.799999999813735,1482877.750000000000000,1459205.199999999953434,10364690.199999999254942
20140219,1533650.019999999785796,1551730.240000000223517,1421135.400000000139698,1426242.479999999981374,1401375.159999999916181,1476550.750000000000000,1453671.280000000027940,10264358.330000000074506
20140220,1515870.489999999990687,1558025.920000000158325,1440282.070000000065193,1440213.599999999860302,1408929.559999999823049,1473035.750000000000000,1452287.800000000046566,10288648.190000001341105
20140221,1499089.810000000055879,1576519.479999999981374,1445115.209999999962747,1421585.440000000176951,1404396.919999999925494,1472684.250000000000000,1458809.920000000158325,10278204.029999999329448
20140224,1505482.449999999953434,1588323.880000000121072,1447531.780000000260770,1433810.169999999925494,1416483.959999999962747,1466533.000000000000000,1502290.720000000204891,10360458.960000000894070
20140225,1489900.389999999897555,1578093.399999999906868,1505343.570000000065193,1433228.040000000037253,1426682.400000000139698,1464775.500000000000000,1488653.560000000055879,10386679.860000001266599
20140226,1476515.799999999813735,1575535.780000000027940,1518727.650000000139698,1443706.380000000121072,1430459.599999999860302,1466357.250000000232831,1503278.920000000158325,10414584.380000000819564
20140227,1505881.989999999990687,1583405.380000000121072,1523746.680000000167638,1441377.860000000102445,1438014.000000000000000,1473738.750000000000000,1502488.360000000102445,10468656.019999999552965
20140228,1501886.590000000083819,1589897.800000000046566,1524862.020000000018626,1441377.860000000102445,1442924.360000000102445,1473563.000000000000000,1527193.360000000102445,10501707.990000000223517
20140303,1506081.760000000009313,1563337.899999999906868,1524304.350000000093132,1426242.479999999981374,1439902.599999999860302,1461963.500000000232831,1523833.479999999981374,10445669.070000000298023
20140304,1516070.260000000009313,1607604.399999999906868,1540476.780000000260770,1432645.909999999916181,1447079.280000000027940,1478308.250000000000000,1544190.399999999906868,10566378.280000001192093
20140305,1519266.579999999841675,1626688.180000000167638,1541220.340000000083819,1426242.479999999981374,1448590.159999999916181,1482877.750000000000000,1541423.439999999944121,10586311.929999999701977
20140306,1514671.869999999878928,1639673.020000000251457,1531925.840000000083819,1433810.169999999925494,1453122.799999999813735,1483405.000000000000000,1534506.040000000037253,10591117.739999998360872
20140307,1513872.790000000037253,1617441.399999999906868,1534528.300000000046566,1434392.300000000046566,1456144.559999999823049,1475144.750000000232831,1529762.680000000167638,10561289.779999999329448
20140310,1515271.179999999934807,1612719.640000000130385,1527650.370000000111759,1446034.899999999906868,1459921.760000000009313,1472508.500000000000000,1539249.399999999906868,10573358.750000000000000
20140311,1529854.389999999897555,1594619.560000000055879,1511106.160000000149012,1439631.469999999972060,1465587.559999999823049,1468993.500000000000000,1537273.000000000000000,10547068.640000000596046
20140312,1531452.549999999813735,1601111.979999999981374,1497536.190000000176951,1441377.860000000102445,1453122.799999999813735,1466357.250000000232831,1533715.479999999981374,10524677.110000001266599
20140313,1514472.100000000093132,1572584.680000000167638,1464819.550000000046566,1430317.389999999897555,1434236.799999999813735,1451594.250000000000000,1522054.720000000204891,10390082.490000000223517
20140314,1497491.649999999906868,1575339.040000000037253,1475601.169999999925494,1426242.479999999981374,1441791.199999999953434,1452824.500000000000000,1496163.880000000121072,10365456.919999999925494
20140317,1503284.979999999981374,1601308.720000000204891,1479318.969999999972060,1437885.079999999841675,1445568.400000000139698,1468290.500000000000000,1517113.720000000204891,10452773.370000001043081
20140318,1516469.799999999813735,1613113.120000000111759,1483780.330000000074506,1444870.639999999897555,1450478.760000000009313,1475496.250000000000000,1541621.080000000074506,10525832.979999998584390
20140319,1516070.260000000009313,1584192.340000000083819,1482479.100000000093132,1456513.239999999990687,1440658.040000000037253,1462315.000000000000000,1580358.520000000018626,10522589.500000000000000
20140320,1508878.540000000037253,1589897.800000000046566,1488799.360000000102445,1480380.570000000065193,1452367.360000000102445,1462842.250000000000000,1611388.000000000000000,10594556.880000000819564
20140321,1520664.969999999972060,1580847.760000000009313,1494933.730000000214204,1465245.190000000176951,1451989.639999999897555,1472508.500000000000000,1607632.840000000083819,10593825.629999998956919
20140324,1538844.040000000037253,1563928.120000000111759,1480806.090000000083819,1462334.540000000037253,1450478.760000000009313,1473914.500000000000000,1606447.000000000000000,10576756.050000000745058
20140325,1555424.949999999953434,1565108.560000000055879,1477274.180000000167638,1482126.959999999962747,1458788.599999999860302,1476902.250000000000000,1602889.479999999981374,10618517.980000000447035
20140326,1540442.199999999953434,1546811.740000000223517,1466120.780000000260770,1477469.919999999925494,1458410.879999999888241,1466357.250000000232831,1611585.640000000130385,10567201.410000002011657
20140327,1533849.790000000037253,1544057.380000000121072,1462588.870000000111759,1473395.010000000009313,1466343.000000000000000,1467411.750000000000000,1601308.360000000102445,10548957.160000000149012
20140328,1532051.859999999869615,1554091.120000000111759,1463332.430000000167638,1491441.040000000037253,1471253.360000000102445,1476199.250000000000000,1613166.760000000242144,10601538.820000000298023
20140331,1531852.090000000083819,1575339.040000000037253,1470953.919999999925494,1502501.510000000009313,1460299.479999999748543,1495707.500000000000000,1620479.439999999944121,10657135.979999998584390
20140401,1545835.989999999990687,1604850.040000000037253,1475601.169999999925494,1512979.849999999860302,1450856.479999999748543,1483229.250000000000000,1617514.840000000083819,10690870.619999999180436
20140402,1548433.000000000000000,1606817.440000000176951,1486196.900000000139698,1507158.550000000046566,1447834.719999999972060,1487798.750000000000000,1612969.120000000111759,10697211.480000000447035
20140403,1537645.419999999925494,1607210.920000000158325,1475972.950000000186265,1537429.310000000055879,1438014.000000000000000,1493598.500000000000000,1625618.080000000074506,10715492.179999999701977
20140404,1517668.419999999925494,1582421.680000000167638,1463332.430000000167638,1522876.060000000055879,1443679.799999999813735,1497465.000000000000000,1611388.000000000000000,10638834.390000000596046
20140407,1493895.790000000037253,1556845.479999999981374,1433775.919999999925494,1542086.349999999860302,1458788.599999999860302,1493950.000000000000000,1602494.199999999953434,10581839.339999997988343
20140408,1493895.790000000037253,1565502.040000000037253,1433404.140000000130385,1566535.810000000055879,1469364.760000000009313,1489204.750000000000000,1594193.320000000065193,10612103.610000001266599
20140409,1513473.250000000000000,1583208.640000000130385,1445486.990000000223517,1570610.719999999972060,1472764.239999999990687,1508361.499999999767169,1608621.040000000037253,10702529.379999998956919
20140410,1493895.790000000037253,1524973.600000000093132,1427269.770000000018626,1538593.570000000065193,1468987.040000000037253,1493774.250000000000000,1580951.439999999944121,10528448.459999999031425
20140411,1482908.440000000176951,1515136.600000000093132,1407193.650000000139698,1524040.320000000065193,1459166.320000000065193,1499222.500000000000000,1560396.880000000121072,10448067.710000002756715
20140414,1488901.540000000037253,1527137.740000000223517,1412212.680000000167638,1546161.260000000009313,1462943.519999999785796,1502737.500000000000000,1564942.600000000093132,10505039.839999999850988
20140415,1478113.959999999962747,1527924.699999999953434,1410725.560000000055879,1558385.989999999990687,1517712.919999999925494,1509591.750000000000000,1571464.720000000204891,10573922.600000001490116
20140416,1481110.510000000009313,1553304.160000000149012,1423551.969999999972060,1567700.070000000065193,1533199.440000000176951,1525233.500000000000000,1545376.239999999990687,10629478.890000000596046
20140417,1498090.959999999962747,1573765.120000000111759,1433032.360000000102445,1574103.500000000000000,1538109.799999999813735,1523476.000000000232831,1497745.000000000000000,10638325.740000000223517
20140421,1515870.489999999990687,1556452.000000000000000,1449204.790000000037253,1568864.329999999841675,1539242.959999999962747,1518555.000000000000000,1481340.880000000121072,10629533.450000001117587
20140422,1517468.649999999906868,1563141.160000000149012,1480991.980000000214204,1562460.899999999906868,1537732.080000000074506,1527166.750000000000000,1497349.720000000204891,10686314.240000000223517
20140423,1497491.649999999906868,1564518.340000000083819,1459614.630000000121072,1557221.729999999981374,1538487.519999999785796,1548959.750000000000000,1488851.199999999953434,10655147.819999998435378
20140424,1620350.199999999953434,1565895.520000000251457,1482850.880000000121072,1557221.729999999981374,1537354.360000000102445,1557044.250000000000000,1513753.840000000083819,10834473.780000001192093
20140425,1632336.399999999906868,1539138.880000000121072,1475601.169999999925494,1528697.360000000102445,1549063.679999999934807,1552123.250000000000000,1495373.320000000065193,10772337.060000000521541
20140428,1695463.719999999972060,1530285.580000000074506,1490286.480000000214204,1532772.269999999785796,1549819.120000000111759,1575498.000000000000000,1496954.439999999944121,10871082.609999999403954
20140429,1690469.469999999972060,1547205.220000000204891,1478203.630000000121072,1541504.219999999972060,1532444.000000000000000,1597642.500000000000000,1486281.880000000121072,10873753.919999999925494
20140430,1684076.829999999841675,1560977.020000000251457,1478017.740000000223517,1553728.949999999953434,1540753.839999999850988,1592018.500000000000000,1483119.640000000130385,10892695.519999999552965
20140501,1688072.229999999981374,1565305.300000000046566,1474671.719999999972060,1539757.829999999841675,1540376.120000000111759,1596412.250000000000000,1481340.880000000121072,10885939.330000000074506
20140502,1691068.780000000027940,1580060.800000000046566,1475972.950000000186265,1537429.310000000055879,1546797.360000000102445,1599400.000000000000000,1482922.000000000000000,10913654.199999999254942
20140505,1715041.179999999934807,1597964.140000000130385,1462774.760000000009313,1523458.190000000176951,1539620.679999999934807,1593248.750000000000000,1486874.800000000046566,10918985.500000000000000
20140506,1696462.570000000065193,1594226.080000000074506,1439166.730000000214204,1525204.579999999841675,1529422.239999999990687,1579716.000000000000000,1487467.720000000204891,10851668.920000001788139
20140507,1690469.469999999972060,1579667.320000000298023,1432846.469999999972060,1535100.790000000037253,1545286.479999999748543,1600630.249999999767169,1539842.320000000065193,10923846.099999999627471
20140508,1678083.729999999981374,1605440.260000000009313,1432288.800000000046566,1533354.399999999906868,1538487.519999999785796,1603618.000000000000000,1519683.040000000037253,10910958.750000000000000
20140509,1671091.780000000027940,1612326.160000000149012,1444557.540000000037253,1531025.880000000121072,1543775.599999999860302,1604672.500000000000000,1520868.880000000121072,10928321.340000001713634
20140512,1691867.859999999869615,1621572.940000000176951,1454967.380000000121072,1535100.790000000037253,1541887.000000000000000,1617678.000000000000000,1536482.439999999944121,10999559.409999998286366
20140513,1694464.869999999878928,1614883.780000000027940,1436378.380000000121072,1539757.829999999841675,1552840.879999999888241,1632968.250000000000000,1542411.640000000130385,11013708.630000000819564
20140514,1694864.410000000149012,1592061.940000000176951,1418532.940000000176951,1532772.269999999785796,1544531.040000000037253,1628398.750000000000000,1525216.960000000195578,10936381.310000002384186
20140515,1680480.969999999972060,1576912.960000000195578,1417231.709999999962747,1514144.110000000102445,1530555.400000000139698,1623477.750000000000000,1511579.800000000046566,10854385.700000002980232
20140516,1705252.449999999953434,1581634.720000000204891,1438051.390000000130385,1503083.639999999897555,1544531.040000000037253,1627168.500000000000000,1514939.680000000167638,10914664.419999999925494
20140519,1725429.219999999972060,1594619.560000000055879,1422064.850000000093132,1515890.500000000000000,1537732.080000000074506,1630507.750000000000000,1525809.880000000121072,10952056.840000001713634
20140520,1725828.760000000009313,1595406.520000000251457,1449204.790000000037253,1515890.500000000000000,1532821.719999999972060,1628750.250000000000000,1515137.320000000065193,10963042.859999999403954
20140521,1730423.469999999972060,1617047.920000000158325,1451435.469999999972060,1525204.579999999841675,1543775.599999999860302,1632089.500000000000000,1536087.160000000149012,11036066.699999999254942
20140522,1733020.479999999981374,1620195.760000000009313,1464447.770000000018626,1522293.929999999934807,1532821.719999999972060,1634725.750000000000000,1548340.840000000083819,11055849.250000000000000
20140523,1752597.940000000176951,1639279.540000000037253,1471883.370000000111759,1530443.750000000000000,1532821.719999999972060,1632089.500000000000000,1556839.360000000102445,11115958.179999999701977
20140527,1785559.989999999990687,1647542.620000000111759,1481363.760000000009313,1554893.209999999962747,1539998.400000000139698,1643161.750000000000000,1563559.120000000111759,11216081.850000001490116
20140528,1780765.510000000009313,1644788.260000000009313,1481177.870000000111759,1564789.419999999925494,1532821.719999999972060,1642634.500000000000000,1553084.199999999953434,11200064.480000000447035
20140529,1813328.019999999785796,1653248.080000000074506,1485267.450000000186265,1569446.459999999962747,1535843.479999999748543,1653882.500000000000000,1568697.760000000242144,11279716.749999998137355
20140530,1806535.840000000083819,1652854.600000000093132,1491401.820000000065193,1590403.139999999897555,1545286.479999999748543,1642458.750000000000000,1573836.399999999906868,11302780.029999999329448
20140602,1794150.100000000093132,1657969.840000000083819,1502741.110000000102445,1586910.360000000102445,1543397.879999999888241,1647028.250000000000000,1570674.160000000149012,11302874.700000001117587
20140603,1819520.889999999897555,1650296.979999999981374,1499580.980000000214204,1610195.560000000055879,1544153.320000000065193,1641755.750000000000000,1578777.399999999906868,11344283.880000000819564
20140604,1840296.969999999972060,1657379.620000000111759,1497164.410000000149012,1606702.780000000027940,1540753.839999999850988,1663900.250000000000000,1591228.720000000204891,11397429.590000001713634
20140605,1847488.690000000176951,1668003.580000000074506,1494190.169999999925494,1610195.560000000055879,1544531.040000000037253,1669172.750000000000000,1577196.280000000027940,11410781.069999998435378
20140606,1842294.669999999925494,1664659.000000000000000,1499023.310000000055879,1639884.190000000176951,1548308.239999999990687,1658452.000000000000000,1579765.600000000093132,11432390.009999999776483
20140609,1871860.630000000121072,1681775.380000000121072,1498465.640000000130385,1624748.810000000055879,1545286.479999999748543,1663724.500000000000000,1576405.720000000204891,11462270.160000002011657
