代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13498270.909999998286366
真實報酬,3498270.909999998286366

夏普值報酬,0.341127091000000
夏普值風險,0.088490300004982
夏普值,3.854965922601618

預期報酬,13610.191339115752271
風險,201499.912179223785643
趨勢值,0.067544403329616
找到最佳解世代,2897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),HD[9](12),INTC[11](3),JNJ[12](11),KO[14](9),TRV[22](2),UNH[23](7),
Stock#,AAPL[0](1),HD[9](12),INTC[11](3),JNJ[12](11),KO[14](9),TRV[22](2),UNH[23](7),
張數,19002,17415,57696,15507,37397,17039,18488,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,0.639999999897555,18.550000000046566,18.039999999804422,66.159999999916181,5.599999999860302,21.239999999990687,3.239999999990687,
20140303,1432561.419999999925494,1428048.550000000046566,1413570.039999999804422,1419887.079999999841675,1425579.239999999757856,1417325.260000000009313,1425428.039999999804422,9962402.629999998956919
20140304,1442062.419999999925494,1443199.600000000093132,1419916.599999999860302,1447489.540000000037253,1432684.669999999925494,1433171.530000000027940,1444470.679999999934807,10062998.039999999105930
20140305,1445102.739999999757856,1443896.199999999953434,1413570.039999999804422,1435859.290000000037253,1434180.549999999813735,1437601.670000000158325,1441882.359999999869615,10052095.849999999627471
20140306,1440732.279999999795109,1435188.699999999953434,1421070.519999999785796,1440511.389999999897555,1438668.189999999711290,1438112.840000000083819,1435411.560000000055879,10049698.479999998584390
20140307,1439972.199999999953434,1437626.800000000046566,1421647.479999999748543,1447179.399999999906868,1441659.949999999720603,1430104.510000000009313,1430974.440000000176951,10049167.779999997466803
20140310,1441302.339999999850988,1431183.250000000232831,1433186.679999999701977,1449195.310000000055879,1445399.649999999906868,1427548.659999999916181,1439848.679999999934807,10067667.570000000298023
