代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13678768.740000002086163
真實報酬,3678768.740000002086163

夏普值報酬,0.359176874000000
夏普值風險,0.099659825254132
夏普值,3.604028735592296

預期報酬,15188.206981908750095
風險,208149.825636226043571
趨勢值,0.072967666129361
找到最佳解世代,2119
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),BA[2](7),KO[14](14),MCD[15](5),MMM[16](4),
Stock#,AAPL[0](6),BA[2](7),KO[14](14),MCD[15](5),MMM[16](4),
張數,14599,11096,47664,15667,10732,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,82.989999999757856,167.920000000158325,18.560000000055879,107.449999999953434,91.800000000046566,
20170301,2040877.199999999720603,2040833.280000000027940,2009532.799999999813735,2021933.800000000046566,2037669.320000000298023,10150846.399999998509884
20170302,2028760.029999999795109,2030624.960000000195578,2024308.639999999897555,2009086.859999999869615,2037991.279999999795109,10130771.769999999552965
20170303,2040731.209999999729916,2021637.200000000186265,2024785.279999999795109,2003916.750000000000000,2031766.719999999972060,10122837.160000000149012
20170306,2034307.649999999906868,2007767.200000000186265,2010486.080000000074506,2005953.459999999962747,2027366.600000000093132,10085880.990000000223517
20170307,2036935.469999999972060,2019861.840000000316650,2001429.920000000158325,2006580.139999999897555,2029405.680000000167638,10094213.050000000745058
20170308,2029343.989999999757856,2016754.960000000195578,2001429.920000000158325,2006893.479999999981374,2033913.119999999878928,10088335.469999998807907
20170309,2024672.309999999823049,2003772.640000000130385,2003336.480000000214204,2007676.829999999841675,2038098.600000000093132,10077556.860000001266599
20170310,2031387.849999999627471,1983023.120000000111759,2015729.120000000111759,2005170.110000000102445,2052157.520000000018626,10087467.720000000670552
20170313,2032263.789999999571592,1986906.720000000204891,2003336.480000000214204,1999373.319999999832362,2055484.440000000176951,10077364.750000000000000
20170314,2029198.000000000000000,1983356.000000000000000,2000476.639999999897555,2002350.049999999813735,2042713.360000000102445,10058094.049999998882413
