代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12739172.640000000596046
真實報酬,2739172.640000000596046

夏普值報酬,0.265217264000000
夏普值風險,0.067380458981127
夏普值,3.936115425902411

預期報酬,10210.293316449658960
風險,254170.085666687722551
趨勢值,0.040171105461400
找到最佳解世代,1736
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),NKE[19](6),UNH[23](3),
Stock#,HD[9](1),NKE[19](6),UNH[23](3),
張數,33534,67136,33796,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.399999999906868,30.600000000093132,33.520000000018626,
20141201,3315895.319999999832362,3279624.200000000186265,3347865.280000000260770,9943385.800000000745058
20141202,3291750.839999999850988,3291037.320000000298023,3373888.200000000186265,9956677.359999999403954
20141203,3306170.459999999962747,3306478.600000000093132,3406670.319999999832362,10019320.380000000819564
20141204,3318242.700000000186265,3325276.680000000167638,3368480.839999999850988,10012001.220000000670552
20141205,3341381.160000000149012,3334675.720000000204891,3390786.200000000186265,10066844.080000001937151
20141208,3367873.020000000018626,3280295.560000000055879,3376929.839999999850988,10025099.419999999925494
20141209,3341381.160000000149012,3257469.320000000298023,3414105.439999999944121,10012956.919999999925494
20141210,3317907.359999999869615,3278281.479999999981374,3348879.160000000149012,9945069.000000000000000
20141211,3362507.579999999608845,3254112.520000000018626,3370508.600000000093132,9987129.699999999254942
20141212,3346075.919999999925494,3228600.840000000316650,3337726.479999999981374,9912404.240000000223517
20141215,3355130.099999999627471,3203760.520000000018626,3321166.439999999944121,9880058.059999998658895
20141216,3254863.439999999944121,3129239.560000000055879,3239380.119999999646097,9623484.119999999180436
20141217,3317907.359999999869615,3172206.600000000093132,3350568.959999999962747,9840683.919999999925494
20141218,3375921.180000000167638,3258812.040000000037253,3455336.560000000055879,10090070.780000001192093
20141219,3418174.020000000018626,3183619.720000000204891,3463785.560000000055879,10065580.300000000745058
20141222,3470822.399999999906868,3220544.520000000018626,3482373.360000000335276,10173741.280000001192093
20141223,3479541.240000000223517,3221887.240000000223517,3475952.119999999646097,10177381.599999999627471
20141224,3472834.439999999944121,3232629.000000000000000,3470206.800000000279397,10175671.240000000223517
20141226,3479205.899999999906868,3250755.720000000204891,3465813.319999999832362,10195775.939999999478459
20141229,3505362.419999999925494,3266197.000000000000000,3458378.200000000186265,10229938.620000001043081
20141230,3496643.579999999608845,3252098.439999999944121,3475952.119999999646097,10224695.139999998733401
20141231,3520117.379999999888241,3227929.479999999981374,3416471.160000000149012,10164519.019999999552965
