代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14124366.720000000670552
真實報酬,4124366.720000000670552

夏普值報酬,0.403736672000000
夏普值風險,0.106287374158367
夏普值,3.798538398346688

預期報酬,18002.456774597420008
風險,186902.242249161761720
趨勢值,0.096320175499008
找到最佳解世代,2089
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,4
HD[9](1),JPM[13](3),PFE[20](10),V[25](2),
Stock#,HD[9](1),JPM[13](3),PFE[20](10),V[25](2),
張數,47911,69444,103993,77471,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,4.020000000018626,16.000000000000000,8.280000000260770,10.829999999608845,
20120801,2476044.500000000000000,2500000.000000000000000,2489600.700000000186265,2469011.599999999627471,9934656.800000000745058
20120802,2462150.310000000055879,2442361.479999999981374,2487520.840000000316650,2503873.549999999813735,9895906.179999999701977
20120803,2505270.209999999962747,2506249.960000000428408,2524958.320000000298023,2536411.369999999646097,10072889.859999999403954
20120806,2491376.020000000018626,2520833.199999999720603,2522878.460000000428408,2537960.789999999571592,10073048.469999998807907
20120807,2510540.419999999925494,2570138.439999999944121,2468802.100000000093132,2525565.429999999701977,10075046.389999998733401
20120808,2529225.709999999962747,2580555.039999999571592,2478161.470000000204891,2540284.919999999459833,10128227.140000000596046
20120809,2546473.669999999925494,2563888.479999999981374,2482321.190000000409782,2489154.059999999590218,10081837.400000000372529
20120810,2542161.680000000167638,2567360.679999999701977,2489600.700000000186265,2500000.000000000000000,10099123.059999998658895
20120813,2530663.040000000037253,2568749.560000000055879,2466722.240000000223517,2485280.509999999310821,10051415.349999999627471
20120814,2621214.830000000074506,2576388.399999999906868,2493760.420000000391155,2515494.199999999720603,10206857.849999999627471
20120815,2635109.020000000018626,2574305.080000000074506,2500000.000000000000000,2500000.000000000000000,10209414.099999999627471
20120816,2697872.430000000167638,2576388.399999999906868,2497920.140000000130385,2511620.649999999906868,10283801.620000001043081
20120817,2717995.049999999813735,2568055.119999999646097,2474001.750000000000000,2492252.899999999906868,10252304.820000000298023
20120820,2710329.290000000037253,2595138.279999999795109,2486480.910000000149012,2482181.669999999459833,10274130.150000000372529
20120821,2698351.540000000037253,2641665.759999999776483,2463602.450000000186265,2469786.309999999590218,10273406.059999998658895
20120822,2713683.060000000055879,2627082.520000000018626,2464642.380000000353903,2481406.959999999497086,10286814.919999999925494
20120823,2709371.069999999832362,2585416.119999999646097,2468802.100000000093132,2462813.919999999459833,10226403.209999999031425
20120824,2729014.580000000074506,2581249.479999999981374,2496880.210000000428408,2453517.399999999906868,10260661.670000001788139
20120827,2715120.390000000130385,2585416.119999999646097,2484401.050000000279397,2472885.149999999906868,10257822.710000000894070
20120828,2708412.850000000093132,2578471.720000000204891,2480241.330000000540167,2467462.179999999701977,10234588.080000000074506
20120829,2723265.260000000242144,2590277.199999999720603,2491680.560000000521541,2479857.539999999571592,10285080.560000000521541
20120830,2712724.839999999850988,2562499.600000000093132,2479201.400000000372529,2454292.109999999403954,10208717.949999999254942
20120831,2718953.270000000018626,2579166.160000000149012,2481281.260000000242144,2483731.089999999850988,10263131.779999999329448
20120904,2720869.709999999962747,2570138.439999999944121,2472961.820000000298023,2489154.059999999590218,10253124.030000001192093
20120905,2708891.959999999962747,2577082.839999999850988,2487520.840000000316650,2471335.729999999515712,10244831.370000001043081
20120906,2762073.169999999925494,2686804.359999999869615,2531197.900000000372529,2508521.809999999590218,10488597.239999998360872
20120907,2743387.879999999888241,2729165.199999999720603,2520798.600000000093132,2512395.359999999403954,10505747.039999999105930
20120910,2745304.319999999832362,2691665.439999999944121,2506239.580000000540167,2492252.899999999906868,10435462.240000000223517
20120911,2717515.939999999944121,2749998.399999999906868,2513519.090000000316650,2546482.599999999627471,10527516.029999999329448
20120912,2733326.569999999832362,2772220.479999999981374,2503119.790000000502914,2585218.099999999627471,10593884.939999999478459
20120913,2793215.319999999832362,2874997.600000000093132,2521838.530000000260770,2613882.369999999646097,10803933.820000000298023
20120914,2848792.080000000074506,2886803.080000000074506,2475041.680000000167638,2599937.589999999850988,10810574.429999999701977
20120917,2822441.029999999795109,2860414.359999999869615,2497920.140000000130385,2592965.199999999720603,10773740.729999998584390
20120918,2820045.479999999981374,2865275.439999999944121,2496880.210000000428408,2589091.649999999906868,10771292.780000001192093
20120919,2849271.189999999944121,2870830.960000000428408,2512479.160000000149012,2610783.529999999795109,10843364.839999999850988
20120920,2840168.100000000093132,2864581.000000000000000,2538477.410000000149012,2606909.979999999515712,10850136.489999998360872
20120921,2846875.640000000130385,2838886.720000000204891,2549916.640000000130385,2614657.079999999608845,10850336.080000000074506
20120924,2845438.310000000055879,2863192.119999999646097,2573835.030000000260770,2590641.069999999366701,10873106.529999999329448
20120925,2861248.939999999944121,2815970.199999999720603,2583194.400000000372529,2606135.269999999552965,10866548.809999998658895
20120926,2834897.890000000130385,2794442.560000000055879,2582154.470000000204891,2566625.059999999590218,10778119.980000000447035
20120927,2868914.700000000186265,2824997.919999999925494,2595673.560000000521541,2593739.909999999217689,10883326.089999999850988
20120928,2892391.089999999850988,2811109.119999999646097,2584234.330000000540167,2600712.299999999813735,10888446.839999999850988
20121001,2901973.290000000037253,2845136.679999999701977,2603993.000000000000000,2647969.609999999403954,10999072.579999998211861
20121002,2890474.649999999906868,2841664.479999999981374,2612312.440000000409782,2634024.829999999608845,10978476.400000000372529
20121003,2959466.490000000223517,2837497.839999999850988,2633111.040000000502914,2682831.559999999590218,11112906.929999999701977
20121004,2958029.160000000149012,2904164.080000000074506,2636230.830000000540167,2705298.149999999906868,11203722.220000000670552
20121005,3027979.220000000204891,2896525.240000000223517,2653909.640000000130385,2716918.799999999813735,11295332.900000002235174
20121008,2964736.700000000186265,2893053.039999999571592,2641430.479999999981374,2686705.109999999403954,11185925.330000000074506
20121009,2920179.470000000204891,2873608.720000000204891,2632071.110000000335276,2648744.319999999366701,11074603.620000001043081
20121010,2862207.160000000149012,2900691.880000000353903,2616472.160000000149012,2661139.679999999701977,11040510.880000000819564
20121011,2827232.129999999888241,2923608.399999999906868,2612312.440000000409782,2692902.789999999571592,11056055.759999999776483
20121012,2853583.180000000167638,2890275.279999999795109,2612312.440000000409782,2694452.209999999497086,11050623.109999999403954
20121015,2905806.169999999925494,2943052.720000000204891,2659109.290000000502914,2709171.699999999720603,11217139.880000000819564
20121016,2915867.479999999981374,2974302.520000000018626,2683027.680000000167638,2733962.419999999459833,11307160.099999999627471
20121017,2941260.310000000055879,3008330.080000000074506,2687187.400000000372529,2761077.269999999552965,11397855.060000000521541
20121018,2960903.819999999832362,2986802.439999999944121,2707986.000000000000000,2747907.199999999720603,11403599.459999999031425
20121019,2965215.810000000055879,2938886.080000000074506,2678867.960000000428408,2710721.119999999646097,11293690.970000000670552
20121022,2972402.459999999962747,2922913.960000000428408,2662229.080000000540167,2692128.079999999608845,11249673.580000000074506
20121023,2958508.270000000018626,2870136.520000000018626,2619591.950000000186265,2646420.189999999478459,11094656.929999999701977
20121024,2935990.100000000093132,2896525.240000000223517,2632071.110000000335276,2643321.349999999627471,11107907.799999998882413
20121025,2897661.299999999813735,2893747.479999999981374,2663269.010000000242144,2664238.519999999552965,11118916.309999998658895
20121026,2876580.459999999962747,2858331.039999999571592,2644550.270000000018626,2678958.009999999310821,11058419.779999999329448
20121031,2940781.200000000186265,2894441.919999999925494,2586314.190000000409782,2687479.819999999366701,11109017.129999998956919
20121101,2982942.879999999888241,2974996.960000000428408,2553036.430000000167638,2786642.699999999720603,11297618.969999998807907
20121102,2971444.240000000223517,2945830.479999999981374,2553036.430000000167638,2777346.179999999701977,11247657.330000000074506
20121105,2988692.200000000186265,2935413.880000000353903,2556156.220000000204891,2740934.809999999590218,11221197.109999999403954
20121106,3000190.839999999850988,2977774.720000000204891,2569675.310000000521541,2786642.699999999720603,11334283.570000000298023
20121107,2970006.910000000149012,2811109.119999999646097,2513519.090000000316650,2761077.269999999552965,11055712.389999998733401
20121108,2915867.479999999981374,2805553.600000000093132,2512479.160000000149012,2751780.750000000000000,10985680.990000000223517
20121109,2920658.580000000074506,2820831.279999999795109,2513519.090000000316650,2768049.659999999217689,11023058.609999999403954
20121112,2930240.779999999795109,2818053.520000000018626,2507279.510000000242144,2774247.339999999850988,11029821.150000000372529
20121113,3036603.200000000186265,2780553.759999999776483,2501039.930000000167638,2758753.139999999664724,11076950.030000001192093
20121114,2945093.189999999944121,2728470.759999999776483,2476081.610000000335276,2710721.119999999646097,10860366.679999999701977
20121115,2934552.770000000018626,2735415.160000000149012,2460482.660000000149012,2711495.829999999608845,10841946.419999999925494
20121116,2976235.339999999850988,2745137.320000000298023,2481281.260000000242144,2764176.109999999403954,10966830.029999999329448
20121119,3034207.649999999906868,2818747.960000000428408,2510399.300000000279397,2820729.939999999478459,11184084.849999999627471
20121120,3057684.040000000037253,2826386.800000000279397,2524958.320000000298023,2834674.719999999739230,11243703.879999998956919
20121121,3070620.010000000242144,2828470.119999999646097,2532237.830000000540167,2840872.399999999906868,11272200.360000001266599
20121123,3105595.039999999571592,2853469.960000000428408,2550956.570000000298023,2868761.959999999497086,11378783.529999999329448
20121126,3098408.390000000130385,2838886.720000000204891,2546796.850000000093132,2851718.339999999850988,11335810.300000000745058
20121127,3073973.779999999795109,2829859.000000000000000,2521838.530000000260770,2843196.529999999795109,11268867.839999997988343
20121128,3106074.149999999906868,2835414.520000000018626,2565515.590000000316650,2852493.049999999813735,11359497.309999998658895
20121129,3077806.659999999683350,2862497.679999999701977,2584234.330000000540167,2870311.379999999422580,11394850.049999998882413
20121130,3117572.789999999571592,2852775.520000000018626,2601913.140000000130385,2899750.359999999403954,11472011.809999998658895
20121203,3113260.800000000279397,2834025.640000000130385,2609192.650000000372529,2878833.189999999478459,11435312.279999999329448
20121204,3077806.659999999683350,2817359.080000000074506,2617512.090000000316650,2858690.729999999515712,11371368.559999998658895
20121205,3067266.239999999757856,2861108.800000000279397,2666388.800000000279397,2867987.250000000000000,11462751.089999999850988
20121206,3082597.760000000242144,2879858.679999999701977,2663269.010000000242144,2875734.349999999627471,11501459.799999998882413
20121207,3087867.970000000204891,2955552.640000000130385,2658069.360000000335276,2877283.769999999552965,11578773.740000000223517
20121210,3020313.459999999962747,2938191.640000000130385,2642470.410000000149012,2879607.899999999906868,11480583.410000000149012
20121211,3013126.810000000055879,2961108.160000000149012,2666388.800000000279397,2884256.159999999217689,11524879.929999999701977
20121212,3015043.250000000000000,2970135.880000000353903,2652869.710000000428408,2864113.699999999720603,11502162.540000000968575
20121213,2990129.529999999795109,2970830.320000000298023,2634150.970000000204891,2850943.629999999422580,11446054.449999999254942
20121214,2973360.680000000167638,2972913.640000000130385,2618552.020000000018626,2843971.239999999757856,11408797.580000000074506
20121217,3033249.430000000167638,3019441.119999999646097,2637270.760000000242144,2888129.709999999497086,11578091.019999999552965
20121218,3018397.020000000018626,3046524.279999999795109,2666388.800000000279397,2919118.109999999403954,11650428.209999999031425
20121219,2959466.490000000223517,3022913.320000000298023,2636230.830000000540167,2888904.419999999459833,11507515.060000000521541
20121220,2969048.689999999944121,3092357.320000000298023,2644550.270000000018626,2953205.349999999627471,11659161.629999998956919
20121221,2937906.540000000037253,3055552.000000000000000,2608152.720000000204891,2919892.819999999366701,11521504.079999998211861
20121224,2949884.290000000037253,3049996.479999999981374,2608152.720000000204891,2928414.629999999422580,11536448.119999999180436
20121226,2929282.560000000055879,3052774.240000000223517,2624791.600000000093132,2900525.069999999366701,11507373.469999998807907
