代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,18134862.000000000000000
真實報酬,8134862.000000000000000

夏普值報酬,0.804786200000000
夏普值風險,0.197009888080055
夏普值,4.085004097220621

預期報酬,40203.593238046589249
風險,482751.331687438825611
趨勢值,0.083280129124691
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](2),V[25](3),
Stock#,AAPL[0](1),MSFT[18](2),V[25](3),
張數,258799,194931,270124,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.879999999888241,12.899999999906868,2.839999999850988,
20090202,3382504.810000000055879,3475632.629999999422580,3373851.600000000093132,10231990.039999999105930
20090203,3436852.599999999627471,3606236.399999999906868,3268503.239999999757856,10311593.240000000223517
20090204,3457556.519999999552965,3631577.429999999701977,3317125.559999999590218,10406260.509999997913837
20090205,3566252.099999999627471,3711499.139999999664724,3630469.399999999906868,10908221.639999998733401
20090206,3687887.629999999888241,3832356.359999999869615,3741220.239999999757856,11261465.230000000447035
20090209,3788819.240000000223517,3789471.540000000037253,3735817.759999999776483,11314109.539999999105930
20090210,3618011.899999999906868,3664715.700000000186265,3635871.879999999888241,10918600.480000000447035
20090211,3579192.049999999813735,3744637.410000000149012,3711506.600000000093132,11035337.060000000521541
20090212,3669771.699999999720603,3754383.960000000428408,3808751.239999999757856,11232907.900000000372529
20090213,3667183.709999999962747,3721245.689999999944121,3779037.600000000093132,11167468.000000000000000
20090217,3493788.379999999888241,3526314.689999999944121,3662884.279999999795109,10682988.349999999627471
20090218,3488612.399999999906868,3532162.620000000111759,3792543.799999999813735,10813319.820000000298023
20090219,3351448.929999999701977,3491227.109999999869615,3757427.679999999701977,10600104.719999998807907
20090220,3372152.849999999627471,3508770.899999999906868,3760128.919999999925494,10641053.669999999925494
20090223,3214285.459999999962747,3354775.410000000149012,3662884.279999999795109,10231946.150000000372529
20090224,3335920.990000000223517,3346978.170000000391155,3806050.000000000000000,10488950.160000000149012
20090225,3369564.859999999869615,3306042.660000000149012,3743921.479999999515712,10419530.000000000000000
20090226,3297101.140000000130385,3200779.920000000391155,3787141.319999999832362,10285023.380000000819564
20090227,3302277.119999999646097,3148148.549999999813735,3830361.159999999683350,10280787.830000000074506
20090302,3250517.319999999832362,3077973.389999999664724,3657481.799999999813735,9985973.509999997913837
20090303,3266045.259999999776483,3095517.180000000167638,3670988.000000000000000,10032551.439999999478459
20090304,3369564.859999999869615,3142300.620000000111759,3733116.520000000018626,10244983.000000000000000
20090305,3284161.189999999944121,2976609.270000000018626,3608859.479999999515712,9869630.939999999478459
20090306,3154761.689999999944121,2978558.579999999608845,3390059.040000000037253,9523380.309999998658895
20090309,3071946.009999999776483,2953217.549999999813735,3363046.639999999664724,9388211.199999999254942
20090310,3276397.219999999739230,3212475.779999999795109,3571042.120000000111759,10059916.120000001043081
20090311,3426500.640000000130385,3335282.309999999590218,3468395.000000000000000,10230178.949999999254942
20090312,3561076.119999999646097,3315789.210000000428408,3652079.319999999832362,10528945.650000000372529
20090313,3545548.179999999701977,3245614.049999999813735,3514316.079999999608845,10305479.309999998658895
20090316,3527432.250000000000000,3167641.649999999906868,3522419.799999999813735,10217494.699999999254942
20090317,3685299.640000000130385,3294346.799999999813735,3733116.520000000018626,10712763.959999999031425
20090318,3752587.379999999888241,3306042.660000000149012,3803348.759999999776483,10861979.800000000745058
20090319,3757763.359999999869615,3341130.240000000223517,3557535.919999999925494,10656430.519999999552965
20090320,3755175.369999999646097,3325535.759999999776483,3546730.959999999962747,10627443.089999999850988
20090323,3980330.500000000000000,3573098.129999999422580,3752025.200000000186265,11305454.829999998211861
20090324,3936334.669999999925494,3495125.729999999981374,3619664.439999999944121,11051125.839999999850988
20090325,3936334.669999999925494,3485379.179999999701977,3562938.399999999906868,10984653.250000000000000
20090326,4063146.179999999701977,3670563.629999999422580,3749323.959999999962747,11483034.769999999552965
20090327,3949274.619999999646097,3534111.929999999701977,3662884.279999999795109,11146271.829999998211861
20090330,3863870.949999999720603,3407406.779999999795109,3614261.959999999962747,10885540.689999999478459
20090331,3887162.859999999869615,3580895.370000000111759,3754726.439999999944121,11222785.669999999925494
20090401,4019150.349999999627471,3764130.509999999776483,3665585.520000000018626,11448867.379999998956919
20090402,4166665.780000000260770,3760231.889999999664724,3754726.439999999944121,11681625.109999999403954
20090403,4288301.309999999590218,3654969.149999999906868,4057265.319999999832362,12000536.779999999329448
20090406,4378880.959999999962747,3656918.460000000428408,3992435.559999999590218,12028235.980000000447035
20090407,4252069.450000000186265,3656918.460000000428408,3860074.799999999813735,11769063.710000000894070
20090408,4301241.259999999776483,3740738.790000000037253,3905995.879999999888241,11947976.929999999701977
