代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13883687.300000000745058
真實報酬,3883687.300000000745058

夏普值報酬,0.379668730000000
夏普值風險,0.090823052147006
夏普值,4.180312387932827

預期報酬,15218.004731253906357
風險,156598.135959795705276
趨勢值,0.097178709299330
找到最佳解世代,2742
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](4),DIS[6](1),DD[7](2),INTC[11](9),MMM[16](5),MRK[17](6),MSFT[18](3),
Stock#,CAT[3](4),DIS[6](1),DD[7](2),INTC[11](9),MMM[16](5),MRK[17](6),MSFT[18](3),
張數,17307,23484,26822,64994,12577,30208,42771,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,51.219999999972060,39.280000000027940,31.280000000027940,2.879999999888241,75.340000000083819,34.679999999934807,19.600000000093132,
20130903,1428051.790000000037253,1430919.399999999906868,1430180.320000000065193,1434420.459999999962747,1424043.280000000027940,1426154.359999999869615,1363559.080000000074506,9937331.689999999478459
20130904,1445878.000000000000000,1435146.520000000018626,1443054.879999999888241,1471467.040000000037253,1440770.689999999944121,1440352.119999999878928,1334474.800000000046566,10011147.050000000745058
20130905,1435666.870000000111759,1439608.479999999981374,1467194.680000000167638,1468867.280000000027940,1444795.330000000074506,1435216.759999999776483,1336185.640000000130385,10027538.040000000968575
20130906,1443281.949999999953434,1441722.040000000037253,1472827.300000000046566,1473416.860000000102445,1446933.420000000158325,1434612.600000000093132,1332336.250000000000000,10045133.419999999925494
20130909,1481357.350000000093132,1446418.840000000083819,1482483.220000000204891,1489015.419999999925494,1468314.320000000065193,1442164.600000000093132,1354149.460000000195578,10163906.210000000894070
20130910,1499010.489999999990687,1475539.000000000000000,1527275.959999999962747,1494214.939999999711290,1479004.770000000018626,1449414.519999999785796,1385372.290000000037253,10309834.969999998807907
20130911,1508010.129999999888241,1501606.239999999990687,1522179.780000000027940,1482516.019999999785796,1493091.010000000009313,1454247.800000000046566,1400342.140000000130385,10361996.120000001043081
20130912,1502991.100000000093132,1538006.439999999944121,1484360.760000000009313,1470817.099999999860302,1486676.740000000223517,1445487.479999999981374,1398203.590000000083819,10326546.209999999031425
20130913,1505933.290000000037253,1566187.239999999990687,1522984.439999999944121,1523462.239999999990687,1491707.540000000037253,1443675.000000000000000,1412745.730000000214204,10466698.480000000447035
20130916,1508875.479999999981374,1572058.239999999990687,1520302.239999999990687,1520212.540000000037253,1499631.050000000046566,1455758.199999999953434,1402908.399999999906868,10479749.150000000372529
20130917,1506971.709999999962747,1572997.600000000093132,1516815.379999999888241,1542960.439999999711290,1508434.950000000186265,1450320.759999999776483,1408468.630000000121072,10506972.470000000670552
20130918,1520298.100000000093132,1576050.520000000018626,1560803.459999999962747,1553359.479999999748543,1525539.670000000158325,1462101.879999999888241,1425149.320000000065193,10623305.429999999701977
20130919,1518740.469999999972060,1543407.760000000009313,1551147.540000000037253,1554659.360000000102445,1529061.229999999981374,1457872.759999999776483,1438836.040000000037253,10593728.160000000149012
20130920,1466819.469999999972060,1526734.120000000111759,1516547.159999999916181,1544910.259999999776483,1509441.110000000102445,1450320.759999999776483,1402480.689999999944121,10417256.569999998435378
20130923,1471665.429999999934807,1520628.280000000027940,1498844.640000000130385,1535161.159999999916181,1523275.810000000055879,1440352.119999999878928,1400342.140000000130385,10390272.580000000074506
20130924,1473049.989999999990687,1510530.159999999916181,1494016.680000000167638,1541010.619999999878928,1519376.939999999944121,1435820.919999999925494,1388366.260000000242144,10362174.570000000298023
20130925,1462492.719999999972060,1513583.080000000074506,1522448.000000000000000,1540360.679999999934807,1511830.740000000223517,1440050.040000000037253,1390504.810000000055879,10381273.070000000298023
20130926,1457300.620000000111759,1532135.439999999944121,1527544.180000000167638,1521512.419999999925494,1517616.160000000149012,1440352.119999999878928,1401625.270000000251457,10398089.209999999031425
20130927,1450377.819999999832362,1530961.239999999990687,1490529.820000000065193,1493565.000000000000000,1512082.280000000027940,1443675.000000000000000,1423010.770000000251457,10344204.929999999701977
20130930,1443455.020000000018626,1514522.439999999944121,1466926.459999999962747,1489665.360000000102445,1501894.910000000149012,1438237.559999999823049,1423438.480000000214204,10278143.230000000447035
20131001,1449685.540000000037253,1522507.000000000000000,1463439.600000000093132,1483815.899999999674037,1504536.080000000074506,1472372.600000000093132,1436269.780000000027940,10332629.500000000000000
20131002,1455050.709999999962747,1523681.199999999953434,1478191.699999999953434,1487715.540000000037253,1499253.740000000223517,1461195.639999999897555,1450811.920000000158325,10355903.450000001117587
20131003,1453320.010000000009313,1503484.959999999962747,1480873.900000000139698,1468867.280000000027940,1491078.689999999944121,1460893.559999999823049,1448245.660000000149012,10306767.060000000521541
20131004,1457300.620000000111759,1533544.479999999981374,1527544.180000000167638,1482516.019999999785796,1501769.140000000130385,1456966.519999999785796,1449101.080000000307336,10408745.039999999105930
20131007,1445704.929999999934807,1516870.840000000083819,1503136.159999999916181,1483815.899999999674037,1492839.469999999972060,1446695.800000000046566,1424293.899999999906868,10313360.000000000000000
20131008,1433936.169999999925494,1503015.280000000027940,1471486.199999999953434,1461068.000000000000000,1473596.660000000149012,1442466.679999999934807,1411890.310000000055879,10197462.300000000745058
20131009,1445531.859999999869615,1493386.840000000083819,1486774.739999999990687,1468217.339999999850988,1478753.229999999981374,1427966.840000000083819,1414456.570000000065193,10215090.419999999925494
20131010,1466473.330000000074506,1540120.000000000000000,1543100.939999999944121,1501364.280000000027940,1501014.520000000018626,1434612.600000000093132,1443968.560000000055879,10430657.230000000447035
20131011,1481703.489999999990687,1554914.919999999925494,1568850.060000000055879,1511763.320000000065193,1518370.780000000027940,1428571.000000000000000,1459793.830000000307336,10523970.400000000372529
20131014,1492606.899999999906868,1569475.000000000000000,1559194.140000000130385,1524112.179999999934807,1526923.140000000130385,1412258.679999999934807,1473480.550000000279397,10558053.589999999850988
20131015,1484126.469999999972060,1560316.239999999990687,1544442.040000000037253,1520212.540000000037253,1507051.479999999981374,1406821.239999999990687,1475191.390000000130385,10498164.400000000372529
20131016,1493126.109999999869615,1558202.679999999934807,1570995.820000000065193,1540360.679999999934807,1521137.719999999972060,1424946.040000000037253,1481607.040000000037253,10590379.089999999850988
20131017,1485857.169999999925494,1559846.560000000055879,1580919.959999999962747,1554659.360000000102445,1542267.080000000074506,1423133.559999999823049,1493582.920000000158325,10640269.609999999403954
20131018,1511644.600000000093132,1576989.880000000121072,1577969.540000000037253,1552059.599999999860302,1545034.020000000018626,1408029.559999999823049,1495293.760000000242144,10667023.960000000894070
20131021,1517875.120000000111759,1587792.520000000018626,1579847.080000000074506,1568958.040000000037253,1550190.590000000083819,1405008.759999999776483,1496576.890000000130385,10706252.000000000000000
20131022,1543316.409999999916181,1620435.280000000027940,1587089.020000000018626,1564408.459999999962747,1557107.939999999944121,1403800.439999999944121,1479040.780000000027940,10755201.329999998211861
20131023,1449685.540000000037253,1599769.360000000102445,1567508.959999999962747,1542960.439999999711290,1549561.740000000223517,1406519.159999999916181,1443968.560000000055879,10559976.759999999776483
20131024,1463011.929999999934807,1621609.479999999981374,1551683.979999999981374,1545560.199999999953434,1553209.070000000065193,1396248.439999999944121,1442257.719999999972060,10573583.820000002160668
20131025,1467165.609999999869615,1626541.120000000111759,1509573.439999999944121,1575457.439999999711290,1564905.680000000167638,1405915.000000000000000,1528227.429999999934807,10677788.719999998807907
20131028,1458685.179999999934807,1620435.280000000027940,1494016.680000000167638,1583256.719999999739230,1571194.180000000167638,1369967.479999999981374,1521384.070000000065193,10618942.590000001713634
20131029,1455050.709999999962747,1618556.560000000055879,1507159.459999999962747,1593655.759999999776483,1575721.900000000139698,1376915.319999999832362,1519245.520000000251457,10646308.230000000447035
20131030,1445012.649999999906868,1607988.760000000009313,1499649.300000000046566,1592355.879999999888241,1569559.170000000158325,1366644.600000000093132,1520100.939999999944121,10601314.299999998882413
20131031,1442762.739999999990687,1610806.840000000083819,1507695.900000000139698,1590406.059999999823049,1582890.790000000037253,1362113.400000000139698,1514540.709999999962747,10611219.440000001341105
