代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14137471.109999999403954
真實報酬,4137471.109999999403954

夏普值報酬,0.405047111000000
夏普值風險,0.103813666144233
夏普值,3.901674278964873

預期報酬,16854.671519561466994
風險,353222.617377467977349
趨勢值,0.047716852461772
找到最佳解世代,2290
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](3),VZ[26](8),
Stock#,AAPL[0](1),MCD[15](3),VZ[26](8),
張數,121477,53393,121168,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.119999999646097,8.010000000242144,1.319999999832362,
20100201,3379494.259999999776483,3411286.780000000260770,3353931.559999999590218,10144713.599999999627471
20100202,3398930.579999999608845,3418761.800000000279397,3368471.719999999739230,10186165.099999999627471
20100203,3457239.539999999571592,3481765.540000000037253,3306676.039999999571592,10245682.119999999180436
20100204,3333333.000000000000000,3420363.590000000316650,3243668.679999999701977,9997366.269999999552965
20100205,3391641.959999999962747,3383522.419999999925494,3255785.479999999981374,10030950.859999999403954
20100208,3368561.329999999608845,3359495.570000000298023,3213376.679999999701977,9941434.580000000074506
20100209,3405004.429999999701977,3394201.020000000484288,3256997.159999999683350,10056203.609999999403954
20100210,3385568.109999999869615,3377115.260000000242144,3270325.639999999664724,10033010.009999999776483
20100211,3447521.379999999422580,3405947.479999999981374,3289712.519999999552965,10143182.379999998956919
20100212,3477890.629999999422580,3395268.880000000353903,3277595.719999999739230,10150756.230000000447035
20100216,3530125.739999999292195,3417693.940000000409782,3305464.359999999869615,10253285.039999999105930
20100217,3515548.500000000000000,3431042.190000000409782,3300617.639999999664724,10247209.330000000074506
20100218,3521622.349999999627471,3442788.650000000372529,3301829.319999999832362,10266241.320000000298023
20100219,3499756.489999999292195,3456670.830000000074506,3287289.159999999683350,10243717.479999998584390
20100222,3477890.629999999422580,3458272.620000000111759,3284865.799999999813735,10221030.050000000745058
