代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13721746.379999998956919
真實報酬,3721746.379999998956919

夏普值報酬,0.363474638000000
夏普值風險,0.103833315617211
夏普值,3.500558908664507

預期報酬,18453.426572660362581
風險,455092.837425773672294
趨勢值,0.040548707988994
找到最佳解世代,1586
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MCD[15](1),
Stock#,AAPL[0](2),MCD[15](1),
張數,208073,88904,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.809999999590218,39.040000000037253,
20090901,4912609.339999999850988,4946657.599999999627471,9859266.939999999478459
20090902,4910528.610000000335276,4922653.519999999552965,9833182.129999998956919
20090903,4950062.479999999515712,4940434.320000000298023,9890496.800000000745058
20090904,5062421.899999999441206,4991109.599999999627471,10053531.500000000000000
20090908,5139408.909999999217689,4998221.919999999925494,10137630.829999998211861
20090909,5087390.659999999217689,4897760.400000000372529,9985151.059999998658895
20090910,5129005.259999998845160,4876423.440000000409782,10005428.699999999254942
20090911,5116520.879999999888241,4835527.599999999627471,9952048.480000000447035
20090914,5164377.669999999925494,4821302.959999999962747,9985680.629999998956919
20090915,5205992.269999999552965,4887980.959999999962747,10093973.230000000447035
20090916,5405742.349999999627471,5020447.919999999925494,10426190.269999999552965
20090917,5484810.089999999850988,5019558.879999999888241,10504368.969999998807907
20090918,5499375.199999999254942,5067567.040000000037253,10566942.239999998360872
20090921,5470244.979999999515712,4991109.599999999627471,10461354.579999998211861
20090922,5482729.360000000335276,4961771.280000000260770,10444500.640000000596046
20090923,5513940.309999999590218,4937767.200000000186265,10451707.509999999776483
20090924,5464002.790000000037253,4989331.519999999552965,10453334.309999998658895
20090925,5420307.459999999962747,5063121.839999999850988,10483429.300000000745058
20090928,5532666.879999999888241,5082680.719999999739230,10615347.599999999627471
20090929,5509778.849999999627471,5082680.719999999739230,10592459.570000000298023
20090930,5509778.849999999627471,5073790.320000000298023,10583569.169999999925494
20091001,5376612.129999999888241,5044452.000000000000000,10421064.129999998956919
20091002,5495213.739999999292195,5041784.879999999888241,10536998.619999999180436
20091005,5528505.419999999925494,5032894.480000000447035,10561399.900000000372529
20091006,5647107.029999999329448,5106684.799999999813735,10753791.829999998211861
20091007,5655429.949999999254942,5080013.599999999627471,10735443.549999998882413
20091008,5626299.729999999515712,5056009.519999999552965,10682309.250000000000000
20091009,5661672.139999999664724,5040895.839999999850988,10702567.980000000447035
20091012,5672075.790000000037253,5039117.759999999776483,10711193.550000000745058
20091013,5649187.759999998845160,5072012.240000000223517,10721200.000000000000000
20091014,5686640.899999999441206,5112019.040000000037253,10798659.939999999478459
20091015,5663752.869999999180436,5174251.839999999850988,10838004.709999999031425
20091016,5588846.589999999850988,5225816.160000000149012,10814662.750000000000000
20091019,5642945.569999999366701,5270268.160000000149012,10913213.730000000447035
20091020,5907198.279999999329448,5238262.719999999739230,11145461.000000000000000
20091021,6090302.519999999552965,5185809.360000000335276,11276111.879999998956919
20091022,6098625.439999999478459,5289827.040000000037253,11388452.480000000447035
20091023,6061172.299999999813735,5283603.759999999776483,11344776.059999998658895
20091026,6019557.699999999254942,5263155.839999999850988,11282713.539999999105930
20091027,5867664.409999999217689,5247153.120000000111759,11114817.529999999329448
