代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11812022.219999998807907
真實報酬,1812022.219999998807907

夏普值報酬,0.172502222000000
夏普值風險,0.066555781136543
夏普值,2.591844300438772

預期報酬,8037.296291071630549
風險,303072.516080992063507
趨勢值,0.026519383529069
找到最佳解世代,2490
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),VZ[26](6),
Stock#,HD[9](2),MCD[15](1),VZ[26](6),
張數,28482,33380,71240,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,84.540000000037253,6.200000000186265,13.399999999906868,
20150803,3329345.520000000018626,3318645.800000000279397,3346156.199999999720603,9994148.519999999552965
20150804,3347574.000000000000000,3309299.400000000372529,3324784.200000000186265,9981658.600000001490116
20150805,3360960.540000000037253,3331330.200000000186265,3322647.000000000000000,10014938.740000000223517
20150806,3319946.459999999962747,3316309.200000000186265,3321934.600000000093132,9958191.259999999776483
20150807,3330484.800000000279397,3301955.800000000279397,3302699.799999999813735,9935141.400000000372529
20150810,3349567.739999999757856,3317644.400000000372529,3364678.599999999627471,10031891.740000000223517
20150811,3352131.120000000111759,3298284.000000000465661,3391037.399999999906868,10041453.520000001415610
20150812,3352131.120000000111759,3280592.600000000093132,3408847.399999999906868,10041572.120000001043081
20150813,3390012.179999999701977,3316976.800000000279397,3395311.799999999813735,10102301.780000001192093
20150814,3410804.040000000037253,3313638.800000000279397,3383201.000000000000000,10107644.839999999850988
20150817,3409379.939999999944121,3360037.000000000000000,3385338.200000000186265,10154756.140000000596046
20150818,3497674.140000000130385,3363375.000000000465661,3381063.799999999813735,10242113.940000001341105
20150819,3496534.860000000335276,3374724.200000000186265,3379638.999999999534339,10250899.060000000521541
20150820,3433304.820000000298023,3329995.000000000465661,3339744.600000000093132,10103045.419999999925494
20150821,3308553.660000000149012,3242205.600000000093132,3284177.399999999906868,9834937.660000000149012
20150824,3205448.820000000298023,3100006.800000000279397,3187291.000000000000000,9492747.620000001043081
20150825,3160732.080000000074506,3044596.000000000000000,3098953.399999999906868,9304282.480000000447035
20150826,3302002.800000000279397,3176113.200000000186265,3217211.799999999813735,9695328.800000000745058
20150827,3351276.660000000149012,3248881.600000000093132,3290588.999999999534339,9890748.259999999776483
20150828,3347289.179999999701977,3212831.200000000186265,3282040.199999999720603,9842161.580000000074506
20150831,3317098.259999999776483,3171773.800000000279397,3277765.799999999813735,9766638.859999999403954
20150901,3220544.279999999795109,3120034.800000000279397,3198689.399999999906868,9539269.480000000447035
20150902,3317667.900000000372529,3205821.400000000372529,3230747.399999999906868,9754237.700000001117587
20150903,3321085.739999999757856,3204820.000000000465661,3257106.199999999720603,9783012.939999999478459
20150904,3258994.979999999981374,3166099.200000000186265,3192990.199999999720603,9618085.379999998956919
20150908,3316243.800000000279397,3230522.600000000093132,3268504.600000000093132,9815272.000000000000000
20150909,3246178.080000000074506,3185459.600000000558794,3233597.000000000000000,9665235.679999999701977
20150910,3260988.719999999739230,3179451.200000000186265,3238583.799999999813735,9679024.719999998807907
20150911,3288046.620000000111759,3251552.000000000000000,3257818.599999999627471,9797418.219999998807907
20150914,3267824.400000000372529,3236864.800000000279397,3252119.399999999906868,9756809.600000001490116
20150915,3309123.300000000279397,3277588.399999999906868,3303412.199999999720603,9890124.900000000372529
20150916,3355833.779999999795109,3294278.399999999906868,3290588.999999999534339,9940702.179999999701977
20150917,3358397.160000000149012,3265905.400000000372529,3222198.599999999627471,9846502.160000000149012
20150918,3278932.380000000353903,3239535.200000000186265,3175180.199999999720603,9693648.779999999329448
20150921,3320516.100000000093132,3267908.200000000186265,3191565.399999999906868,9779990.700000001117587
20150922,3298300.140000000130385,3244542.200000000186265,3165206.600000000093132,9708049.939999999478459
20150923,3308838.479999999981374,3250550.600000000093132,3133148.599999999627471,9692538.679999999701977
20150924,3313680.419999999925494,3247546.400000000372529,3140985.000000000000000,9702212.820000000298023
20150925,3325073.219999999739230,3257560.400000000372529,3150246.199999999720603,9732880.820000000298023
20150928,3249880.739999999757856,3203151.000000000000000,3116051.000000000000000,9569083.740000000223517
20150929,3215987.160000000149012,3253888.600000000093132,3101090.600000000093132,9570967.359999999403954
20150930,3289470.719999999739230,3288937.600000000093132,3099665.799999999813735,9678075.120000001043081
20151001,3333333.000000000000000,3297282.600000000093132,3060483.799999999813735,9691100.399999998509884
20151002,3355548.959999999962747,3330996.400000000372529,3051935.000000000000000,9738481.359999999403954
20151005,3395138.939999999944121,3377060.800000000279397,3134573.399999999906868,9906774.140000000596046
20151006,3380328.300000000279397,3401428.200000000186265,3138847.800000000279397,9920605.300000000745058
20151007,3407955.840000000316650,3397088.800000000279397,3123887.399999999906868,9928933.040000000968575
20151008,3448115.459999999962747,3436477.200000000186265,3150958.599999999627471,10035552.259999999776483
20151009,3455805.600000000093132,3430135.000000000465661,3145971.799999999813735,10031913.400000000372529
20151012,3472040.340000000316650,3446157.399999999906868,3155945.399999999906868,10074144.140000000596046
20151013,3463780.560000000055879,3450830.600000000093132,3160219.799999999813735,10074831.960000000894070
20151014,3425614.679999999701977,3432137.799999999813735,3133861.000000000000000,9991614.480000000447035
20151015,3469476.959999999962747,3460177.000000000000000,3182304.200000000186265,10111959.160000000149012
20151016,3495965.219999999739230,3498897.799999999813735,3184441.399999999906868,10179305.419999999925494
20151019,3506218.739999999757856,3487882.399999999906868,3184441.399999999906868,10178543.539999999105930
20151020,3499098.239999999757856,3466185.400000000372529,3222911.000000000000000,10188195.640000000596046
20151021,3511915.140000000130385,3422791.400000000372529,3195839.799999999813735,10130547.339999999850988
20151022,3542106.060000000055879,3700846.800000000279397,3269217.000000000000000,10512170.859999999403954
20151023,3549226.560000000055879,3758260.400000000372529,3288451.799999999813735,10595939.760000001639128
20151026,3560619.360000000335276,3744574.600000000558794,3302699.799999999813735,10607894.760000001639128
20151027,3545239.080000000074506,3726549.400000000372529,3289164.200000000186265,10560953.679999999701977
20151028,3526725.779999999795109,3769943.399999999906868,3311248.599999999627471,10607918.779999999329448
20151029,3521314.199999999720603,3759261.800000000279397,3305549.399999999906868,10586126.400000000372529
20151030,3521599.020000000018626,3746911.200000000186265,3339744.600000000093132,10608255.820000000298023
20151102,3543530.160000000149012,3742238.000000000000000,3332620.600000000093132,10618389.759999999776483
