代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14278665.610000001266599
真實報酬,4278665.610000001266599

夏普值報酬,0.419166561000000
夏普值風險,0.111304811758124
夏普值,3.765933874547047

預期報酬,17345.114498882991029
風險,224850.067519032192649
趨勢值,0.077140801825264
找到最佳解世代,1986
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),V[25](2),VZ[26](9),WMT[28](7),
Stock#,HD[9](1),V[25](2),VZ[26](9),WMT[28](7),
張數,74895,113791,69118,47001,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,4.899999999906868,11.729999999981374,1.939999999944121,16.810000000055879,
20110901,2466297.250000000000000,2495448.359999999869615,2479955.780000000260770,2474619.459999999962747,9916320.849999999627471
20110902,2410126.000000000000000,2434001.220000000204891,2457838.020000000018626,2445478.840000000316650,9747444.080000000074506
20110906,2400389.649999999906868,2443104.500000000000000,2434337.899999999906868,2429028.490000000223517,9706860.540000000968575
20110907,2461803.549999999813735,2517068.649999999906868,2461985.099999999627471,2463809.229999999981374,9904666.529999999329448
20110908,2431096.600000000093132,2488620.899999999906868,2445396.780000000260770,2453939.020000000018626,9819053.300000000745058
20110909,2386908.549999999813735,2456759.419999999925494,2435720.260000000242144,2413988.169999999925494,9693376.400000000372529
20110912,2422858.149999999906868,2487482.989999999757856,2436411.439999999944121,2435608.629999999888241,9782361.210000000894070
20110913,2446075.599999999627471,2496586.270000000018626,2453690.939999999944121,2424798.400000000372529,9821151.209999999031425
20110914,2511983.199999999720603,2548930.129999999888241,2460602.740000000223517,2453469.010000000242144,9974985.080000000074506
20110915,2567405.500000000000000,2575102.060000000055879,2501382.359999999869615,2468039.319999999832362,10111929.240000000223517
20110916,2592120.850000000093132,2584205.339999999850988,2538014.899999999906868,2474619.459999999962747,10188960.550000000745058
20110919,2572648.149999999906868,2561447.140000000130385,2507602.979999999981374,2465219.260000000242144,10106917.529999999329448
20110920,2607099.850000000093132,2641100.839999999850988,2516588.319999999832362,2457699.100000000093132,10222488.109999999403954
20110921,2534451.700000000186265,2601273.989999999757856,2477191.060000000055879,2412108.129999999888241,10025024.879999998956919
20110922,2475284.649999999906868,2512517.009999999776483,2459911.560000000055879,2363227.090000000316650,9810940.310000000521541
20110923,2525464.299999999813735,2562585.049999999813735,2479955.780000000260770,2387667.609999999869615,9955672.740000000223517
20110926,2546434.899999999906868,2568274.600000000093132,2513132.419999999925494,2436078.640000000130385,10063920.560000000521541
20110927,2537447.500000000000000,2545516.399999999906868,2549764.959999999962747,2445478.840000000316650,10078207.700000001117587
20110928,2516476.899999999906868,2493172.540000000037253,2546309.060000000055879,2411638.120000000111759,9967596.620000001043081
20110929,2530706.949999999720603,2494310.450000000186265,2567735.639999999664724,2440778.740000000223517,10033531.780000001192093
20110930,2461803.549999999813735,2438552.859999999869615,2543544.339999999850988,2439368.709999999962747,9883269.460000000894070
20111003,2365937.949999999720603,2397588.100000000093132,2511750.060000000055879,2442188.770000000018626,9717464.879999998956919
20111004,2431845.549999999813735,2412380.929999999701977,2515897.139999999664724,2485429.689999999944121,9845553.309999998658895
20111005,2458807.750000000000000,2418070.479999999981374,2472352.800000000279397,2474619.459999999962747,9823850.490000002086163
20111006,2500000.000000000000000,2478379.709999999962747,2482029.319999999832362,2479319.560000000055879,9939728.589999999850988
20111007,2540443.299999999813735,2453345.689999999944121,2499308.819999999832362,2523970.510000000242144,10017068.320000000298023
20111010,2595865.599999999627471,2538688.939999999944121,2550456.139999999664724,2576141.620000000111759,10261152.299999998882413
20111011,2599610.350000000093132,2575102.060000000055879,2522808.939999999944121,2571911.529999999795109,10269432.879999998956919
20111012,2600359.299999999813735,2593308.620000000111759,2534559.000000000000000,2594472.010000000242144,10322698.929999999701977
20111013,2577141.849999999627471,2634273.379999999888241,2558750.300000000279397,2586011.830000000074506,10356177.359999999403954
20111014,2625074.649999999906868,2671824.410000000149012,2580176.879999999888241,2606692.270000000018626,10483768.210000000894070
