代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12786080.939999997615814
真實報酬,2786080.939999997615814

夏普值報酬,0.269908094000000
夏普值風險,0.079365781440666
夏普值,3.400811900299668

預期報酬,13470.261251920066570
風險,297655.626675886509474
趨勢值,0.045254515771636
找到最佳解世代,2036
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),MCD[15](6),UNH[23](4),
Stock#,AAPL[0](3),MCD[15](6),UNH[23](4),
張數,82223,44736,94939,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.580000000074506,53.639999999664724,24.709999999962747,
20101001,3318532.859999999869615,3351674.759999999776483,3363713.479999999981374,10033922.099999999627471
20101004,3273310.210000000428408,3353016.839999999850988,3279217.770000000018626,9905545.820000000298023
20101005,3394178.020000000018626,3391937.159999999217689,3329535.439999999944121,10115651.619999999180436
20101006,3385955.720000000204891,3373148.040000000037253,3232697.659999999683350,9991802.419999999925494
20101007,3397466.939999999944121,3393726.599999999627471,3260229.970000000204891,10051424.509999999776483
20101008,3454200.810000000055879,3404463.239999999292195,3261179.359999999869615,10119844.409999998286366
20101011,3469000.949999999720603,3381647.879999999888241,3289661.060000000055879,10140310.890000000596046
20101012,3506823.529999999795109,3381200.519999999552965,3324788.490000000223517,10212813.539999999105930
20101013,3525734.820000000298023,3388805.639999999664724,3353270.189999999944121,10267811.650000000372529
20101014,3551223.949999999720603,3446515.080000000074506,3396942.129999999888241,10394682.160000000149012
20101015,3696758.660000000149012,3466198.919999999925494,3415929.929999999701977,10578888.509999999776483
20101018,3735403.470000000204891,3459041.159999999217689,3441563.459999999962747,10636009.089999999850988
20101019,3635091.410000000149012,3444278.279999999329448,3351371.409999999683350,10430742.099999999627471
20101020,3647424.859999999869615,3463067.399999999441206,3487134.179999999701977,10597627.439999999478459
20101021,3635913.640000000130385,3509145.479999999515712,3464348.820000000298023,10609408.939999999478459
20101022,3611246.740000000223517,3514066.439999999478459,3537451.849999999627471,10662766.029999999329448
20101025,3627691.339999999850988,3520776.839999999850988,3565933.550000000279397,10714402.730000000447035
20101026,3618646.810000000055879,3523461.000000000000000,3566882.939999999944121,10708991.750000000000000
20101027,3616180.119999999646097,3466198.919999999925494,3411182.979999999981374,10493563.019999999552965
20101028,3585757.609999999869615,3466198.919999999925494,3441563.459999999962747,10493520.989999998360872
20101029,3535601.580000000074506,3479172.359999999403954,3422575.659999999683350,10437350.599999999627471
20101101,3572601.930000000167638,3484093.319999999366701,3428272.000000000000000,10484968.250000000000000
20101102,3633446.949999999720603,3507356.040000000037253,3512767.709999999962747,10653571.699999999254942
20101103,3674558.449999999720603,3511829.639999999664724,3480488.449999999720603,10666877.539999999105930
20101104,3738692.390000000130385,3542250.120000000111759,3493779.909999999683350,10774723.419999999925494
20101105,3724714.479999999981374,3547618.439999999478459,3499476.250000000000000,10771810.169999999925494
20101108,3742803.540000000502914,3548065.799999999813735,3524160.389999999664724,10815030.730000000447035
20101109,3712381.029999999795109,3538671.239999999292195,3510868.929999999701977,10761922.199999999254942
20101110,3735403.470000000204891,3556565.639999999664724,3527957.949999999720603,10819928.059999998658895
20101111,3719781.100000000093132,3565512.839999999850988,3557389.040000000037253,10842683.980000000447035
20101112,3617824.580000000074506,3527487.239999999292195,3481437.840000000316650,10626750.660000000149012
20101115,3606313.359999999869615,3537329.159999999217689,3367511.040000000037253,10511154.559999998658895
20101116,3542179.419999999925494,3463514.759999999776483,3323839.099999999627471,10329534.279999999329448
20101117,3529845.970000000204891,3506013.959999999962747,3354219.579999999608845,10390080.509999999776483
20101118,3622757.960000000428408,3535092.359999999403954,3382701.280000000260770,10540552.600000001490116
20101119,3603024.439999999944121,3562828.679999999701977,3417828.709999999962747,10583682.829999998211861
20101122,3681136.290000000502914,3557460.359999999403954,3461500.649999999906868,10700098.300000000745058
20101123,3626046.880000000353903,3534645.000000000000000,3422575.659999999683350,10583268.540000000968575
20101124,3697580.890000000130385,3555670.919999999925494,3434917.729999999981374,10688170.540000000968575
20101126,3700047.580000000074506,3513619.080000000074506,3406436.030000000260770,10620103.690000001341105
20101129,3722247.790000000502914,3501093.000000000000000,3473842.720000000204891,10697184.510000001639128
20101130,3654824.930000000167638,3502882.439999999478459,3467196.990000000223517,10624905.359999999403954
20101201,3716492.180000000167638,3547171.080000000074506,3576376.840000000316650,10840041.099999999627471
20101202,3737047.930000000167638,3551197.319999999366701,3612453.659999999683350,10900699.910000000149012
20101203,3728825.630000000353903,3568197.000000000000000,3590617.689999999944121,10887641.320000000298023
20101206,3760892.600000000093132,3560144.519999999552965,3540300.020000000018626,10861338.139999998733401
20101207,3737870.160000000149012,3594143.879999999888241,3490931.740000000223517,10822946.780000001192093
20101208,3770759.359999999869615,3522566.279999999329448,3497577.470000000204891,10790904.109999999403954
20101209,3755959.220000000204891,3472014.599999999627471,3479539.060000000055879,10707513.880000000819564
20101210,3765003.750000000000000,3469777.799999999813735,3481437.840000000316650,10716220.390000000596046
20101213,3778159.430000000167638,3449646.599999999627471,3503273.810000000055879,10731080.839999999850988
20101214,3762537.060000000055879,3449646.599999999627471,3465298.209999999962747,10677482.870000001043081
20101215,3763359.290000000502914,3443830.919999999925494,3365612.260000000242144,10572803.470000000670552
20101216,3773226.050000000279397,3431752.199999999254942,3380802.500000000000000,10585781.750000000000000
20101217,3765825.979999999981374,3436225.799999999813735,3327636.659999999683350,10529689.439999999478459
20101220,3784737.270000000018626,3441146.759999999776483,3339978.729999999981374,10565863.759999999776483
20101221,3807759.710000000428408,3438462.599999999627471,3354219.579999999608845,10600442.890000000596046
20101222,3819270.930000000167638,3445173.000000000000000,3402638.470000000204891,10667083.400000000372529
20101223,3801181.869999999646097,3442936.199999999254942,3395992.740000000223517,10640111.809999998658895
20101227,3813515.320000000298023,3419226.120000000111759,3374156.770000000018626,10606899.210000000894070
20101228,3823382.080000000074506,3419226.120000000111759,3391245.790000000037253,10633854.990000000223517
20101229,3820915.390000000130385,3444278.279999999329448,3409284.199999999720603,10674478.869999999180436
20101230,3802004.100000000093132,3433989.000000000000000,3412132.369999999646097,10648126.469999998807907
20101231,3788848.419999999925494,3433989.000000000000000,3428272.000000000000000,10651110.419999999925494
20110103,3871071.419999999925494,3426831.239999999292195,3525109.780000000260770,10823013.439999999478459
20110104,3891627.169999999925494,3324385.799999999813735,3557389.040000000037253,10773403.009999999776483
20110105,3922871.910000000149012,3340043.399999999441206,3568781.720000000204891,10831698.029999999329448
20110106,3920405.220000000204891,3319912.199999999254942,3642834.139999999664724,10883152.559999998658895
20110107,3948361.040000000502914,3327069.959999999962747,3650429.260000000242144,10925861.259999999776483
20110110,4022361.740000000223517,3290833.799999999813735,3650429.260000000242144,10963625.800000000745058
20110111,4013317.210000000428408,3306044.040000000037253,3710240.829999999608845,11029603.080000000074506
20110112,4045384.180000000167638,3292623.239999999292195,3689354.250000000000000,11027362.669999999925494
20110113,4060184.320000000298023,3251018.759999999776483,3759609.109999999869615,11070813.189999999478459
20110114,4093073.520000000018626,3313201.799999999813735,3870687.740000000223517,11276964.060000000521541
20110118,4000983.759999999776483,3340938.120000000111759,3881131.030000000260770,11223053.910000000149012
20110119,3980428.009999999776483,3370911.239999999292195,3850750.550000000279397,11202090.799999998882413
20110120,3908071.770000000018626,3362411.399999999441206,3827015.800000000279397,11097499.970000000670552
20110121,3837359.990000000223517,3355701.000000000000000,3836509.699999999720603,11029571.689999999478459
20110124,3963983.410000000149012,3372253.319999999366701,3779546.300000000279397,11115784.029999999329448
20110125,4010028.290000000502914,3376726.919999999925494,3856446.889999999664724,11243203.100000001490116
20110126,4038806.339999999850988,3362858.759999999776483,3821319.459999999962747,11222985.559999998658895
20110127,4031406.270000000018626,3326175.239999999292195,4014995.020000000018626,11372577.529999999329448
20110128,3947538.810000000055879,3278307.719999999739230,3885877.979999999981374,11111725.509999999776483
20110131,3985361.390000000130385,3295754.759999999776483,3897270.659999999683350,11178387.810000000521541
20110201,4052784.250000000000000,3286807.559999999590218,3994108.439999999944121,11333701.250000000000000
20110202,4044561.949999999720603,3294412.679999999701977,3982715.760000000242144,11321691.389999998733401
20110203,4033872.960000000428408,3302912.519999999552965,4086199.270000000018626,11422985.750000000000000
20110204,4070051.080000000074506,3312754.439999999478459,4033982.820000000298023,11416789.339999999850988
20110207,4133362.790000000502914,3285912.839999999850988,3969424.300000000279397,11388700.930000001564622
20110208,4172007.600000000093132,3371358.599999999627471,3984614.540000000037253,11527981.739999998360872
20110209,4207363.490000000223517,3396858.120000000111759,3994108.439999999944121,11598331.050000000745058
20110210,4164607.529999999795109,3389253.000000000000000,4028286.479999999981374,11582148.009999999776483
20110211,4191741.119999999646097,3406252.679999999701977,4023539.530000000260770,11621534.329999998211861
20110214,4218874.709999999962747,3410726.279999999329448,4031134.649999999906868,11660736.639999998733401
20110215,4227097.009999999776483,3406700.040000000037253,3990310.879999999888241,11624108.929999999701977
