代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12842015.109999999403954
真實報酬,2842015.109999999403954

夏普值報酬,0.275501511000000
夏普值風險,0.071923597361704
夏普值,3.830474574491876

預期報酬,9643.830577060734868
風險,200928.275417431344977
趨勢值,0.047996383570334
找到最佳解世代,2082
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](9),MCD[15](13),V[25](1),VZ[26](3),WMT[28](4),
Stock#,KO[14](9),MCD[15](13),V[25](1),VZ[26](3),WMT[28](4),
張數,58806,23126,93501,56673,37943,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,7.940000000176951,63.520000000018626,13.609999999869615,9.830000000074506,24.469999999972060,
20110801,1991767.159999999916181,1997918.659999999916181,2002805.030000000027940,2032870.339999999850988,1996585.129999999888241,10021946.320000000298023
20110802,1971773.120000000344589,1967161.080000000074506,1953249.500000000000000,2011334.600000000093132,1960918.709999999962747,9864437.010000001639128
20110803,2011173.140000000363216,1978261.560000000055879,2044880.479999999981374,2038537.639999999897555,1945741.510000000009313,10018594.330000000074506
20110804,1935313.399999999906868,1949122.800000000046566,1986909.859999999869615,1979030.990000000223517,1900968.770000000018626,9751345.820000000298023
20110805,1963540.280000000260770,1967623.600000000093132,1949509.459999999962747,1986398.479999999981374,1929426.020000000018626,9796497.839999999850988
20110808,1914731.300000000279397,1898939.380000000121072,1852268.419999999692664,1877019.589999999850988,1856196.030000000027940,9399154.720000000670552
20110809,1960599.980000000447035,1987974.479999999981374,1934549.300000000046566,1943327.000000000000000,1928287.729999999981374,9754738.490000000223517
20110810,1880623.820000000298023,1944497.600000000093132,1853203.429999999934807,1907623.009999999776483,1836845.099999999860302,9422792.960000000894070
20110811,1954719.380000000353903,1995374.800000000046566,1975689.739999999757856,1962029.089999999850988,1886929.859999999869615,9774742.869999999180436
20110812,1974125.360000000102445,2000462.520000000018626,1959794.570000000065193,1943893.729999999981374,1887688.719999999972060,9765964.900000000372529
20110815,2005292.540000000270084,2007862.839999999850988,2007480.079999999841675,1986398.479999999981374,1896415.609999999869615,9903449.549999998882413
20110816,2004704.480000000447035,2004393.939999999944121,2006545.070000000065193,1976764.070000000298023,1970025.030000000027940,9962432.589999999850988
20110817,2037047.780000000260770,2023588.520000000018626,1963534.609999999869615,2018135.360000000102445,1955986.119999999878928,9998292.390000000596046
20110818,1992355.220000000437722,1979880.380000000121072,1876578.679999999934807,1987531.940000000176951,1965092.439999999944121,9801438.660000000149012
20110819,1972949.239999999990687,2017344.500000000000000,1860683.509999999776483,1967129.660000000149012,1984443.369999999878928,9802550.279999999329448
20110822,1978241.780000000260770,2029601.280000000027940,1865358.559999999823049,1973363.690000000176951,1980269.639999999897555,9826834.950000001117587
20110823,2030579.120000000344589,2070534.300000000046566,1957924.550000000046566,2037970.910000000149012,2018971.500000000000000,10115980.380000000819564
20110824,2048808.980000000447035,2084409.899999999906868,2019635.209999999962747,2066874.139999999897555,2025042.379999999888241,10244770.609999999403954
20110825,1998823.880000000353903,2051570.979999999981374,1966339.639999999897555,2027203.040000000270084,1999620.570000000065193,10043558.109999999403954
20110826,2014113.440000000176951,2079784.700000000186265,2006545.070000000065193,2026636.310000000055879,2007209.169999999925494,10134288.690000001341105
20110829,2050573.159999999916181,2099673.060000000055879,2024310.259999999776483,2048172.050000000046566,2018212.639999999897555,10240941.169999999925494
20110830,2054101.520000000251457,2099441.799999999813735,2055165.589999999850988,2057806.460000000195578,2004173.729999999981374,10270689.099999999627471
20110831,2071743.320000000065193,2090885.179999999934807,2054230.579999999841675,2049872.240000000223517,2018212.639999999897555,10284943.960000000894070
20110901,2071743.320000000065193,2083022.339999999850988,2050490.539999999804422,2033437.070000000298023,1997723.419999999925494,10236416.690000001341105
20110902,2050573.159999999916181,2060358.860000000102445,2000000.000000000000000,2015301.710000000195578,1974198.760000000009313,10100432.490000000223517
20110906,2041752.260000000009313,2054114.839999999850988,2007480.079999999841675,1996032.889999999897555,1960918.709999999962747,10060298.779999999329448
20110907,2081740.340000000083819,2064984.060000000055879,2068255.729999999981374,2018702.089999999850988,1988996.530000000027940,10222678.750000000000000
20110908,2092913.480000000447035,2049258.380000000121072,2044880.479999999981374,2005100.570000000298023,1981028.500000000000000,10173181.410000000149012
20110909,2039988.080000000074506,1966467.300000000046566,2018700.199999999953434,1997166.350000000093132,1948776.949999999953434,9971098.879999998956919
20110912,2039988.080000000074506,1993293.459999999962747,2043945.469999999739230,1997733.080000000074506,1966230.729999999981374,10041190.820000000298023
20110913,2031755.239999999990687,1991674.640000000130385,2051425.550000000046566,2011901.330000000074506,1957503.840000000083819,10044260.599999999627471
20110914,2051749.280000000260770,2006244.020000000018626,2094436.009999999776483,2017568.630000000121072,1980649.070000000065193,10150647.009999999776483
20110915,2088209.000000000000000,2036770.339999999850988,2115941.239999999757856,2051005.699999999953434,1992411.399999999906868,10284337.679999999701977
20110916,2094677.659999999916181,2041858.060000000055879,2123421.319999999832362,2081042.389999999897555,1997723.419999999925494,10338722.849999997764826
20110919,2072331.380000000353903,2053883.580000000074506,2104721.120000000111759,2056106.270000000251457,1990134.820000000065193,10277177.169999999925494
20110920,2077623.920000000158325,2065446.580000000074506,2170171.819999999832362,2063473.759999999776483,1984063.939999999944121,10360780.019999999552965
20110921,2037047.780000000260770,2024051.040000000037253,2137446.469999999739230,2031170.150000000372529,1947259.229999999981374,10176974.669999999925494
20110922,1994119.399999999906868,1988668.260000000009313,2064515.689999999711290,2017001.900000000372529,1907798.510000000009313,9972103.759999999776483
20110923,1982358.200000000186265,2020582.140000000130385,2105656.129999999888241,2033437.070000000298023,1927528.869999999878928,10069562.410000000149012
20110926,2021758.220000000437722,2066140.360000000102445,2110331.179999999701977,2060640.110000000102445,1966610.159999999916181,10225480.029999999329448
20110927,2045280.620000000344589,2075390.760000000009313,2091630.979999999981374,2090676.800000000046566,1974198.760000000009313,10277177.919999999925494
20110928,2001176.120000000344589,2035845.300000000046566,2048620.519999999785796,2087843.150000000372529,1946879.800000000046566,10120364.890000000596046
20110929,2030579.120000000344589,2053189.800000000046566,2049555.530000000027940,2105411.779999999795109,1970404.459999999962747,10209140.690000001341105
20110930,1986474.620000000344589,2030988.839999999850988,2003740.039999999804422,2085576.229999999981374,1969266.169999999925494,10076045.900000000372529
20111003,1923552.200000000186265,1989362.040000000037253,1970079.679999999934807,2059506.650000000372529,1971542.750000000000000,9914043.320000000298023
20111004,1918259.659999999916181,2000000.000000000000000,1982234.809999999823049,2062907.030000000027940,2006450.310000000055879,9969851.810000000521541
20111005,1927080.560000000288710,1984968.100000000093132,1986909.859999999869615,2027203.040000000270084,1997723.419999999925494,9923884.980000000447035
20111006,1922964.140000000363216,2014569.380000000121072,2036465.389999999897555,2035137.259999999776483,2001517.719999999972060,10010653.890000000596046
20111007,1937665.640000000363216,2016650.719999999972060,2015895.169999999692664,2049305.509999999776483,2037563.570000000065193,10057080.609999999403954
20111010,1967068.640000000363216,2046945.780000000027940,2086020.919999999692664,2091243.530000000027940,2079680.300000000046566,10270959.169999999925494
20111011,1964128.340000000083819,2066140.360000000102445,2115941.239999999757856,2068574.330000000074506,2076265.429999999934807,10291049.699999999254942
20111012,1984122.380000000353903,2043476.880000000121072,2130901.399999999906868,2078208.740000000223517,2094478.070000000065193,10331187.470000000670552
