代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13128204.559999998658895
真實報酬,3128204.559999998658895

夏普值報酬,0.304120456000000
夏普值風險,0.087006961005495
夏普值,3.495357756269541

預期報酬,14197.704522965344950
風險,146636.030186104733730
趨勢值,0.096822755668891
找到最佳解世代,2584
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AAPL[0](8),CAT[3](7),DD[7](1),MRK[17](9),MSFT[18](2),V[25](10),
Stock#,AAPL[0](8),CAT[3](7),DD[7](1),MRK[17](9),MSFT[18](2),V[25](10),
張數,25779,20102,33400,34599,52345,37664,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,53.649999999906868,9.180000000167638,6.000000000000000,32.169999999925494,1.199999999953434,34.000000000000000,
20130801,1681875.609999999869615,1697422.060000000055879,1683700.000000000000000,1680851.589999999850988,1657767.350000000093132,1687004.560000000055879,10088625.169999999925494
20130802,1703529.969999999972060,1694607.780000000027940,1722778.000000000000000,1679467.629999999888241,1669283.250000000000000,1732578.000000000000000,10202248.629999998956919
20130805,1728793.389999999897555,1679732.300000000279397,1735136.000000000000000,1679121.639999999897555,1659337.699999999953434,1737850.959999999962747,10219975.989999998360872
20130806,1713325.989999999757856,1659027.240000000223517,1715096.000000000000000,1676007.729999999748543,1653056.299999999813735,1722032.079999999841675,10138549.339999999850988
20130807,1712552.620000000111759,1657017.040000000270084,1726118.000000000000000,1679813.619999999878928,1678181.900000000139698,1708096.400000000139698,10161783.580000000074506
20130808,1697858.589999999850988,1687773.100000000093132,1755510.000000000000000,1677045.699999999953434,1721628.250000000000000,1702446.800000000046566,10242266.440000001341105
20130809,1673626.329999999841675,1698829.200000000186265,1809284.000000000000000,1674277.780000000027940,1711682.700000000186265,1693030.800000000046566,10260734.810000002384186
20130812,1721317.479999999748543,1735213.820000000065193,1782564.000000000000000,1677045.699999999953434,1720581.349999999860302,1692654.159999999916181,10329380.509999999776483
20130813,1803036.909999999916181,1740239.320000000065193,1801602.000000000000000,1675661.739999999990687,1687080.549999999813735,1687757.840000000083819,10395382.359999999403954
