代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14374815.359999999403954
真實報酬,4374815.359999999403954

夏普值報酬,0.428781536000000
夏普值風險,0.104060276965492
夏普值,4.120511193163476

預期報酬,17509.402347164541425
風險,188575.727152586303419
趨勢值,0.092850774654560
找到最佳解世代,1954
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](4),CSCO[4](14),DD[7](12),MMM[16](1),NKE[19](2),PFE[20](17),UNH[23](19),
Stock#,BA[2](4),CSCO[4](14),DD[7](12),MMM[16](1),NKE[19](2),PFE[20](17),UNH[23](19),
張數,20280,83298,34233,16307,62519,57441,25510,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,47.800000000046566,10.300000000046566,27.910000000149012,77.800000000046566,11.849999999860302,13.329999999841675,11.000000000000000,
20121101,1435669.000000000232831,1458558.280000000260770,1467938.950000000186265,1455477.550000000046566,1490464.809999999823049,1410189.879999999888241,1452805.500000000000000,10171106.969999998807907
20121102,1420661.800000000046566,1445230.600000000093132,1450480.120000000111759,1450911.590000000083819,1477961.010000000009313,1410189.879999999888241,1429846.500000000000000,10085284.500000000000000
20121105,1427962.600000000093132,1449395.500000000000000,1465542.640000000130385,1461185.000000000000000,1489214.429999999934807,1411913.109999999636784,1410203.800000000046566,10115420.080000000074506
20121106,1460613.399999999906868,1456059.340000000083819,1487794.090000000083819,1481731.820000000065193,1502343.419999999925494,1419380.439999999944121,1438519.899999999906868,10246445.410000000149012
20121107,1421878.600000000093132,1433568.880000000121072,1476839.530000000260770,1457597.459999999962747,1479211.389999999897555,1388362.300000000046566,1384183.599999999860302,10041644.759999999776483
20121108,1439522.200000000186265,1401915.639999999897555,1440552.550000000046566,1444062.649999999906868,1436073.279999999795109,1387787.889999999897555,1363265.399999999906868,9913182.609999999403954
20121109,1485557.800000000046566,1401082.660000000149012,1431309.640000000130385,1448302.469999999972060,1442950.369999999646097,1388362.300000000046566,1349490.000000000000000,9947058.240000000223517
20121112,1494481.000000000000000,1404414.580000000074506,1403580.910000000149012,1454336.060000000055879,1442325.179999999934807,1384915.839999999850988,1331633.000000000000000,9915689.570000000298023
20121113,1487788.600000000093132,1403581.600000000093132,1405634.890000000130385,1452705.360000000102445,1429821.379999999888241,1381469.379999999888241,1331377.899999999906868,9892382.110000001266599
20121114,1445809.000000000232831,1471052.979999999981374,1378590.820000000298023,1423841.969999999972060,1416067.199999999720603,1367683.539999999804422,1307398.500000000000000,9810447.009999999776483
20121115,1440739.000000000232831,1494376.420000000158325,1359762.670000000158325,1435419.939999999944121,1419818.339999999850988,1359067.389999999897555,1307398.500000000000000,9816585.260000001639128
20121116,1435263.399999999906868,1498541.319999999832362,1352231.410000000149012,1443247.300000000046566,1447326.699999999720603,1370555.589999999850988,1323980.000000000000000,9871148.719999998807907
20121119,1459396.599999999860302,1524363.700000000186265,1403238.580000000307336,1460695.790000000037253,1505469.369999999646097,1386639.069999999832362,1349745.099999999860302,10089551.209999999031425
20121120,1471159.000000000232831,1527695.620000000111759,1403580.910000000149012,1451726.939999999944121,1494215.949999999720603,1394680.809999999823049,1355612.399999999906868,10098674.630000000819564
20121121,1483529.800000000046566,1539357.340000000083819,1404950.230000000214204,1450422.380000000121072,1494215.949999999720603,1398701.679999999934807,1365561.300000000046566,10136741.679999999701977
20121123,1495495.000000000000000,1569344.620000000111759,1432336.630000000353903,1472273.760000000009313,1512346.459999999962747,1409041.059999999823049,1375510.199999999953434,10266350.729999998584390
20121126,1506243.399999999906868,1587670.179999999934807,1442264.200000000186265,1469175.430000000167638,1526725.830000000074506,1406743.419999999692664,1365561.300000000046566,10304386.760000001639128
20121127,1510705.000000000000000,1579340.380000000121072,1448426.140000000130385,1472762.969999999972060,1516097.599999999860302,1392957.579999999841675,1341581.900000000139698,10261874.569999998435378
