代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13327687.459999999031425
真實報酬,3327687.459999999031425

夏普值報酬,0.324068746000000
夏普值風險,0.081672524852404
夏普值,3.967904097316063

預期報酬,12794.450234979396555
風險,160424.575717445928603
趨勢值,0.079753679744892
找到最佳解世代,2177
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),BA[2](3),CAT[3](2),INTC[11](13),MSFT[18](1),PG[21](15),UNH[23](4),
Stock#,AAPL[0](5),BA[2](3),CAT[3](2),INTC[11](13),MSFT[18](1),PG[21](15),UNH[23](4),
張數,14305,11324,19701,45222,26954,17627,10687,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,73.699999999953434,48.399999999906868,51.489999999990687,8.020000000018626,9.000000000000000,78.919999999925494,39.710000000195578,
20160601,1408543.999999999767169,1431515.239999999757856,1423842.760000000009313,1431736.540000000037253,1424527.900000000139698,1441791.250000000000000,1437761.820000000298023,9999722.509999999776483
20160602,1397958.300000000046566,1436497.799999999813735,1450439.110000000102445,1436258.739999999990687,1414554.919999999925494,1444611.570000000065193,1453899.190000000176951,10034222.629999998956919
20160603,1400819.300000000046566,1442499.519999999785796,1478414.530000000027940,1429927.660000000149012,1395956.659999999916181,1453777.609999999869615,1462448.790000000270084,10063847.070000000298023
20160606,1410975.849999999860302,1493684.000000000000000,1505601.909999999916181,1432640.979999999981374,1405121.020000000018626,1459065.709999999962747,1476448.760000000242144,10183541.229999998584390
20160607,1416697.849999999860302,1494023.719999999972060,1513285.300000000046566,1441685.379999999888241,1404312.400000000139698,1451133.559999999823049,1463517.490000000223517,10184658.700000001117587
20160608,1415410.399999999906868,1506140.399999999906868,1538896.600000000093132,1442137.600000000093132,1402695.159999999916181,1456950.469999999972060,1500494.510000000242144,10262728.140000000596046
20160609,1425566.949999999953434,1507272.799999999813735,1520180.649999999906868,1444398.700000000186265,1391374.479999999981374,1466116.510000000009313,1503486.870000000344589,10258399.960000000894070
20160610,1413836.849999999860302,1485077.759999999776483,1497918.520000000018626,1448920.899999999906868,1387600.919999999925494,1466645.320000000065193,1488097.590000000316650,10188100.859999999403954
20160613,1392522.399999999906868,1471262.479999999748543,1482157.719999999972060,1454799.760000000009313,1351482.560000000055879,1455540.309999999823049,1475807.540000000270084,10083575.770000001415610
20160614,1394238.999999999767169,1477830.399999999906868,1474868.350000000093132,1453443.100000000093132,1343126.820000000065193,1469289.369999999878928,1473456.400000000139698,10086256.439999999478459
20160615,1389661.399999999906868,1473980.239999999757856,1479005.559999999823049,1429475.439999999944121,1339353.260000000009313,1462238.570000000065193,1466937.330000000074506,10040654.799999998882413
20160616,1395526.449999999953434,1465034.280000000027940,1477429.479999999981374,1433093.200000000186265,1358221.060000000055879,1470346.989999999757856,1481899.130000000121072,10081553.590000001713634
20160617,1363769.349999999860302,1470130.079999999841675,1495948.420000000158325,1436258.739999999990687,1351213.020000000018626,1465411.429999999934807,1471532.740000000223517,10054266.779999999329448
20160620,1360479.199999999953434,1503309.399999999906868,1505798.920000000158325,1454799.760000000009313,1349595.780000000027940,1463825.000000000000000,1480402.950000000419095,10118214.009999999776483
20160621,1372066.250000000000000,1489380.880000000121072,1506980.979999999981374,1461583.060000000055879,1379784.260000000009313,1470346.989999999757856,1476876.240000000223517,10157021.660000000149012
20160622,1366916.449999999953434,1492211.880000000121072,1505798.920000000158325,1460226.399999999906868,1374393.459999999962747,1473167.309999999823049,1473777.010000000242144,10146494.429999999701977
20160623,1374784.199999999953434,1512368.600000000093132,1541063.709999999962747,1491881.800000000046566,1399191.139999999897555,1484448.589999999850988,1487563.240000000223517,10291304.279999999329448
20160624,1336160.699999999953434,1432760.879999999888241,1438815.520000000018626,1426762.120000000111759,1343126.820000000065193,1450075.939999999944121,1467257.940000000176951,9894962.919999999925494
20160627,1316705.900000000139698,1389503.199999999953434,1406308.869999999878928,1389227.859999999869615,1305391.219999999972060,1431920.129999999888241,1465334.280000000260770,9704394.460000000894070
20160628,1338878.649999999906868,1402978.760000000009313,1428768.010000000009313,1410482.200000000186265,1332614.760000000009313,1453601.339999999850988,1482433.480000000214204,9849760.199999999254942
20160629,1350465.699999999953434,1438083.159999999916181,1462456.719999999972060,1443946.479999999981374,1362264.159999999916181,1479160.489999999757856,1501776.950000000419095,10038156.660000002011657
20160630,1367631.699999999953434,1470696.280000000027940,1493584.300000000046566,1483289.619999999878928,1379245.179999999934807,1492557.010000000009313,1509044.110000000102445,10196051.199999999254942
20160701,1371780.149999999906868,1468657.959999999962747,1506192.939999999944121,1481028.520000000018626,1378975.639999999897555,1494495.979999999981374,1505410.530000000260770,10206544.719999998807907
20160705,1358905.649999999906868,1437856.679999999934807,1465411.869999999878928,1477862.979999999981374,1379245.179999999934807,1506129.799999999813735,1512891.430000000167638,10138306.589999999850988
20160706,1366630.349999999860302,1437743.439999999944121,1474277.320000000065193,1490977.359999999869615,1384905.520000000018626,1498902.729999999981374,1521654.770000000251457,10175094.490000000223517
20160707,1372495.399999999906868,1440121.479999999981374,1478611.540000000037253,1501378.420000000158325,1384905.520000000018626,1495377.329999999841675,1504769.310000000288710,10177662.000000000000000
20160708,1383081.100000000093132,1473187.560000000055879,1524317.860000000102445,1537556.020000000018626,1409703.199999999953434,1511946.709999999962747,1509792.200000000419095,10349587.650000002235174
20160711,1387372.600000000093132,1495269.359999999869615,1532789.290000000037253,1554740.380000000121072,1417519.860000000102445,1511594.169999999925494,1499639.550000000046566,10398928.210000000894070
20160712,1393666.800000000046566,1481340.839999999850988,1572191.290000000037253,1580064.699999999953434,1434231.340000000083819,1511594.169999999925494,1494723.530000000260770,10467815.670000001788139
20160713,1385799.050000000046566,1473414.040000000037253,1570024.179999999934807,1583230.239999999990687,1442317.540000000037253,1514061.949999999953434,1512036.469999999972060,10480886.470000000670552
20160714,1413264.650000000139698,1489720.600000000093132,1577313.550000000046566,1591822.420000000158325,1448516.959999999962747,1513709.409999999916181,1505196.790000000270084,10539547.380000000819564
20160715,1413121.599999999860302,1499232.759999999776483,1589922.189999999944121,1585943.560000000055879,1447438.800000000046566,1516177.189999999944121,1510433.420000000391155,10562272.519999999552965
20160718,1428141.849999999860302,1511009.719999999972060,1572585.309999999823049,1585039.119999999878928,1454446.840000000083819,1514767.030000000027940,1504234.960000000195578,10570227.830000000074506
20160719,1428714.050000000046566,1524938.239999999757856,1571009.229999999981374,1589561.320000000065193,1430996.860000000102445,1518997.510000000009313,1523899.040000000270084,10588119.250000001862645
20160720,1430001.499999999767169,1525617.679999999934807,1570024.179999999934807,1613981.199999999953434,1507007.139999999897555,1504014.559999999823049,1528494.450000000419095,10679143.710000000894070
20160721,1422419.850000000093132,1512142.119999999878928,1576328.500000000000000,1549765.960000000195578,1504042.199999999953434,1502956.939999999944121,1526891.400000000139698,10594549.970000000670552
20160722,1411405.000000000000000,1511462.679999999934807,1563916.869999999878928,1567402.539999999804422,1524796.780000000027940,1511065.359999999869615,1535654.740000000223517,10625706.970000000670552
20160725,1392522.399999999906868,1505460.959999999962747,1550323.179999999934807,1568759.199999999953434,1529109.419999999925494,1512475.519999999785796,1514708.219999999972060,10573361.900000000372529
20160726,1382938.050000000046566,1527089.799999999813735,1630309.239999999990687,1586848.000000000232831,1529918.040000000037253,1503133.209999999962747,1514387.610000000102445,10674626.949999999254942
20160727,1472773.449999999953434,1539659.439999999944121,1656905.589999999850988,1575090.280000000027940,1514554.260000000009313,1488855.339999999850988,1514173.870000000344589,10762015.230000000447035
20160728,1492657.399999999906868,1506253.639999999897555,1633658.409999999916181,1572376.960000000195578,1515093.340000000083819,1495024.790000000037253,1525715.830000000074506,10740783.369999999180436
20160729,1490797.749999999767169,1513614.239999999757856,1630506.250000000000000,1576446.939999999944121,1527761.719999999972060,1508773.850000000093132,1530418.110000000102445,10778321.859999999403954
20160801,1517118.949999999953434,1508518.439999999944121,1614548.439999999944121,1575994.719999999972060,1525066.320000000065193,1523227.989999999757856,1533731.080000000074506,10798208.939999999478459
20160802,1494660.100000000093132,1490286.799999999813735,1600560.729999999981374,1562880.340000000083819,1525066.320000000065193,1529397.439999999944121,1530097.500000000000000,10732952.230000000447035
20160803,1513399.650000000139698,1493344.280000000027940,1616124.520000000018626,1548861.520000000018626,1535578.379999999888241,1515472.109999999869615,1526998.270000000251457,10749781.730000000447035
20160804,1514544.050000000046566,1485870.439999999944121,1611002.260000000009313,1563784.780000000027940,1546899.060000000055879,1516882.269999999785796,1525181.480000000214204,10764167.339999999850988
20160805,1537575.100000000093132,1491758.919999999692664,1626566.050000000046566,1581873.579999999841675,1562262.840000000083819,1512122.979999999981374,1528173.840000000316650,10840336.309999998658895
20160808,1550306.550000000046566,1496967.959999999962747,1643902.929999999934807,1584586.899999999906868,1564958.239999999990687,1511770.439999999944121,1518983.020000000251457,10871479.039999999105930
20160809,1556600.750000000000000,1501837.280000000027940,1631885.320000000065193,1579160.260000000009313,1568731.800000000046566,1515824.649999999906868,1515670.050000000046566,10869713.110000001266599
20160810,1545013.699999999953434,1497987.119999999878928,1628339.140000000130385,1561523.680000000167638,1563880.080000000074506,1521465.290000000037253,1519624.240000000223517,10837836.250000001862645
20160811,1544012.350000000093132,1506140.399999999906868,1639962.729999999981374,1568306.979999999981374,1571427.199999999953434,1528868.629999999888241,1524326.520000000251457,10883047.810000000521541
20160812,1547588.600000000093132,1507272.799999999813735,1635234.489999999990687,1563332.560000000055879,1561723.760000000009313,1534333.000000000000000,1526998.270000000251457,10876486.479999998584390
20160815,1566185.100000000093132,1524938.239999999757856,1657890.640000000130385,1578708.039999999804422,1566575.479999999981374,1533980.459999999962747,1513532.650000000139698,10941813.610000001266599
20160816,1564754.599999999860302,1528788.399999999906868,1660648.780000000027940,1592274.640000000130385,1548246.760000000009313,1526224.579999999841675,1507761.670000000391155,10928702.429999999701977
20160817,1562465.800000000046566,1525617.679999999934807,1663012.899999999906868,1583682.460000000195578,1551481.239999999990687,1532922.839999999850988,1514494.480000000214204,10933680.400000000372529
20160818,1560463.099999999860302,1528788.399999999906868,1642720.869999999878928,1581421.359999999869615,1552559.400000000139698,1541383.799999999813735,1519410.500000000000000,10926750.429999999701977
20160819,1564468.500000000000000,1522446.959999999962747,1651783.330000000074506,1593631.300000000046566,1553098.479999999981374,1539092.290000000037253,1518021.190000000176951,10942545.049999998882413
20160822,1552309.250000000000000,1528675.159999999916181,1646858.080000000074506,1599057.939999999944121,1554446.179999999934807,1530983.869999999878928,1518555.540000000270084,10930889.019999999552965
20160823,1557172.949999999953434,1519049.759999999776483,1655132.500000000000000,1600866.820000000065193,1560376.060000000055879,1540678.719999999972060,1517700.580000000074506,10950980.390000000596046
20160824,1545442.849999999860302,1509424.359999999869615,1638189.640000000130385,1589561.320000000065193,1561993.300000000046566,1539092.290000000037253,1494830.400000000139698,10878537.160000000149012
20160825,1538862.549999999813735,1505913.919999999692664,1632082.330000000074506,1586848.000000000232831,1567923.179999999934807,1549492.219999999972060,1467364.810000000288710,10848490.009999999776483
20160826,1529850.399999999906868,1497420.919999999692664,1628536.149999999906868,1594535.739999999990687,1564149.620000000111759,1543851.579999999841675,1460097.650000000139698,10818445.059999998658895
20160829,1528133.799999999813735,1505008.000000000000000,1637204.589999999850988,1607650.119999999878928,1566036.400000000139698,1556543.019999999785796,1467044.200000000419095,10867623.130000000819564
20160830,1516403.699999999953434,1481340.839999999850988,1624989.969999999972060,1614433.420000000158325,1560376.060000000055879,1543146.500000000000000,1462769.400000000139698,10803462.890000000596046
20160831,1517834.199999999953434,1465940.199999999720603,1614548.439999999944121,1623025.600000000093132,1548785.840000000083819,1539092.290000000037253,1454006.060000000288710,10763235.630000000819564
20160901,1526846.350000000093132,1471036.000000000000000,1604697.939999999944121,1628904.460000000195578,1552289.860000000102445,1556719.290000000037253,1450693.090000000316650,10791189.990000000223517
