代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12657730.920000001788139
真實報酬,2657730.920000001788139

夏普值報酬,0.257073092000000
夏普值風險,0.067373838499335
夏普值,3.815621875285285

預期報酬,10076.660904889386075
風險,130709.325527628854616
趨勢值,0.077092134506955
找到最佳解世代,2146
找到最佳解實驗#,2
找到最佳解次數,32

stock[index](rank)
投資組合檔數,8
AAPL[0](8),BA[2](9),CAT[3](15),DD[7](1),MCD[15](23),MRK[17](13),PFE[20](14),UNH[23](7),
Stock#,AAPL[0](8),BA[2](9),CAT[3](15),DD[7](1),MCD[15](23),MRK[17](13),PFE[20](14),UNH[23](7),
張數,19455,12623,14568,25473,12943,26766,45905,19958,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,16.250000000000000,70.540000000037253,65.600000000093132,39.889999999897555,94.489999999990687,27.799999999813735,6.850000000093132,30.459999999962747,
20130603,1252723.699999999953434,1271711.560000000055879,1254807.439999999944121,1245669.589999999850988,1267990.770000000018626,1296840.500000000000000,1273870.600000000093132,1253392.859999999869615,10117007.019999997690320
20130604,1248832.699999999953434,1257447.570000000065193,1251748.160000000149012,1255858.789999999804422,1273297.400000000139698,1323338.839999999850988,1269739.150000000139698,1244611.339999999850988,10124873.949999999254942
20130605,1237159.699999999953434,1243309.810000000055879,1229896.160000000149012,1220960.779999999795109,1248058.550000000046566,1304334.979999999748543,1261476.250000000000000,1232436.959999999962747,9977633.189999997615814
20130606,1218677.449999999953434,1259341.020000000018626,1223777.600000000093132,1229366.869999999878928,1251423.729999999981374,1300855.399999999906868,1290396.400000000139698,1235829.820000000065193,10009668.290000000968575
20130607,1228015.849999999860302,1293801.810000000055879,1233246.800000000279397,1246179.050000000046566,1272132.530000000027940,1289881.339999999850988,1297282.150000000139698,1248802.520000000018626,10109342.050000000745058
20130610,1219844.750000000000000,1290646.060000000055879,1220864.000000000000000,1245414.859999999869615,1288311.280000000027940,1297108.159999999916181,1302331.700000000186265,1270955.899999999906868,10135476.710000000894070
20130611,1216148.300000000046566,1284460.790000000037253,1216784.959999999962747,1233442.550000000046566,1271485.380000000121072,1273018.759999999776483,1304626.950000000186265,1275945.399999999906868,10075913.089999999850988
20130612,1201167.949999999953434,1273478.780000000027940,1212268.879999999888241,1225800.649999999906868,1271614.809999999823049,1264721.299999999813735,1305086.000000000000000,1273949.599999999860302,10028087.969999998807907
20130613,1211673.649999999906868,1289636.219999999972060,1240385.120000000111759,1256877.709999999962747,1279898.329999999841675,1282119.199999999720603,1334924.250000000000000,1280336.160000000149012,10175850.640000000596046
20130614,1195331.449999999953434,1285470.630000000121072,1221883.760000000242144,1233697.279999999795109,1273944.550000000046566,1283457.500000000000000,1335383.300000000046566,1273350.859999999869615,10102519.330000000074506
20130617,1200584.300000000046566,1300618.229999999981374,1222612.160000000149012,1238537.149999999906868,1278086.309999999823049,1279442.599999999627471,1338596.650000000139698,1284726.920000000158325,10143204.319999998435378
20130618,1200000.649999999906868,1313872.380000000121072,1231790.000000000000000,1255858.789999999804422,1291158.739999999990687,1278104.299999999813735,1349613.850000000093132,1310871.900000000139698,10231270.610000001266599
20130619,1175681.899999999906868,1290772.290000000037253,1227419.600000000093132,1237008.770000000018626,1278992.320000000065193,1273554.079999999841675,1335842.350000000093132,1302489.540000000037253,10121760.850000001490116
20130620,1158561.500000000000000,1257826.260000000009313,1212123.200000000186265,1204148.600000000093132,1252847.459999999962747,1239561.259999999776483,1314726.050000000046566,1273350.859999999869615,9913145.189999999478459
20130621,1149223.100000000093132,1262118.080000000074506,1210957.760000000242144,1183770.199999999953434,1258542.380000000121072,1258029.799999999813735,1306463.150000000139698,1275346.659999999916181,9904451.130000000819564
20130624,1118873.300000000046566,1235231.089999999850988,1187648.959999999962747,1173581.000000000000000,1259318.959999999962747,1242237.859999999636784,1272034.400000000139698,1290315.160000000149012,9779240.729999998584390
20130625,1119067.850000000093132,1245581.949999999953434,1199449.040000000037253,1178930.329999999841675,1262295.849999999860302,1237419.979999999748543,1284887.800000000046566,1271953.799999999813735,9799586.599999997764826
20130626,1106422.099999999860302,1271837.790000000037253,1196098.399999999906868,1168231.669999999925494,1279380.610000000102445,1249732.339999999850988,1289937.350000000093132,1292909.699999999953434,9854549.959999999031425
20130627,1094360.000000000000000,1302132.990000000223517,1208626.879999999888241,1173581.000000000000000,1289864.440000000176951,1265524.279999999795109,1293609.750000000000000,1319054.679999999934807,9946754.019999999552965
20130628,1102142.000000000000000,1293170.659999999916181,1201779.919999999925494,1166958.020000000018626,1281451.489999999990687,1243308.500000000000000,1285805.900000000139698,1306880.300000000046566,9881496.790000000968575
20130701,1137355.550000000046566,1303269.060000000055879,1205130.560000000055879,1178930.329999999841675,1292064.750000000000000,1239828.919999999925494,1275247.750000000232831,1309873.999999999767169,9941700.919999999925494
20130702,1163036.149999999906868,1280926.350000000093132,1201634.240000000223517,1176892.489999999990687,1293488.479999999981374,1245985.099999999627471,1271575.350000000093132,1302689.119999999878928,9936227.279999999329448
20130703,1169456.300000000046566,1298851.010000000009313,1192456.399999999906868,1176383.029999999795109,1298924.539999999804422,1245985.099999999627471,1269280.100000000093132,1308077.780000000027940,9959414.259999999776483
20130705,1160117.900000000139698,1315387.140000000130385,1196681.120000000111759,1185808.039999999804422,1292582.469999999972060,1262312.359999999636784,1283969.699999999953434,1320651.320000000065193,10017510.049999998882413
20130708,1153503.199999999953434,1317533.050000000046566,1212123.200000000186265,1200327.649999999906868,1292841.329999999841675,1269003.859999999636784,1291314.500000000000000,1348392.939999999944121,10085039.729999998584390
20130709,1173930.949999999953434,1321446.180000000167638,1243153.040000000037253,1234206.739999999990687,1294265.059999999823049,1274624.719999999739230,1301413.600000000093132,1356575.719999999972060,10199616.009999999776483
20130710,1169261.750000000000000,1331797.040000000037253,1237762.879999999888241,1225800.649999999906868,1294135.630000000121072,1283725.159999999916181,1305545.050000000046566,1350987.479999999981374,10199015.640000000596046
20130711,1187549.449999999953434,1349216.780000000027940,1263111.200000000186265,1240574.989999999990687,1304619.459999999962747,1293093.259999999776483,1320693.700000000186265,1364359.339999999850988,10323218.179999999701977
