代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13389813.760000001639128
真實報酬,3389813.760000001639128

夏普值報酬,0.330281376000000
夏普值風險,0.084235256065674
夏普值,3.920939894128124

預期報酬,12607.472876079875277
風險,198964.482196393248159
趨勢值,0.063365444610538
找到最佳解世代,2696
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](7),V[25](2),WMT[28](9),
Stock#,TRV[22](7),V[25](2),WMT[28](9),
張數,51824,108401,56583,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,13.320000000298023,2.250000000000000,28.470000000204891,
20120501,3347843.720000000204891,3335501.020000000018626,3342386.280000000260770,10025732.019999999552965
20120502,3355099.080000000074506,3311652.800000000279397,3338991.300000000279397,10005744.180000001564622
20120503,3355617.320000000298023,3154471.350000000093132,3337859.640000000130385,9847949.310000000521541
20120504,3342661.320000000298023,3192411.699999999720603,3321450.570000000298023,9856524.589999999850988
20120507,3347325.480000000447035,3211923.879999999888241,3349176.240000000223517,9908426.600000001490116
20120508,3336960.680000000167638,3202167.790000000037253,3341254.620000000111759,9880384.089999999850988
20120509,3312603.400000000372529,3182655.609999999869615,3340122.960000000428408,9835382.970000000670552
20120510,3349916.680000000167638,3202167.790000000037253,3349176.240000000223517,9901261.710000000894070
20120511,3348880.200000000651926,3195663.729999999981374,3362190.330000000074506,9906735.260000001639128
20120514,3341624.840000000316650,3163143.430000000167638,3342386.280000000260770,9847155.550000000745058
20120515,3324522.920000000391155,3159891.399999999906868,3358229.520000000484288,9842644.839999999850988
20120516,3296537.960000000428408,3184823.629999999888241,3349176.240000000223517,9830538.830000000074506
20120517,3249378.120000000577420,3116531.000000000000000,3490067.910000000149012,9855978.030000001192093
20120518,3222429.640000000130385,3052574.410000000149012,3532505.160000000149012,9807510.210000000894070
20120521,3249378.120000000577420,3150135.310000000055879,3567020.790000000037253,9966535.220000000670552
20120522,3255597.000000000465661,3208671.850000000093132,3606063.060000000055879,10070332.910000000149012
20120523,3255597.000000000465661,3208671.850000000093132,3606063.060000000055879,10070332.910000000149012
20120524,3274771.880000000353903,3245528.189999999944121,3681884.279999999795109,10202185.349999999627471
20120525,3244195.720000000204891,3234688.089999999850988,3695464.200000000186265,10174349.010000001639128
20120529,3258706.440000000409782,3259620.319999999832362,3716399.910000000614673,10234727.669999999925494
20120530,3207400.680000000167638,3183739.620000000111759,3702819.990000000223517,10093961.290000000968575
20120531,3238495.080000000540167,3121951.050000000279397,3724321.529999999795109,10084768.660000000149012
20120601,3139511.240000000223517,3041734.310000000055879,3709044.120000000111759,9890290.670000001788139
20120604,3129146.440000000409782,3093766.790000000037253,3733940.640000000130385,9956854.870000001043081
20120605,3150912.520000000018626,3084010.699999999720603,3706214.970000000204891,9941139.189999999478459
20120606,3194444.680000000167638,3153387.339999999850988,3730545.660000000614673,10078378.679999999701977
20120607,3208437.160000000149012,3165311.449999999720603,3727150.680000000633299,10100900.289999999105930
20120608,3220356.680000000167638,3159891.399999999906868,3860120.729999999981374,10240369.810000000521541
