代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15171198.640000000596046
真實報酬,5171198.640000000596046

夏普值報酬,0.508419864000000
夏普值風險,0.116504046119525
夏普值,4.363967440910980

預期報酬,21295.052740926850674
風險,232079.255769722833065
趨勢值,0.091757674206162
找到最佳解世代,1765
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](1),HD[9](2),KO[14](12),VZ[26](11),WMT[28](5),
Stock#,AAPL[0](6),DIS[6](1),HD[9](2),KO[14](12),VZ[26](11),WMT[28](5),
張數,30597,55260,50704,49338,45289,32113,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,47.410000000149012,24.399999999906868,25.520000000018626,28.359999999869615,30.800000000046566,1.300000000046566,
20111003,1637292.880000000121072,1602564.399999999906868,1601764.880000000121072,1613874.339999999850988,1645833.060000000288710,1668592.780000000027940,9769926.339999999850988
20111004,1628113.780000000260770,1650087.999999999767169,1646384.399999999906868,1609433.919999999692664,1648550.399999999906868,1698136.740000000223517,9880711.240000000223517
20111005,1653509.290000000037253,1741267.000000000000000,1664637.839999999850988,1616834.620000000111759,1620018.330000000074506,1690750.750000000000000,9987021.830000000074506
20111006,1649531.679999999934807,1770002.199999999953434,1692525.040000000037253,1613380.959999999962747,1626358.789999999804422,1693962.050000000046566,10045764.720000000670552
20111007,1616486.920000000158325,1751766.399999999906868,1719905.200000000186265,1625715.459999999962747,1637681.039999999804422,1724469.400000000139698,10076028.419999999925494
20111010,1699404.790000000037253,1823604.399999999906868,1757426.159999999916181,1650384.459999999962747,1671194.899999999906868,1760114.830000000074506,10362133.539999999105930
20111011,1749583.870000000111759,1802052.999999999767169,1759961.360000000102445,1647917.559999999823049,1653079.300000000046566,1757224.659999999916181,10369823.750000000000000
20111012,1758151.030000000260770,1865601.999999999767169,1760468.399999999906868,1664692.479999999981374,1660778.430000000167638,1772638.900000000139698,10482335.240000000223517
20111013,1785382.360000000102445,1853997.399999999674037,1744750.159999999916181,1662718.959999999962747,1676629.580000000074506,1766858.560000000055879,10490341.020000001415610
20111014,1844740.540000000037253,1904836.599999999860302,1777200.719999999972060,1673573.320000000065193,1690669.169999999925494,1780988.280000000027940,10672012.629999998956919
20111017,1835867.410000000149012,1845155.800000000046566,1756919.119999999878928,1652851.359999999869615,1673006.459999999962747,1759151.440000000176951,10522955.589999997988343
20111018,1845658.450000000186265,1875548.799999999813735,1822834.320000000065193,1646437.419999999692664,1686593.160000000149012,1794796.870000000111759,10671873.019999999552965
20111019,1742546.560000000288710,1857312.999999999767169,1794947.119999999878928,1653838.120000000111759,1677988.250000000000000,1806357.550000000046566,10532994.600000001490116
20111020,1727860.000000000000000,1870022.800000000046566,1811679.439999999944121,1655811.639999999897555,1680252.700000000186265,1810211.109999999869615,10555841.689999999478459
20111021,1717151.050000000046566,1942965.999999999767169,1868974.959999999962747,1682454.159999999916181,1694745.180000000167638,1827873.260000000009313,10734168.609999999403954
20111024,1773755.500000000000000,1954570.599999999860302,1860862.320000000065193,1674560.079999999841675,1672553.570000000065193,1823377.440000000176951,10759683.509999999776483
20111025,1738568.950000000186265,1907046.999999999767169,1827397.679999999934807,1651864.599999999627471,1639039.709999999962747,1821129.530000000027940,10585051.469999998807907
20111026,1751113.719999999972060,1936887.399999999674037,1853256.719999999972060,1664692.479999999981374,1667118.890000000130385,1842324.109999999869615,10715397.320000000298023
20111027,1768859.980000000214204,1997673.399999999906868,1894834.000000000000000,1691335.000000000000000,1705614.539999999804422,1856453.830000000074506,10914774.750000000000000
20111028,1770083.860000000102445,2000989.000000000000000,1831454.000000000000000,1700709.219999999739230,1704255.870000000111759,1835259.250000000000000,10842755.199999999254942
20111031,1769471.920000000158325,1927493.199999999953434,1815228.719999999972060,1685414.439999999711290,1674818.020000000018626,1821450.659999999916181,10693880.959999999031425
20111101,1733061.490000000223517,1856760.399999999906868,1802045.679999999934807,1653838.120000000111759,1651720.629999999888241,1805715.290000000037253,10503145.609999999403954
20111102,1737039.100000000325963,1882732.599999999860302,1824862.480000000214204,1672093.179999999934807,1666666.000000000000000,1825946.479999999981374,10609343.839999999850988
20111103,1761822.670000000158325,1935782.199999999953434,1848186.320000000065193,1693801.899999999674037,1696103.850000000093132,1843929.760000000009313,10779630.699999999254942
20111104,1749583.870000000111759,1920861.999999999767169,1845144.080000000074506,1672093.179999999934807,1683422.930000000167638,1846498.800000000046566,10717608.860000001266599
20111107,1747136.110000000102445,1942413.399999999906868,1893312.880000000121072,1682454.159999999916181,1691122.060000000288710,1860628.520000000018626,10817071.129999998956919
20111108,1775591.320000000298023,1950149.799999999813735,1923735.279999999795109,1693801.899999999674037,1699274.080000000074506,1904944.459999999962747,10947500.839999999850988
20111109,1727860.000000000000000,1867259.799999999813735,1884186.159999999916181,1653838.120000000111759,1670742.010000000009313,1864160.949999999953434,10668051.039999999105930
20111110,1683800.320000000298023,1914230.800000000046566,1886214.320000000065193,1662718.959999999962747,1690669.169999999925494,1866729.990000000223517,10704367.560000000521541
20111111,1681352.560000000288710,2028066.400000000139698,1929819.760000000242144,1680480.639999999897555,1699274.080000000074506,1901090.900000000139698,10920088.340000001713634
20111114,1657792.870000000111759,1996015.599999999860302,1939453.520000000018626,1672586.559999999823049,1675723.800000000046566,1891135.870000000111759,10832712.219999998807907
20111115,1699710.760000000009313,2014251.400000000139698,1930326.800000000046566,1677520.359999999869615,1686593.160000000149012,1845214.280000000027940,10853620.759999999776483
20111116,1681964.500000000000000,1963412.199999999953434,1918664.880000000121072,1653344.739999999757856,1659872.649999999906868,1820166.140000000130385,10697429.110000001266599
20111117,1649837.650000000139698,1942413.399999999906868,1907510.000000000000000,1643477.139999999897555,1662137.100000000093132,1821771.790000000037253,10627151.079999998211861
20111118,1638822.730000000214204,1968938.199999999953434,1920693.040000000037253,1662718.959999999962747,1651267.739999999990687,1837828.290000000037253,10680272.960000000894070
20111121,1613121.250000000000000,1897100.199999999720603,1879115.760000000242144,1627195.599999999627471,1633605.030000000027940,1819523.879999999888241,10469665.719999998807907
20111122,1645860.040000000037253,1879969.600000000093132,1881143.920000000158325,1627688.979999999981374,1639039.709999999962747,1825625.350000000093132,10499331.599999999627471
20111123,1604248.120000000111759,1845708.399999999906868,1851735.600000000093132,1600553.079999999841675,1600996.950000000186265,1818881.620000000111759,10322127.769999999552965
