代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13939816.940000001341105
真實報酬,3939816.940000001341105

夏普值報酬,0.385281694000000
夏普值風險,0.100810132582930
夏普值,3.821854848599214

預期報酬,16110.808645935543609
風險,230888.985438501345925
趨勢值,0.069777294119674
找到最佳解世代,2006
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,6
BA[2](4),DD[7](12),GS[8](9),TRV[22](13),UNH[23](18),V[25](1),
Stock#,BA[2](4),DD[7](12),GS[8](9),TRV[22](13),UNH[23](18),V[25](1),
張數,23946,40423,14661,24416,30078,49647,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,24.400000000139698,25.710000000195578,3.519999999785796,29.839999999850988,44.020000000018626,16.209999999962747,
20121001,1676483.860000000335276,1687685.960000000195578,1713287.979999999748543,1686442.959999999729916,1698247.900000000139698,1696950.669999999925494,10159103.330000000074506
20121002,1664989.780000000260770,1678792.900000000139698,1719005.769999999785796,1677409.039999999804422,1708474.419999999925494,1688014.209999999962747,10136690.120000001043081
20121003,1672891.960000000195578,1652922.180000000167638,1728682.029999999795109,1684978.000000000000000,1710279.100000000093132,1719291.820000000065193,10169049.089999999850988
20121004,1674807.640000000130385,1680005.590000000316650,1757857.419999999925494,1691570.319999999832362,1743665.679999999934807,1733689.449999999953434,10281600.099999999627471
20121005,1697556.340000000083819,1680814.050000000046566,1749207.429999999934807,1698406.799999999813735,1718400.160000000149012,1741136.500000000000000,10285525.280000001192093
20121008,1689893.619999999878928,1669495.610000000102445,1751406.579999999608845,1697918.479999999981374,1732536.820000000065193,1721774.169999999925494,10263029.279999999329448
20121009,1691569.840000000083819,1634731.830000000074506,1753898.949999999720603,1692546.959999999729916,1728626.679999999934807,1697447.139999999897555,10198825.400000000372529
20121010,1684386.040000000270084,1616541.480000000214204,1760496.399999999674037,1694500.239999999990687,1717798.600000000093132,1705390.660000000149012,10179117.419999999925494
20121011,1696119.580000000074506,1624626.080000000074506,1788498.909999999683350,1688640.399999999674037,1734341.500000000000000,1725745.929999999934807,10257976.399999998509884
20121012,1720544.500000000000000,1616541.480000000214204,1762255.719999999739230,1677897.359999999869615,1716595.479999999981374,1726738.870000000111759,10220577.410000000149012
20121015,1730122.900000000139698,1630285.300000000046566,1825298.019999999785796,1704022.479999999981374,1729228.239999999990687,1736171.799999999813735,10355132.739999998360872
20121016,1759576.480000000214204,1721641.280000000260770,1806531.939999999711290,1721113.679999999701977,1710880.660000000149012,1752058.839999999850988,10471806.879999998956919
20121017,1763168.380000000121072,1740640.090000000316650,1831455.639999999897555,1742843.919999999692664,1684111.239999999990687,1769435.290000000037253,10531658.559999998658895
20121018,1778254.360000000335276,1739831.630000000121072,1834827.669999999925494,1805348.879999999888241,1684712.800000000046566,1760995.299999999813735,10603974.640000000596046
20121019,1772267.860000000335276,1718811.670000000391155,1812396.339999999850988,1794850.000000000000000,1674185.500000000000000,1737164.739999999990687,10509680.110000001266599
20121022,1764844.600000000093132,1711939.760000000242144,1799934.489999999757856,1806569.679999999701977,1700654.139999999897555,1725249.459999999962747,10509196.129999998956919
20121023,1743772.119999999878928,1643624.890000000130385,1744662.519999999785796,1791675.919999999692664,1689826.060000000055879,1695957.729999999748543,10309523.240000000223517
20121024,1741138.060000000055879,1720024.360000000102445,1755951.489999999757856,1786792.719999999972060,1682005.780000000027940,1693971.849999999860302,10379888.259999999776483
20121025,1713121.240000000223517,1707493.230000000214204,1755218.439999999711290,1760911.760000000009313,1690728.400000000139698,1707376.540000000037253,10334853.609999999403954
20121026,1702824.460000000195578,1702238.240000000223517,1751113.359999999636784,1747238.799999999813735,1677794.860000000102445,1716809.469999999972060,10298023.189999999478459
20121031,1686780.640000000130385,1686877.500000000000000,1794363.309999999823049,1732100.879999999888241,1684412.020000000018626,1722270.639999999897555,10306808.990000000223517
20121101,1695161.740000000223517,1733363.950000000186265,1830429.369999999646097,1714765.520000000018626,1712986.120000000111759,1785818.799999999813735,10472529.500000000000000
20121102,1677441.700000000186265,1712748.220000000204891,1806971.769999999785796,1699871.760000000009313,1685915.919999999925494,1779861.160000000149012,10362814.530000001192093
20121105,1686062.260000000009313,1730534.340000000316650,1819140.399999999674037,1687419.599999999860302,1662755.860000000102445,1756527.070000000065193,10342443.529999999329448
20121106,1724615.320000000065193,1756809.290000000270084,1850954.769999999785796,1713300.559999999823049,1696142.439999999944121,1785818.799999999813735,10527645.179999999701977
20121107,1678878.460000000195578,1743873.930000000167638,1729708.299999999813735,1677653.199999999720603,1632076.300000000046566,1769435.290000000037253,10231629.480000000447035
20121108,1699711.480000000214204,1701025.550000000046566,1689976.989999999757856,1684733.839999999850988,1607412.339999999850988,1763477.650000000139698,10146341.849999999627471
20121109,1754068.900000000139698,1690111.340000000316650,1702878.669999999925494,1684245.520000000018626,1591170.219999999972060,1773903.519999999785796,10196382.169999999925494
