代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14458243.300000000745058
真實報酬,4458243.300000000745058

夏普值報酬,0.437124330000000
夏普值風險,0.109629759348760
夏普值,3.987278021922844

預期報酬,17312.707843389929621
風險,322284.124656688305549
趨勢值,0.053718773339618
找到最佳解世代,1826
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),V[25](3),
Stock#,MCD[15](1),V[25](3),
張數,65711,271591,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,50.009999999776483,9.690000000409782,
20110401,4993428.899999999441206,5040738.650000000372529,10034167.550000000745058
20110404,5019713.299999999813735,5108636.400000000372529,10128349.699999999254942
20110405,5033512.609999999403954,5135795.500000000000000,10169308.109999999403954
20110406,5041397.929999999701977,5160238.690000000409782,10201636.620000001043081
20110407,4994743.120000000111759,5187397.790000000968575,10182140.910000000149012
20110408,4996714.450000000186265,5209125.070000000298023,10205839.519999999552965
20110411,5010513.759999999776483,5277022.820000000298023,10287536.580000000074506
20110412,5037455.269999999552965,5230852.350000000558794,10268307.620000001043081
20110413,5052568.799999999813735,5263443.270000000484288,10316012.070000000298023
20110414,5064396.779999999329448,5181965.969999999739230,10246362.750000000000000
20110415,5084767.189999999478459,5192829.610000000335276,10277596.800000000745058
20110418,5059797.009999999776483,5138511.410000001080334,10198308.420000001788139
20110419,5033512.609999999403954,5154806.870000000111759,10188319.480000000447035
20110420,5151792.410000000149012,5252579.630000000819564,10404372.040000000968575
20110421,5053883.019999999552965,5279738.730000000447035,10333621.750000000000000
20110425,5068339.439999999478459,5279738.730000000447035,10348078.169999999925494
20110426,5055854.349999999627471,5347636.480000000447035,10403490.830000000074506
20110427,5116965.580000000074506,5355784.209999999962747,10472749.789999999105930
20110428,5127479.339999999850988,5274306.910000001080334,10401786.250000000000000
20110429,5145878.419999999925494,5304181.920000000856817,10450060.339999999850988
20110502,5167563.049999999813735,5374795.580000000074506,10542358.629999998956919
20110503,5187276.349999999627471,5431829.690000000409782,10619106.039999999105930
20110504,5195818.779999999329448,5415534.230000000447035,10611353.009999999776483
20110505,5164934.609999999403954,5344920.570000000298023,10509855.179999999701977
20110506,5171505.709999999962747,5391091.040000000968575,10562596.750000000000000
20110509,5211589.419999999925494,5423681.959999999962747,10635271.379999998956919
20110510,5237873.819999999366701,5456272.880000000819564,10694146.699999999254942
20110511,5224731.620000000111759,5388375.130000000819564,10613106.750000000000000
20110512,5300299.269999999552965,5426397.870000000111759,10726697.140000000596046
20110513,5305556.149999999441206,5426397.870000000111759,10731954.019999999552965
20110516,5331840.549999999813735,5429113.780000000260770,10760954.330000000074506
20110517,5318041.240000000223517,5472568.339999999850988,10790609.580000000074506
20110518,5355496.509999999776483,5431829.690000000409782,10787326.199999999254942
20110519,5421864.620000000111759,5407386.500000000000000,10829251.120000001043081
20110520,5410036.639999999664724,5312329.650000000372529,10722366.289999999105930
20110523,5421207.509999999776483,5222704.620000000111759,10643912.129999998956919
20110524,5430407.049999999813735,5268875.089999999850988,10699282.140000000596046
