代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13726677.450000001117587
真實報酬,3726677.450000001117587

夏普值報酬,0.363967745000000
夏普值風險,0.096508201266008
夏普值,3.771365958803701

預期報酬,16009.734580981195904
風險,234017.174862614745507
趨勢值,0.068412647876721
找到最佳解世代,1740
找到最佳解實驗#,1
找到最佳解次數,33

stock[index](rank)
投資組合檔數,6
AAPL[0](2),DIS[6](6),HD[9](1),INTC[11](13),NKE[19](4),UNH[23](3),
Stock#,AAPL[0](2),DIS[6](6),HD[9](1),INTC[11](13),NKE[19](4),UNH[23](3),
張數,18430,19838,20773,61005,43335,20930,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,41.099999999860302,75.619999999878928,48.209999999962747,9.399999999906868,1.899999999906868,10.100000000093132,
20140602,1655239.399999999906868,1671823.879999999888241,1679337.530000000027940,1663005.699999999953434,1662332.499999999767169,1663317.199999999953434,9995060.209999999031425
20140603,1678645.499999999767169,1664087.059999999823049,1675806.120000000111759,1687407.699999999953434,1637198.199999999953434,1671898.500000000000000,10015047.080000000074506
20140604,1697812.699999999953434,1671228.739999999757856,1673105.630000000121072,1683747.399999999906868,1649765.349999999860302,1685084.400000000139698,10060748.219999998807907
20140605,1704447.500000000000000,1681941.260000000009313,1669781.949999999953434,1687407.699999999953434,1644131.799999999813735,1670224.100000000093132,10057938.310000000521541
20140606,1699655.699999999953434,1678568.799999999813735,1675182.929999999934807,1718520.250000000000000,1651932.099999999860302,1672945.000000000232831,10096808.779999999329448
20140609,1726932.099999999860302,1695827.859999999869615,1674559.739999999990687,1702658.949999999953434,1661465.800000000046566,1669386.900000000139698,10130835.350000001490116
20140610,1737068.599999999860302,1681346.119999999878928,1677260.229999999748543,1722790.599999999860302,1653665.499999999767169,1670433.400000000139698,10142568.449999999254942
20140611,1729880.899999999906868,1672617.399999999906868,1657941.340000000083819,1703879.049999999813735,1628097.849999999860302,1677968.200000000186265,10070388.739999998360872
20140612,1700945.800000000046566,1642662.019999999785796,1629274.600000000093132,1705709.199999999953434,1620297.550000000046566,1662689.300000000046566,9961582.470000000670552
20140613,1682331.499999999767169,1642662.019999999785796,1621796.319999999832362,1822228.750000000000000,1616830.750000000000000,1657247.500000000232831,10043100.839999999850988
20140616,1699287.099999999860302,1652581.019999999785796,1639037.910000000149012,1830769.449999999953434,1615530.699999999953434,1632550.100000000093132,10069760.279999999329448
20140617,1697075.499999999767169,1649803.699999999720603,1662303.669999999925494,1827109.149999999906868,1627231.149999999674037,1636108.200000000186265,10099635.370000001043081
20140618,1698918.500000000000000,1658135.659999999916181,1676637.039999999804422,1825889.049999999813735,1651065.399999999906868,1657875.399999999906868,10168525.050000000745058
20140619,1693020.899999999906868,1661904.879999999888241,1671028.329999999841675,1835649.849999999860302,1638931.599999999860302,1685084.400000000139698,10185623.959999999031425
20140620,1675512.399999999906868,1643058.779999999795109,1665419.620000000111759,1842360.399999999906868,1627231.149999999674037,1703921.399999999906868,10157507.750000000000000
20140623,1674037.999999999767169,1641868.500000000000000,1675182.929999999934807,1844190.550000000046566,1635031.449999999720603,1705595.800000000046566,10175911.230000000447035
20140624,1663901.499999999767169,1640281.459999999962747,1670820.600000000093132,1860661.899999999906868,1624631.050000000046566,1710828.300000000046566,10171128.810000002384186
20140625,1665375.899999999906868,1664483.820000000065193,1672897.899999999906868,1883843.799999999813735,1657132.300000000046566,1723386.300000000279397,10267124.019999999552965
20140626,1675328.099999999860302,1675394.719999999972060,1677467.959999999962747,1877743.300000000046566,1665365.949999999953434,1722339.800000000279397,10293643.830000000074506
20140627,1695232.500000000000000,1692257.019999999785796,1685361.699999999953434,1886894.049999999813735,1683133.300000000046566,1716270.100000000093132,10359152.669999999925494
20140630,1712741.000000000000000,1700985.739999999757856,1681830.289999999804422,1885063.899999999906868,1680533.199999999953434,1711037.600000000093132,10372195.729999998584390
20140701,1723614.699999999720603,1715467.479999999748543,1699695.069999999832362,1889944.300000000046566,1690066.899999999906868,1713967.800000000046566,10432760.250000000000000
20140702,1722877.500000000000000,1714872.339999999850988,1703018.750000000000000,1889944.300000000046566,1685733.399999999906868,1726525.800000000046566,10442976.089999999850988
20140703,1733013.999999999767169,1722807.540000000037253,1704472.859999999869615,1899705.099999999860302,1700033.949999999720603,1744525.599999999860302,10504563.049999998882413
20140707,1768768.199999999953434,1717848.040000000037253,1691385.870000000111759,1892994.550000000046566,1704367.449999999720603,1720874.699999999953434,10496242.809999998658895
20140708,1757341.599999999860302,1703366.299999999813735,1677675.690000000176951,1878353.349999999860302,1683133.300000000046566,1714805.000000000232831,10414679.240000000223517
20140709,1758078.799999999813735,1730345.979999999748543,1677052.500000000000000,1884453.849999999860302,1705234.149999999906868,1731758.300000000046566,10486927.580000000074506
20140710,1751628.300000000046566,1723204.299999999813735,1649424.410000000149012,1907025.699999999953434,1679233.149999999906868,1717944.500000000000000,10428464.359999999403954
20140711,1754945.699999999953434,1723799.439999999944121,1653786.739999999990687,1906415.649999999906868,1674899.649999999906868,1734479.200000000186265,10448330.379999998956919
20140714,1777614.599999999860302,1721220.500000000000000,1650670.789999999804422,1921056.849999999860302,1689200.199999999720603,1763781.199999999953434,10523548.139999998733401
20140715,1756788.699999999720603,1709119.320000000065193,1658979.989999999990687,1934477.949999999953434,1690933.600000000093132,1756037.100000000325963,10506340.660000000149012
