代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14107004.950000001117587
真實報酬,4107004.950000001117587

夏普值報酬,0.402000495000000
夏普值風險,0.110486545900767
夏普值,3.638456535341915

預期報酬,18084.785588329021266
風險,183952.131417656812118
趨勢值,0.098312454707405
找到最佳解世代,2187
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](12),MRK[17](15),UNH[23](9),
Stock#,BA[2](1),DD[7](12),MRK[17](15),UNH[23](9),
張數,33843,54513,57803,45281,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,17.589999999850988,33.819999999832362,20.250000000000000,35.989999999757856,
20130201,2533843.000000000000000,2529982.149999999441206,2417919.739999999757856,2525357.359999999869615,10007102.249999998137355
20130204,2545349.619999999646097,2494548.699999999720603,2361272.800000000279397,2524451.739999999757856,9925622.859999999403954
20130205,2568362.859999999869615,2508176.949999999720603,2394798.540000000037253,2615919.359999999869615,10087257.709999999031425
20130206,2581900.060000000055879,2525621.109999999869615,2375145.520000000018626,2598259.770000000018626,10080926.459999999031425
20130207,2620481.080000000074506,2500000.000000000000000,2369943.250000000000000,2583317.039999999571592,10073741.369999999180436
20130208,2591037.669999999925494,2516899.029999999795109,2380347.790000000037253,2614560.929999999701977,10102845.419999998062849
20130211,2567686.000000000000000,2521260.069999999832362,2391908.390000000130385,2586486.709999999497086,10067341.169999999925494
20130212,2571747.159999999683350,2543065.269999999552965,2395954.600000000093132,2581505.799999999813735,10092272.829999998211861
20130213,2530797.129999999888241,2562144.819999999832362,2378613.699999999720603,2591467.619999999646097,10063023.269999997690320
20130214,2535873.580000000074506,2522350.330000000074506,2380925.819999999832362,2583317.039999999571592,10022466.769999999552965
20130215,2539257.879999999888241,2496729.219999999739230,2394220.510000000242144,2595542.909999999683350,10025750.519999999552965
20130219,2526397.540000000037253,2500000.000000000000000,2440462.910000000149012,2565657.449999999720603,10032517.900000000372529
20130220,2530797.129999999888241,2456389.600000000093132,2465896.229999999981374,2500000.000000000000000,9953082.960000000894070
20130221,2572424.020000000018626,2394244.779999999795109,2456647.750000000000000,2501358.429999999701977,9924674.980000000447035
