代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12202623.899999998509884
真實報酬,2202623.899999998509884

夏普值報酬,0.211562390000000
夏普值風險,0.064065736819590
夏普值,3.302270456917773

預期報酬,9282.747485648154907
風險,225723.656170967675280
趨勢值,0.041124389189484
找到最佳解世代,3149
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](5),PG[21](2),UNH[23](1),
Stock#,MRK[17](5),PG[21](2),UNH[23](1),
張數,62881,44539,29574,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,11.189999999944121,34.239999999757856,47.459999999962747,
20151201,3431427.359999999869615,3382325.899999999441206,3438320.700000000186265,10252074.960000000894070
20151202,3384266.609999999869615,3375645.049999999813735,3479132.819999999832362,10239045.480000000447035
20151203,3306922.979999999981374,3373418.099999999627471,3401057.459999999962747,10081399.539999999105930
20151204,3372948.029999999795109,3466504.609999999869615,3482090.219999999739230,10321543.859999999403954
20151207,3375463.270000000018626,3490555.669999999925494,3427969.799999999813735,10293989.739999998360872
20151208,3362258.259999999776483,3462941.489999999757856,3427082.579999999608845,10252283.330000000074506
20151209,3321385.609999999869615,3460714.540000000037253,3402536.159999999683350,10184637.310000000521541
20151210,3376092.079999999608845,3464723.049999999813735,3436842.000000000000000,10277658.129999998956919
20151211,3279255.339999999850988,3464277.659999999683350,3430039.979999999981374,10173573.980000000447035
20151214,3282399.390000000130385,3486992.549999999813735,3426195.359999999869615,10195588.299999998882413
20151215,3326416.089999999850988,3548901.760000000242144,3478245.600000000093132,10353564.449999999254942
20151216,3396842.810000000055879,3607247.849999999627471,3514325.879999999888241,10518417.539999999105930
20151217,3311324.649999999906868,3576070.549999999813735,3525859.739999999757856,10413255.939999999478459
20151218,3247186.029999999795109,3479866.309999999590218,3425308.139999999664724,10152361.480000000447035
20151221,3261648.659999999683350,3516388.290000000037253,3472330.799999999813735,10250368.750000000000000
20151222,3276111.290000000037253,3545338.639999999664724,3473218.020000000018626,10294668.949999999254942
20151223,3331446.569999999832362,3559591.119999999646097,3510185.520000000018626,10401224.209999999031425
20151224,3323272.040000000037253,3553801.049999999813735,3499834.620000000111759,10376908.710000000894070
20151228,3322643.229999999981374,3559591.119999999646097,3499538.879999999888241,10381774.230000000447035
20151229,3354083.729999999981374,3579188.279999999795109,3543604.139999999664724,10476877.149999998509884
20151230,3348424.439999999944121,3566271.969999999273568,3516987.540000000037253,10431684.949999999254942
20151231,3321385.609999999869615,3536876.229999999515712,3479132.819999999832362,10337395.660000000149012
20160104,3300006.069999999832362,3490555.669999999925494,3444235.500000000000000,10234798.240000000223517
20160105,3342136.339999999850988,3501690.419999999925494,3450741.780000000260770,10294569.539999999105930
20160106,3296233.209999999962747,3467840.779999999795109,3415548.719999999739230,10179623.710000000894070
20160107,3267307.950000000186265,3437554.260000000242144,3314997.120000000111759,10019860.330000001937151
20160108,3211972.669999999925494,3383662.069999999832362,3257919.299999999813735,9853555.039999999105930
20160111,3222662.439999999944121,3414839.369999999646097,3240766.379999999888241,9878269.189999999478459
20160112,3254731.750000000000000,3407713.129999999888241,3320024.700000000186265,9982470.580000000074506
20160113,3185562.649999999906868,3378317.389999999664724,3230415.479999999981374,9794296.519999999552965
20160114,3257246.989999999757856,3391679.089999999850988,3275663.700000000186265,9924590.780000001192093
20160115,3215745.529999999795109,3339568.459999999962747,3231598.439999999944121,9786913.429999999701977
20160119,3228321.729999999981374,3417511.709999999962747,3329488.379999999888241,9975322.820000000298023
20160120,3178645.739999999757856,3377426.609999999869615,3394846.919999999925494,9950920.269999999552965
20160121,3201911.709999999962747,3417066.319999999832362,3356696.459999999962747,9975675.489999998360872
20160122,3228950.540000000037253,3445571.279999999795109,3381242.879999999888241,10055765.699999999254942
20160125,3201911.709999999962747,3422856.389999999664724,3353147.579999999608845,9977916.679999999701977
20160126,3235238.640000000130385,3510152.830000000074506,3370300.500000000000000,10115692.970000000670552
20160127,3167327.159999999683350,3509707.439999999478459,3322094.879999999888241,9999130.480000000447035
20160128,3093756.390000000130385,3555137.219999999273568,3293999.579999999608845,9942894.189999999478459
20160129,3186191.459999999962747,3638425.149999999441206,3405789.299999999813735,10230406.910000000149012
20160201,3191221.939999999944121,3613037.919999999925494,3427378.319999999832362,10231639.179999999701977
20160202,3169842.399999999906868,3572952.819999999832362,3367934.579999999608845,10110730.799999998882413
20160203,3147205.239999999757856,3612147.139999999664724,3334515.959999999962747,10093869.339999999850988
20160204,3055398.979999999981374,3594331.540000000037253,3377398.260000000242144,10027129.779999999329448
20160205,3105074.970000000204891,3616601.040000000037253,3304054.739999999757856,10025731.750000000000000
20160208,3070490.419999999925494,3679846.419999999925494,3253778.939999999944121,10004116.779999999329448
20160209,3091241.149999999906868,3680737.199999999720603,3287493.299999999813735,10059472.649999998509884
20160210,3114507.120000000111759,3635307.419999999925494,3334220.219999999739230,10084035.759999999776483
20160211,3071748.040000000037253,3558700.339999999850988,3271523.340000000316650,9901972.720000000670552
20160212,3083066.620000000111759,3607247.849999999627471,3307012.139999999664724,9997327.609999999403954
20160216,3130227.370000000111759,3628626.569999999832362,3405493.560000000055879,10164348.500000000000000
20160217,3181789.790000000037253,3672274.790000000037253,3498651.659999999683350,10352717.240000000223517
20160218,3164183.109999999869615,3651341.459999999962747,3473513.760000000242144,10289039.330000000074506
20160219,3151606.909999999683350,3642879.049999999813735,3480315.780000000260770,10274802.739999998360872
20160222,3192479.560000000055879,3658022.309999999590218,3586486.439999999944121,10436989.309999998658895
20160223,3178016.929999999701977,3643769.830000000074506,3582937.560000000055879,10404725.320000000298023
20160224,3179274.550000000279397,3632635.080000000074506,3554842.260000000242144,10366752.890000000596046
20160225,3206942.189999999944121,3667375.500000000000000,3584416.260000000242144,10458734.949999999254942
20160226,3184305.029999999795109,3612147.139999999664724,3588260.879999999888241,10384714.050000000745058
20160229,3157266.200000000186265,3576070.549999999813735,3522310.859999999869615,10255648.609999999403954
20160301,3254102.939999999944121,3617937.209999999962747,3598316.040000000037253,10470357.190000001341105
20160302,3286801.060000000055879,3676728.689999999478459,3586486.439999999944121,10550017.189999999478459
20160303,3276111.290000000037253,3689645.000000000000000,3602752.139999999664724,10568509.429999999701977
20160304,3274853.669999999925494,3718595.349999999627471,3602160.659999999683350,10595610.679999999701977
20160307,3310067.029999999795109,3701225.139999999664724,3600977.700000000186265,10612270.870000001043081
20160308,3298119.640000000130385,3699443.580000000074506,3598020.299999999813735,10595584.519999999552965
20160309,3292460.350000000093132,3694989.679999999701977,3581458.859999999869615,10568909.889999998733401
20160310,3335219.429999999701977,3664703.159999999683350,3610737.120000000111759,10610660.710000000894070
20160311,3345280.390000000130385,3641097.489999999757856,3699754.859999999869615,10686133.740000000223517
20160314,3337734.669999999925494,3615264.869999999646097,3703303.739999999757856,10656304.279999999329448
20160315,3296233.209999999962747,3621500.330000000074506,3692361.359999999869615,10610095.900000000372529
20160316,3266050.329999999608845,3622836.500000000000000,3693840.060000000055879,10582727.890000000596046
20160317,3240269.120000000111759,3685636.489999999757856,3682897.680000000167638,10608804.289999999105930
20160318,3285543.439999999944121,3703452.089999999850988,3747664.739999999757856,10736661.269999999552965
20160321,3320127.989999999757856,3711023.719999999273568,3748256.219999999739230,10779408.929999999701977
20160322,3334590.620000000111759,3685191.099999999627471,3786110.940000000409782,10805893.660000000149012
20160323,3337734.669999999925494,3688754.219999999273568,3838456.919999999925494,10864946.809999998658895
20160324,3337105.859999999869615,3691871.949999999720603,3802968.120000000111759,10831946.929999999701977
20160328,3322014.419999999925494,3679846.419999999925494,3812727.539999999571592,10814589.379999998956919
20160329,3352826.109999999869615,3687863.439999999478459,3839639.880000000353903,10880330.429999999701977
20160330,3346538.009999999776483,3682518.760000000242144,3835203.780000000260770,10864261.550000000745058
20160331,3327044.899999999906868,3666039.330000000074506,3812136.060000000055879,10805221.290000000968575
20160401,3376720.890000000130385,3720376.909999999683350,3842301.539999999571592,10939400.339999999850988
20160404,3420737.589999999850988,3706124.429999999701977,3829584.720000000204891,10956447.740000000223517
20160405,3410676.629999999888241,3703897.479999999515712,3757128.419999999925494,10871703.529999999329448
20160406,3498081.220000000204891,3732847.830000000074506,3786406.680000000167638,11017336.730000000447035
20160407,3484876.209999999962747,3707460.599999999627471,3752100.840000000316650,10944438.650000000372529
20160408,3481103.350000000093132,3705679.040000000037253,3716907.780000000260770,10903691.170000001788139
20160411,3461610.239999999757856,3684745.709999999962747,3736130.879999999888241,10882487.829999998211861
20160412,3479845.729999999981374,3689199.609999999869615,3750030.659999999683350,10919077.000000000000000
20160413,3518831.950000000186265,3672720.179999999701977,3778421.700000000186265,10969974.830000000074506
20160414,3549643.640000000130385,3652677.629999999888241,3784927.979999999981374,10987250.250000000000000
20160415,3530150.529999999795109,3665593.939999999478459,3765704.879999999888241,10961450.349999997764826
20160418,3553416.500000000000000,3689199.609999999869615,3779900.399999999906868,11022517.509999999776483
20160419,3575424.850000000093132,3709242.159999999683350,3859454.459999999962747,11144122.469999998807907
20160420,3557818.169999999925494,3632189.689999999478459,3960893.280000000260770,11150902.140000000596046
20160421,3559075.790000000037253,3598785.439999999478459,3932206.500000000000000,11090068.730000000447035
20160422,3567879.129999999888241,3605466.290000000037253,3966808.079999999608845,11140154.500000000000000
20160425,3535181.009999999776483,3625954.229999999515712,3956457.180000000167638,11117593.419999999925494
20160426,3523862.429999999701977,3543111.689999999478459,3970061.220000000204891,11037036.339999999850988
20160427,3540840.300000000279397,3558254.949999999720603,3927474.660000000149012,11026570.910000000149012
20160428,3504998.129999999888241,3552464.879999999888241,3905885.639999999664724,10963349.649999998509884
20160429,3448405.229999999981374,3568498.919999999925494,3894351.780000000260770,10911256.929999999701977
20160502,3477330.489999999757856,3606357.069999999832362,3906772.859999999869615,10990461.419999999925494
20160503,3463496.669999999925494,3612147.139999999664724,3917419.500000000000000,10993064.309999998658895
20160504,3446518.800000000279397,3634416.639999999664724,3904702.680000000167638,10985639.119999999180436
20160505,3401244.479999999981374,3621054.939999999478459,3912983.399999999906868,10935283.820000000298023
20160506,3370432.790000000037253,3658022.309999999590218,3904998.419999999925494,10933454.519999999552965
20160509,3401873.290000000037253,3657576.919999999925494,3923630.039999999571592,10983081.250000000000000
20160510,3438344.270000000018626,3673610.959999999962747,3950246.639999999664724,11062202.870000001043081
20160511,3415078.300000000279397,3658913.089999999850988,3865073.520000000018626,10939065.910000000149012
20160512,3403130.909999999683350,3670493.229999999515712,3836978.220000000204891,10910603.359999999403954
20160513,3388039.470000000204891,3617937.209999999962747,3815093.459999999962747,10821071.140000000596046
20160516,3436457.839999999850988,3635752.809999999590218,3863594.819999999366701,10935806.469999998807907
20160517,3415707.109999999869615,3590768.419999999925494,3831654.899999999906868,10838131.429999999701977
20160518,3437715.459999999962747,3556473.389999999664724,3859750.199999999720603,10853940.049999998882413
20160519,3432056.169999999925494,3571616.649999999441206,3844667.459999999962747,10848341.279999999329448
20160520,3465383.100000000093132,3564045.019999999552965,3872467.020000000018626,10901896.139999998733401
20160523,3453435.709999999962747,3572062.040000000037253,3857088.539999999571592,10882587.289999999105930
20160524,3496194.790000000037253,3606357.069999999832362,3921264.120000000111759,11023816.980000000447035
20160525,3557189.359999999869615,3629071.959999999962747,3945810.539999999571592,11132072.859999999403954
20160526,3545870.779999999795109,3617491.819999999832362,3932797.979999999515712,11096161.579999998211861
20160527,3551530.069999999832362,3626845.010000000242144,3962963.459999999962747,11141339.539999999105930
20160531,3537696.250000000000000,3609474.799999999813735,3953204.039999999571592,11100376.089999999850988
20160601,3542097.919999999925494,3642879.049999999813735,3978637.680000000167638,11163615.650000000372529
20160602,3572909.609999999869615,3650005.290000000037253,4023294.419999999925494,11246210.320000000298023
20160603,3561591.029999999795109,3673165.569999999832362,4046953.620000000111759,11281711.219999998807907
20160606,3594917.959999999962747,3686527.269999999552965,4085695.560000000055879,11367141.789999999105930
20160607,3584228.189999999944121,3666484.719999999273568,4049911.020000000018626,11300624.929999999701977
20160608,3623214.409999999683350,3681182.589999999850988,4152237.060000000055879,11456635.060000000521541
20160609,3595546.770000000018626,3704342.869999999646097,4160517.780000000260770,11460408.419999999925494
20160610,3572280.800000000279397,3705679.040000000037253,4117931.220000000204891,11395892.060000000521541
20160613,3528264.100000000093132,3677619.469999999273568,4083921.120000000111759,11289805.689999999478459
20160614,3537067.439999999944121,3712359.889999999664724,4077414.840000000316650,11326843.169999999925494
20160615,3527006.479999999981374,3694544.290000000037253,4059374.699999999720603,11280926.469999998807907
20160616,3615668.689999999944121,3715032.229999999515712,4100778.299999999813735,11431480.219999998807907
20160617,3514430.279999999795109,3702561.309999999590218,4072091.520000000018626,11289084.109999999403954
20160620,3530150.529999999795109,3698552.799999999813735,4096637.940000000409782,11325342.269999999552965
20160621,3537067.439999999944121,3715032.229999999515712,4086878.520000000018626,11338979.189999999478459
