代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14030531.500000001862645
真實報酬,4030531.500000001862645

夏普值報酬,0.394353150000000
夏普值風險,0.102489073166359
夏普值,3.847757988404208

預期報酬,16637.305601220978133
風險,131575.709489473898429
趨勢值,0.126446634152879
找到最佳解世代,2092
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](7),BA[2](3),DD[7](6),MCD[15](4),MSFT[18](1),UNH[23](2),UTX[24](10),
Stock#,AAPL[0](7),BA[2](3),DD[7](6),MCD[15](4),MSFT[18](1),UNH[23](2),UTX[24](10),
張數,12636,10843,19354,12383,24801,10204,14060,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,71.199999999953434,114.179999999934807,52.260000000009313,68.120000000111759,33.399999999906868,11.000000000000000,75.000000000000000,
20161003,1421873.919999999925494,1435510.519999999785796,1444828.360000000102445,1419655.240000000223517,1424106.820000000065193,1413162.960000000195578,1440240.800000000046566,9999381.620000001043081
20161004,1427939.199999999953434,1434100.929999999934807,1429345.159999999916181,1405538.620000000111759,1419642.639999999897555,1409795.639999999897555,1426180.800000000046566,9952545.990000000223517
20161005,1428571.000000000000000,1460232.559999999823049,1452569.959999999962747,1404424.150000000139698,1429563.040000000037253,1404081.399999999906868,1437710.000000000000000,10017155.109999999403954
20161006,1439185.239999999990687,1457630.239999999757856,1477149.539999999804422,1410739.480000000214204,1432043.139999999897555,1392550.879999999888241,1435319.800000000046566,10044621.320000000298023
20161007,1441333.359999999869615,1451449.729999999981374,1460505.099999999860302,1404919.470000000204891,1433531.199999999720603,1394489.639999999897555,1414229.800000000046566,10000461.300000000745058
20161010,1466479.000000000000000,1473027.300000000046566,1475794.760000000009313,1420522.050000000046566,1439483.439999999944121,1408979.320000000065193,1405793.800000000046566,10090082.669999999925494
20161011,1469638.000000000000000,1450257.000000000000000,1475214.139999999897555,1407767.560000000288710,1418402.589999999850988,1375000.000000000000000,1388781.199999999953434,9985063.489999998360872
20161012,1482779.439999999944121,1443968.059999999823049,1466698.380000000121072,1420522.050000000046566,1416418.509999999776483,1378571.399999999906868,1391030.800000000046566,9999991.640000000596046
20161013,1478230.479999999981374,1446353.519999999785796,1458376.159999999916181,1429190.150000000139698,1411706.320000000065193,1369285.760000000009313,1403966.000000000000000,9997111.390000000596046
20161014,1486443.879999999888241,1447654.679999999934807,1471343.339999999850988,1412844.590000000083819,1424106.820000000065193,1366530.679999999934807,1408324.599999999860302,10017251.589999999850988
20161017,1485433.000000000000000,1453076.179999999934807,1460892.180000000167638,1392041.150000000139698,1419146.619999999878928,1368673.520000000018626,1401997.599999999860302,9981263.250000000000000
20161018,1484422.119999999878928,1465003.479999999981374,1479859.099999999860302,1377676.870000000111759,1430059.059999999823049,1463162.559999999823049,1405934.399999999906868,10106120.589999999850988
20161019,1479999.520000000018626,1476713.919999999925494,1486439.459999999962747,1377800.700000000186265,1426834.929999999934807,1473162.479999999981374,1402700.600000000093132,10123654.609999999403954
20161020,1479241.359999999869615,1473027.300000000046566,1483342.820000000065193,1369256.429999999934807,1419890.649999999906868,1480305.280000000027940,1396092.400000000139698,10101159.240000000223517
20161021,1473428.799999999813735,1470750.269999999785796,1491084.420000000158325,1410863.310000000288710,1479661.059999999823049,1483366.479999999981374,1387375.199999999953434,10196532.539999999105930
20161024,1486696.600000000093132,1490484.529999999795109,1494955.219999999972060,1406405.429999999934807,1512894.399999999906868,1476427.760000000009313,1399326.199999999953434,10267193.139999998733401
20161025,1494278.199999999953434,1507508.040000000037253,1491471.500000000000000,1395879.880000000121072,1512646.389999999897555,1467142.120000000111759,1425196.600000000093132,10294125.729999998584390
20161026,1460666.439999999944121,1578204.399999999906868,1481794.500000000000000,1388326.250000000000000,1503718.030000000027940,1451325.919999999925494,1420275.600000000093132,10284314.139999998733401
20161027,1446640.479999999981374,1554024.510000000009313,1503858.060000000055879,1387954.760000000009313,1490573.500000000000000,1448366.760000000009313,1407059.199999999953434,10238480.269999999552965
20161028,1437037.119999999878928,1550771.609999999869615,1486245.920000000158325,1388202.419999999925494,1484869.269999999785796,1432142.399999999906868,1431945.400000000139698,10211217.139999998733401
20161031,1434762.640000000130385,1544482.669999999925494,1483149.280000000027940,1394022.429999999934807,1486109.320000000065193,1442142.320000000065193,1437007.000000000000000,10221678.660000000149012
20161101,1408858.839999999850988,1544265.809999999823049,1482375.120000000111759,1390059.870000000111759,1483133.199999999720603,1422754.719999999972060,1434335.600000000093132,10165786.160000000149012
20161102,1410122.439999999944121,1526266.429999999934807,1477343.080000000074506,1391793.490000000223517,1473956.829999999841675,1418162.919999999925494,1427727.400000000139698,10125375.590000001713634
20161103,1387883.079999999841675,1518351.040000000037253,1468053.159999999916181,1383496.880000000121072,1468500.609999999869615,1406428.320000000065193,1420838.000000000000000,10053554.089999999850988
20161104,1375373.439999999944121,1513146.399999999906868,1464375.899999999906868,1375076.440000000176951,1456100.109999999869615,1405203.840000000083819,1424774.800000000046566,10014053.930000001564622
20161107,1395211.959999999962747,1550988.469999999972060,1478697.860000000102445,1397118.179999999934807,1498509.820000000065193,1448264.719999999972060,1448958.000000000000000,10217752.009999999776483
20161108,1403425.359999999869615,1541988.779999999795109,1472698.120000000111759,1413092.250000000000000,1499749.869999999878928,1458162.600000000093132,1453457.199999999953434,10242577.179999999701977
20161109,1401150.879999999888241,1573325.050000000046566,1484891.139999999897555,1423865.460000000195578,1492309.570000000065193,1447958.600000000093132,1473703.600000000093132,10297207.299999998882413
20161110,1362105.640000000130385,1601516.849999999860302,1492439.199999999953434,1418045.450000000186265,1455852.100000000093132,1491121.520000000018626,1524319.599999999860302,10345403.359999999403954
20161111,1370192.679999999934807,1610516.540000000037253,1478697.860000000102445,1414454.380000000121072,1463788.419999999925494,1494080.679999999934807,1530646.600000000093132,10362380.160000000149012
20161114,1335822.759999999776483,1626455.750000000000000,1473472.280000000027940,1459528.500000000000000,1441467.519999999785796,1553876.120000000111759,1516586.600000000093132,10407212.529999999329448
20161115,1353513.159999999916181,1606070.910000000149012,1465537.139999999897555,1465224.679999999934807,1460068.269999999785796,1553365.919999999925494,1514055.800000000046566,10417838.879999998956919
20161116,1389904.839999999850988,1587963.099999999860302,1465730.680000000167638,1476245.550000000046566,1479413.049999999813735,1545917.000000000000000,1503932.599999999860302,10449109.819999998435378
20161117,1389399.399999999906868,1575927.370000000111759,1470762.719999999972060,1479217.470000000204891,1503966.040000000037253,1538468.080000000074506,1500277.000000000000000,10458021.080000001937151
20161118,1390789.359999999869615,1586987.229999999981374,1467085.459999999962747,1486028.120000000111759,1496773.750000000000000,1524998.799999999813735,1497465.000000000000000,10450130.719999998807907
20161121,1411891.479999999981374,1594252.040000000037253,1488374.860000000102445,1479836.620000000111759,1509422.259999999776483,1534794.639999999897555,1502386.000000000000000,10520960.900000000372529
