代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12043896.179999999701977
真實報酬,2043896.179999999701977

夏普值報酬,0.195689618000000
夏普值風險,0.054060717617085
夏普值,3.619811697396996

預期報酬,7507.707252661488383
風險,194524.330254398169927
趨勢值,0.038595209364520
找到最佳解世代,2282
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
IBM[10](1),KO[14](5),MCD[15](8),
Stock#,IBM[10](1),KO[14](5),MCD[15](8),
張數,23563,105518,42571,
20110407,3873396.959999999962747,3558086.339999999850988,3235845.410000000614673,10667329.710000000894070
20110408,3865621.170000000391155,3549644.899999999906868,3237122.540000000502914,10652389.610000001266599
20110411,3863264.869999999646097,3555975.979999999981374,3246062.450000000186265,10665304.300000000745058
20110412,3846770.770000000018626,3529596.479999999981374,3263516.560000000055879,10639884.810000000521541
20110413,3863264.869999999646097,3549644.899999999906868,3273307.890000000130385,10686218.660000000149012
20110414,3887299.129999999888241,3604514.259999999310821,3280970.669999999925494,10772785.059999998658895
20110415,3916517.250000000000000,3588686.559999999590218,3294167.680000000167638,10799372.490000000223517
20110418,3910155.239999999757856,3551755.259999999310821,3277990.700000000186265,10739902.199999999254942
20110419,3897431.220000000204891,3539093.099999999627471,3260962.299999999813735,10697487.620000001043081
20110420,3882115.270000000018626,3579189.939999999944121,3337590.100000000558794,10798896.310000000521541
20110421,3965292.660000000149012,3581300.299999999813735,3274159.310000000055879,10820753.269999999552965
20110425,3950919.229999999515712,3573914.039999999571592,3283524.930000000167638,10808359.199999999254942
20110426,3970240.890000000130385,3531706.839999999850988,3275436.439999999944121,10777385.169999999925494
20110427,4014539.330000000074506,3534872.379999999888241,3315027.470000000204891,10864440.179999999701977
20110428,4024200.160000000149012,3557031.160000000149012,3321838.830000000074506,10903071.150000000372529
20110429,4019487.560000000521541,3559141.519999999552965,3333758.710000000428408,10912388.790000000968575
20110502,4056481.470000000204891,3572858.859999999869615,3347807.140000000130385,10977148.470000000670552
20110503,4073446.830000000074506,3581300.299999999813735,3360578.439999999944121,11015326.570000000298023
20110504,4020430.080000000074506,3559141.519999999552965,3366112.669999999925494,10945685.269999999552965
20110505,3969534.000000000000000,3519044.680000000167638,3346104.299999999813735,10834683.980000000447035
20110506,3979666.089999999850988,3529596.479999999981374,3350361.400000000372529,10859624.970000000670552
20110509,3984614.319999999832362,3532762.019999999552965,3376329.710000000428408,10893707.050000000745058
20110510,4014774.959999999962747,3552810.439999999944121,3393358.109999999869615,10960944.509999999776483
20110511,3994039.520000000018626,3551755.259999999310821,3384843.910000000614673,10930639.689999999478459
20110512,4058602.140000000130385,3604514.259999999310821,3433800.560000000055879,11096917.959999999031425
20110513,4003935.979999999515712,3597128.000000000465661,3437206.239999999757856,11038271.220000000670552
20110516,3978959.200000000186265,3579189.939999999944121,3454234.640000000130385,11012384.780000001192093
20110517,4017602.520000000018626,3586576.200000000186265,3445294.730000000447035,11049474.450000001117587
20110518,4016188.739999999757856,3603459.079999999608845,3469560.200000000186265,11089209.019999999552965
20110519,4019723.189999999944121,3611900.519999999552965,3512556.910000000614673,11144181.619999999180436
20110520,4009591.100000000093132,3603459.079999999608845,3504894.129999999888241,11117945.309999998658895
20110523,3964821.399999999906868,3560196.700000000186265,3512131.200000000186265,11037150.300000000745058
20110524,3958459.390000000130385,3560196.700000000186265,3518091.140000000130385,11036748.230000000447035
20110525,3952804.270000000018626,3530651.660000000149012,3521496.820000000298023,11004953.750000000000000
20110526,3939373.360000000335276,3519044.680000000167638,3509151.230000000447035,10967570.270000001415610
20110527,3946913.520000000018626,3509548.059999999590218,3474668.720000000204891,10931131.300000000745058
20110531,3980608.610000000335276,3525375.759999999310821,3471263.040000000502914,10977248.410000000149012
20110601,3924764.300000000279397,3522210.220000000204891,3447423.280000000260770,10894398.800000000745058
20110602,3913689.689999999944121,3484223.740000000223517,3437631.950000000186265,10835546.379999998956919
20110603,3889184.170000000391155,3457844.240000000223517,3428692.040000000502914,10775721.450000001117587
20110606,3882115.270000000018626,3451513.160000000149012,3435503.400000000372529,10769132.830000000074506
20110607,3857138.489999999757856,3439906.180000000167638,3454234.640000000130385,10751280.310000000521541
20110608,3872454.439999999944121,3450457.979999999981374,3454660.350000000558794,10777573.769999999552965
20110609,3884235.939999999944121,3476837.479999999981374,3459343.160000000614673,10820417.580000000074506
20110610,3845121.360000000335276,3450457.979999999981374,3421029.260000000242144,10716609.599999999627471
20110613,3844885.729999999515712,3435685.459999999962747,3436780.530000000260770,10717352.719999998807907
20110614,3867270.580000000074506,3462064.959999999962747,3468283.070000000298023,10797619.609999999403954
20110615,3825092.810000000521541,3428299.200000000186265,3458491.739999999757856,10711884.750000000000000
20110616,3833104.229999999515712,3454678.700000000186265,3482757.210000000428408,10770541.140000000596046
20110617,3874810.739999999757856,3462064.959999999962747,3512982.620000000111759,10849859.320000000298023
20110620,3888477.280000000260770,3473671.939999999944121,3520219.689999999944121,10882369.910000000149012
20110621,3916752.879999999888241,3495830.720000000204891,3524902.500000000000000,10937487.099999999627471
20110622,3904028.860000000335276,3503216.979999999981374,3518516.850000000558794,10925763.690000001341105
20110623,3914396.580000000074506,3428299.200000000186265,3503191.290000000502914,10845888.070000000298023
20110624,3889655.429999999701977,3426188.839999999850988,3484034.340000000316650,10799879.609999999403954
20110627,3949741.080000000074506,3439906.180000000167638,3504468.419999999925494,10894116.679999999701977
20110628,4006056.649999999906868,3484223.740000000223517,3590887.549999999813735,11081168.940000001341105
20110629,4018545.040000000037253,3519044.680000000167638,3600253.169999999925494,11137843.890000000596046
20110630,4042343.670000000391155,3550700.079999999608845,3589610.419999999925494,11182655.169999999925494
20110701,4112797.040000000037253,3592907.279999999795109,3646229.850000000558794,11351935.170000001788139
20110705,4133768.110000000335276,3603459.079999999608845,3645804.140000000130385,11383032.330000000074506
20110706,4187491.750000000000000,3616121.240000000223517,3655169.760000000242144,11458783.750000000000000
20110707,4158509.259999999776483,3627728.220000000204891,3663683.960000000428408,11449922.440000001341105
20110708,4158744.890000000130385,3623507.500000000465661,3644101.299999999813735,11426354.690000001341105
20110711,4123400.390000000130385,3592907.279999999795109,3633458.549999999813735,11349767.219999998807907
20110712,4101251.170000000391155,3579189.939999999944121,3618132.989999999757856,11298575.099999999627471
20110713,4107613.179999999701977,3590796.919999999925494,3616855.859999999869615,11315266.959999999031425
20110714,4105492.509999999776483,3570748.500000000465661,3653041.210000000428408,11329283.220000000670552
20110715,4136360.040000000037253,3563362.240000000223517,3638992.780000000260770,11338716.060000000521541
20110718,4130233.660000000149012,3541203.459999999962747,3635587.100000000558794,11307025.220000000670552
20110719,4364214.250000000000000,3657273.259999999310821,3670069.609999999869615,11691558.119999999180436
20110720,4327455.970000000670552,3634059.299999999813735,3672623.870000000111759,11634140.140000000596046
20110721,4356909.720000000670552,3658328.439999999944121,3684118.040000000502914,11699357.200000001117587
20110722,4363507.359999999403954,3679432.039999999571592,3770111.460000000428408,11813051.859999999403954
20110725,4328634.119999999180436,3654107.720000000204891,3751380.220000000204891,11734123.060000000521541
20110726,4310490.609999999403954,3650942.180000000167638,3747123.120000000111759,11708556.910000000149012
20110727,4273261.070000000298023,3624562.680000000167638,3707532.090000000316650,11605356.839999999850988
20110728,4283864.419999999925494,3630893.759999999310821,3694335.080000000074506,11609094.259999999776483
20110729,4285042.570000000298023,3588686.559999999590218,3681563.780000000260770,11555293.910000000149012
20110801,4259123.269999999552965,3573914.039999999571592,3677732.390000000130385,11510770.699999999254942
20110802,4195503.169999999925494,3538037.919999999925494,3621112.960000000428408,11354655.050000000745058
20110803,4213882.310000000521541,3608734.979999999981374,3641547.040000000502914,11464165.330000001937151
20110804,4040694.259999999776483,3472616.759999999310821,3587907.580000000074506,11101219.599999999627471
20110805,4076038.759999999776483,3523265.399999999906868,3621964.379999999888241,11221269.539999999105930
20110808,3916752.879999999888241,3435685.459999999962747,3495528.510000000242144,10847967.849999999627471
20110809,4020194.450000000186265,3517989.500000000465661,3659426.859999999869615,11197611.810000000521541
20110810,3830041.040000000037253,3374485.020000000018626,3579393.379999999888241,10783920.440000001341105
20110811,3928770.009999999776483,3507437.700000000186265,3673049.580000000074506,11109258.289999999105930
20110812,3963407.619999999646097,3542258.640000000130385,3682415.200000000186265,11188082.460000000894070
20110815,4076274.390000000130385,3598183.180000000167638,3696037.919999999925494,11370496.490000000223517
20110816,4035039.140000000130385,3597128.000000000465661,3689652.270000000484288,11321820.410000000149012
20110817,4040694.259999999776483,3655162.899999999906868,3724986.200000000186265,11420844.359999999403954
20110818,3860437.310000000521541,3574969.220000000204891,3644527.010000000242144,11079934.540000000968575
20110819,3712226.040000000037253,3540148.279999999795109,3713492.030000000260770,10965867.350000001490116
20110822,3746156.759999999776483,3549644.899999999906868,3736054.660000000614673,11031857.320000000298023
20110823,3871983.179999999701977,3643555.919999999925494,3811405.330000000074506,11326945.429999999701977
20110824,3929476.899999999906868,3676266.500000000465661,3836947.930000000167638,11442692.330000000074506
20110825,3901672.560000000521541,3586576.200000000186265,3776497.109999999869615,11264746.870000001043081
20110826,3985556.839999999850988,3614010.879999999888241,3828433.730000000447035,11428002.449999999254942
20110829,4067556.080000000074506,3679432.039999999571592,3865044.790000000502914,11612033.910000000149012
20110830,4064964.149999999906868,3685763.119999999646097,3864619.080000000074506,11615347.349999999627471
20110831,4050826.350000000093132,3717418.519999999552965,3848867.810000000055879,11617113.679999999701977
20110901,4013596.810000000521541,3717418.519999999552965,3834393.669999999925494,11565410.000000000000000
20110902,3934660.759999999776483,3679432.039999999571592,3792674.090000000316650,11406767.889999998733401
20110906,3890597.950000000186265,3663604.339999999850988,3781179.919999999925494,11335383.210000000894070
20110907,3942436.550000000279397,3735356.579999999608845,3801188.290000000502914,11478982.419999999925494
20110908,3893896.770000000018626,3755405.000000000465661,3772240.010000000242144,11421542.780000001192093
20110909,3802472.330000000074506,3660438.799999999813735,3619835.830000000074506,11082747.960000000894070
20110912,3827213.479999999515712,3660438.799999999813735,3669218.189999999944121,11156871.469999998807907
20110913,3851012.110000000335276,3645666.279999999795109,3666238.220000000204891,11162917.610000001266599
20110914,3940787.140000000130385,3681542.399999999906868,3693057.950000000186265,11315388.490000000223517
20110915,4007941.689999999944121,3746963.559999999590218,3749251.669999999925494,11504157.919999999925494
20110916,4076274.390000000130385,3758570.539999999571592,3758617.290000000502914,11593463.220000000670552
20110919,4079573.209999999962747,3718473.700000000186265,3780754.210000000428408,11578802.120000001043081
20110920,4117038.379999999888241,3727970.319999999832362,3802039.710000000428408,11647049.410000000149012
20110921,4076981.280000000260770,3655162.899999999906868,3725837.620000000111759,11457982.800000000745058
20110922,3973304.080000000074506,3578134.759999999310821,3660703.989999999757856,11212143.830000000074506
20110923,3990269.439999999944121,3557031.160000000149012,3719451.970000000204891,11266753.570000000298023
20110926,4112090.149999999906868,3627728.220000000204891,3803316.840000000316650,11543136.210000000894070
20110927,4187491.750000000000000,3669935.419999999925494,3820345.239999999757856,11677773.410000000149012
20110928,4183721.670000000391155,3590796.919999999925494,3747548.830000000074506,11522068.419999999925494
20110929,4221893.730000000447035,3643555.919999999925494,3779477.080000000074506,11644927.730000000447035
20110930,4120572.830000000074506,3564417.419999999925494,3738608.919999999925494,11423600.169999999925494
20111003,4083343.290000000037253,3451513.160000000149012,3661981.120000000111759,11196838.570000000298023
20111004,4117509.640000000130385,3442016.539999999571592,3681563.780000000260770,11241090.960000000894070
20111005,4167227.569999999832362,3457844.240000000223517,3653892.629999999888241,11278965.440000001341105
20111006,4281272.490000000223517,3450457.979999999981374,3708383.510000000242144,11440114.980000000447035
20111007,4297766.589999999850988,3476837.479999999981374,3712214.900000000372529,11486819.970000000670552
20111010,4397438.080000000074506,3529596.479999999981374,3767982.910000000614673,11695018.470000000670552
20111011,4359266.019999999552965,3524320.579999999608845,3803316.840000000316650,11686904.439999999478459
20111012,4385656.580000000074506,3560196.700000000186265,3761597.260000000242144,11707451.540000000968575
20111013,4402150.679999999701977,3555975.979999999981374,3802039.710000000428408,11760167.370000001043081
20111014,4489569.410000000149012,3579189.939999999944121,3828859.439999999944121,11897619.789999999105930
20111017,4396731.189999999478459,3534872.379999999888241,3774368.560000000055879,11705973.129999998956919
20111018,4215531.720000000670552,3521155.039999999571592,3816088.140000000130385,11552775.900000000372529
20111019,4179951.589999999850988,3536982.740000000223517,3815236.720000000204891,11532172.050000000745058
20111020,4176652.770000000018626,3541203.459999999962747,3789268.410000000614673,11507125.640000000596046
20111021,4279858.709999999031425,3598183.180000000167638,3930178.419999999925494,11808221.309999998658895
20111024,4294467.769999999552965,3581300.299999999813735,3916981.410000000614673,11792750.480000000447035
20111025,4249933.700000001117587,3532762.019999999552965,3906764.370000000111759,11689461.089999999850988
20111026,4287870.130000000819564,3560196.700000000186265,3907190.080000000074506,11755257.910000000149012
20111027,4390840.439999999478459,3617176.419999999925494,3980837.910000000614673,11988855.769999999552965
20111028,4416995.369999999180436,3637224.839999999850988,3971472.290000000502914,12025693.500000000000000
20111031,4350547.709999999031425,3604514.259999999310821,3952741.049999999813735,11907804.019999999552965
20111101,4273261.070000000298023,3536982.740000000223517,3912724.310000000055879,11722969.120000001043081
20111102,4333817.980000000447035,3576024.399999999906868,3939118.330000000074506,11848961.710000000894070
20111103,4413460.919999999925494,3622452.319999999832362,3959126.700000000186265,11995040.940000001341105
20111104,4391782.959999999031425,3576024.399999999906868,3993609.210000000428408,11961417.570000000298023
20111107,4413932.179999999701977,3598183.180000000167638,4028091.720000000204891,12040208.080000000074506
20111108,4412282.769999999552965,3622452.319999999832362,4027240.299999999813735,12061976.390000000596046
20111109,4294232.140000000596046,3536982.740000000223517,3944226.850000000558794,11775442.730000000447035
20111110,4320387.070000000298023,3555975.979999999981374,3970195.160000000614673,11846559.210000000894070
20111111,4415345.959999999031425,3593962.459999999962747,4034051.660000000614673,12043361.080000000074506
20111114,4414639.070000000298023,3577079.579999999608845,4004251.960000000428408,11995971.610000001266599
20111115,4447627.269999999552965,3587631.379999999888241,4021706.070000000298023,12056965.719999998807907
20111116,4397438.080000000074506,3535927.559999999590218,3965512.350000000558794,11898878.990000000223517
20111117,4376467.009999999776483,3514823.959999999962747,3928901.290000000502914,11820193.259999999776483
20111118,4364921.140000000596046,3555975.979999999981374,3948058.239999999757856,11868956.360000001266599
20111121,4276324.259999999776483,3480003.019999999552965,3928475.580000000074506,11684803.859999999403954
20111122,4272318.550000000745058,3481058.200000000186265,3944226.850000000558794,11697604.600000001490116
20111123,4193146.869999999646097,3423023.299999999813735,3911021.470000000204891,11527192.640000000596046
20111125,4172175.800000000279397,3415637.039999999571592,3920812.799999999813735,11508626.640000000596046
20111128,4293525.250000000000000,3438851.000000000465661,3991480.660000000614673,11723857.910000000149012
20111129,4263600.240000000223517,3492665.180000000167638,3978709.359999999869615,11734975.779999999329448
20111130,4429955.019999999552965,3547534.539999999571592,4066405.620000000111759,12043896.179999999701977
