代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12004117.849999999627471
真實報酬,2004117.849999999627471

夏普值報酬,0.191711785000000
夏普值風險,0.067252675781468
夏普值,2.850619440376624

預期報酬,9879.126140365833635
風險,170675.843841382215032
趨勢值,0.057882392247300
找到最佳解世代,2451
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](1),MCD[15](7),PG[21](2),UNH[23](11),WMT[28](18),
Stock#,JNJ[12](1),MCD[15](7),PG[21](2),UNH[23](11),WMT[28](18),
張數,21281,21048,28300,17286,30897,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,11.619999999878928,19.040000000037253,39.000000000000000,9.800000000046566,37.189999999944121,
20150901,1959778.909999999916181,1967375.600000000093132,1949909.000000000232831,1946931.979999999981374,1971883.729999999981374,9795879.220000000670552
20150902,1986592.969999999739230,2021468.960000000195578,1975662.000000000000000,1974589.580000000074506,1991039.869999999878928,9949353.379999998956919
20150903,1971483.459999999962747,2020837.520000000251457,1979058.000000000232831,1970440.939999999944121,2004016.609999999869615,9945836.529999999329448
20150904,1943179.729999999981374,1996421.839999999850988,1945947.000000000232831,1942264.760000000009313,1974046.520000000018626,9801859.849999999627471
20150908,1999148.759999999776483,2037044.479999999981374,1980473.000000000000000,2006741.540000000037253,2050980.049999999813735,10074387.830000000074506
20150909,1962545.439999999944121,2008629.680000000167638,1938023.000000000000000,1989282.679999999934807,2012049.830000000074506,9910530.629999998956919
20150910,1973185.939999999944121,2004841.040000000037253,1933494.999999999767169,2018496.020000000018626,1981152.830000000074506,9911170.830000000074506
20150911,1977654.949999999953434,2050304.719999999972060,1936325.000000000000000,2051858.000000000000000,1997528.240000000223517,10013670.910000000149012
20150914,1985954.539999999804422,2041043.600000000093132,1926137.000000000000000,2036300.600000000093132,1986096.350000000093132,9975532.089999999850988
20150915,2008938.020000000018626,2066722.159999999916181,1965474.000000000000000,2074848.380000000121072,1987332.229999999748543,10103314.789999999105930
20150916,2013407.029999999795109,2077246.159999999916181,1983868.999999999767169,2094208.700000000186265,1998764.119999999878928,10167495.009999999776483
20150917,2018301.659999999916181,2059355.360000000102445,1987830.999999999767169,2130682.160000000149012,1991966.779999999795109,10188136.959999999031425
20150918,1987444.209999999962747,2042727.439999999944121,1979341.000000000000000,2117026.219999999739230,1957053.170000000158325,10083592.040000000968575
20150921,1981911.149999999674037,2060618.240000000223517,1999434.000000000232831,2142436.639999999664724,1968794.029999999795109,10153194.059999998658895
20150922,1984252.059999999823049,2045884.640000000130385,1986416.000000000000000,2124977.780000000260770,1964777.420000000158325,10106307.900000000372529
20150923,1978931.809999999823049,2049673.280000000027940,1988397.000000000232831,2131027.879999999888241,1968794.029999999795109,10116824.000000000000000
20150924,1968078.500000000000000,2047778.960000000195578,2019527.000000000000000,2093171.540000000037253,1972192.699999999953434,10100748.699999999254942
20150925,1936582.619999999878928,2054093.360000000102445,2056600.000000000000000,2011581.620000000111759,1970647.850000000093132,10029505.450000001117587
20150928,1944456.590000000083819,2019785.119999999878928,2031130.000000000000000,1948142.000000000000000,1966940.209999999729916,9910453.919999999925494
20150929,1979995.860000000102445,2051778.080000000074506,2045563.000000000000000,1974416.719999999972060,1970647.850000000093132,10022401.509999999776483
20150930,1986592.969999999739230,2073878.479999999981374,2035941.000000000000000,2005358.660000000149012,2003398.670000000158325,10105169.779999999329448
20151001,1982762.389999999897555,2079140.479999999981374,2036224.000000000000000,2015730.260000000009313,1985787.379999999888241,10099644.509999999776483
20151002,1998935.949999999953434,2100398.959999999962747,2049525.000000000000000,2054105.179999999934807,2007724.250000000000000,10210689.339999999850988
20151005,2016599.179999999934807,2129445.200000000186265,2072165.000000000000000,2068279.700000000186265,2035222.580000000074506,10321711.660000000149012
20151006,1988082.639999999897555,2144810.240000000223517,2077259.000000000232831,2006050.100000000093132,2029352.150000000139698,10245554.130000000819564
20151007,2021281.000000000000000,2142074.000000000000000,2086315.000000000000000,2012618.780000000260770,2050362.109999999869615,10312650.890000000596046
20151008,2023409.099999999860302,2166910.640000000130385,2105559.000000000000000,2006568.679999999934807,2066428.549999999813735,10368875.969999998807907
20151009,2029580.590000000083819,2162911.520000000018626,2107823.000000000000000,2061711.020000000018626,2060558.119999999878928,10422584.250000000000000
20151012,2042774.809999999823049,2173014.560000000055879,2103578.000000000000000,2117717.660000000149012,2067973.400000000139698,10505058.430000001564622
20151013,2031283.069999999832362,2175961.279999999795109,2097352.000000000000000,2143300.940000000409782,2061794.000000000000000,10509691.289999999105930
20151014,2011704.549999999813735,2164174.399999999906868,2100182.000000000000000,2110111.820000000298023,1854784.100000000093132,10240956.869999999180436
20151015,2067460.770000000018626,2181854.719999999739230,2101880.000000000000000,2077268.420000000158325,1833156.199999999953434,10261620.109999999403954
20151016,2090657.059999999823049,2206270.399999999906868,2119709.000000000000000,2073984.080000000074506,1819561.520000000018626,10310182.059999998658895
20151019,2084272.759999999776483,2199324.560000000055879,2127067.000000000000000,2086948.580000000074506,1818325.639999999897555,10315938.540000000968575
20151020,2076824.409999999916181,2185643.360000000335276,2106408.000000000000000,2081589.920000000158325,1815235.939999999944121,10265701.630000000819564
20151021,2077675.649999999674037,2158280.959999999962747,2082636.000000000000000,2041659.260000000009313,1811837.270000000018626,10172089.139999998733401
20151022,2118109.549999999813735,2333610.800000000279397,2118294.000000000000000,1967329.460000000195578,1819870.489999999990687,10357214.300000000745058
