代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13906200.350000001490116
真實報酬,3906200.350000001490116

夏普值報酬,0.381920035000000
夏普值風險,0.090221497136113
夏普值,4.233137856533401

預期報酬,15151.435930065601497
風險,200166.208549244707683
趨勢值,0.075694274472597
找到最佳解世代,1716
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),TRV[22](4),V[25](2),WMT[28](8),
Stock#,HD[9](1),TRV[22](4),V[25](2),WMT[28](8),
張數,56318,42881,99364,40743,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,43.979999999981374,37.700000000186265,1.759999999776483,9.520000000018626,
20120201,2504505.439999999944121,2541594.570000000298023,2546701.079999999608845,2533409.259999999776483,10126210.349999999627471
20120202,2503942.260000000242144,2546740.290000000037253,2635135.039999999571592,2523630.939999999944121,10209448.529999999329448
20120203,2543928.040000000037253,2578043.419999999925494,2658982.399999999906868,2527297.810000000055879,10308251.669999999925494
20120206,2545617.580000000074506,2544167.430000000167638,2666931.519999999552965,2521186.360000000335276,10277902.890000000596046
20120207,2560260.260000000242144,2561748.640000000130385,2657988.759999999776483,2513445.189999999944121,10293442.849999999627471
20120208,2543928.040000000037253,2566465.550000000279397,2691772.519999999552965,2510593.179999999701977,10312759.289999999105930
20120209,2549559.840000000316650,2568180.790000000037253,2793123.799999999813735,2524445.800000000279397,10435310.230000000447035
20120210,2552938.919999999925494,2546311.480000000447035,2829888.479999999981374,2522001.219999999739230,10451140.100000001490116
20120213,2586729.719999999739230,2529587.890000000130385,2800079.279999999795109,2517519.489999999757856,10433916.379999998956919
20120214,2594051.060000000055879,2536877.660000000149012,2862678.599999999627471,2535038.979999999981374,10528646.300000000745058
20120215,2574339.760000000242144,2542452.189999999944121,2859697.679999999701977,2516297.199999999720603,10492786.830000000074506
20120216,2586729.719999999739230,2548884.340000000316650,2826907.559999999590218,2527705.239999999757856,10490226.859999999403954
20120217,2630657.760000000242144,2566465.550000000279397,2856716.759999999776483,2545632.159999999683350,10599472.230000000447035
20120221,2642484.540000000037253,2541594.570000000298023,2836843.959999999962747,2447441.530000000260770,10468364.600000001490116
20120222,2622773.240000000223517,2527443.840000000316650,2890500.519999999552965,2387549.320000000298023,10428266.919999999925494
20120223,2644174.080000000074506,2528301.460000000428408,2893481.439999999944121,2385104.739999999757856,10451061.720000000670552
20120224,2645863.619999999646097,2512864.300000000279397,2920309.719999999739230,2395290.489999999757856,10474328.129999998956919
20120227,2643047.719999999739230,2512864.300000000279397,2903417.839999999850988,2381845.300000000279397,10441175.160000000149012
20120228,2659943.119999999646097,2504288.100000000093132,2955087.119999999646097,2400994.509999999776483,10520312.849999999627471
20120229,2679091.240000000223517,2485849.270000000018626,2890500.519999999552965,2407105.959999999962747,10462546.989999998360872
20120301,2672896.260000000242144,2505145.720000000204891,2911366.959999999962747,2396512.780000000260770,10485921.720000000670552
20120302,2670080.359999999869615,2487564.510000000242144,2885532.319999999832362,2404253.949999999720603,10447431.139999998733401
20120305,2668954.000000000000000,2508576.200000000186265,2887519.599999999627471,2420143.719999999739230,10485193.519999999552965
20120306,2612636.000000000000000,2443825.890000000130385,2852742.199999999720603,2402624.229999999981374,10311828.320000000298023
20120307,2668954.000000000000000,2438680.169999999925494,2872615.000000000000000,2438885.500000000000000,10419134.669999999925494
