代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13772458.580000001937151
真實報酬,3772458.580000001937151

夏普值報酬,0.368545858000000
夏普值風險,0.091056451933979
夏普值,4.047443648114215

預期報酬,17385.403572562328918
風險,433847.573879080940969
趨勢值,0.040072607568408
找到最佳解世代,2275
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](1),MCD[15](12),UNH[23](2),
Stock#,IBM[10](1),MCD[15](12),UNH[23](2),
張數,27071,45624,105086,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,80.770000000018626,43.560000000055879,5.080000000074506,
20100901,3404800.439999999944121,3400856.520000000484288,3424757.820000000298023,10230415.780000001192093
20100902,3385038.610000000335276,3422756.040000000037253,3453131.040000000037253,10260926.690000001341105
20100903,3453798.950000000186265,3425949.720000000204891,3563471.339999999850988,10443221.009999999776483
20100907,3409673.220000000204891,3458342.759999999776483,3549810.160000000149012,10417827.140000000596046
20100908,3413192.450000000186265,3471117.479999999981374,3557166.180000000167638,10441477.109999999403954
20100909,3420772.330000000074506,3393100.440000000409782,3575030.800000000279397,10388904.570000000298023
20100910,3464898.060000000055879,3422299.800000000279397,3624421.220000000204891,10511620.080000000074506
20100913,3508753.080000000540167,3402225.239999999757856,3648591.000000000000000,10559570.320000000298023
20100914,3488179.119999999646097,3373482.120000000111759,3637031.540000000037253,10498693.780000001192093
20100915,3503880.300000000279397,3408612.599999999627471,3601302.300000000279397,10513796.200000001117587
20100916,3510377.339999999850988,3412718.759999999776483,3598149.720000000204891,10521246.820000000298023
20100917,3524454.259999999776483,3390819.239999999757856,3586590.260000000242144,10501864.759999999776483
20100920,3567767.859999999869615,3426862.200000000186265,3670659.060000000055879,10665290.120000001043081
20100921,3572911.349999999627471,3445111.800000000279397,3705337.439999999944121,10723361.589999999850988
20100922,3588883.239999999757856,3427774.679999999701977,3749473.560000000055879,10766132.480000000447035
20100923,3564519.339999999850988,3405418.919999999925494,3724252.919999999925494,10694192.179999999701977
20100924,3630572.580000000540167,3426405.959999999962747,3754727.859999999869615,10811707.400000000372529
20100927,3645190.920000000391155,3410893.800000000279397,3714795.180000000167638,10770880.900000000372529
20100928,3651687.959999999497086,3404962.679999999701977,3682218.520000000018626,10738870.159999998286366
20100929,3667659.849999999627471,3396750.360000000335276,3699032.280000000260770,10763443.490000000223517
20100930,3631384.709999999497086,3399487.800000000279397,3689574.540000000037253,10720448.050000000745058
20101001,3671991.209999999497086,3418193.640000000130385,3723202.060000000055879,10813387.910000000149012
20101004,3661433.520000000018626,3419562.360000000335276,3629675.520000000018626,10710672.400000000372529
20101005,3726674.629999999888241,3459255.239999999757856,3685371.100000000093132,10871301.969999998807907
20101006,3722884.690000000409782,3440093.160000000149012,3578183.379999999888241,10741162.230000000447035
20101007,3755369.890000000130385,3461080.200000000186265,3608658.320000000298023,10825109.410000000149012
20101008,3758889.119999999646097,3472029.959999999962747,3609709.180000000167638,10840629.259999999776483
20101011,3780816.629999999888241,3448761.720000000204891,3641234.979999999981374,10870814.330000000074506
20101012,3785960.119999999646097,3448305.479999999981374,3680116.800000000279397,10914383.400000000372529
20101013,3800037.040000000037253,3456061.560000000055879,3711642.600000000093132,10967742.199999999254942
20101014,3830627.270000000018626,3514916.520000000484288,3759982.160000000149012,11105526.950000001117587
20101015,3818716.030000000260770,3534991.080000000074506,3780999.359999999869615,11134707.470000000670552
20101018,3866631.700000000186265,3527691.239999999757856,3809372.580000000074506,11203696.519999999552965
20101019,3736690.899999999906868,3512635.319999999832362,3709540.879999999888241,10958868.099999999627471
20101020,3764844.739999999757856,3531797.399999999906868,3859813.859999999869615,11156457.000000000000000
20101021,3785418.700000000186265,3578790.120000000111759,3834593.220000000204891,11198803.040000000968575
20101022,3781087.339999999850988,3583808.759999999776483,3915509.439999999944121,11280406.539999999105930
20101025,3785689.410000000149012,3590652.360000000335276,3947035.240000000223517,11323378.010000001639128
20101026,3808158.339999999850988,3593389.800000000279397,3948086.100000000093132,11349635.240000000223517
20101027,3828732.300000000279397,3534991.080000000074506,3775745.060000000055879,11139469.440000001341105
20101028,3814384.670000000391155,3534991.080000000074506,3809372.580000000074506,11158749.330000000074506
20101029,3887476.369999999646097,3548222.040000000037253,3788355.379999999888241,11224054.789999999105930
20101101,3879896.489999999757856,3553240.679999999701977,3794660.540000000037253,11227798.710000000894070
20101102,3893973.410000000149012,3576965.160000000149012,3888187.080000000074506,11359126.650000000372529
20101103,3902906.839999999850988,3581527.560000000055879,3852457.839999999850988,11336893.240000000223517
20101104,3973832.859999999869615,3612551.880000000353903,3867169.879999999888241,11453555.620000001043081
20101105,3977352.089999999850988,3618026.759999999776483,3873475.040000000037253,11468854.890000000596046
20101108,3964899.430000000167638,3618483.000000000000000,3900797.399999999906868,11484180.830000000074506
20101109,3956236.709999999497086,3608901.959999999962747,3886085.359999999869615,11451225.029999999329448
20101110,3967335.820000000298023,3627151.560000000055879,3905000.839999999850988,11499489.220000000670552
20101111,3937016.300000000279397,3636276.360000000335276,3937577.500000000000000,11510871.160000000149012
20101112,3891266.310000000055879,3597495.959999999962747,3853508.700000000186265,11342271.969999998807907
20101115,3888559.209999999497086,3607533.239999999757856,3727405.500000000000000,11223498.949999999254942
20101116,3850659.810000000055879,3532253.640000000130385,3679065.939999999944121,11061980.390000000596046
20101117,3842809.219999999739230,3575596.440000000409782,3712693.459999999962747,11131100.120000001043081
20101118,3908050.330000000540167,3605252.040000000037253,3744219.260000000242144,11257522.630000000819564
