代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12116669.780000001192093
真實報酬,2116669.780000001192093

夏普值報酬,0.202966978000000
夏普值風險,0.079988115564880
夏普值,2.537464179105081

預期報酬,10656.283863438857225
風險,278193.685406350938138
趨勢值,0.038305268675935
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](9),MCD[15](4),V[25](1),
Stock#,KO[14](9),MCD[15](4),V[25](1),
張數,99770,40879,164446,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.300000000279397,59.339999999850988,12.580000000074506,
20110601,3330339.900000000372529,3310440.760000000242144,3256043.380000000353903,9896825.040000000968575
20110602,3294422.700000000651926,3301038.589999999850988,3318532.859999999869615,9913995.150000000372529
20110603,3269480.200000000651926,3292454.000000000000000,3252754.460000000428408,9814689.660000002011657
20110606,3263494.000000000465661,3298994.640000000130385,3214931.880000000353903,9777421.520000001415610
20110607,3252519.300000000279397,3316981.399999999906868,3280710.279999999795109,9850211.980000000447035
20110608,3262496.300000000745058,3317390.189999999944121,3154086.859999999869615,9733974.349999999627471
20110609,3287438.800000000745058,3321886.879999999888241,3142575.640000000130385,9751902.320000000298023
20110610,3262496.300000000745058,3285095.779999999795109,3070219.400000000372529,9617812.480000000447035
20110613,3248528.500000000465661,3300221.010000000242144,3078441.699999999720603,9627192.210000000894070
20110614,3273471.000000000465661,3330471.469999999739230,3121197.660000000149012,9725141.130000000819564
20110615,3241544.600000000558794,3321069.299999999813735,3076797.240000000223517,9639412.140000000596046
20110616,3266487.100000000558794,3344370.330000000074506,3078441.699999999720603,9689300.130000000819564
20110617,3273471.000000000465661,3373394.419999999459833,3060352.640000000130385,9707219.060000000521541
20110620,3284445.700000000651926,3380343.849999999627471,3043908.040000000502914,9708698.590000001713634
20110621,3305397.400000000372529,3384840.539999999571592,3083375.080000000074506,9773614.019999999552965
20110622,3312381.300000000745058,3378708.689999999944121,3070219.400000000372529,9761310.390000000596046
20110623,3241544.600000000558794,3363992.250000000000000,3096530.759999999776483,9702068.609999999403954
20110624,3239549.200000000186265,3345596.700000000186265,3015952.220000000204891,9601099.120000001043081
20110627,3252519.300000000279397,3365218.619999999646097,3037330.199999999720603,9655069.119999999180436
20110628,3294422.700000000651926,3448202.989999999757856,3094886.300000000279397,9837512.990000000223517
20110629,3327346.800000000279397,3457196.369999999646097,3558624.020000000018626,10343168.189999999478459
20110630,3357277.800000000279397,3446976.619999999646097,3464889.800000000279397,10269145.220000000670552
20110701,3397185.799999999813735,3501345.689999999944121,3616180.119999999646097,10514712.609999999403954
20110705,3407162.800000000279397,3500936.899999999906868,3630980.259999999776483,10539080.960000000894070
20110706,3419135.200000000651926,3509930.279999999795109,3626046.880000000353903,10555113.360000001266599
20110707,3430109.900000000372529,3518106.080000000074506,3706625.419999999925494,10654842.400000000372529
20110708,3426119.100000000558794,3499301.739999999757856,3688536.359999999869615,10613958.199999999254942
20110711,3397185.799999999813735,3489081.989999999757856,3614535.660000000149012,10500804.449999999254942
20110712,3384215.700000000651926,3474365.549999999813735,3606313.359999999869615,10464895.609999999403954
20110713,3395190.400000000372529,3473139.179999999701977,3649069.320000000298023,10517399.900000000372529
20110714,3376234.100000000558794,3507886.330000000074506,3616180.119999999646097,10500301.550000000745058
20110715,3369250.200000000651926,3494396.260000000242144,3649069.320000000298023,10512716.780000001192093
20110718,3348298.500000000465661,3491125.939999999944121,3621113.500000000000000,10460538.940000001341105
20110719,3458045.500000000000000,3524237.929999999701977,3667158.380000000353903,10649442.810000000521541
20110720,3436096.100000000093132,3526690.669999999459833,3644135.939999999944121,10606923.709999999031425
20110721,3459043.200000000651926,3537728.000000000000000,3619469.040000000502914,10616241.240000002086163
20110722,3478997.200000000186265,3620303.580000000074506,3680314.060000000055879,10779615.839999999850988
20110725,3455052.400000000372529,3602316.819999999832362,3662225.000000000000000,10719595.220000000670552
20110726,3452059.300000000279397,3598228.919999999459833,3667158.380000000353903,10717447.599999999627471
20110727,3427116.800000000279397,3560211.450000000186265,3607957.820000000298023,10595287.070000000298023
20110728,3433103.000000000000000,3547538.959999999962747,3573424.160000000149012,10554067.120000001043081
20110729,3393195.000000000000000,3535275.260000000242144,3517512.520000000018626,10445983.779999999329448
20110801,3379227.200000000186265,3531596.149999999906868,3522445.900000000372529,10433270.250000000000000
20110802,3345305.400000000372529,3477227.080000000074506,3435289.520000000018626,10257823.000000000000000
20110803,3412151.300000000745058,3496849.000000000000000,3596446.600000000093132,10505447.900000000372529
20110804,3283448.000000000000000,3445341.459999999962747,3494490.080000000074506,10223280.539999999105930
20110805,3331337.600000000558794,3478044.659999999683350,3428711.680000000167638,10238094.939999999478459
20110808,3248528.500000000465661,3356634.029999999795109,3257687.839999999850988,9862851.370000001043081
20110809,3326349.100000000558794,3514018.179999999701977,3402400.320000000298023,10242768.600000001490116
20110810,3190661.900000000372529,3437165.659999999683350,3259332.300000000279397,9887160.860000001266599
20110811,3316372.100000000558794,3527099.459999999962747,3474756.560000000055879,10318229.120000001043081
20110812,3349296.200000000186265,3536092.839999999850988,3446800.740000000223517,10332190.780000001192093
20110815,3402174.300000000279397,3549174.119999999646097,3530668.199999999720603,10482017.619999999180436
20110816,3401176.600000000558794,3543042.270000000018626,3529023.740000000223517,10473243.610000001266599
20110817,3456050.100000000558794,3576971.839999999850988,3453378.580000000074506,10486401.519999999552965
20110818,3380224.900000000372529,3499710.529999999795109,3300443.800000000279397,10180380.230000000447035
20110819,3347300.799999999813735,3565934.510000000242144,3272487.979999999981374,10185724.290000000968575
20110822,3356280.100000000558794,3587600.379999999888241,3280710.279999999795109,10224591.759999999776483
20110823,3445075.400000000372529,3659956.209999999962747,3443511.820000000298023,10548544.429999999701977
20110824,3476004.100000000558794,3684483.609999999869615,3552046.180000000167638,10712534.890000000596046
20110825,3391199.600000000558794,3626435.429999999701977,3458311.960000000428408,10475947.990000000223517
20110826,3417139.800000000279397,3676307.810000000055879,3529023.740000000223517,10622472.350000001490116
20110829,3478997.200000000186265,3711463.750000000000000,3560268.479999999981374,10750730.429999999701977
20110830,3484983.400000000372529,3711054.959999999962747,3614535.660000000149012,10810575.019999999552965
20110831,3514914.399999999906868,3695929.729999999515712,3612891.199999999720603,10823736.329999998211861
20110901,3514914.399999999906868,3682030.869999999646097,3606313.359999999869615,10803259.629999998956919
20110902,3478997.200000000186265,3641969.450000000186265,3517512.520000000018626,10638480.169999999925494
20110906,3464031.700000000186265,3630932.119999999646097,3530668.199999999720603,10625633.019999999552965
20110907,3531875.300000000279397,3650145.250000000000000,3637558.100000000093132,10819579.650000000372529
20110908,3550831.600000000558794,3622347.529999999795109,3596446.600000000093132,10769626.730000000447035
20110909,3461038.600000000093132,3476000.709999999962747,3550401.720000000204891,10487442.030000001192093
20110912,3461038.600000000093132,3523420.349999999627471,3594802.140000000130385,10579262.089999999850988
20110913,3447070.799999999813735,3520558.819999999832362,3607957.820000000298023,10575588.439999999478459
20110914,3480992.600000000558794,3546312.589999999850988,3683602.979999999981374,10710909.169999999925494
20110915,3542850.000000000000000,3600272.869999999646097,3721425.560000000055879,10864549.429999999701977
20110916,3553824.700000000186265,3609266.250000000000000,3734581.240000000223517,10897673.190000001341105
20110919,3515912.100000000558794,3630523.330000000074506,3701692.040000000502914,10848128.470000000670552
20110920,3524891.399999999906868,3650962.830000000074506,3816804.240000000223517,10992659.470000000670552
20110921,3456050.100000000558794,3577789.419999999459833,3759248.140000000130385,10793088.660000000149012
20110922,3383218.000000000000000,3515244.549999999813735,3630980.259999999776483,10529443.809999998658895
20110923,3363264.000000000465661,3571657.569999999832362,3703336.500000000000000,10638259.070000000298023
20110926,3430109.900000000372529,3652189.200000000186265,3711558.800000000279397,10793858.900000000372529
20110927,3470017.900000000372529,3668540.799999999813735,3678669.600000000093132,10817229.300000000745058
20110928,3395190.400000000372529,3598637.709999999962747,3603024.439999999944121,10596853.550000000745058
20110929,3445075.400000000372529,3629296.959999999962747,3604668.900000000372529,10679042.260000001639128
20110930,3370247.900000000372529,3590053.119999999646097,3524090.359999999869615,10484392.379999998956919
20111003,3263494.000000000465661,3516470.919999999459833,3464889.800000000279397,10244855.720000000670552
20111004,3254514.700000000186265,3535275.260000000242144,3486267.779999999795109,10276058.740000000223517
20111005,3269480.200000000651926,3508703.909999999683350,3494490.080000000074506,10272675.190000001341105
20111006,3262496.300000000745058,3561029.029999999795109,3581646.460000000428408,10405172.790000000968575
20111007,3287438.800000000745058,3564708.140000000130385,3545468.339999999850988,10397616.280000001192093
20111010,3337323.800000000745058,3618259.629999999888241,3668802.839999999850988,10624387.269999999552965
20111011,3332335.300000000279397,3652189.200000000186265,3721425.560000000055879,10705951.060000000521541
20111012,3366257.100000000558794,3612127.779999999795109,3747736.919999999925494,10726122.800000000745058
20111013,3362266.300000000745058,3650962.830000000074506,3806937.479999999981374,10820167.610000001266599
20111014,3384215.700000000651926,3676716.599999999627471,3861204.660000000149012,10922137.960000000894070
20111017,3342312.300000000279397,3624391.479999999515712,3749381.380000000353903,10716086.160000000149012
20111018,3329342.200000000186265,3664452.899999999906868,3861204.660000000149012,10855000.759999999776483
20111019,3344307.700000000651926,3663635.319999999832362,3703336.500000000000000,10711280.519999999552965
20111020,3348298.500000000465661,3638699.129999999888241,3755959.220000000204891,10742957.850000001490116
20111021,3402174.300000000279397,3774008.619999999646097,3841471.140000000130385,11017655.060000000521541
20111024,3386211.100000000093132,3761336.129999999888241,3872715.880000000353903,11020264.110000001266599
20111025,3340316.899999999906868,3751525.169999999459833,3728003.400000000372529,10819846.469999998807907
20111026,3366257.100000000558794,3751933.959999999962747,3783915.040000000502914,10902107.100000001490116
20111027,3420132.900000000372529,3822654.629999999888241,3880938.180000000167638,11123726.710000000894070
20111028,3439089.200000000186265,3813661.250000000000000,3910538.460000000428408,11163289.910000000149012
20111031,3408160.500000000000000,3795674.489999999757856,3834893.300000000279397,11038729.290000000968575
20111101,3344307.700000000651926,3757248.229999999515712,3701692.040000000502914,10803248.970000000670552
20111102,3381222.600000000558794,3782593.209999999962747,3762537.060000000055879,10926353.870000001043081
20111103,3425121.399999999906868,3801806.339999999850988,3831604.380000000353903,11058533.120000001043081
20111104,3381222.600000000558794,3834918.330000000074506,3808581.939999999944121,11024723.870000001043081
20111107,3402174.300000000279397,3868030.319999999832362,3821737.619999999646097,11091943.240000000223517
20111108,3425121.399999999906868,3867212.739999999757856,3887516.020000000018626,11179851.160000000149012
20111109,3344307.700000000651926,3787498.689999999944121,3828315.460000000428408,10960122.850000001490116
20111110,3362266.300000000745058,3812434.879999999888241,3825026.540000000502914,10999728.720000000670552
20111111,3398183.500000000465661,3873753.379999999888241,3912182.919999999925494,11184120.800000000745058
20111114,3382220.300000000279397,3845138.080000000074506,3857915.740000000223517,11085275.120000001043081
20111115,3392197.300000000279397,3861898.469999999739230,3931916.439999999944121,11186013.209999999031425
20111116,3343310.000000000000000,3807938.189999999944121,3839826.680000000167638,10991075.869999999180436
20111117,3323356.000000000465661,3772782.250000000000000,3757603.680000000167638,10853742.929999999701977
20111118,3362266.300000000745058,3791177.799999999813735,3732936.779999999795109,10886381.880000000819564
20111121,3290431.899999999906868,3772373.459999999962747,3749381.380000000353903,10812187.740000000223517
20111122,3291429.600000000558794,3787498.689999999944121,3734581.240000000223517,10813510.530000001192093
20111123,3236556.100000000093132,3755613.069999999832362,3670447.300000000279397,10662617.470000000670552
20111125,3229572.200000000186265,3765015.239999999757856,3660580.540000000502914,10655168.980000000447035
20111128,3251521.600000000558794,3832874.379999999888241,3843115.600000000093132,10927512.580000000074506
20111129,3302404.300000000279397,3820610.679999999701977,3820093.160000000149012,10943109.140000000596046
20111130,3354284.700000000186265,3904821.419999999459833,3986183.619999999646097,11245290.739999998360872
20111201,3334330.700000000651926,3904003.839999999850988,4019072.820000000298023,11257408.360000001266599
20111202,3311383.600000000093132,3912179.640000000130385,3996050.380000000353903,11219614.620000001043081
20111205,3308390.500000000000000,3897871.989999999757856,3950005.500000000000000,11156268.990000000223517
20111206,3326349.100000000558794,3924852.129999999888241,3920405.220000000204891,11171607.450000001117587
20111207,3331337.600000000558794,3942838.890000000130385,3991117.000000000000000,11265294.490000000223517
20111208,3329342.200000000186265,3962052.020000000018626,3938494.279999999795109,11229889.500000000000000
20111209,3370247.900000000372529,4007427.709999999962747,3996050.380000000353903,11373726.990000000223517
20111212,3337323.800000000745058,4025823.260000000242144,3984539.160000000149012,11347687.220000000670552
20111213,3316372.100000000558794,4006201.339999999850988,3943427.660000000149012,11266002.100000001490116
20111214,3305397.400000000372529,3990258.529999999795109,3961516.720000000204891,11257173.650000000372529
20111215,3337323.800000000745058,4011924.399999999906868,3940138.740000000223517,11289387.940000001341105
20111216,3364261.700000000186265,3985353.049999999813735,4005917.140000000130385,11355532.890000000596046
20111219,3361268.600000000093132,3975133.299999999813735,4053606.479999999981374,11390009.380000000819564
20111220,3412151.300000000745058,4039722.119999999646097,4167074.220000000204891,11618948.640000000596046
20111221,3470017.900000000372529,4055256.140000000130385,4140762.859999999869615,11666037.900000000372529
20111222,3452059.300000000279397,4030728.739999999757856,4134185.020000000018626,11616974.060000000521541
20111223,3488974.200000000186265,4094091.189999999944121,4213119.100000000558794,11796185.490000002086163
20111227,3485981.100000000093132,4110442.789999999571592,4190096.660000000149012,11786521.550000000745058
20111228,3468022.500000000000000,4070790.159999999683350,4140762.859999999869615,11679576.519999999552965
20111229,3499948.899999999906868,4121071.330000000074506,4241074.919999999925494,11862096.150000000372529
20111230,3490969.600000000558794,4101449.409999999683350,4173652.060000000055879,11766072.070000000298023
20120103,3498951.200000000186265,4040539.700000000186265,4234497.080000000074506,11773988.980000000447035
20120104,3477001.800000000279397,4063023.149999999906868,4158851.919999999925494,11698877.870000001043081
20120105,3461038.600000000093132,4081009.909999999683350,4190096.660000000149012,11732146.169999999925494
20120106,3439089.200000000186265,4112486.739999999757856,4140762.859999999869615,11692339.799999998882413
20120109,3439089.200000000186265,4073242.899999999906868,4107873.660000000149012,11620206.759999999776483
20120110,3459043.200000000651926,4075695.640000000130385,4102940.279999999795109,11637680.120000001043081
20120111,3395190.400000000372529,4085097.810000000055879,4074984.460000000428408,11555273.670000001788139
20120112,3370247.900000000372529,4111260.369999999646097,4167074.220000000204891,11648583.490000000223517
20120113,3341314.600000000558794,4102266.989999999757856,4142407.320000000298023,11585989.910000000149012
20120117,3359273.200000000651926,4110442.789999999571592,4214763.559999999590218,11684480.550000000745058
20120118,3372243.299999999813735,4151730.580000000074506,4267386.280000000260770,11791361.160000000149012
20120119,3365259.399999999906868,4139466.879999999888241,4208185.719999999739230,11712913.000000000000000
20120120,3397185.799999999813735,4159088.799999999813735,4135829.479999999981374,11692105.080000000074506
20120123,3419135.200000000651926,4126794.390000000130385,4094717.979999999981374,11640648.570000000298023
20120124,3387208.800000000745058,4036860.589999999850988,4152274.080000000074506,11576344.470000000670552
20120125,3414146.700000000186265,4056482.510000000242144,4134185.020000000018626,11604815.230000000447035
20120126,3393195.000000000000000,4054438.560000000055879,4147340.699999999720603,11594975.259999999776483
20120127,3364261.700000000186265,4034407.849999999627471,4153918.540000000502914,11552589.089999999850988
20120130,3365259.399999999906868,4034407.849999999627471,4106229.199999999720603,11505897.449999999254942
20120131,3369250.200000000651926,4049124.289999999571592,4137473.939999999944121,11555849.429999999701977
20120201,3384215.700000000651926,4022552.939999999944121,4214763.559999999590218,11621533.199999999254942
20120202,3384215.700000000651926,4031546.319999999832362,4361120.500000000000000,11776883.519999999552965
20120203,3396188.100000000093132,4088368.129999999888241,4400587.540000000037253,11885144.769999999552965
20120206,3394192.700000000651926,4067111.049999999813735,4413743.219999999739230,11875047.969999998807907
20120207,3420132.900000000372529,4125159.229999999515712,4398943.080000000074506,11944236.210000000894070
20120208,3409158.200000000651926,4090003.289999999571592,4454854.719999999739230,11954017.210000000894070
20120209,3391199.600000000558794,4087550.549999999813735,4622589.639999999664724,12101340.789999999105930
20120210,3389204.200000000186265,4066293.469999999739230,4683434.660000000149012,12138933.330000000074506
20120213,3414146.700000000186265,4073651.689999999944121,4634100.860000000335276,12121900.250000000000000
20120214,3437093.800000000745058,4069563.789999999571592,4737701.839999999850988,12244360.429999999701977
20120215,3412151.300000000745058,4031137.529999999795109,4732768.459999999962747,12176058.289999999105930
20120216,3435098.400000000372529,4057708.879999999888241,4678501.280000000260770,12171309.560000000521541
20120217,3445075.400000000372529,4087550.549999999813735,4727835.080000000074506,12260462.030000001192093
20120221,3433103.000000000000000,4107990.049999999813735,4694945.879999999888241,12236039.929999999701977
