代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15056297.899999998509884
真實報酬,5056297.899999998509884

夏普值報酬,0.496929790000000
夏普值風險,0.118632144128441
夏普值,4.188829205194013

預期報酬,20721.669319476037344
風險,247312.513691526779439
趨勢值,0.083787387100526
找到最佳解世代,2128
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](13),HD[9](28),MCD[15](15),MRK[17](8),MSFT[18](7),PG[21](5),UNH[23](20),
Stock#,AAPL[0](1),BA[2](13),HD[9](28),MCD[15](15),MRK[17](8),MSFT[18](7),PG[21](5),UNH[23](20),
張數,69521,31210,47492,23456,51567,61697,25283,53146,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,12.419999999925494,39.500000000000000,10.560000000055879,29.760000000009313,15.920000000158325,18.779999999795109,8.479999999981374,6.080000000074506,
20090501,1263904.199999999953434,1286203.600000000093132,1223879.400000000139698,1229124.159999999916181,1253094.020000000251457,1248766.059999999590218,1251516.979999999981374,1220769.699999999953434,9977258.119999999180436
20090504,1311873.689999999944121,1316477.300000000046566,1244775.880000000121072,1237802.880000000121072,1269595.460000000195578,1245681.209999999962747,1289188.650000000139698,1260629.199999999953434,10176024.269999999552965
20090505,1318130.580000000074506,1346751.000000000000000,1243826.040000000037253,1246950.719999999972060,1268048.450000000186265,1221002.409999999683350,1258849.050000000046566,1358417.840000000083819,10261976.089999999850988
20090506,1316044.949999999953434,1379521.500000000000000,1236702.239999999990687,1259382.399999999906868,1269079.790000000037253,1221002.409999999683350,1285396.199999999953434,1378081.860000000102445,10345211.349999997764826
20090507,1281979.659999999916181,1358610.800000000046566,1216280.679999999934807,1252345.600000000093132,1300019.990000000223517,1192004.819999999832362,1298037.699999999953434,1508821.020000000018626,10408100.269999999552965
20090508,1283370.080000000074506,1430393.800000000046566,1211056.560000000055879,1288233.280000000027940,1279908.860000000102445,1198174.519999999785796,1303852.790000000037253,1534331.100000000093132,10529320.990000000223517
