代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12552063.359999999403954
真實報酬,2552063.359999999403954

夏普值報酬,0.246506336000000
夏普值風險,0.080337542848515
夏普值,3.068382816547093

預期報酬,10479.821557982226295
風險,323603.046255178400315
趨勢值,0.032384805023493
找到最佳解世代,2146
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,2
JNJ[12](5),MCD[15](1),
Stock#,JNJ[12](5),MCD[15](1),
張數,51303,52592,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.620000000111759,78.560000000521541,
20150701,5051816.030000000260770,5036288.480000000447035,10088104.510000001639128
20150702,5050276.940000000409782,5057851.200000000186265,10108128.140000000596046
20150706,5037964.220000000670552,5030503.360000001266599,10068467.580000001937151
20150707,5074902.379999999888241,5084673.120000001043081,10159575.500000000000000
20150708,5015903.929999999701977,5040495.840000000782311,10056399.769999999552965
20150709,5048224.820000000298023,5074680.640000000596046,10122905.460000000894070
20150710,5106197.209999999962747,5135687.360000001266599,10241884.570000000298023
20150713,5144161.429999999701977,5176709.120000001043081,10320870.550000000745058
20150714,5119022.959999999962747,5195116.320000000298023,10314139.280000001192093
20150715,5151856.879999999888241,5210368.000000000000000,10362224.879999998956919
20150716,5187255.950000000186265,5146731.680000000633299,10333987.630000000819564
20150717,5134413.860000000335276,5127798.560000000521541,10262212.420000001788139
20150720,5149291.730000000447035,5127272.640000000596046,10276564.370000001043081
20150721,5147752.640000000596046,5118332.000000000000000,10266084.640000000596046
20150722,5139544.160000000149012,5132005.920000000856817,10271550.080000001937151
20150723,5140570.220000000670552,5106235.840000000782311,10246806.060000002384186
20150724,5086702.070000000298023,5054169.759999999776483,10140871.830000000074506
20150727,5042068.459999999962747,5051014.240000001154840,10093082.700000001117587
20150728,5080032.679999999701977,5118857.920000000856817,10198890.600000001490116
20150729,5116457.810000000521541,5165138.879999999888241,10281596.690000001341105
20150730,5122101.140000000596046,5215627.200000000186265,10337728.339999999850988
20150731,5141083.250000000000000,5251915.680000000633299,10392998.929999999701977
20150803,5131335.679999999701977,5228775.200000000186265,10360110.879999998956919
20150804,5120049.019999999552965,5214049.440000000409782,10334098.460000000894070
20150805,5156987.179999999701977,5248760.160000000149012,10405747.339999999850988
20150806,5082597.830000000074506,5225093.759999999776483,10307691.589999999850988
20150807,5071311.169999999925494,5202479.200000000186265,10273790.370000001043081
20150810,5119535.990000000223517,5227197.440000000409782,10346733.429999999701977
20150811,5079519.650000000372529,5196694.080000001005828,10276213.730000000447035
20150812,5064128.750000000000000,5168820.320000000298023,10232949.070000000298023
20150813,5052329.060000000521541,5226145.600000000558794,10278474.660000000149012
20150814,5069259.049999999813735,5220886.400000000372529,10290145.449999999254942
20150817,5123640.230000000447035,5293989.280000000260770,10417629.510000001639128
20150818,5097988.730000000447035,5299248.480000000447035,10397237.210000000894070
20150819,5094910.549999999813735,5317129.759999999776483,10412040.309999998658895
20150820,5068232.990000000223517,5246656.480000000447035,10314889.470000000670552
20150821,4902524.299999999813735,5108339.520000000484288,10010863.820000000298023
20150824,4761954.080000000074506,4884297.600000000558794,9646251.679999999701977
20150825,4654730.810000000521541,4796994.879999999888241,9451725.690000001341105
20150826,4879437.950000000186265,5004207.360000001266599,9883645.310000002384186
20150827,4936384.280000000260770,5118857.920000000856817,10055242.200000001117587
20150828,4882516.129999999888241,5062058.560000000521541,9944574.690000001341105
20150831,4821465.560000000521541,4997370.400000000372529,9818835.960000000894070
20150901,4724502.890000000596046,4915852.800000000745058,9640355.690000001341105
20150902,4789144.669999999925494,5051014.240000001154840,9840158.910000000149012
20150903,4752719.540000000037253,5049436.480000000447035,9802156.019999999552965
20150904,4684486.549999999813735,4988429.759999999776483,9672916.309999998658895
20150908,4819413.440000000409782,5089932.320000000298023,9909345.760000001639128
20150909,4731172.280000000260770,5018933.120000001043081,9750105.400000002235174
20150910,4756823.780000000260770,5009466.560000000521541,9766290.339999999850988
20150911,4767597.410000000149012,5123065.280000000260770,9890662.690000001341105
20150914,4787605.580000000074506,5099924.800000000745058,9887530.380000000819564
20150915,4843012.820000000298023,5164087.040000000037253,10007099.859999999403954
20150916,4853786.450000000186265,5190383.040000000037253,10044169.490000000223517
20150917,4865586.140000000596046,5145679.840000000782311,10011265.980000000447035
20150918,4791196.790000000037253,5104132.160000000149012,9895328.949999999254942
20150921,4777858.009999999776483,5148835.360000001266599,9926693.370000001043081
20150922,4783501.339999999850988,5112020.960000000894070,9895522.300000000745058
20150923,4770675.589999999850988,5121487.520000000484288,9892163.109999999403954
20150924,4744511.060000000521541,5116754.240000001154840,9861265.300000000745058
20150925,4668582.620000000111759,5132531.840000000782311,9801114.460000000894070
20150928,4687564.730000000447035,5046806.879999999888241,9734371.609999999403954
20150929,4773240.740000000223517,5126746.720000000670552,9899987.460000000894070
20150930,4789144.669999999925494,5181968.320000000298023,9971112.990000000223517
20151001,4779910.129999999888241,5195116.320000000298023,9975026.449999999254942
20151002,4818900.410000000149012,5248234.240000001154840,10067134.650000002235174
20151005,4861481.900000000372529,5320811.200000000186265,10182293.100000001490116
20151006,4792735.879999999888241,5359203.360000001266599,10151939.240000002086163
20151007,4872768.560000000521541,5352366.400000000372529,10225134.960000000894070
20151008,4877898.860000000335276,5414424.960000000894070,10292323.820000000298023
20151009,4892776.730000000447035,5404432.480000000447035,10297209.210000000894070
20151012,4924584.589999999850988,5429676.640000000596046,10354261.230000000447035
20151013,4896880.970000000670552,5437039.520000000484288,10333920.490000002086163
20151014,4849682.209999999962747,5407588.000000000000000,10257270.210000000894070
20151015,4984096.070000000298023,5451765.280000000260770,10435861.350000001490116
20151016,5040016.339999999850988,5512772.000000000000000,10552788.339999999850988
20151019,5024625.440000000409782,5495416.640000000596046,10520042.080000001937151
20151020,5006669.390000000596046,5461231.840000000782311,10467901.230000000447035
20151021,5008721.509999999776483,5392862.240000001154840,10401583.750000000000000
20151022,5106197.209999999962747,5830953.600000000558794,10937150.810000000521541
20151023,5146213.549999999813735,5921411.840000000782311,11067625.390000000596046
20151026,5127231.440000000409782,5899849.120000001043081,11027080.560000002384186
20151027,5140057.190000000409782,5871449.440000000409782,11011506.630000000819564
20151028,5154935.060000000521541,5939819.040000000037253,11094754.100000001490116
20151029,5200594.730000000447035,5922989.600000000558794,11123584.330000001937151
20151030,5183151.709999999962747,5903530.560000000521541,11086682.269999999552965
20151102,5241637.129999999888241,5896167.680000000633299,11137804.810000000521541
20151103,5230863.500000000000000,5894589.920000000856817,11125453.420000001788139
20151104,5229837.440000000409782,5911419.360000001266599,11141256.800000000745058
20151105,5249845.610000000335276,5935085.759999999776483,11184931.370000001043081
20151106,5228811.379999999888241,5959278.080000001005828,11188089.460000000894070
20151109,5173404.140000000596046,5939293.120000001043081,11112697.260000001639128
20151110,5204698.970000000670552,5954544.800000000745058,11159243.770000001415610
20151111,5225733.200000000186265,5987677.759999999776483,11213410.960000000894070
20151112,5144161.429999999701977,5896167.680000000633299,11040329.109999999403954
20151113,5124153.259999999776483,5783620.800000000745058,10907774.060000000521541
20151116,5192899.280000000260770,5840946.080000001005828,11033845.360000001266599
20151117,5207264.120000000111759,5834635.040000000037253,11041899.160000000149012
20151118,5267288.629999999888241,5918256.320000000298023,11185544.949999999254942
20151119,5258054.089999999850988,5958752.160000000149012,11216806.250000000000000
20151120,5257541.060000000521541,5990833.280000000260770,11248374.339999999850988
20151123,5272418.929999999701977,6020284.800000000745058,11292703.730000000447035
20151124,5234967.740000000223517,6010292.320000000298023,11245260.060000000521541
20151125,5230863.500000000000000,6016603.360000001266599,11247466.860000001266599
20151127,5251897.730000000447035,6007662.720000000670552,11259560.450000001117587
20151130,5193925.339999999850988,6003981.280000000260770,11197906.620000001043081
20151201,5251384.700000000186265,6019232.960000000894070,11270617.660000000149012
20151202,5235480.769999999552965,5980840.800000000745058,11216321.570000000298023
20151203,5170838.990000000223517,5963485.440000000409782,11134324.429999999701977
20151204,5281653.470000000670552,6111268.960000000894070,11392922.430000001564622
20151207,5300635.580000000074506,6122839.200000000186265,11423474.780000001192093
20151208,5254462.879999999888241,6128624.320000000298023,11383087.199999999254942
20151209,5240611.070000000298023,6131253.920000000856817,11371864.990000002086163
20151210,5265749.540000000037253,6163860.960000000894070,11429610.500000000000000
20151211,5216498.660000000149012,6104957.920000000856817,11321456.580000001937151
20151214,5240611.070000000298023,6114424.480000000447035,11355035.550000000745058
20151215,5342191.009999999776483,6149661.120000001043081,11491852.130000000819564
20151216,5399650.370000000111759,6197519.840000000782311,11597170.210000000894070
20151217,5317052.540000000037253,6179638.560000000521541,11496691.100000001490116
20151218,5230350.470000000670552,6135461.280000000260770,11365811.750000000000000
20151221,5211368.360000000335276,6189631.040000000037253,11400999.400000000372529
20151222,5269340.750000000000000,6191208.800000000745058,11460549.550000000745058
20151223,5309357.089999999850988,6248008.160000000149012,11557365.250000000000000
20151224,5321156.780000000260770,6235912.000000000000000,11557068.780000001192093
20151228,5295505.280000000260770,6245378.560000000521541,11540883.839999999850988
